대문,주석,대문표점,주석표점,대문해석,주석해석
子曰學而時習之不亦說乎,學之爲言效也人性皆善而覺有先後後覺者必效先覺之所爲乃可以明善而復其初也習鳥數飛也學之不已如鳥數飛也說喜意也旣學而又時時習之則所學者熟而中心喜說其進自不能已矣程子曰習重習也時復思繹浹洽於中則說也又曰學者將以行之也時習之則所學者在我故悅謝氏曰時習者無時而不習坐如尸坐時習也立如齊立時習也,子曰：“學而時習之，不亦說乎？”,學之爲言效也。人性皆善，而覺有先後，後覺者必效先覺之所爲，乃可以明善而復其初也。習，鳥數飛也。學之不已，如鳥數飛也。說，喜意也。旣學而又時時習之，則所學者熟，而中心喜說，其進自不能已矣。程子曰：“習，重習也。時復思繹，浹洽於中，則說也。”又曰：“學者，將以行之也。時習之，則所學者在我，故悅。”謝氏曰：“時習者，無時而不習。坐如尸，坐時習也；立如齊，立時習也。”,공자(孔子)께서 말씀하셨다. “배우고 그것을 때때로 익히면 기쁘지 않겠는가.”,"학(學)이란 말은 본받는다는 뜻이다. 사람의 본성(本性)은 모두 선(善)하나 이것을 앎에는 먼저 하고 뒤에 함이 있으니, 뒤에 깨닫는 자는 반드시 선각자(先覺者)의 하는 바를 본받아야 선(善)을 밝게 알아서 그 본초(本初)를 회복할 수 있는 것이다. 습(習)은 새가 자주 나는 것이니, 배우기를 그치지 않음을 마치 새 새끼가 자주 나는 것과 같이 하는 것이다. 열(說)은 기뻐하는 뜻이다. 이미 배우고 또 때때로 그것을 익힌다면 배운 것이 익숙해져서 중심(中心)에 희설(喜說)을 느껴 그 진전이 자연히 그만둘 수 없는 것이다. 정자(程子)가 말씀하였다. “습(習)은 중습(重習)[거듭함]이나, 때로 다시 생각하고 연역(演繹)해서 가슴속에 무젖게 하면 기뻐지는 것이다.” 또 말씀하였다. “배우는 것은 장차 그것을 행하려고 해서이니, 때로 익힌다면 배운 것이 내 몸에 있다. 그러므로 기뻐지는 것이다.” 사씨(謝氏)가 말하였다. “시습(時習)이란 때마다 익히지 않음이 없는 것이니, 앉음에 시동(尸童)과 같이 함은 앉아 있을 때의 익힘이요, 섬에 제계(齊戒)함과 같이 함은 서 있을 때의 익힘이다.”"
有朋自遠方來不亦樂乎,朋同類也自遠方來則近者可知程子曰以善及人而信從者衆故可樂又曰說在心樂主發散在外,有朋自遠方來，不亦樂乎？,朋，同類也。自遠方來，則近者可知。程子曰：“以善及人，而信從者衆，故可樂。”又曰：“說在心，樂主發散在外。”,동지(同志)가 먼 지방으로부터 찾아온다면 즐겁지 않겠는가.,"붕(朋)은 동류(同類)[동지(同志)]이니 먼 지방으로부터 온다면 가까이 있는 자들이 <찾아옴을> 알 수 있다. 정자(程子)가 말씀하였다. “선(善)을 남에게 미쳐서 믿고 따르는 자가 많다. 그러므로 즐거울 수 있는 것이다.” 또 말씀하였다. “열(說)[열(悅)]은 마음속에 있는 것이요, 낙(樂)이란 발산(發散)함을 주장하니 외면에 있는 것이다.”"
人不知而不慍不亦君子乎,慍含怒意君子成德之名尹氏曰學在己知不知在人何慍之有程子曰雖樂於及人不見是而無悶乃所謂君子愚謂及人而樂者順而易不知而不慍者逆而難故惟成德者能之然德之所以成亦由學之正習之熟說之深而不已焉耳,人不知而不慍，不亦君子乎？,慍，含怒意。君子，成德之名。尹氏曰：“學在己，知不知在人，何慍之有。”程子曰：“雖樂於及人，不見是而無悶，乃所謂君子。”愚謂及人而樂者順而易，不知而不慍者逆而難，故惟成德者能之。然德之所以成，亦由學之正、習之熟、說之深，而不已焉耳。,사람들이 알아주지 않더라도 서운해하지 않는다면 군자(君子)가 아니겠는가.”,"온(慍)은 노여움을 품은 뜻이다. 군자(君子)는 덕(德)을 완성한 이의 명칭이다. 윤씨(尹氏)가 말하였다. “학문(學問)은 자신에게 달려 있고, 알아주고 알아주지 않음은 남에게 달려 있는 것이니, 어찌 서운해 할 것이 있겠는가.” 정자(程子)가 말씀하였다. “비록 남에게 미치는 것을 즐거워하나 옳다함을 받지 못하더라도 서운함이 없어야 이것이 이른바 군자(君子)라는 것이다.” 내가 생각건대, “남에게까지 미쳐서 즐거운 것은 순(順)이어서 쉽고, 알아주지 않는데도 서운해하지 않는 것은 역(逆)이어서 어렵다. 그러므로 오직 덕(德)을 이룬 군자(君子)만이 능한 것이다. 그러나 덕(德)이 이루어지는 소이(所以)는 또한 학문이 올 바라야 하고, 익히기를 익숙히 하고, 기뻐하기를 깊이 하여 그치지 않음에 말미암을 뿐이다.”"
,程子曰樂由說而後得非樂不足以語君子,,程子曰：“樂由說而後得，非樂不足以語君子。”,,"정자(程子)가 말씀하였다. “낙(樂)은 열(說)을 말미암은 뒤에야 얻어지는 것이니, 낙(樂)이 아니라면 군자(君子)라고 말할 수 없다.”"
有子曰其爲人也孝弟而好犯上者鮮矣不好犯上而好作亂者未之有也,有子孔子弟子名若善事父母爲孝善事兄長爲弟犯上謂干犯在上之人鮮少也作亂則爲悖逆爭鬪之事矣此言人能孝弟則其心和順少好犯上必不好作亂也,有子曰：“其爲人也孝弟，而好犯上者，鮮矣；不好犯上，而好作亂者，未之有也。”,有子，孔子弟子，名若。善事父母爲孝，善事兄長爲弟。犯上，謂干犯在上之人。鮮，少也。作亂，則爲悖逆爭鬪之事矣。此言人能孝弟，則其心和順，少好犯上，必不好作亂也。,"유자(有子)가 말하였다. “그 사람됨이 효(孝)하고, 공경(恭敬)스럽고서 윗사람을 범하기를 좋아하는 자는 드무니, 윗사람을 범하기를 좋아하지 않고서 난(亂)을 일으키기를 좋아하는 자는 있지 않다.”","유자(有子)는 공자(孔子)의 제자(弟子)이니, 이름은 약(若)이다. 부모(父母)를 잘 섬기는 것을 효(孝)라 하고, 형(兄)과 어른을 잘 섬기는 것을 제(弟)라 한다. 범상(犯上)이란 윗자리에 있는 사람을 범함을 이른다. 선(鮮)은 적음이다. 작란(作亂)이란 패역(悖逆)하고 다투고 싸우는 일을 하는 것이다. 이것은 사람이 부모(父母)에게 효(孝)하고 어른에게 공경(恭敬)하면 그 마음이 화순(和順)해서 윗사람을 범하는 것을 좋아하는 이가 적으니, 반드시 난(亂)을 일으키기를 좋아하지 않는다고 말한 것이다."
君子務本本立而道生孝弟也者其爲仁之本與,務專力也本猶根也仁者愛之理心之德也爲仁猶曰行仁與者疑辭謙退不敢質言也言君子凡事專用力於根本根本旣立則其道自生若上文所謂孝弟乃是爲仁之本學者務此則仁道自此而生也,君子務本，本立而道生。孝弟也者，其爲仁之本與！,務，專力也。本，猶根也。仁者，愛之理，心之德也。爲仁，猶曰行仁。與者，疑辭，謙退不敢質言也。言君子凡事專用力於根本，根本旣立，則其道自生。若上文所謂孝弟，乃是爲仁之本，學者務此，則仁道自此而生也。,"군자(君子)는 근본(根本)을 힘쓰니, 근본(根本)이 확립되면 도(道)가 발생(發生)하는 것이다. 효(孝)와 제(弟)[제(悌)]라는 것은 그 인(仁)을 행하는 근본(根本)일 것이다.","무(務)는 전력(專力)하는 것이요, 본(本)은 근(根)과 같다. 인(仁)이란 사랑의 원리(原理)요, 마음의 덕(德)이니, 위인(爲仁)이란 행인(行仁)이란 말과 같다. 여(與)는 의문사이니, 겸손하여 감히 질정해 말하지 못하는 것이다. 군자(君子)가 모든 일을 오로지 근본에 힘을 쓰니, 근본이 이미 확립되면 그 도(道)가 스스로 생겨난다. 위 글에서 말한 바 효제(孝弟)로 말하면 바로 이 인(仁)을 하는 근본이니, 배우는 자들이 이것을 힘쓰면 인(仁)의 도(道)가 이로부터 생겨남을 말한 것이다."
,程子曰孝弟順德也故不好犯上豈復有逆理亂常之事德有本本立則其道充大孝弟行於家而後仁愛及於物所謂親親而仁民也故爲仁以孝弟爲本論性則以仁爲孝弟之本或問孝弟爲仁之本此是由孝弟可以至仁否曰非也謂行仁自孝弟始孝弟是仁之一事謂之行仁之本則可謂是仁之本則不可蓋仁是性也孝弟是用也性中只有箇仁義禮智四者而已曷嘗有孝弟來然仁主於愛愛莫大於愛親故曰孝弟也者其爲仁之本與,,程子曰：“孝弟，順德也，故不好犯上，豈復有逆理亂常之事。德有本，本立則其道充大。孝弟行於家，而後仁愛及於物，所謂親親而仁民也。故爲仁以孝弟爲本。論性，則以仁爲孝弟之本。”或問：“孝弟爲仁之本，此是由孝弟可以至仁否？”曰：“非也。謂行仁自孝弟始，孝弟是仁之一事。謂之行仁之本則可，謂是仁之本則不可。蓋仁是性也，孝弟是用也，性中只有箇仁、義、禮、智四者而已，曷嘗有孝弟來。然仁主於愛，愛莫大於愛親，故曰孝弟也者，其爲仁之本與！”,,"정자(程子)가 말씀하였다. “효제(孝弟)는 순한 덕(德)이다. 그러므로 윗사람을 범하기를 좋아하지 않는 것이니, 어찌 다시 이치를 거스르고 상도(常道)를 어지럽히는 일이 있겠는가? 덕(德)은 근본(根本)이 있으니, 근본이 확립되면 그 도(道)가 충만하고 커진다. 효(孝)와 제(弟)를 집안에 행한 뒤에 인(仁)과 사랑이 남에게 미치는 것이니, 이것이 이른바 친한 이[친척]를 친히 하고서 백성을 사랑한다는 것이다. 그러므로 인(仁)을 하는데는 효제(孝弟)를 근본(根本)으로 삼으며, 본성(本性)을 논한다면 인(仁)이 효제(孝弟)의 근본(根本)이 되는 것이다.” 혹자가 묻기를 ‘효제(孝弟)가 인(仁)의 근본(根本)이 된다 하였으니, 이것은 효제(孝弟)로 말미암아 인(仁)에 이를 수 있다는 것입니까?’라고 하자, 나는 대답하였다. “이것은 아니다. 인(仁)을 행하는 것이 효제(孝弟)로부터 시작됨을 말했을 뿐이다. 효제(孝弟)는 이 인(仁)의 한 가지 일이니, 인(仁)을 행하는 근본이라고 이른다면 가(可)하거니와, 이것이 인(仁)의 근본(根本)이라고 한다면 불가(不可)한다. 인(仁)은 본성(本性)이요, 효제(孝弟)는 용(用)이다. 성(性) 가운데에는 다만 인(仁)·의(義)·예(禮)·지(智) 네 가지가 있을 뿐이니, 어찌 일찍이 효제(孝弟)가 있겠는가. 그러나 인(仁)은 사랑을 주장(主張)하고, 사랑은 어버이를 사랑하는 것보다 더 큰 것이 없다. 그러므로 ‘효제(孝弟)란 그 인(仁)을 행하는 근본(根本)일 것이다.’라고 말한 것이다.”"
子曰巧言令色鮮矣仁,巧好令善也好其言善其色致飾於外務以悅人則人欲肆而本心之德亡矣聖人辭不迫切專言鮮則絶無可知學者所當深戒也,子曰：“巧言令色，鮮矣仁！”,巧，好。令，善也。好其言，善其色，致飾於外，務以悅人，則人欲肆而本心之德亡矣。聖人辭不迫切，專言鮮，則絶無可知，學者所當深戒也。,공자(孔子)께서 말씀하셨다. “말을 좋게 하고 얼굴빛을 곱게 하는 사람이 인(仁)한 이가 적다.”,"교(巧)는 아름다움이요, 영(令)은 선(善)[잘함, 좋게 함]이다. 그 말을 아름답게 하고 그 얼굴빛을 좋게 하여 외면에 꾸미기를 지극히 해서 남을 기쁘게 하기를 힘쓴다면, 인욕(人慾)이 함부로 부려져서 본심(本心)의 덕(德)이 없어질 것이다. 성인(聖人)은 말씀이 박절하지 않아서 오로지 적다고만 말씀하셨으니, 그렇다면 <인(仁)한 자가> 절대로 없음을 알 수 있는 것이다. 배우는 자들이 마땅히 깊이 경계해야 할 것이다."
,程子曰知巧言令色之非仁則知仁矣,,程子曰：“知巧言令色之非仁，則知仁矣。”,,정자(程子)가 말씀하였다. “교언영색(巧言令色)이 인(仁)이 아님을 안다면 인(仁)을 알 것이다.”
曾子曰吾日三省吾身爲人謀而不忠乎與朋友交而不信乎傳不習乎,曾子孔子弟子名參字子輿盡己之謂忠以實之謂信傳謂受之於師習謂熟之於己曾子以此三者日省其身有則改之無則加勉其自治誠切如此可謂得爲學之本矣而三者之序則又以忠信爲傳習之本也,曾子曰：“吾日三省吾身：爲人謀而不忠乎？與朋友交而不信乎？傳不習乎？”,曾子，孔子弟子，名參，字子輿。盡己之謂忠。以實之謂信。傳，謂受之於師。習，謂熟之於己。曾子以此三者日省其身，有則改之，無則加勉，其自治誠切如此，可謂得爲學之本矣。而三者之序，則又以忠信爲傳習之本也。,"증자(曾子)가 말씀하였다. “나는 날마다 세 가지로 내 몸을 살피나니, 남을 위하여 일을 도모해 줌에 충성스럽지 못한가? 붕우(朋友)와 더불어 사귐에 성실하지 못한가? 전수(傳受)받은 것을 복습하지 않는가? 이다.”","증자(曾子)는 공자(孔子)의 제자(弟子)이니, 이름은 삼(參)이요, 자(字)는 자여(子輿)이다. 자기 마음을 다하는 것을 충(忠)이라 이르고, 성실(誠實)히 하는 것을 신(信)이라 이른다. 전(傳)은 스승에게 전수(傳受)받은 것이요, 습(習)은 자기 몸에 익숙히 함을 말한다. 증자(曾子)는 이 세 가지로써 날마다 자신을 반성하여 이런 잘못이 있으면 고치고, 없으면 더욱 힘써서 자신을 다스림에 정성스럽고 간절함이 이와 같았으니, 학문(學問)하는 근본을 얻었다고 이를 것이요, 세 가지의 순서는 또 충(忠)·신(信)을 전습(傳習)하는 근본(根本)으로 삼아야 하는 것이다."
