대문,주석,대문표점,주석표점,대문해석,주석해석
,楊氏曰聖人之所謂道者不離乎日用之間也故夫子之平日一動一靜門人皆審視而詳記之尹氏曰甚矣孔門諸子之嗜學也於聖人之容色言動無不謹書而備錄之以貽後世今讀其書卽其事宛然如聖人之在目也雖然聖人豈拘拘而爲之者哉蓋盛德之至動容周旋自中乎禮耳學者欲潛心於聖人宜於此求焉舊說凡一章今分爲十七節,,楊氏曰：“聖人之所謂道者，不離乎日用之間也。故夫子之平日，一動一靜，門人皆審視而詳記之。”尹氏曰：“甚矣孔門諸子之嗜學也！於聖人之容色言動，無不謹書而備錄之，以貽後世。今讀其書，卽其事，宛然如聖人之在目也。雖然，聖人豈拘拘而爲之者哉？蓋盛德之至，動容周旋，自中乎禮耳。學者欲潛心於聖人，宜於此求焉。”舊說凡一章，今分爲十七節。,,"양씨(楊氏)가 말하였다. “성인(聖人)의 이른바 도(道)란 것은 일상생활에서 벗어나지 않는다. 그러므로 공자(孔子)의 평소(平素)의 일동일정(一動一靜)을 문인(門人)들이 모두 살펴보고 자세히 기록한 것이다.” 윤씨(尹氏)가 말하였다. “아! 공문(孔門)의 여러 제자(弟子)들이 학문(學問)을 즐김이여! 성인(聖人)의 얼굴빛과 말씀과 행동을 모두 삼가 기록해서 후세(後世)에 남겼다. 그리하여 이제 그 글을 읽고 그 일에 나아가 보면 완연히 성인(聖人)이 눈앞에 계신 듯하다. 그러나 성인(聖人)이 어찌 구구하게 이것을 하려고 하셨겠는가? 훌륭한 덕(德)이 지극하여 행동하고 주선함이 자연히 예(禮)에 맞은 것이니, 학자(學者)들이 성인(聖人)에 잠심(潛心)하려고 한다면 마땅히 여기에서 찾아야 할 것이다.” 구설(舊說)에는 모두 1장(章)이었으나, 이제 나누어 17절(節)로 만들었다."
孔子於鄕黨恂恂如也似不能言者,恂恂信實之貌似不能言者謙卑遜順不以賢知先人也鄕黨父兄宗族之所在故孔子居之其容貌辭氣如此,孔子於鄕黨，恂恂如也，似不能言者。,恂恂，信實之貌。似不能言者，謙卑遜順。不以賢知先人也。鄕黨，父兄宗族之所在，故孔子居之，其容貌辭氣如此。,공자(孔子)께서 향당(鄕黨)[지방]에 계실 때에는 신실(信實)히 하여 말씀을 잘하지 못하는 것처럼 하셨다.,"순순(恂恂)은 신실(信實)한 모양이다. 말씀을 잘하지 못하는 것처럼 한다는 것은 겸손하고 온순하여 어짐과 지혜로써 남에게 앞서려고 하지 않는 것이다. 향당(鄕黨)은 부형(父兄)과 종족(宗族)이 계신 곳이므로, 공자(孔子)께서 거(居)하실 때에 그 용모와 말씀이 이와 같으셨던 것이다."
其在宗廟朝廷便便言唯謹爾,便便辯也宗廟禮法之所在朝廷政事之所出言不可以不明辨故必詳問而極言之但謹而不放爾,其在宗廟朝廷，便便言，唯謹爾。,便便，辯也。宗廟，禮法之所在；朝廷，政事之所出；言不可以不明辨。故必詳問而極言之，但謹而不放爾。,"공자(孔子)께서 종묘(宗廟)와 조정(朝廷)에 계실 때에는 말씀을 잘하시되, 다만 삼가셨다.","변변(便便)은 말을 잘하는 것이다. 종묘(宗廟)는 예법(禮法)이 있는 곳이요, 조정(朝廷)은 정사(政事)가 나오는 곳이니, 말을 명확하게 하지 않을 수 없다. 그러므로 반드시 자상하게 묻고 극진히 말하되 다만 삼가 해서 함부로 하지 않았을 뿐이다."
,此一節記孔子在鄕黨宗廟朝廷言貌之不同,,此一節，記孔子在鄕黨、宗廟、朝廷言貌之不同。,,이 1절(節)은 공자(孔子)께서 향당(鄕黨)과 종묘(宗廟)와 조정(朝廷)에 계실 때의 언어(言語)와 용모(容貌)가 같지 않음을 기록한 것이다.
朝與下大夫言侃侃如也與上大夫言誾誾如也,此君未視朝時也王制諸侯上大夫卿下大夫五人許氏說文侃侃剛直也誾誾和悅而諍也,朝，與下大夫言，侃侃如也；與上大夫言，誾誾如也。,此君未視朝時也。王制，諸侯上大夫卿，下大夫五人。許氏說文：“侃侃，剛直也。誾誾，和悅而諍也。”,"조정(朝廷)에서 하대부(下大夫)와 말씀하실 때에는 강직(剛直)하게 하시며, 상대부(上大夫)와 말씀하실 때에는 은은(誾誾)하게 하셨다.","이것은 임금이 조회(朝會)를 보지 않을 때이다. 《예기(禮記)》〈왕제편(王制篇)〉에 “제후(諸侯)의 상대부(上大夫)는 경(卿)이요, 하대부(下大夫)는 다섯 사람이 있다.” 하였다. 《허씨설문(許氏說文)》에 “간간(侃侃)은 강직(剛直)한 것이요, 은은(誾誾)은 화열(和悅)하면서 간하는 것이다.” 하였다."
君在踧踖如也與與如也,君在視朝也踧踖恭敬不寧之貌與與威儀中適之貌張子曰與與不忘向君也亦通,君在，踧踖如也。與與如也。,君在，視朝也。踧踖，恭敬不寧之貌。與與，威儀中適之貌。張子曰：“與與，不忘向君也。”亦通。,임금이 계실 때에는 축척(踧踖)하시고 여여(與與)하게 하셨다.,"군재(君在)는 임금이 조회(朝會)를 볼 때이다. 축척(踧踖)은 조심하여 편안치 않은 모양이고, 여여(與與)는 위의(威儀)가 알맞은 모양이다. 장자(張子)는 “여여(與與)는 임금께 향하는 마음을 잊지 않는 것이다.” 하였으니, 이 말도 통한다."
,此一節記孔子在朝廷事上接下之不同也,,此一節，記孔子在朝廷事上接下之不同也。,,이 1절(節)은 공자(孔子)께서 조정(朝廷)에 계실 때에 윗사람을 섬기고 아랫사람을 대하심에 있어 같지 않음을 기록한 것이다.
君召使擯色勃如也足躩如也,擯主國之君所使出接賓者勃變色貌躩盤辟貌皆敬君命故也,君召使擯，色勃如也，足躩如也。,擯，主國之君所使出接賓者。勃，變色貌。躩，盤辟貌。皆敬君命故也。,임금이 불러 국빈(國賓)을 접대하게 하시면 낯빛을 변하시며 발걸음을 조심하셨다.,"빈(擯)은 주인된 나라의 임금이 신하로 하여금 손님을 접대하게 하는 것이다. 발(勃)은 낯빛을 고치는 모양이요, 확(躩)은 발자국을 마음대로 떼지 못하고 조심하는 모양이니, 모두 임금의 명령을 공경하기 때문이다."
揖所與立左右手衣前後襜如也,所與立謂同爲擯者也擯用命數之半如上公九命則用五人以次傳命揖左人則左其手揖右人則右其手襜整貌,揖所與立，左右手。衣前後，襜如也。,所與立，謂同爲擯者也。擯用命數之半，如上公九命，則用五人，以次傳命。揖左人，則左其手；揖右人，則右其手。襜，整貌。,"함께 서 있는 <동료의 빈(擯)에게> 읍(揖)하시되 손을 좌우(左右)로 하셨는데, 옷의 앞뒤자락이 가지런하셨다.","함께 서있는 바〔所與立〕란 함께 빈(擯)이 된 자를 말한다. 빈(擯)은 명수(命數)의 반절을 쓰는 것이니, 예를 들면 9명(命)인 상공(上公)이면 다섯 사람을 써서 차례로 명(命)을 전달한다. 이때 왼쪽 사람에게 읍(揖)할 때에는 손을 왼쪽으로 하고, 오른쪽 사람에게 읍(揖)할 때에는 손을 오른쪽으로 하는 것이다. 첨(襜)은 가지런한 모양이다."
趨進翼如也,疾趨而進張拱端好如鳥舒翼,趨進，翼如也。,疾趨而進，張拱端好，如鳥舒翼。,빨리 나가실 때는 새가 날개를 편 듯 하셨다.,"빨리 추창하여 나갈 때에 몸을 펴고 손을 모은 것이 단정하고 아름다워, 마치 새가 날개를 편 것과 같은 것이다."
