대문,주석,대문표점,주석표점,대문해석,주석해석
子曰先進於禮樂野人也後進於禮樂君子也,先進後進猶言前輩後輩野人謂郊外之民君子謂賢士大夫也程子曰先進於禮樂文質得宜今反謂之質朴而以爲野人後進之於禮樂文過其質今反謂之彬彬而以爲君子蓋周末文勝故時人之言如此不自知其過於文也,子曰：“先進於禮樂，野人也；後進於禮樂，君子也。,先進後進，猶言前輩後輩。野人，謂郊外之民。君子，謂賢士大夫也。程子曰：“先進於禮樂，文質得宜，今反謂之質朴，而以爲野人。後進之於禮樂，文過其質，今反謂之彬彬，而以爲君子。蓋周末文勝，故時人之言如此，不自知其過於文也。”,"공자(孔子)께서 말씀하셨다. “선배들이 예악(禮樂)에 대하여 한 것을 <지금 사람들이> 촌스러운 사람이라 하고, 후배들이 예악(禮樂)에 대하여 하는 것을 군자(君子)라고 한다.","선진(先進)·후진(後進)은 전배(前輩)[선배]·후배(後輩)라는 말과 같다. 야인(野人)은 교외(郊外)의 백성을 말하고, 군자(君子)는 어진 사대부(士大夫)를 말한다. 정자(程子)가 말씀하였다. “선배는 예악(禮樂)에 있어 문(文)[문채]과 질(質)[바탕]이 마땅함을 얻었는데, 지금 사람들은 도리어 그것을 질박하다고 말하여 촌스러운 사람이라 하고, 후배는 예악(禮樂)에 있어 문(文)이 그 질(質)보다 지나친 데, 지금 사람들은 빈빈(彬彬)[적절히 배합됨]하다고 말하여 군자(君子)라고 한다. 이는 주(周)나라 말기에 문(文)에 치우쳤으므로 당시 사람들의 말이 이와 같았으니, 문(文)에 지나쳤음을 스스로 알지 못한 것이다.”"
如用之則吾從先進,用之謂用禮樂孔子旣述時人之言又自言其如此蓋欲損過以就中也,如用之，則吾從先進。”,用之，謂用禮樂。孔子旣述時人之言，又自言其如此，蓋欲損過以就中也。,<내가> 만일 예악(禮樂)을 쓴다면 나는 선배를 따르겠다.”,"용지(用之)는 예악(禮樂)을 사용함을 말한다. 공자(孔子)께서 이미 당시 사람들의 말을 기술하고, 또 스스로 말씀하시기를 이와 같이 하셨으니, 이는 지나침을 덜어 중도(中道)에 나아가게 하려고 하신 것이다."
子曰從我於陳蔡者皆不及門也,孔子嘗厄於陳蔡之間弟子多從之者此時皆不在門故孔子思之蓋不忘其相從於患難之中也,子曰：“從我於陳、蔡者，皆不及門也。”,孔子嘗厄於陳、蔡之間，弟子多從之者，此時皆不在門。故孔子思之，蓋不忘其相從於患難之中也。,공자(孔子)께서 말씀하셨다. “나를 진(陳)나라와 채(蔡)나라에서 따르던 자들이 <지금> 모두 문하(門下)에 있지 않구나!”,"공자(孔子)께서 일찍이 진(陳)나라와 채(蔡)나라 사이에서 곤액(困厄)을 당하셨는데, 그 당시 따르던 제자(弟子)들이 많았었다. 그런데 이 때에는 모두 문하(門下)에 있지 않았으므로 공자(孔子)께서 그들을 생각하신 것이니, 이는 그 환난(患難) 속에서 서로 따르던 것을 잊지 않으신 것이다."
德行顔淵閔子騫冉伯牛仲弓言語宰我子貢政事冉有季路文學子游子夏,弟子因孔子之言記此十人而幷目其所長分爲四科孔子敎人各因其材於此可見,德行：顔淵，閔子騫，冉伯牛，仲弓。言語：宰我，子貢。政事：冉有，季路。文學：子游，子夏。,弟子因孔子之言，記此十人，而幷目其所長，分爲四科。孔子敎人各因其材，於此可見。,"덕행(德行)에는 안연(顔淵)·민자건(閔子騫)·염백우(冉伯牛)·중궁(仲弓)이었고, 언어(言語)에는 재아(宰我)·자공(子貢)이었고, 정사(政事)에는 염유(冉有)·계로(季路)였고, 문학(文學)에는 자유(子游)·자하(子夏)였다.","제자(第子)들이 공자(孔子)의 말씀에 의해 이 열 사람을 기록하고 아울러 그 소장(所長)을 지목하여 나누어 4과(科)로 만들었으니, 공자(孔子)께서 사람을 가르침에 각각 그 재질(材質)을 따르셨음을 여기에서 볼 수 있다."
,程子曰四科乃從夫子於陳蔡者爾門人之賢者固不止此曾子傳道而不與焉故知十哲世俗論也,,程子曰：“四科乃從夫子於陳、蔡者爾，門人之賢者固不止此。曾子傳道而不與焉，故知十哲世俗論也。”,,정자(程子)가 말씀하였다. “4과(科)에 지목된 사람들은 바로 부자(夫子)를 진(陳)나라와 채(蔡)나라에서 따르던 자들일 뿐이다. 문인(門人)중에 어진 자가 진실로 여기에 그치지 않았다. 증자(曾子)는 공자(孔子)의 도(道)를 전수했는데도 여기에 참여되지 못하였다. 그러므로 십철(十哲)은 세속의 말임을 알 수 있다.”
子曰回也非助我者也於吾言無所不說,助我若子夏之起予因疑問而有以相長也顔子於聖人之言默識心通無所疑問故夫子云然其辭若有憾焉其實乃深喜之,子曰：“回也非助我者也，於吾言無所不說。”,助我，若子夏之起予，因疑問而有以相長也。顔子於聖人之言，默識心通，無所疑問。故夫子云然，其辭若有憾焉，其實乃深喜之。,공자(孔子)께서 말씀하셨다. “안회(顔回)는 나를 돕는 자가 아니구나! 나의 말에 대해 기뻐하지 않는 바가 없구나!”,"조아(助我)는 ‘자하(子夏)가 나를 흥기 시킨다.’는 것과 같으니, 의문(疑問)으로 인하여 <학문이> 서로 진전됨이 있는 것이다. 안자(顔子)는 성인(聖人)의 말씀에 대해 묵묵히 알고 마음으로 통하여 의문(疑問)함이 없었다. 그러므로 부자(夫子)께서 이렇게 말씀하신 것이다. 그 말씀은 유감이 있는 듯하나 그 실제는 바로 깊이 기뻐하신 것이다."
,胡氏曰夫子之於回豈眞以助我望之蓋聖人之謙德又以深贊顔氏云爾,,胡氏曰：“夫子之於回，豈眞以助我望之。蓋聖人之謙德，又以深贊顔氏云爾。”,,"호씨(胡氏)가 말하였다. “부자(夫子)가 안회(顔回)에 대해 어찌 참으로 자신을 도와주기를 바랐겠는가? 이는 성인(聖人)의 겸손한 덕(德)이요, 깊이 안씨(顔氏)를 칭찬하신 것일 뿐이다.”"
子曰孝哉閔子騫人不間於其父母昆弟之言,胡氏曰父母兄弟稱其孝友人皆信之無異辭者蓋其孝友之實有以積於中而著於外故夫子嘆而美之,子曰：“孝哉閔子騫！人不間於其父母昆弟之言。”,胡氏曰：“父母兄弟稱其孝友，人皆信之無異辭者，蓋其孝友之實，有以積於中而著於外，故夫子嘆而美之。”,공자(孔子)께서 말씀하셨다. “효성스럽다. 민자건(閔子騫)이여! 사람들이 그 부모(父母)·형제(兄弟)의 <칭찬하는> 말에 트집잡지 못하는구나!”,"호씨(胡氏)가 말하였다. “부모(父母)·형제(兄弟)가 그의 효도와 우애를 칭찬함에 사람들이 모두 믿고 딴 말이 없었으니, 이는 그 효도와 우애의 실제가 심중(心中)에 쌓여 밖에 드러남이 있었기 때문이었다. 그러므로 부자(夫子)께서 감탄하고 찬미하신 것이다.”"
南容三復白圭孔子以其兄之子妻之,詩大雅抑之篇曰白圭之玷尙可磨也斯言之玷不可爲也南容一日三復此言事見家語蓋深有意於謹言也此邦有道所以不廢邦無道所以免禍故孔子以兄子妻之,南容三復白圭，孔子以其兄之子妻之。,詩大雅抑之篇曰：“白圭之玷，尙可磨也；斯言之玷，不可爲也。”南容一日三復此言，事見家語，蓋深有意於謹言也。此邦有道所以不廢，邦無道所以免禍，故孔子以兄子妻之。,"남용(南容)이 백규(白圭)란 내용의 시(詩)를 <하루에> 세 번 반복해 외우니, 공자(孔子)께서 그 형님의 딸을 그에게 시집보내셨다.","《시경(詩經)》〈대아(大雅) 억편(抑篇)〉에 백규(白圭)[백옥(白玉)으로 만든 규(圭)]의 홈은 오히려 갈면 될 수 있지만, 말의 흠은 갈아낼 수 없다.” 하였는데, 남용(南容)이 하루에 세 번 이 내용을 반복하였다. 이 일은 《가어(家語)》에 보이니, 이는 말을 삼가는 데 깊이 뜻을 둔 것이다. 이는 나라에 도(道)가 있을 때에는 버려지지 않을 수 있고, 나라에 도(道)가 없을 때에는 화를 면할 수 있는 것이다. 그러므로 공자(孔子)께서 형(兄)의 딸을 그에게 시집보내신 것이다."
,范氏曰言者行之表行者言之實未有易其言而能謹於行者南容欲謹其言如此則必能謹其行矣,,范氏曰：“言者行之表，行者言之實，未有易其言而能謹於行者。南容欲謹其言如此，則必能謹其行矣。”,,"범씨(范氏)가 말하였다. “말은 행실(行實)의 표면(表面)이요 행실은 말의 실상(實相)이니, 그 말을 쉽게[함부로] 하고서 행실을 삼가는 자는 있지 않다. 남용(南容)이 그 말을 삼가고자 함이 이와 같았다면, 반드시 그 행실을 삼갔을 것이다.”"
