대문,주석,대문표점,주석표점,대문해석,주석해석
顔淵問仁子曰克己復禮爲仁一日克己復禮天下歸仁焉爲仁由己而由人乎哉,仁者本心之全德克勝也己謂身之私欲也復反也禮者天理之節文也爲仁者所以全其心之德也蓋心之全德莫非天理而亦不能不壞於人欲故爲仁者必有以勝私欲而復於禮則事皆天理而本心之德復全於我矣歸猶與也又言一日克己復禮則天下之人皆與其仁極言其效之甚速而至大也又言爲仁由己而非他人所能預又見其機之在我而無難也日日克之不以爲難則私欲淨盡天理流行而仁不可勝用矣程子曰非禮處便是私意旣是私意如何得仁須是克盡己私皆歸於禮方始是仁又曰克己復禮則事事皆仁故曰天下歸仁謝氏曰克己須從性偏難克處克將去,顔淵問仁。子曰：“克己復禮爲仁。一日克己復禮，天下歸仁焉。爲仁由己，而由人乎哉？”,仁者，本心之全德。克，勝也。己，謂身之私欲也。復，反也。禮者，天理之節文也。爲仁者，所以全其心之德也。蓋心之全德，莫非天理，而亦不能不壞於人欲。故爲仁者必有以勝私欲而復於禮，則事皆天理，而本心之德復全於我矣。歸，猶與也。又言一日克己復禮，則天下之人皆與其仁，極言其效之甚速而至大也。又言爲仁由己而非他人所能預，又見其機之在我而無難也。日日克之，不以爲難，則私欲淨盡，天理流行，而仁不可勝用矣。程子曰：“非禮處便是私意。旣是私意，如何得仁？須是克盡己私，皆歸於禮，方始是仁。”又曰：“克己復禮，則事事皆仁，故曰天下歸仁。”謝氏曰：“克己須從性偏難克處克將去。”,"안연(顔淵)이 인(仁)을 묻자, 공자(孔子)께서 말씀하셨다. “자기의 사욕(私慾)을 이겨 예(禮)에 돌아감이 인(仁)을 하는 것이니, 하루 동안이라도 사욕(私慾)을 이겨 예(禮)에 돌아가면 천하(天下)가 인(仁)을 허여 하는 것이다. 인(仁)을 하는 것은 자기 몸에 달려 있으니, 남에게 달려있는 것이겠는가?”","인(仁)이란 본심(本心)이 온전한 덕(德)이다. 극(克)은 이김이다. 기(己)는 일신(一身)의 사욕(私慾)을 이른다. 복(復)은 돌아감이다. 예(禮)는 천리(天理)의 절문(節文)이다. 위인(爲仁)이란 그 마음의 덕(德)을 온전히 하는 것이다. 마음의 온전한 덕(德)은 천리(天理) 아님이 없으나 또한 인욕(人慾)에 파괴되지 않을 수 없다. 그러므로 인(仁)을 하는 자는 반드시 사욕(私慾)을 이김이 있어서 예(禮)에 돌아가면 일마다 모두 천리(天理)여서 본심(本心)의 덕(德)이 다시 내 몸에 온전하게 된다. 귀(歸)는 허여 함과 같다. 또 말씀하시기를 하루 동안이라도 극기복례(克己復禮)하면 천하(天下)의 사람들이 모두 그 인(仁)을 허여 한다고 하신 것은, 그 효과가 심히 빠르고 지극히 큼을 극언(極言)한 것이다. 또 인(仁)을 하는 것은 자신에게 달려 있으니, 타인(他人)이 간여할 바가 아님을 말씀하였으니, 이것은 또 그 기틀이 나에게 있어서 어려움이 없음을 나타낸 것이다. 날마다 사욕(私慾)을 이겨서 어렵게 여기지 않는다면 사욕(私慾)이 깨끗이 다하고 천리(天理)가 유행(流行)하여 인(仁)을 이루 다 쓸 수 없을 것이다. 정자(程子)가 말씀하였다. “예(禮)가 아닌 곳[부분]이 바로 사의(私意)이니, 이미 사의(私意)라면 어떻게 인(仁)일 수 있겠는가. 모름지기 자기의 사욕(私慾)을 이겨 다해서 모두 예(禮)에 돌아가게 하여야 비로소 인(仁)이 될 수 있는 것이다.” 또 말씀하였다. “극기복례(克己復禮)를 하면 일마다 모두 인(仁)해진다. 그러므로 천하(天下)가 인(仁)을 허여 한다고 말씀한 것이다.” 사씨(謝氏)가 말하였다. “극기(克己)는 모름지기 자기의 성질이 편벽 되어 극복하기 어려운 것으로부터 이겨 나가야 한다.”"
顔淵曰請問其目子曰非禮勿視非禮勿聽非禮勿言非禮勿動顔淵曰回雖不敏請事斯語矣,目條件也顔淵聞夫子之言則於天理人欲之際已判然矣故不復有所疑問而直請其條目也非禮者己之私也勿者禁止之辭是人心之所以爲主而勝私復禮之機也私勝則動容周旋無不中禮而日用之間莫非天理之流行矣事如事事之事請事斯語顔淵默識其理又自知其力有以勝之故直以爲己任而不疑也,顔淵曰：“請問其目。”子曰：“非禮勿視，非禮勿聽，非禮勿言，非禮勿動。”顔淵曰：“回雖不敏，請事斯語矣。”,目，條件也。顔淵聞夫子之言，則於天理人欲之際，已判然矣，故不復有所疑問，而直請其條目也。非禮者，己之私也。勿者，禁止之辭。是人心之所以爲主，而勝私復禮之機也。私勝，則動容周旋無不中禮，而日用之間，莫非天理之流行矣。事，如事事之事。請事斯語，顔淵默識其理，又自知其力有以勝之，故直以爲己任而不疑也。,"안연(顔淵)이 “그 조목(條目)을 묻겠습니다.” 하고 말하자, 공자(孔子)께서 말씀하셨다. “예(禮)가 아니면 보지 말며, 예(禮)가 아니면 듣지 말며, 예(禮)가 아니면 말하지 말며, 예(禮)가 아니면 동(動)하지 마는 것이다.” 안연(顔淵)이 말하였다. “제[회(回)]가 비록 불민(不敏)하오나 청컨대 이 말씀을 종사하겠습니다.”","목(目)은 조목(條目)과 일이다. 안연(顔淵)은 부자(夫子)의 말씀을 들으니, 천리(天理)와 인욕(人慾)의 사이에 대해서 이미 판연히 분별되었다. 그러므로 다시 의문하는 바가 있지 않고 곧바로 그 조목을 청한 것이다. 비례(非禮)란 자기의 사욕(私慾)이다. 물(勿)이란 금지하는 말이다. 이것은 인심(人心)이 주장이 되어서 사욕(私慾)을 이겨 예(禮)에 돌아가는 바의 기틀인 것이다. 사욕(私慾)이 이겨지면 동용(動容)하고 주선(周旋)함에 예(禮)에 맞지 않음이 없어서 일상생활하는 사이에 천리(天理)의 유행(流行) 아님이 없을 것이다. 사(事)는 일에 종사한다는 사자(事字)와 같다. 청컨대 이 말씀을 종사하겠다는 것은 안연(顔淵)이 묵묵히 그 이치를 알고 또 자기의 능력이 이것을 충분히 이겨낼 수 있음을 스스로 알았다. 그러므로 곧바로 자신의 임무로 삼고 의심하지 않은 것이다."
,程子曰顔淵問克己復禮之目子曰非禮勿視非禮勿聽非禮勿言非禮勿動四者身之用也由乎中而應乎外制於外所以養其中也顔淵事斯語所以進於聖人後之學聖人者宜服膺而勿失也因箴以自警其視箴曰心兮本虛應物無迹操之有要視爲之則蔽交於前其中則遷制之於外以安其內克己復禮久而誠矣其聽箴曰人有秉彝本乎天性知誘物化遂亡其正卓彼先覺知止有定閑邪存誠非禮勿聽其言箴曰人心之動因言以宣發禁躁妄內斯靜專矧是樞機興戎出好吉凶榮辱惟其所召傷易則誕傷煩則支己肆物忤出悖來違非法不道欽哉訓辭其動箴曰哲人知幾誠之於思志士勵行守之於爲順理則裕從欲惟危造次克念戰兢自持習與性成聖賢同歸愚按此章問答乃傳授心法切要之言非至明不能察其幾非至健不能致其決故惟顔子得聞之而凡學者亦不可以不勉也程子之箴發明親切學者尤宜深玩,,程子曰：“顔淵問克己復禮之目，子曰，‘非禮勿視，非禮勿聽，非禮勿言，非禮勿動’，四者身之用也。由乎中而應乎外，制於外所以養其中也。顔淵事斯語，所以進於聖人。後之學聖人者，宜服膺而勿失也，因箴以自警。其視箴曰：‘心兮本虛，應物無迹。操之有要，視爲之則。蔽交於前，其中則遷。制之於外，以安其內。克己復禮，久而誠矣。’其聽箴曰：‘人有秉彝，本乎天性。知誘物化，遂亡其正。卓彼先覺，知止有定。閑邪存誠，非禮勿聽。’其言箴曰：‘人心之動，因言以宣。發禁躁妄，內斯靜專。矧是樞機，興戎出好，吉凶榮辱，惟其所召。傷易則誕，傷煩則支，己肆物忤，出悖來違。非法不道，欽哉訓辭！’其動箴曰‘哲人知幾，誠之於思；志士勵行，守之於爲。順理則裕，從欲惟危；造次克念，戰兢自持。習與性成，聖賢同歸。’”愚按：此章問答，乃傳授心法切要之言。非至明不能察其幾，非至健不能致其決。故惟顔子得聞之，而凡學者亦不可以不勉也。程子之箴，發明親切，學者尤宜深玩。,,"정자(程子)가 말씀하였다. “안연(顔淵)이 극기복례(克己復禮)의 조목(條目)을 묻자, 공자(孔子)께서 ‘예(禮)가 아니면 보지 말며, 예(禮)가 아니면 듣지 말며, 예(禮)가 아니면 말하지 말며, 예(禮)가 아니면 동하지 마는 것이다.’ 하셨다. 시(視)·청(聽)·언(言)·동(動) 이 네 가지는 몸의 용(用)인데 심중(心中)으로 말미암아 밖에 응하는 것이니, 밖에 제재함은 그 심중(心中)을 기르는 것이다. 안연(顔淵)이 이 말씀을 종사하였으니, 이 때문에 성인(聖人)에 나아간 것이다. 후세에 성인(聖人)을 배우는 자들은 마땅히 이것을 가슴속에 두고 잃지 말아야 할 것이다. 인하여 잠(箴)을 지어서 스스로 경계하노라. 그 시잠(視箴)에 말하였다. ‘마음이여! 본래 허(虛)하니, 사물을 응함에 자취가 없다. 마음을 잡는 데는 요점이 있으니, 보는 것이 그 법이 된다. 사물의 눈앞에 가리워 사귀면 그 마음은 그리로 옮겨가니, 이것을 밖에서 제재하여 그 안을 편안히 해야 한다. 극기복례(克己復禮)하면 오래할 경우 성(誠)[자연스럽게]하게 될 것이다.’ 그 청잠(聽箴)에 말하였다. ‘사람이 병이(秉彛)의 양심(良心)을 가지고 있음은 천성(天性)에 근본 하였으나 지(知)[욕심의 지각(知覺)]가 <물건에게> 유혹되고 물건과 동화하여 마침내 그 바름을 잃게 된다. 드높으신 저 선각자(先覺者)들은 그칠 데를 알아 정(定)함이 있었다. 사(邪)를 막고 성(誠)을 보존해서 예(禮)가 아니면 듣지 않으셨다.’ 그 언잠(言箴)에 말하였다. ‘인심(人心)의 동(動)함은 말로 인하여 베풀어지니, 말을 발할 때에 조급함과 경망함을 금하여야 안이 고요하고 전일(專一)해지는 것이다. 하물며 이 말은 몸의 추기(樞機)이니, 전쟁을 일으키기도 하고 우호(友好)를 내기도 한다. 길(吉)과 흉(凶), 영화(榮華)와 욕(辱)이 오직 그 <입이> 부르는 바이다. 너무 말을 쉽게 함에 상하면 허탄(虛誕)해지고, 너무 번거로움에 상하면 지리(支離)해지며, 자신이 <말을> 함부로 하면 남도 거슬리고, 나가는 말이 도리(道理)에 어그러지면 오는 말도 이치에 어그러지는 것이다. 법(法)이 아니면 말하지 말아서 훈계 말씀을 공경할지어다.’ 그 동잠(動箴)에 말하였다. ‘철인(哲人)은 기미(幾微)를 알아 생각할 때에 성실히 하고, 지사(志士)는 행실(行實)을 힘써 행위(行爲)에 지킨다. 천리(天理)를 순종하면 여유가 있고, 인욕(人慾)을 따르면 위험하니, 조차(造次)라도 능히 생각해서 전전긍긍(戰戰兢兢)하여 스스로 잡아라. 습관(習慣)이 천성(天性)과 더불어 이루어지면 성현(聖賢)과 함께 돌아갈 것이다.’” 내가 상고해 보건대, 이 장(章)의 문답(問答)은 바로 심법(心法)을 전수해 준 간절하고 요긴한 말씀이니, 지극히 총명한 사람이 아니면 그 기미를 살필 수 없고, 지극히 굳센 사람이 아니면 그 결단함을 이룰 수 없는 것이다. 그러므로 오직 안자(顔子)만이 이것을 얻어들을 수 있었는데, 모든 학자(學者)들도 또한 이것을 힘쓰지 않으면 안될 것이다. 정자(程子)의 잠(箴)이 발명하기를 매우 친절히 하였으니, 학자(學者)들은 더욱 깊이 음미해야 할 것이다."
仲弓問仁子曰出門如見大賓使民如承大祭己所不欲勿施於人在邦無怨在家無怨仲弓曰雍雖不敏請事斯語矣,敬以持己恕以及物則私意無所容而心德全矣內外無怨亦以其效言之使以自考也,仲弓問仁。子曰：“出門如見大賓，使民如承大祭。己所不欲，勿施於人。在邦無怨，在家無怨。”仲弓曰：“雍雖不敏，請事斯語矣。”,敬以持己，恕以及物，則私意無所容而心德全矣。內外無怨，亦以其效言之，使以自考也。,"중궁(仲弓)이 인(仁)을 묻자, 공자(孔子)께서 말씀하셨다. “문을 나갔을 때에는 큰손님을 뵈온 듯이 하며, 백성에게 일을 시킬 때에는 큰 제사(祭祀)를 받들 듯이 하고, 자신이 하고자 하지 않는 것을 남에게 베풀지 말아야 하니, 이렇게 하면 나라에 있어서도 원망함이 없으며, 집안에 있어서도 원망함이 없을 것이다.” 중궁(仲弓)이 말하였다. “제[옹(雍)]가 비록 불민(不敏)하오나 청컨대 이 말씀을 종사하겠습니다.”","경(敬)으로써 자기 몸을 갖고, 여(如)로써 남에게 미친다면 사의(私意)가 용납할 곳이 없어서 마음의 덕(德)이 온전해질 것이다. 안에서나 밖에서나 원망함이 없다는 것은 또한 그 효험으로써 말씀한 것이니, 스스로 상고하게 한 것이다."
,程子曰孔子言仁只說出門如見大賓使民如承大祭看其氣象便須心廣體胖動容周旋中禮唯謹獨便是守之之法或問出門使民之時如此可也未出門使民之時如之何曰此儼若思時也有諸中而後見於外觀其出門使民之時其敬如此則前乎此者敬可知矣非因出門使民然後有此敬也愚按克己復禮乾道也主敬行恕坤道也顔冉之學其高下淺深於此可見然學者誠能從事於敬恕之間而有得焉亦將無己之可克矣,,程子曰：“孔子言仁，只說出門如見大賓，使民如承大祭。看其氣象，便須心廣體胖，動容周旋中禮。唯謹獨，便是守之之法。”或問：“出門使民之時，如此可也；未出門使民之時，如之何？”曰：“此儼若思時也，有諸中而後見於外。觀其出門使民之時，其敬如此，則前乎此者敬可知矣。非因出門使民，然後有此敬也。”愚按：克己復禮，乾道也；主敬行恕，坤道也。顔、冉之學，其高下淺深，於此可見。然學者誠能從事於敬恕之間而有得焉，亦將無己之可克矣。,,"정자(程子)가 말씀하였다. “공자(孔子)께서 인(仁)을 말씀하실 적에 다만 문을 나갔을 때에는 큰손님을 뵈온 듯이 하고, 백성을 부릴 대에는 큰제사를 받들 듯이 하라고 말씀하셨으니, 그 기상(氣象)을 보면 모름지기 마음이 넓고 몸이 확 펴져서 동용(動容)하고 주선(周旋)함에 예(禮)에 맞아야 하니, 오직 근독(謹獨)이 바로 이것을 지켜내는 법이다.” 혹자가 묻기를 “문을 나가고 백성을 부릴 때에는 이와 같이 하는 것이 가(可)하거니와, 문을 나가지 않고 백성을 부리지 않을 때에는 어찌해야 합니까?” 하니, 정자(程子)가 대답하였다. “이것은 엄연(儼然)히 생각하는 것과 같이 해야 할 때인 것이다. 심중(心中)에 가지고 있은 뒤에야 외모에 나타나는 것이니, 문을 나가고 백성을 부릴 때에 그 공경(恭敬)함이 이와 같음을 본다면 이보다 앞서의 때에 경(敬)함을 알 수 있다. 문을 나가고 백성을 부림으로 인한 뒤에 이 경(敬)이 있는 것은 아니다.” 내가 상고해 보건대, 극기복례(克己復禮)는 건도(乾道)요, 경(敬)을 주장하고 서(恕)를 행함은 곤도(坤道)이다. 안자(顔子)와 염자(冉子)의 학문(學問)은 그 높고 낮음과 얕고 깊음을 여기에서 볼 수 있다. 그러나 배우는 자가 진실로 경(敬)과 서(恕)의 사이에서 종사하여 얻음이 있으면 또한 장차 이길 만한 사욕이 없게 될 것이다."
司馬牛問仁,司馬牛孔子弟子名犁向魋之弟,司馬牛問仁。,司馬牛，孔子弟子，名犁，向魋之弟。,"사마우(司馬牛)가 인(仁)을 묻자,","사마우(司馬牛)는 공자(孔子)의 제자(弟子)로, 이름은 리(犁)이니, 상퇴(向魋)의 아우이다."
子曰仁者其言也訒,認忍也難也仁者心存而不放故其言若有所忍而不易發蓋其德之一端也夫子以牛多言而躁故告之以此使其於此而謹之則所以爲仁之方不外是矣,子曰：“仁者其言也訒。”,認，忍也，難也。仁者心存而不放，故其言若有所忍而不易發，蓋其德之一端也。夫子以牛多言而躁，故告之以此。使其於此而謹之，則所以爲仁之方，不外是矣。,공자(孔子)께서 말씀하셨다. “인자(仁者)는 그 말함이 참아서 하는 것이다.”,"인(認)은 참는 것이며 어려워하는 것이다. 인자(仁者)는 마음이 보존되어 방심하지 않는다. 그러므로 그 말이 마치 참는 바가 있어서 쉽게 발하지 않는 듯하니, 이는 그 덕(德)의 일단(一端)인 것이다. 부자(夫子)께서는 사마우(司馬牛)가 말이 많고 조급하기 때문에 이것으로써 말씀해 주어서 그 이것[말]에 삼가게 하신 것이니, 그렇다면 인(仁)을 하는 방법도 여기에서 벗어나지 않는 것이다."
曰其言也認斯謂之仁矣乎子曰爲之難言之得無訒乎,牛意仁道至大不但如夫子之所言故夫子又告之以此蓋心常存故事不苟事不苟故其言自有不得而易者非强閉之而不出也楊氏曰觀此及下章再問之語牛之易其言可知,曰：“其言也認，斯謂之仁矣乎？”子曰：“爲之難，言之得無訒乎？”,牛意仁道至大，不但如夫子之所言，故夫子又告之以此。蓋心常存，故事不苟，事不苟，故其言自有不得而易者，非强閉之而不出也。楊氏曰：“觀此及下章再問之語，牛之易其言可知。”,"<사마우(司馬牛)가> 말하였다. “그 말하는 것을 참아서 하면 이 인(仁)이라 이를 수 있습니까?” 공자(孔子)께서 말씀하였다. “이것을 행하기가 어려우니, 말함에 참아서 하지 않을 수 있겠는가?”","사마우(司馬牛)의 뜻은 인(仁)의 도(道)가 지극히 커서 단지 부자(夫子)의 말씀한 바와 같을 뿐만이 아니라고 여겼다. 그러므로 부자(夫子)께서 다시 이것으로써 말씀해 주신 것이다. 마음이 항상 보존되었기 때문에 일이 구차하지 않고, 일이 구차하지 않기 때문에 그 말이 저절로 쉽게 할 수 없는 것이요, 억지로 입을 닫고서 말을 내지 않는 것은 아니다. 양씨(楊氏)가 말하였다. “이 장(章)과 및 아래 장(章)에 다시 물은 말을 관찰하면, 사마우(司馬牛)가 그 말을 쉽게 함을 알 수 있다.”"
,程子曰雖爲司馬牛多言故及此然聖人之言亦止此爲是愚謂牛之爲人如此若不告之以其病之所切而泛以爲仁之大槪語之則以彼之躁必不能深思以去其病而終無自以入德矣故其告之如此蓋聖人之言雖有高下大小之不同然其切於學者之身而皆爲入德之要則又初不異也讀者其致思焉,,程子曰：“雖爲司馬牛多言故及此，然聖人之言，亦止此爲是。”愚謂牛之爲人如此，若不告之以其病之所切，而泛以爲仁之大槪語之，則以彼之躁，必不能深思以去其病，而終無自以入德矣。故其告之如此。蓋聖人之言，雖有高下大小之不同，然其切於學者之身，而皆爲入德之要，則又初不異也。讀者其致思焉。,,"정자(程子)가 말씀하였다. “비록 사마우(司馬牛)가 말이 많기 때문에 이에 언급하신 것이나 성인(聖人)의 말씀은 또한 여기에만 그쳐도 옳은 것이다.” 내가 생각건대, 사마우(司馬牛)의 사람됨이 이와 같았으니, 만일 그에게 병통의 간절한 것으로써 말씀해 주지 않고, 범연히 인(仁)을 하는 대개(大槪)로써 말씀해 준다면, 저 조급한 성질로 깊이 생각하여 그 병통을 제거하지 못해서 끝내 어디로 말미암아 덕(德)에 들어갈 수가 없었을 것이다. 그러므로 그 말씀하기를 이와 같이 하신 것이다. 성인(聖人)의 말씀은 비록 고하(高下)와 대소(大小)의 같지 않음이 있으나, 그 배우는 자의 몸에 간절해서 모두 덕(德)에 들어가는 요점이 됨은 또한 애당초 차이가 없는 것이다. 독자(讀者)들은 그 생각을 지극히 해야 할 것이다."
司馬牛問君子子曰君子不憂不懼,向魋作亂牛常憂懼故夫子告之以此,司馬牛問君子。子曰：“君子不憂不懼。”,向魋作亂，牛常憂懼。故夫子告之以此。,"사마우(司馬牛)가 군자(君子)를 묻자, 공자(孔子)께서 말씀하셨다. “군자(君子)는 걱정하지 않으며 두려워하지 않는다.”","상퇴(向魋)가 난(亂)을 일으키니, 사마우(司馬牛)가 항상 근심하고 두려워하였다. 그러므로 부자(夫子)께서 말씀하시기를 이와 같이 하신 것이다."
