대문,주석,대문표점,주석표점,대문해석,주석해석
子路問政子曰先之勞之,蘇氏曰凡民之行以身先之則不令而行凡民之事以身勞之則雖勤不怨,子路問政。子曰：“先之，勞之。”,蘇氏曰：“凡民之行，以身先之，則不令而行。凡民之事，以身勞之，則雖勤不怨。”,"자로(子路)가 정사(政事)를 묻자, 공자(孔子)께서 말씀하셨다. “솔선할 것이며 부지런히 해야 한다.”","소씨(蘇氏)가 말하였다. “백성들이 행해야 할 것〔道理〕을 자신〔爲政者〕이 먼저 솔선하면 윗사람이 명령하지 않아도 행해지고, 백성들이 해야 할 일을 자신이 부지런히 애써 하면 백성들이 비록 수고롭더라도 <윗사람을> 원망하지 않는다.”"
請益曰無倦,吳氏曰勇者喜於有爲而不能持久故以此告之,請益。曰：“無倦。”,吳氏曰：“勇者喜於有爲而不能持久，故以此告之。”,"더 자세히 말씀해 주시기를 청하자, “게을리 하지 말아야 한다.” 하셨다.",오씨(吳氏)가 말하였다. “용맹스런 자는 일 하기를 좋아하나 오래 버티지 못한다. 그러므로 이것으로 말씀해 주신 것이다.”
,程子曰子路問政孔子旣告之矣及請益則曰無倦而已未嘗復有所告姑使之深思也,,程子曰：“子路問政，孔子旣告之矣。及請益，則曰‘無倦’而已。未嘗復有所告，姑使之深思也。”,,"정자(程子)가 말씀하였다. “자로(子路)가 정사(政事)를 묻자, 공자(孔子)께서 이미 말씀해 주셨고, 더 자세히 말씀해 주시기를 청하자, ‘게을리 하지 말라.’하셨을 뿐이요, 일찍이 다시 말씀해 주신 것이 없었으니, 이것은 우선 깊이 생각하게 하려고 하신 것이다.”"
仲弓爲季氏宰問政子曰先有司赦小過擧賢才,有司衆職也宰兼衆職然事必先之於彼而後考其成功則己不勞而事畢擧矣過失誤也大者於事或有所害不得不懲小者赦之則刑不濫而人心悅矣賢有德者才有能者擧而用之則有司皆得其人而政益修矣,仲弓爲季氏宰，問政。子曰：“先有司，赦小過，擧賢才。”,有司，衆職也。宰兼衆職，然事必先之於彼，而後考其成功，則己不勞而事畢擧矣。過，失誤也。大者於事或有所害，不得不懲；小者赦之，則刑不濫而人心悅矣。賢，有德者。才，有能者。擧而用之，則有司皆得其人而政益修矣。,"중궁(仲弓)이 계씨(季氏)의 가신(家臣)이 되어 정사(政事)를 묻자, 공자(孔子)께서 말씀하셨다. “유사(有司)에게 먼저 시키고 작은 허물을 용서해주며, 어진이와 유능한 이를 등용해야 한다.”","유사(有司)는 여러 가지 직책을 맡은 자이다. 가신〔宰〕은 여러 직책을 겸한다. 그러나 모든 일을 반드시 저〔有司〕들에게 먼저 시키고 뒤에 그 이룬 공적을 살핀다면, 자신은 수고롭지 않고서도 일이 모두 거행될 것이다. 과(過)는 실수로 잘못한 것이다. 큰 잘못은 일에 혹 해로운 바가 있으니 징계하지 않을 수 없거니와, 작은 허물은 용서해주면 형벌이 남용되지 않아 민심이 기뻐할 것이다. 현(賢)은 덕(德)이 있는 자요, 재(才)는 재능이 있는 자이니, 이들을 등용하여 쓰면 유사(有司)가 모두 적임자〔其人〕를 얻어 정사(政事)가 더욱 닦아지게 될 것이다."
曰焉知賢才而擧之曰擧爾所知爾所不知人其舍諸,仲弓慮無以盡知一時之賢才故孔子告之以此程子曰人各親其親然後不獨親其親仲弓曰焉知賢才而擧之子曰擧爾所知爾所不知人其舍諸便見仲弓與聖人用心之大小推此義則一心可以興邦一心可以喪邦只在公私之間爾,曰：“焉知賢才而擧之？”曰：“擧爾所知。爾所不知，人其舍諸？”,仲弓慮無以盡知一時之賢才，故孔子告之以此。程子曰：“人各親其親，然後不獨親其親。仲弓曰‘焉知賢才而擧之’、子曰：‘擧爾所知，爾所不知，人其舍諸’便見仲弓與聖人用心之大小。推此義，則一心可以興邦，一心可以喪邦，只在公私之間爾。”,"“어떻게 어진이와 유능한 이를 알아 등용합니까?” 하고 묻자, “네가 아는 자〔賢才〕를 등용하면 네가 미처 모르는 자를 남들이 내버려두겠느냐?” 하셨다.","중궁(仲弓)은 한 세상의 어진이와 유능한 이를 다 알 수 없을까 염려하였다. 그러므로 공자(孔子)께서 이것으로 말씀해 주신 것이다. 정자(程子)가 말씀하였다. “사람들은 각기 그 친척을 친히 하여야 한다. 그런 뒤에는 친척만을 친히 하지는 않는 것이다.” 중궁(仲弓)이 “어떻게 어진이와 유능한 이를 알아 등용합니까?” 하고 묻자, 공자(孔子)께서 네가 아는 현재(賢才)를 등용하면 네가 모르는 현재(賢才)를 사람들이 내버려두겠느냐?”라고 하셨으니, 중궁(仲弓)과 성인(聖人)의 마음씀에 크고 작음을 볼 수 있다. 이 뜻을 미루어 나간다면, 한 마음이 나라를 부흥시킬 수도 있고, 한 마음이 나라를 잃을 수도 있는 것이, 다만 공(公)과 사(私)의 사이에 달려 있을 따름이다.”"
,范氏曰不先有司則君行臣職矣不赦小過則下無全人矣不擧賢才則百職廢矣失此三者不可以爲季氏宰況天下乎,,范氏曰：“不先有司，則君行臣職矣；不赦小過，則下無全人矣；不擧賢才，則百職廢矣。失此三者，不可以爲季氏宰，況天下乎？”,,"범씨(范氏)가 말하였다. “유사(有司)에게 먼저 시키지 않으면 군주(君主)가 신하(臣下)의 일을 행하게 될 것이요, 작은 허물을 용서하지 않으면 아래에 온전한 사람이 없게 될 것이요, 어진이와 유능한 이를 등용하지 않으면 모든 직무가 마비될 것이니, 이 세 가지를 잃으면 계씨(季氏)의 가신(家臣)도 될 수 없는데, 하물며 천하(天下)를 다스림에 있어서랴!”"
子路曰衛君待子而爲政子將奚先,衛君謂出公輒也是時魯哀公之十年孔子自楚反乎衛,子路曰：“衛君待子而爲政，子將奚先？”,衛君，謂出公輒也。是時魯哀公之十年，孔子自楚反乎衛。,자로(子路)가 말하였다. “위(衛)나라 군주(君主)가 선생님을 기다려 정사를 하려고 하십니다. 선생께서는 장차 무엇을 우선하시렵니까?”,"위(衛)나라 군주(君主)는 출공(出公) 첩(輒)을 이른다. 이 때는 노(魯)나라 애공(哀公) 10년으로, 공자(孔子)는 초(楚)나라에서 위(衛)나라로 와 계셨다."
子曰必也正名乎,是時出公不父其父而禰其祖名實紊矣故孔子以正名爲先謝氏曰正名雖爲衛君而言然爲政之道皆當以此爲先,子曰：“必也正名乎！”,是時出公不父其父而禰其祖，名實紊矣，故孔子以正名爲先。謝氏曰：“正名雖爲衛君而言，然爲政之道，皆當以此爲先。”,공자(孔子)께서 대답하셨다. “반드시 명분을 바로잡겠다.”,"이 때 출공(出公)은 자기의 아버지를 아버지로 여기지 않고, 자기의 할아버지를 아비로 삼아, 명분(名分)과 실상(實狀)이 문란하였다. 그러므로 공자(孔子)께서 명분을 바로잡는 것을 우선으로 삼으신 것이다. 사씨(謝氏)가 말하였다. “명분을 바로잡는 일은 비록 위(衛)나라 군주(君主) 때문에 하신 말씀이나, 정사(政事)를 하는 도리는 모두 당연히 이것을 우선으로 삼아야 하는 것이다.”"
子路曰有是哉子之迂也奚其正,迂謂遠於事情言非今日之急務也,子路曰：“有是哉，子之迂也！奚其正？”,迂，謂遠於事情，言非今日之急務也。,자로(子路)가 말하였다. “이러하십니다. 선생님의 우활(迂闊)하심이여! 어떻게 바로잡을 수 있겠습니까?”,"우(迂)는 사정과 거리가 멂을 이름이니, 오늘날 급선무(急先務)가 아님을 말한 것이다."
子曰野哉由也君子於其所不知蓋闕如也,野謂鄙俗責其不能闕疑而率爾妄對也,子曰：“野哉由也！君子於其所不知，蓋闕如也。”,野，謂鄙俗。責其不能闕疑，而率爾妄對也。,공자(孔子)께서 말씀하셨다. “비속(鄙俗)하구나 유(由)여! 군자(君子)는 자기가 알지 못하는 것에는 말하지 않고 가만히 있는 것이다.,"야(野)는 비속(鄙俗)함을 이른다. 그가 의심스러운 것을 그대로 놓아두지〔闕疑〕 못하고, 경솔하게 함부로 대답함을 책망하신 것이다."
