대문,주석,대문표점,주석표점,대문해석,주석해석
憲問恥子曰邦有道穀邦無道穀恥也,憲原思名穀祿也邦有道不能有爲邦無道不能獨善而但知食祿皆可恥也憲之狷介其於邦無道穀之可恥固知之矣至於邦有道穀之可恥則未必知也故夫子因其問而幷言之以廣其志使知所以自勉而進於有爲也,憲問恥。子曰：“邦有道，穀；邦無道，穀，恥也。”,憲，原思名。穀，祿也。邦有道不能有爲，邦無道不能獨善，而但知食祿，皆可恥也。憲之狷介，其於邦無道穀之可恥，固知之矣；至於邦有道穀之可恥，則未必知也。故夫子因其問而幷言之，以廣其志，使知所以自勉，而進於有爲也。,"원헌(原憲)이 수치스러운 일을 물으니, 공자(孔子)께서 대답하셨다. “나라에 도(道)가 있을 때에 녹(祿)만 먹으며, 나라에 도(道)가 없을 때에 녹(祿)만 먹는 것이 수치스러운 일이다.”","헌(憲)은 원사(原思)의 이름이다. 곡(穀)은 녹(祿)이다. 나라에 도(道)가 있을 때에 훌륭한 일을 하지 못하고, 나라에 도(道)가 없을 때에 홀로 선(善)하게 하지 못하면서, 다만 녹(祿)을 먹을 줄만 아는 것은 모두 수치스러울 만한 일이다. 원헌(原憲)의 견개(狷介)〔志操〕는 나라에 도(道)가 없을 때에 녹(祿)을 먹는 것이 수치스러운 일이라는 것에 대해서는 진실로 알고 있었으나, 나라에 도(道)가 있을 때에 녹(祿)만 먹는 것이 수치스러운 일이라는 것에 대해서는 반드시 알지 못하였을 것이다. 그러므로 공자(孔子)께서 그의 질문을 인하여 이것까지 아울러 말씀하여, 그의 뜻을 넓혀서 스스로 힘쓸 바를 알게 하고 훌륭한 일을 할 수 있는 데 나아가게 하신 것이다."
克伐怨欲不行焉可以爲仁矣,此亦原憲以其所能而問也克好勝伐自矜怨忿恨欲貪欲,“克、伐、怨、欲不行焉，可以爲仁矣？”,此亦原憲以其所能而問也。克，好勝。伐，自矜。怨，忿恨。欲，貪欲。,"“이기기를 좋아하고 자기의 공로를 자랑하며, 원망하고 탐욕 함을 행해지지 않게 한다면 인(仁)이라고 말할 수 있습니까?”","이 또한 원헌(原憲)이 자신의 능한 것을 가지고 질문한 것이다. 극(克)은 이기기를 좋아하는 것이며, 벌(伐)은 스스로 자랑하는 것이며, 원(怨)은 분하게 여기고 원망하는 것이며, 욕(欲)은 탐욕이다."
子曰可以爲難矣仁則吾不知也,有是四者而能制之使不得行可謂難矣仁則天理渾然自無四者之累不行不足以言之也,子曰：“可以爲難矣，仁則吾不知也。”,有是四者而能制之，使不得行，可謂難矣。仁則天理渾然，自無四者之累，不行不足以言之也。,"공자(孔子)께서 말씀하셨다. “어렵다고 할 수는 있으나, 인(仁)인지는 내 알지 못하겠다.”","이 네 가지가 마음속에 있는데도 능히 제어하여 행해지지 못하게 한다면 어렵다고 할 수 있다. 인(仁)은 천리(天理)가 완전하여 저절로 네 가지의 누(累)가 없으니, 행해지지 못하게 하는 것은 굳이 말할 것이 못된다."
,程子曰人而無克伐怨欲惟仁者能之有之而能制其情使不行斯亦難能也謂之仁則未也此聖人開示之深惜乎憲之不能再問也或曰四者不行固不得爲仁矣然亦豈非所謂克己之事求仁之方乎曰克去己私以復乎禮則私欲不留而天理之本然者得矣若但制而不行則是未有拔去病根之意而容其潛藏隱伏於胸中也豈克己求仁之謂哉學者察於二者之間則其所以求仁之功益親切而無滲漏矣,,程子曰：“人而無克、伐、怨、欲，惟仁者能之。有之而能制其情使不行，斯亦難能也。謂之仁則未也。此聖人開示之深，惜乎憲之不能再問也。”或曰：“四者不行，固不得爲仁矣。然亦豈非所謂克己之事，求仁之方乎？”曰：“克去己私以復乎禮，則私欲不留，而天理之本然者得矣。若但制而不行，則是未有拔去病根之意，而容其潛藏隱伏於胸中也。豈克己求仁之謂哉？學者察於二者之間，則其所以求仁之功，益親切而無滲漏矣。”,,"정자(程子)가 말씀하였다. “사람으로서 이기기를 좋아하고 자신의 공로를 자랑하고, 원망하고 탐욕 하는 일이 없는 것은 오직 인자(仁者)만이 능할 수 있다. 이러한 것들이 마음속에 있는데도 그 정(情)을 제어하여 행해지지 못하게 한다면 이 또한 능하기 어려운 것이다. 그러나 인(仁)이라고 하기에는 부족하다. 이는 성인(聖人)이 열어 보여주기를 깊이 하신 것인데, 애석하게도 은헌(原憲)이 다시 묻지 못하였다. 혹자는 말하기를 ‘네 가지가 행해지지 못하게 하는 것은 진실로 인(仁)이라고는 할 수 없다. 그러나 이 또한 어찌 이른바 극기(克己)하는 일과 인(仁)을 구하는 방법이란 것이 아니겠는가?’하였다. 나는 다음과 같이 대답하였다. ‘자신의 사사로움을 이겨 버려서 예(禮)로 돌아간다면 사욕(私慾)이 남아있지 않아서 천리(天理)의 본연(本然)을 얻게 될 것이다. 그러나 만일 단지 제어하여 행해지지 못하게 할뿐이라면, 이는 병의 뿌리를 뽑아버리려는 뜻이 있지 아니하여 가슴속에 잠복시키는 것을 용납하는 행위이니, 어찌 극기(克己)와 구인(求仁)하는 것이라고 말할 수 있겠는가? 학자(學者)들이 이 두 가지 사이를 살펴본다면 그 인(仁)을 구하는 공부가 더욱 가깝고 절실하여 빠짐이 없게 될 것이다.’”"
子曰士而懷居不足以爲士矣,居謂意所便安處也,子曰：“士而懷居，不足以爲士矣。”,居，謂意所便安處也。,공자(孔子)께서 말씀하셨다. “선비로서 편안하기를 생각하면 선비라 할 수 없다.”,거(居)는 마음에 편안하게 여기는 것을 말한다.
子曰邦有道危言危行邦無道危行言孫,危高峻也孫卑順也尹氏曰君子之持身不可變也至於言則有時而不敢盡以避禍也然則爲國者使士言孫豈不殆哉,子曰：“邦有道，危言危行；邦無道，危行言孫。”,危，高峻也。孫，卑順也。尹氏曰：“君子之持身不可變也，至於言則有時而不敢盡，以避禍也。然則爲國者使士言孫，豈不殆哉？”,"공자(孔子)께서 말씀하셨다. “나라에 도(道)가 있을 때에는 말을 높게 하고 행실을 높게 하며, 나라에 도(道)가 없을 때에는 행실은 높게 하되 말은 공손하게 하여야 한다.”","위(危)는 높은 것이요, 손(孫)은 낮추고 순한 것이다. 윤씨(尹氏)가 말하였다. “군자(君子)의 몸가짐은 변할 수 없거니와 말에 이르러서는 때로는 감히 다하지 못하여 화(禍)를 피하여야 하는 경우가 있는 것이다. 그렇다면 나라를 다스리는 자가 선비로 하여금 말을 공손하게 하는 것이 어찌 위태롭지 않겠는가?”"
子曰有德者必有言有言者不必有德仁者必有勇勇者不必有仁,有德者和順積中英華發外能言者或便佞口給而已仁者心無私累見義必爲勇者或血氣之强而已,子曰：“有德者必有言，有言者不必有德；仁者必有勇，勇者不必有仁。”,有德者，和順積中，英華發外。能言者，或便佞口給而已。仁者，心無私累，見義必爲。勇者，或血氣之强而已。,"공자(孔子)께서 말씀하셨다. “덕(德)이 있는 자는 반드시 훌륭한 말을 하거니와, 훌륭한 말을 하는 자는 반드시 덕(德)이 있지는 못하다. 인자(仁者)는 반드시 용기가 있거니와, 용기가 있는 자는 반드시 인(仁)이 있지는 못하다.”","덕(德)이 있는 자는 화순(和順)이 심중(心中)에 쌓여서 아름다운 영화(榮華)가 밖으로 나타나거니와, 말을 잘하는 자는 간혹 입으로 말만 잘할 뿐일 수 있다. 인자(仁者)는 마음에 시루(私累)가 없어서 의(義)를 보면 반드시 행하거니와, 용기가 있는 자는 간혹 혈기(血氣)의 강함뿐일 수 있다."
,尹氏曰有德者必有言徒能言者未必有德也仁者志必勇徒能勇者未必有仁也,,尹氏曰：“有德者必有言，徒能言者未必有德也。仁者志必勇，徒能勇者未必有仁也。”,,"윤씨(尹氏)가 말하였다. “덕(德)이 있는 자는 반드시 훌륭한 말을 하지만, 한갓 말만 잘하는 자는 반드시 덕(德)이 있지는 못하며, 인자(仁者)는 뜻이 반드시 용감하지만, 한갓 용맹스럽기만 한 자는 반드시 인(仁)이 있지는 못하다.”"
南宮适問於孔子曰羿善射奡盪舟俱不得其死然禹稷躬稼而有天下夫子不答南宮适出子曰君子哉若人尙德哉若人,南宮适卽南容也羿有窮之君善射滅夏后相而簒其位其臣寒浞又殺羿而代之奡春秋傳作澆浞之子也力能陸地行舟後爲夏后少康所誅禹平水土曁稷播種身親稼穡之事禹受舜禪而有天下稷之後至周武王亦有天下适之意蓋以羿奡比當世之有權力者而以禹稷比孔子也故孔子不答然适之言如此可謂君子之人而有尙德之心矣不可以不與故俟其出而贊美之,南宮适問於孔子曰：“羿善射，奡盪舟，俱不得其死然；禹稷躬稼，而有天下。”夫子不答，南宮适出。子曰：“君子哉若人！尙德哉若人！”,南宮适，卽南容也。羿，有窮之君，善射，滅夏后相而簒其位。其臣寒浞又殺羿而代之。奡，春秋傳作“澆”，浞之子也，力能陸地行舟，後爲夏后少康所誅。禹平水土曁稷播種，身親稼穡之事。禹受舜禪而有天下，稷之後至周武王亦有天下。适之意蓋以羿奡比當世之有權力者，而以禹稷比孔子也。故孔子不答。然适之言如此，可謂君子之人，而有尙德之心矣，不可以不與。故俟其出而贊美之。,"남궁괄(南宮适)이 공자(孔子)께 묻기를 “예(羿)는 활을 잘 쏘았고, 오(奡)는 힘이 세어 육지에서 배를 끌고 다녔지만, 모두 제대로 죽지 못하였습니다. 그러나 우왕(禹王)과 직(稷)은 몸소 농사를 지었는데도 천하(天下)를 소유하셨습니다.” 하니, 공자(孔子)께서 대답하지 않으셨다. 남궁괄(南宮适)이 밖으로 나가자, 공자(孔子)께서 말씀하셨다. “군자(君子)로구나, 이 사람이여! 덕(德)을 숭상하는구나. 이 사람이여!”","남궁괄(南宮适)은 곧 남용(南容)이다. 예(羿)는 유궁(有窮)의 임금이니, 활을 잘 쏘았다. 하후(夏后) 상(相)을 멸망하고 왕위(王位)를 찬탈(簒奪)하였었는데, 그 신하 한착(寒浞)이 또 예(羿)를 죽이고 대신하였다. 오(奡)는 《춘추전(春秋傳)》에 요(澆)로 되어 있는데, 한착(寒浞)의 아들인데, 힘이 세어 능히 육지에서 배를 끌고 다녔으나, 뒤에 하후(夏后) 소강(小康)에게 죽임을 당하였다. 우왕(禹王)은 수토(水土)를 다스리고 직(稷)과 함께 씨앗을 뿌려 몸소 농사짓는 일을 하였는데, 우왕(禹王)은 순제(舜帝)의 선위(禪位)를 받아 천하(天下)를 소유하였고, 직(稷)의 후손도 주(周)나라 무왕(武王)에 이르러 또한 천하(天下)를 소유하였다. 남궁괄(南宮适)의 뜻은 예(羿)와 오(奡)를 당시의 권력가에게 비유하고, 우왕(禹王)과 직(稷)을 공자(孔子)에 비유하였다. 그러므로 공자(孔子)께서 대답하지 않으신 것이다. 그러나 남궁괄(南宮适)의 말이 이와 같으니, 군자(君子)다운 사람이어서 덕(德)을 숭상하는 마음이 있다고 할 만하니, 이것을 허여(許與)[인정]하지 않을 수 없다. 그러므로 그가 밖으로 나가기를 기다려 찬미(贊美)하신 것이다."
子曰君子而不仁者有矣夫未有小人而仁者也,謝氏曰君子志於仁矣然毫忽之間心不在焉則未免爲不仁也,子曰：“君子而不仁者有矣夫，未有小人而仁者也。”,謝氏曰：“君子志於仁矣，然毫忽之間，心不在焉，則未免爲不仁也。”,공자(孔子)께서 말씀하셨다. “군자(君子)로서 인(仁)하지 못한 자는 있어도 소인(小人)으로서 인(仁)한 자는 있지 않다.”,사씨(謝氏)가 말하였다. “군자(君子)는 인(仁)에 뜻을 둔다. 그러나 잠깐 사이라도 마음이 인(仁)에 있지 않으면 불인(不仁)을 면치 못하게 된다.”
