대문,주석,대문표점,주석표점,대문해석,주석해석
衛靈公問陳於孔子孔子對曰俎豆之事則嘗聞之矣軍旅之事未之學也明日遂行,陳謂軍師行伍之列俎豆禮器尹氏曰衛靈公無道之君也復有志於戰伐之事故答以未學而去之,衛靈公問陳於孔子。孔子對曰：“俎豆之事，則嘗聞之矣；軍旅之事，未之學也。”明日遂行。,陳，謂軍師行伍之列。俎豆，禮器。尹氏曰：“衛靈公，無道之君也，復有志於戰伐之事，故答以未學而去之。”,"위(衛)나라 영공(靈公)이 공자(孔子)에게 진법(陳法)을 묻자, 공자(孔子)께서는 “조두(俎豆)[제기(祭器)]에 대한 일은 일찍이 들었거니와, 군대에 관한 일은 배우지 못하였다.” 하시고, 다음날 마침내 떠나셨다.",진(陳)은 군사의 항오(行伍)에 대한 열(列)을 말한다. 조두(俎豆)는 예(禮)를 행할 때에 사용하는 기물(器物)이다. 윤씨(尹氏)가 말하였다. “위령공(衛靈公)은 무도(無道)한 군주인데 또 전쟁의 일에 뜻을 두었다. 그러므로 배우지 못하였다고 답하고 떠나신 것이다.”
在陳絶糧從者病莫能興,孔子去衛適陳興起也,在陳絶糧，從者病，莫能興。,孔子去衛適陳。興，起也。,"진(陳)나라에 있을 때에 양식이 떨어지니, 종자(從者)들이 병들어 일어나지 못하였다.",공자(孔子)께서 위(衛)나라를 떠나 진(陳)나라로 가셨다. 흥(興)은 일어남이다.
子路慍見曰君子亦有窮乎子曰君子固窮小人窮斯濫矣,何氏曰濫溢也言君子固有窮時不若小人窮則放溢爲非程子曰固窮者固守其窮亦通,子路慍見曰：“君子亦有窮乎？”子曰：“君子固窮，小人窮斯濫矣。”,何氏曰：“濫，溢也。言君子固有窮時，不若小人窮則放溢爲非。”程子曰：“固窮者，固守其窮。”亦通。,"자로(子路)가 성난 얼굴로 <공자(孔子)를> 뵙고, “군자(君子)도 궁할 때가 있습니까?” 하고 묻자, 공자(孔子)께서 말씀하셨다. “군자(君子)는 진실로 궁한 것이니, 소인(小人)은 궁하면 넘친다.”","하씨(何氏)가 말하였다. “남(濫)은 넘침이다. 군자(君子)는 진실로 궁할 때가 있으니, 소인(小人)이 궁하면 방일(放逸)하여 나쁜 짓을 하는 것과는 같지 않다.” 정자(程子)는 “고궁(固窮)이란 궁함을 굳데 지키는 것이다.” 하셨으니, 또한 통한다."
,愚謂聖人當行而行無所顧慮處困而亨無所怨悔於此可見學者宜深味之,,愚謂聖人當行而行，無所顧慮。處困而亨，無所怨悔。於此可見，學者宜深味之。,,"내가 생각건대, 성인(聖人)은 마땅히 떠나야 할 경우에는 떠나서 돌아보고 염려하는 바가 없고, 곤경에 처해서도 형통하여 원망하거나 후회하는 바가 없음을 여기에서 볼 수 있으니, 배우는 자들은 깊이 음미해야 한다."
子曰賜也女以予爲多學而識之者與,子貢之學多而能識矣夫子欲其知所本也故問以發之,子曰：“賜也，女以予爲多學而識之者與？”,子貢之學，多而能識矣。夫子欲其知所本也，故問以發之。,"공자(孔子)께서 말씀하시기를 “사(賜)야! 너는 내가 많이 배우고 그것을 기억하는 자라고 여기느냐?” 하시자,",자공(子貢)의 학문은 많이 배우고 그것을 잘 기억하였다. 부자(夫子)께서는 그 근본 되는 바를 알게 하고자 하셨다. 그러므로 물어서 꺼내신 것이다.
對曰然非與,方信而忽疑蓋其積學功至而亦將有得也,對曰：“然，非與？”,方信而忽疑，蓋其積學功至，而亦將有得也。,자공(子貢)이 대답하였다. “그렇습니다. 아닙니까?”,"막 믿고 있다가 갑자기 의심하였으니, 그 학문을 쌓은 공부가 지극하여 또한 장차 터득함이 있게 된 것이다."
曰非也予一以貫之,說見第四篇然彼以行言而此以知言也,曰：“非也，予一以貫之。”,說見第四篇。然彼以行言，而此以知言也。,공자(孔子)께서 말씀하셨다. “아니다. 나는 하나의 이치가 모든 사물을 꿰뚫은 것이다.”,"이것은 설명이 제4편에 보인다. 그러나 거기서는 행동으로써 말씀하셨고, 여기서는 지식으로써 말씀한 것이다."
,謝氏曰聖人之道大矣人不能遍觀而盡識宜其以爲多學而識之也然聖人豈務博者哉如天之於衆形匪物物刻而雕之也故曰予一以貫之德輶如毛毛猶有倫上天之載無聲無臭至矣尹氏曰孔子之於曾子不待其問而直告之以此曾子復深喩之曰唯若子貢則先發其疑而後告之而子貢終亦不能如曾子之唯也二子所學之淺深於此可見愚按夫子之於子貢屢有以發之而他人不與焉則顔曾以下諸子所學之淺深又可見矣,,謝氏曰：“聖人之道大矣，人不能遍觀而盡識，宜其以爲多學而識之也。然聖人豈務博者哉？如天之於衆形，匪物物刻而雕之也。故曰：‘予一以貫之。’‘德輶如毛，毛猶有倫。上天之載，無聲無臭。’至矣！”尹氏曰：“孔子之於曾子，不待其問而直告之以此，曾子復深喩之曰‘唯’。若子貢則先發其疑而後告之，而子貢終亦不能如曾子之唯也。二子所學之淺深，於此可見。”愚按：夫子之於子貢，屢有以發之，而他人不與焉。則顔曾以下諸子所學之淺深，又可見矣。,,"사씨(謝氏)가 말하였다. “성인(聖人)의 도(道)가 커서 사람들이 두루 보고 다 알 수 없으니, 당연히 많이 배우고서 그것을 기억하는 것이라고 여길 것이다. 그러나 성인(聖人)이 어찌 박학하기를 힘썼겠는가? 마치 하늘이 여러 형상에 대해서 물건마다 조각하여 만든 것이 아님과 같다. 그러므로 ‘나는 하나의 이치가 모든 사물을 꿰뚫는다.’고 말씀하신 것이다. <《시경(詩經)》에> ‘덕(德)은 가볍기가 터럭과 같다.’라 하였는데, 터럭은 오히려 비교할 데가 있거니와, <《시경(詩經)》에> ‘하늘의 일은 소리도 없고 냄새도 없다.’한 것과 같아야 지극한 것이다.” 윤씨(尹氏)가 말하였다. “공자(孔子)께서 증자(曾子)에 대해서는 그가 질문하기를 기다리지 않고 곧바로 이것〔一以貫之〕로써 말씀하셨는데, 증자(曾子)께서 다시 깊이 깨닫고 ‘예’하고 대답하셨다. 자공(子貢)으로 말하면 먼저 의문을 유발시킨 뒤에 말씀해 주셨는데도 자공(子貢)은 끝내 증자(曾子)의 ‘예’하고 대답한 것과 같이 할 수 없었으니, 두 사람의 학문의 깊고 얕음을 여기에서 볼 수 있다.” 내가 생각건대, 부자(夫子)께서 자공(子貢)에 대해서 여러 번 말씀해 주심이 있었으나, 다른 사람은 여기에 참여하지 못하였으니, 안자(顔子)·증자(曾子) 이하 여러 제자(弟子)들의 학문의 깊고 얕음을 또한 볼 수 있다."
子曰由知德者鮮矣,由呼子路之名而告之也德謂義理之得於己者非己有之不能知其意味之實也,子曰：“由！知德者鮮矣。”,由，呼子路之名而告之也。德，謂義理之得於己者。非己有之，不能知其意味之實也。,공자(孔子)께서 말씀하셨다. “유(由)야! 덕(德)을 아는 자가 드문 것이다.”,유(由)란 자로(子路)의 이름을 부르고 말씀하신 것이다. 덕(德)은 의리를 행하여 자기 몸에 얻은 것이니 자신이 덕행을 갖고 있지 않으면 그 의미의 실제를 알 수 없는 것이다.
,自第一章至此疑皆一時之言此章蓋爲慍見發也,,自第一章至此，疑皆一時之言。此章蓋爲慍見發也。,,제1장(第一章)(章)으로부터 여기까지는 모두 한 때의 말씀인 듯하다. 이 장(章)은 아마도 자로(子路)가 성난 얼굴로 뵈었기 때문에 말씀한 것인 듯하다.
