대문,주석,대문표점,주석표점,대문해석,주석해석
陽貨欲見孔子孔子不見歸孔子豚孔子時其亡也而往拜之遇諸塗,陽貨季氏家臣名虎嘗囚季桓子而專國政欲令孔子來見己而孔子不往貨以禮大夫有賜於士不得受於其家則往拜其門故瞰孔子之亡而歸之豚欲令孔子來拜而見之也,陽貨欲見孔子，孔子不見，歸孔子豚。孔子時其亡也，而往拜之，遇諸塗。,陽貨，季氏家臣，名虎。嘗囚季桓子而專國政。欲令孔子來見己，而孔子不往。貨以禮，大夫有賜於士，不得受於其家，則往拜其門。故瞰孔子之亡而歸之豚，欲令孔子來拜而見之也。,"양화(陽貨)가 공자(孔子)를 만나고자 하였으나, 공자(孔子)께서 만나주지 않으시자, 양화(陽貨)가 공자(孔子)에게 삶은 돼지를 선물로 보내주니, 공자(孔子)께서도 그가 없는 틈을 타 사례하러 가시다가 길에서 마주치셨다.","양화(陽貨)는 계씨(季氏)의 가신(家臣)이니, 이름은 호(虎)이다. 일찍이 계환자(季桓子)를 가두고 나라의 정사를 전횡하였었다. 그는 공자(孔子)로 하여금 찾아와서 자기를 만나게 하려고 하였으나, 공자(孔子)께서 가지 않으셨다. 양화(陽貨)는 예(禮)에 대부(大夫)가 사(士)에게 선물을 하거든 사(士)가 자기 집에서 직접 받지 못하였을 경우에는 대부(大夫)의 집에 찾아가 사례하여야 한다 하였으므로 공자(孔子)가 계시지 않은 틈을 엿보고서 삶은 돼지를 선물하여 공자(孔子)로 하여금 사례하러 오게 한 뒤 공자(孔子)를 만나려고 하였던 것이다."
謂孔子曰來予與爾言曰懷其寶而迷其邦可謂仁乎曰不可好從事而亟失時可謂知乎曰不可日月逝矣歲不我與孔子曰諾吾將仕矣,懷寶迷邦謂懷藏道德不救國之迷亂亟數也失時謂不及事幾之會將者且然而未必之辭貨語皆譏孔子而諷使速仕孔子固未嘗如此而亦非不欲仕也但不仕於貨耳故直據理答之不復與辯若不諭其意者,謂孔子曰：“來！予與爾言。”曰：“懷其寶而迷其邦，可謂仁乎？”曰：“不可。”“好從事而亟失時，可謂知乎？”曰：“不可。”“日月逝矣，歲不我與。”孔子曰：“諾。吾將仕矣。”,懷寶迷邦，謂懷藏道德，不救國之迷亂。亟，數也。失時，謂不及事幾之會。將者，且然而未必之辭。貨語皆譏孔子而諷使速仕。孔子固未嘗如此，而亦非不欲仕也，但不仕於貨耳。故直據理答之，不復與辯，若不諭其意者。,"공자(孔子)에게 말하기를 “이리 오시오. 내가 그대와 말을 하겠오. 훌륭한 보배를 품고서 나라를 어지럽게 버려두는 것을 인(仁)이라고 할 수 있겠습니까?” 하니, 공자(孔子)께서 “그렇다고 할 수 없습니다.” 하셨다. 양화(陽貨)가 “종사(從事)하기를 좋아하면서 자주 때를 놓치는 것을 지(知)라고 할 수 있겠습니까?” 하니, 공자(孔子)께서 “그렇다고 할 수 없습니다.” 하셨다. 양화(陽貨)가 “해와 달이 흘러가니, 세월은 나를 위하여 기다려 주지 않습니다.” 하니, 공자(孔子)께서 “알았습니다. 나는 장차 벼슬을 할 것입니다.” 하셨다.","보배를 품고서 나라를 어지럽게 한다는 것은 도덕(道德)을 간직하고서도 나라의 어지러움을 구원하지 않는 것이다. 기(亟)는 자주이다. 때를 놓친다는 것은 일의 기회에 미치지 못하는 것을 말한다. 장(將)은 앞으로 그렇게 하려고 하지만 꼭 기필 하지는 않는다는 말이다. 양화(陽貨)의 말은 모두 공자(孔子)를 풍자하여 넌지시 공자(孔子)로 하여금 속히 벼슬하게 하려고 한 것이다. 공자(孔子)는 진실로 일찍이 본래 양화(陽貨)의 말과 같지 않으셨으며, 또한 벼슬하고자 하지 않은 것도 아니었다. 다만 양화(陽貨)에게 벼슬하지 않으셨을 뿐이다. 그러므로 이치대로만 대답하고 다시 그와 변론하지 않으시어 그의 뜻을 깨닫지 못한 것처럼 하신 것이다."
,陽貨之欲見孔子雖其善意然不過欲使助己爲亂耳故孔子不見者義也其往拜者禮也必時其亡而往者欲其稱也遇諸塗而不避者不終絶也隨問而對者理之直也對而不辯者言之孫而亦無所詘也楊氏曰揚雄謂孔子於陽貨也敬所不敬爲詘身以信道非知孔子者蓋道外無身身外無道身詘矣而可以信道吾未之信也,,陽貨之欲見孔子，雖其善意，然不過欲使助己爲亂耳。故孔子不見者，義也。其往拜者，禮也。必時其亡而往者，欲其稱也。遇諸塗而不避者，不終絶也。隨問而對者，理之直也。對而不辯者，言之孫而亦無所詘也。楊氏曰：“揚雄謂孔子於陽貨也，敬所不敬，爲詘身以信道。非知孔子者。蓋道外無身，身外無道。身詘矣而可以信道，吾未之信也。”,,"양화(陽貨)가 공자(孔子)를 만나고자 한 것은 비록 좋은 뜻이었으나 공자(孔子)로 하여금 자기를 도와 난(亂)을 하려는 데에 불과하였을 뿐이다. 그러므로 공자(孔子)께서 만나주지 않은 것은 의(義)이며, 찾아가서 사례한 것은 예(禮)이다. 반드시 양화(陽貨)가 없는 틈을 타서 찾아간 것은 양화(陽貨)의 행동에 맞추고자 한 것이며, 길에서 마주쳤을 때 피하지 않은 것은 끝까지 끊어버리지 않으신 것이다. 질문에 따라서 대답한 것은 이치의 바름이며, 대답만 하고 변론하지 않은 것은, 말씀을 공손하게 하되 역시 굽히신 바가 없는 것이다. 양씨(楊氏)가 말하였다. “양웅(揚雄)은 ‘공자(孔子)가 양화(陽貨)에게 공경하지 않을 사람을 공경하셨으니, 이는 몸을 굽혀서 도(道)를 펴려고 하셨기 때문이었다.’하였으니, 공자(孔子)를 아는 사람이 아니다. 도(道) 이외에 몸이 따로 없고 몸 밖에 도(道)가 따로 없는 것이니, 몸이 굽혀지고서 도(道)를 펼 수 있다는 말을 나는 믿지 못한다.”"
子曰性相近也習相遠也,此所謂性兼氣質而言者也氣質之性固有美惡之不同矣然以其初而言則皆不甚相遠也但習於善則善習於惡則惡於是始相遠耳,子曰：“性相近也，習相遠也。”,此所謂性，兼氣質而言者也。氣質之性，固有美惡之不同矣。然以其初而言，則皆不甚相遠也。但習於善則善，習於惡則惡，於是始相遠耳。,공자(孔子)께서 말씀하셨다. “성품(性稟)은 서로 비슷하나 습관(習慣)에 의하여 서로 멀어지게 된다.”,"여기에서 말한 성(性)은 기질(氣質)을 겸하여 말한 것이다. 기질(氣質)의 성(性)이 본래 좋고 나쁜 차이가 있으나 그 처음을 가지고 말한다면 모두 서로 크게 멀지 않으나, 다만 선(善)에 습관이 되면 선해지고 악(惡)에 습관이 되면 악해지는 것이니, 여기에서 비로소 서로 멀어지게 되는 것이다."
,程子曰此言氣質之性非言性之本也若言其本則性卽是理理無不善孟子之言性善是也何相近之有哉,,程子曰：“此言氣質之性。非言性之本也。若言其本，則性卽是理，理無不善，孟子之言性善是也。何相近之有哉？”,,"정자(程子)가 말씀하였다. “이것은 기질지성(氣質之性)을 말한 것이요, 본연지성(本然之性)을 말한 것이 아니다. 그 근본으로 말하면 성(性)은 곧 이(理)요, 이(理)는 선(善)하지 않음이 없으니, 맹자(孟子)께서 말씀하신 성선(性善)이 바로 이것이다. 어찌 서로 비슷하다는 말이 있을 수 있겠는가?”"
子曰唯上知與下愚不移,此承上章而言人之氣質相近之中又有美惡一定而非習之所能移者,子曰：“唯上知與下愚不移。”,此承上章而言。人之氣質相近之中，又有美惡一定，而非習之所能移者。,공자(孔子)께서 말씀하셨다. “오직 지극히 지혜로운 자〔上智〕와 어리석은 자〔下愚〕는 변화시킬 수 없다.”,이것은 위 장(章)을 이어서 사람의 기질(氣質)이 서로 비슷한 가운데에도 좋고 나쁨의 일정함이 있어서 습관으로 변화시킬 수 있는 것이 아님을 말씀한 것이다.
,程子曰人性本善有不可移者何也語其性則皆善也語其才則有下愚之不移所謂下愚有二焉自暴自棄也人苟以善自治則無不可移雖昏愚之至皆可漸磨而進也惟自暴者拒之以不信自棄者絶之以不爲雖聖人與居不能化而入也仲尼之所謂下愚也然其質非必昏且愚也往往强戾而才力有過人者商辛是也聖人以其自絶於善謂之下愚然考其歸則誠愚也或曰此與上章當合爲一子曰二字蓋衍文耳,,程子曰：“人性本善，有不可移者何也？語其性則皆善也，語其才則有下愚之不移。所謂下愚有二焉：自暴自棄也。人苟以善自治，則無不可移，雖昏愚之至，皆可漸磨而進也。惟自暴者拒之以不信，自棄者絶之以不爲，雖聖人與居，不能化而入也，仲尼之所謂下愚也。然其質非必昏且愚也，往往强戾而才力有過人者，商辛是也。聖人以其自絶於善，謂之下愚，然考其歸則誠愚也。”或曰：“此與上章當合爲一，子曰二字，蓋衍文耳。”,,"정자(程子)가 말씀하였다. “사람의 성(性)이 본래 선(善)한데, 변화시킬 수 없는 것이 있음은 무슨 까닭인가? 그 성(性)을 말한다면 모두 선(善)하거니와 그 재(才)를 말한다면 하우(下愚)로서 변화시킬 수 없는 자가 있다는 것이다. 이른바 하우(下愚)는 두 종류가 있으니, 자포(自暴)하는 자와 자기(自棄)하는 자이다. 사람이 진실로 선(善)으로써 자신을 다스린다면 변화시키지 못할 것이 없으니, 아무리 어리석은 자라 하더라도 모두 차츰 연마하여 나아갈 수 있는 것이다. 다만 자포(自暴)하는 자는 선(善)을 막아서 믿지 않고, 자기(自棄)하는 자는 선(善)을 끊어 버려 행하지 않으니, 비록 성인(聖人)과 함께 거처하더라도 변화하여 들어갈 수 없다.이것이 바로 공자(孔子)께서 말씀하신 하우(下愚)이다. 그러나 그 기질(氣質)이 반드시 어둡고 어리석지만은 않으며, 왕왕 매우 억세어서 재력(才力)이 남보다 뛰어난 자가 있으니, 상신(商辛)이 그런 사람이다. 성인(聖人)께서는 자기 스스로 선(善)을 거절한다 하여 하우(下愚)라고 하셨다. 그러나, 그 귀결을 살펴보면 참으로 어리석은 것이다.” 혹자는 말하였다. “이 장(章)은 위 장(章)과 합하여 마땅히 한 장(章)으로 만들어야 한다. 자왈(子曰) 두 글자는 아마도 연문(衍文)일 것이다.”"
子之武城聞弦歌之聲,弦琴瑟也時子游爲武城宰以禮樂爲敎故邑人皆弦歌也,子之武城，聞弦歌之聲。,弦，琴瑟也。時子游爲武城宰，以禮樂爲敎，故邑人皆弦歌也。,공자(孔子)께서 무성(武城)에 가시어 현악(弦樂)에 맞추어 부르는 노랫소리를 들으셨다.,현(弦)은 거문고와 비파이다. 이 때에 자유(子游)가 무성(武城)의 읍재(邑宰)가 되어 예악(禮樂)을 가르쳤기 때문에 고을 사람들이 모두 현악(弦樂)에 맞추어 노래를 부른 것이다.
夫子莞爾而笑曰割鷄焉用牛刀,莞爾小笑貌蓋喜之也因言其治小邑何必用此大道也,夫子莞爾而笑，曰：“割鷄焉用牛刀？”,莞爾，小笑貌，蓋喜之也。因言其治小邑，何必用此大道也。,"부자(夫子)께서 빙그레 웃으시며 말씀하셨다. “닭을 잡는 데, 어찌 소 잡는 칼을 쓰느냐?”","완이(莞爾)는 빙그레 웃는 모습이니, 기뻐하신 것이다. 인하여 작은 고을을 다스리는 데 어찌 이런 대도(大道)를 쓸 필요가 있느냐고 말씀하신 것이다."
子游對曰昔者偃也聞諸夫子曰君子學道則愛人小人學道則易使也,君子小人以位言之子游所稱蓋夫子之常言言君子小人皆不可以不學故武城雖小亦必敎以禮樂,子游對曰：“昔者偃也聞諸夫子曰：‘君子學道則愛人，小人學道則易使也。’”,君子小人，以位言之。子游所稱，蓋夫子之常言。言君子小人，皆不可以不學。故武城雖小，亦必敎以禮樂。,자유(子游)가 대답하였다. “예전에 제가 선생님께 듣자오니 ‘군자(君子)가 도(道)를 배우면 사람을 사랑하고 소인(小人)이 도(道)를 배우면 부리기가 쉽다.’하셨습니다.”,"군자(君子)와 소인(小人)은 지위를 가지고 말한 것이다. 자유(子游)가 말한 것은 아마도 공자(孔子)께서 항상 하시던 말씀일 것이니, 군자(君子)와 소인(小人)이 모두 배우지 않아서는 안되므로 무성(武城)이 작은 고을이지만 반드시 예악(禮樂)으로써 가르친다는 것이다."
