대문,주석,대문표점,주석표점,대문해석,주석해석
微子去之箕子爲之奴比干諫而死,微箕二國名子爵也微子紂庶兄箕子比干紂諸父微子見紂無道去之以存宗祀箕子比干皆諫紂殺比干囚箕子以爲奴箕子因佯狂而受辱,微子去之，箕子爲之奴，比干諫而死。,微、箕，二國名。子，爵也。微子，紂庶兄。箕子、比干，紂諸父。微子見紂無道，去之以存宗祀。箕子、比干皆諫，紂殺比干，囚箕子以爲奴，箕子因佯狂而受辱。,미자(微子)는 떠나가고 기자(箕子)는 종이 되고 비간(比干)은 간(諫)하다가 죽었다.,"미(微)와 기(箕)는 두 나라 이름이다. 자(子)는 작위(爵位)이다. 미자(微子)는 주왕(紂王)의 서형(庶兄)이고, 기자(箕子)와 비간(比干)은 주왕(紂王)의 제부(諸父)[숙부(叔父)]이다. 미자(微子)는 주왕(紂王)이 무도(無道)한 것을 보고 떠나가서 종사(宗祀)를 보존하였으며, 기자(箕子)와 비간(比干)은 모두 간(諫)하니 주왕(紂王)이 비간(比干)을 죽이고 기자(箕子)를 가두어 종을 삼았다. 기자(箕子)는 인하여 거짓 미친 체하고 욕을 받았다."
孔子曰殷有三仁焉,三人之行不同而同出於至誠惻怛之意故不咈乎愛之理而有以全其心之德也楊氏曰此三人者各得其本心故同謂之仁,孔子曰：“殷有三仁焉。”,三人之行不同，而同出於至誠惻怛之意，故不咈乎愛之理，而有以全其心之德也。楊氏曰：“此三人者，各得其本心，故同謂之仁。”,공자(孔子)께서 말씀하셨다. “은(殷)나라에 세 인자(仁者)가 있었다.,세 사람의 행동은 같지 않으나 똑같이 지성스럽고 측달(惻怛)[비우(悲憂)]한 뜻에서 나왔다. 그러므로 사랑의 이치〔仁〕에 어긋나지 않아 마음의 덕(德)을 온전히 할 수 있었다. 양씨(楊氏)가 말하였다. “이 세 사람은 각각 그 본심(本心)을 얻었다. 그러므로 똑같이 인자(仁者)라고 이르신 것이다.”
柳下惠爲士師三黜人曰子未可以去乎曰直道而事人焉往而不三黜枉道而事人何必去父母之邦,士師獄官黜退也柳下惠三黜不去而其辭氣雍容如此可謂和矣然其不能枉道之意則有確乎不可拔者是則所謂必以其道而不自失焉者也,柳下惠爲士師，三黜。人曰：“子未可以去乎？”曰：“直道而事人，焉往而不三黜？枉道而事人，何必去父母之邦。”,士師，獄官。黜，退也。柳下惠三黜不去，而其辭氣雍容如此，可謂和矣。然其不能枉道之意，則有確乎不可拔者。是則所謂必以其道，而不自失焉者也。,"유하혜(柳下惠)가 사사(士師)가 되어 세 번 내침을 당하자, 혹자가 말하기를 “그대는 아직 떠날 만 하지 않은가?” 하니, 다음과 같이 대답하였다. “도(道)를 곧게 하여 사람을 섬기면 어디를 간들 세 번 내침을 당하지 않겠으며, 도(道)를 굽혀 사람을 섬긴다면 어찌 굳이 부모(父母)의 나라〔故國〕를 떠나겠는가?”","사사(士師)는 옥관(獄官)이다. 출(黜)은 내치는 것이다. 유하혜(柳下惠)가 세 번 내침을 당하여도 떠나지 않고 그의 사기(辭氣)[말의 억양]가 화(和)함이 이와 같았으니, 화(和)하다고 이를 만하다. 그러나 그 도(道)를 굽힐 수 없는 뜻은 확고하여 빼앗을 수 없음이 있으니, 이것이 이른바 반드시 정도(正道)로써 하여 스스로 그 바름을 잃지 않았다는 것이다."
,胡氏曰此必有孔子斷之之言而亡之矣,,胡氏曰：“此必有孔子斷之之言而亡之矣。”,,"호씨(胡氏)가 말하였다. “여기에는 반드시 공자(孔子)께서 단정하신 말씀이 있을 것인데, 없어졌다.”"
齊景公待孔子曰若季氏則吾不能以季孟之間待之曰吾老矣不能用也孔子行,魯三卿季氏最貴孟氏爲下卿孔子去之事見世家然此言必非面語孔子蓋自以告其臣而孔子聞之爾,齊景公待孔子，曰：“若季氏則吾不能，以季、孟之間待之。”曰：“吾老矣，不能用也。”孔子行。,魯三卿，季氏最貴，孟氏爲下卿。孔子去之，事見世家。然此言必非面語孔子，蓋自以告其臣，而孔子聞之爾。,"제(齊)나라 경공(景公)이 공자(孔子)를 대우하며 말하기를 “계씨(季氏) 같이는 내 능히 대우하지 못하겠거니와 계씨(季氏)와 맹씨(孟氏)의 중간 정도로 대우하겠다.” 하고는 “내 늙었으니, <그의 말을> 쓰지 못하겠다.” 하자, 공자(孔子)께서 떠나셨다.","노(魯)나라 삼경(三卿) 중에 계씨(季氏)가 가장 귀(貴)하였고 맹씨(孟氏)가 하경(下卿)이 되었다. 공자(孔子)께서 떠나신 일은 《사기(史記)》〈세가(世家)〉에 보인다. 그러나 이 말은 반드시 공자(孔子)를 대면하여 한 말이 아니요, 스스로 그 신하에게 말한 것인데, 공자(孔子)께서 들으신 것이다."
,程子曰季氏强臣君待之之禮極隆然非所以待孔子也以季孟之間待之則禮亦至矣然復曰吾老矣不能用也故孔子去之蓋不繫待之輕重特以不用而去爾,,程子曰：“季氏强臣，君待之之禮極隆，然非所以待孔子也。以季、孟之間待之，則禮亦至矣。然復曰：‘吾老矣不能用也’，故孔子去之。蓋不繫待之輕重，特以不用而去爾。”,,"정자(程子)가 말씀하였다. “계씨(季氏)는 강력한 신하이니, 임금이 그를 대우하는 예(禮)가 지극히 융숭했을 것이다. 그러나 공자(孔子)를 대우한 것은 아니요, 계씨(季氏)와 맹씨(孟氏)의 중간으로 대우한다면 예우가 또한 지극한 것이다. 그러나 다시 ‘내가 늙었으니 능히 쓰지 못하겠다.’하였다. 그러므로 공자(孔子)께서 떠나신 것이다. 이는 대우의 경중(輕重)에 달려 있는 것이 아니요, 다만 쓰지 못하겠기 때문에 떠나셨을 뿐이다.”"
齊人歸女樂季桓子受之三日不朝孔子行,季桓子魯大夫名斯按史記定公十四年孔子爲魯司寇攝行相事齊人懼歸女樂以沮之尹氏曰受女樂而怠於政事如此其簡賢棄禮不足與有爲可知矣夫子所以行也所謂見幾而作不俟終日者與,齊人歸女樂，季桓子受之。三日不朝，孔子行。,季桓子，魯大夫，名斯。按史記，“定公十四年，孔子爲魯司寇，攝行相事。齊人懼，歸女樂以沮之”。尹氏曰：“受女樂而怠於政事如此，其簡賢棄禮，不足與有爲可知矣。夫子所以行也，所謂見幾而作，不俟終日者與？”,"제(齊)나라 사람이 여악(女樂)[미녀(美女)의 악공(樂工)]을 보내니, 계환자(季桓子)가 그것을 받고 3일(日)을 조회(朝會)하지 않자, 공자(孔子)께서 떠나셨다.","계환자(季桓子)는 노(魯)나라 대부(大夫)이니 이름은 사(斯)이다. 《사기(史記)》를 상고해 보면, 정공(定公) 14년에 공자(孔子)께서 노(魯)나라 사구(司寇)가 되시어 정승의 일을 섭행(攝行)하시니, 제(齊)나라 사람이 두려워하여 여악(女樂)을 보내어 저지하였다. 윤씨(尹氏)가 말하였다. “여악(女樂)을 받고 정사(政事)에 태만한 것이 이와 같았으니, 어진이를 소홀히 하고 예(禮)를 버려 족히 더불어 <큰 일을> 할 수 없음을 알 수 있다. 부자(夫子)께서 이 때문에 떠나신 것이니, 이른바 기미(幾微)를 보고 일어나서[떠나서] 종일을 기다리지 않았다는 것이다.”"
,范氏曰此篇記仁賢之出處而折中以聖人之行所以明中庸之道也,,范氏曰：“此篇記仁賢之出處，而折中以聖人之行，所以明中庸之道也。”,,"범씨(范氏)가 말하였다. “이 편(篇)은 인자(仁者)와 현자(賢者)의 출처(出處)를 기록하고 성인(聖人)이 행실로써 절충하였으니, 중용(中庸)의 도(道)를 밝힌 것이다.”"
楚狂接輿歌而過孔子曰鳳兮鳳兮何德之衰往者不可諫來者猶可追已而已而今之從政者殆而,接輿楚人佯狂避世夫子時將適楚故接輿歌而過其車前也鳳有道則見無道則隱接輿以比孔子而譏其不能隱爲德衰也來者可追言及今尙可隱去已止也而語助辭殆危也接輿蓋知尊夫子而趨不同者也,楚狂接輿歌而過孔子曰：“鳳兮！鳳兮！何德之衰？往者不可諫，來者猶可追。已而，已而！今之從政者殆而！”,接輿，楚人，佯狂避世。夫子時將適楚，故接輿歌而過其車前也。鳳有道則見，無道則隱，接輿以比孔子，而譏其不能隱爲德衰也。來者可追，言及今尙可隱去。已，止也。而，語助辭。殆，危也。接輿蓋知尊夫子而趨不同者也。,"초(楚)나라 광인(狂人)인 접여(接輿)가 공자(孔子) 앞을 지나며 노래하였다. “봉(鳳)이여, 봉(鳳)이여! 어찌 덕(德)이 쇠하였는가? 지나간 것은 간(諫)할 수 없거니와 오는 것은 오히려 따를 수 있으니, 그만둘지어다. 그만둘지어다! 오늘날 정사(政事)에 종사하는 자들은 위험하다.”","접여(接輿)는 초(楚)나라 사람이니, 거짓 미친 체하여 세상을 피하였다. 부자(夫子)께서 이때 장차 초(楚)나라로 가려 하셨다. 그러므로 접여(接輿)가 노래하며 그 수레 앞을 지나간 것이다. 봉(鳳)은 도(道)가 있으면 나타나고 도(道)가 없으면 숨는다. 접여(接輿)는 봉황으로써 공자(孔子)에게 비유하고 그 숨지 못함은 덕(德)이 쇠했기 때문이라고 기롱한 것이다. 오는 것은 따를 수 있다는 것은 지금이라도 오히려 숨을 수 있다는 것이다. 이(已)는 그만두는 것이요, 이(而)는 어조사(語助辭)이다. 태(殆)는 위험한 것이다. 접여(接輿)는 공자(孔子)를 존경할 줄은 알았으나 취향이 같지 않은 자이다."
孔子下欲與之言趨而辟之不得與之言,孔子下車蓋欲告之以出處之意接輿自以爲是故不欲聞而辟之也,孔子下，欲與之言。趨而辟之，不得與之言。,孔子下車，蓋欲告之以出處之意。接輿自以爲是，故不欲聞而辟之也。,"공자(孔子)께서 수레에서 내리시어 더불어 말하려고 하셨는데, 빨리 걸어 피하므로 함께 말씀하시지 못하였다.","공자(孔子)가 수레에서 내리신 것은 그에게 출처(出處)하는 뜻을 말씀해 주려고 해서였는데, 접여(接輿)가 스스로 옳다고 여겼다. 그러므로 들으려고 하지 않고 피한 것이다."
