대문,주석,대문표점,주석표점,대문해석,주석해석
子張曰士見危致命見得思義祭思敬喪思哀其可已矣,致命謂委致其命猶言授命也四者立身之大節一有不至則餘無足觀故言士能如此則庶乎其可矣,子張曰：“士見危致命，見得思義，祭思敬，喪思哀，其可已矣。”,致命，謂委致其命，猶言授命也。四者立身之大節，一有不至，則餘無足觀。故言士能如此，則庶乎其可矣。,"자장(子張)이 말하였다. “선비가 위태로움을 보고 목숨을 바치며, 이득(利得)을 보고 의(義)를 생각하며, 제사(祭祀)에 공경(恭敬)함을 생각하며, 상사(喪事)에 슬픔을 생각한다면 괜찮다.”","치명(致命)은 목숨을 바침을 이르니 수명(授命)이란 말과 같다. 이 네 가지는 몸을 세우는 큰 일이니, 한 가지라도 지극하지 못함이 있으면 그 나머지는 족히 볼 것이 없다. 그러므로 선비가 이와 같이 할 수 있다면 거의 괜찮다고 말한 것이다."
子張曰執德不弘信道不篤焉能爲有焉能爲亡,有所得而守之太狹則德孤有所聞而信之不篤則道廢焉能爲有亡猶言不足爲輕重,子張曰：“執德不弘，信道不篤，焉能爲有？焉能爲亡？”,有所得而守之太狹，則德孤；有所聞而信之不篤，則道廢。焉能爲有亡，猶言不足爲輕重。,"자장(子張)이 말하였다. “덕(德)을 잡음이 넓지 못하며, 도(道)를 믿음이 독실하지 못하면, 어찌 있다고 말하며 어찌 없다고 말하겠는가?”","얻은 바가 있되 지킴이 너무 좁으면 덕(德)이 고립되고, 들은 것이 있으나 믿음이 독실하지 못하면 도(道)가 폐해진다. ‘어찌 있다 하며, 어찌 없다고 하겠는가?’란 말은, 족히 경중(輕重)이 될 것이 없다는 말과 같다."
子夏之門人問交於子張子張曰子夏云何對曰子夏曰可者與之其不可者拒之子張曰異乎吾所聞君子尊賢而容衆嘉善而矜不能我之大賢與於人何所不容我之不賢與人將拒我如之何其拒人也,子夏之言迫狹子張譏之是也但其所言亦有過高之弊蓋大賢雖無所不容然大故亦所當絶不賢固不可以拒人然損友亦所當遠學者不可不察,子夏之門人問交於子張。子張曰：“子夏云何？”對曰：“子夏曰：‘可者與之，其不可者拒之。’”子張曰：“異乎吾所聞：君子尊賢而容衆，嘉善而矜不能。我之大賢與，於人何所不容？我之不賢與，人將拒我，如之何其拒人也？”,子夏之言迫狹，子張譏之是也。但其所言亦有過高之弊。蓋大賢雖無所不容，然大故亦所當絶；不賢固不可以拒人，然損友亦所當遠。學者不可不察。,"자하(子夏)의 문인(門人)이 자장(子張)에게 벗 사귀는 것을 묻자, 자장(子張)이 “자하(子夏)가 무어라고 하던가?” 하고 되물으니, 대답하기를 “자하(子夏)께서 ‘가(可)[가능]한 자를 사귀고 불가(不可)한 자를 사귀지 말라.’하셨습니다.” 하였다. 자장(子張)이 말하였다. “내가 듣던 것과는 다르다. 군자(君子)는 어진이를 존경하고 대중을 포용하며, 잘하는 이를 아름답게 여기고 능치 못한 이를 불쌍히 여긴다. 내가 크게 어질다면 남에게 대해서 누구인들 용납하지 못할 것이며, 내가 어질지 못한다면 남들이 장차 나를 거절할 것이니, 어떻게 남을 거절할 수 있겠는가?”","자하(子夏)의 말이 너무 박절하고 좁으니 자장(子張)이 비판한 것이 옳다. 다만 <자장(子張)이> 말한 것 역시 지나치게 높은 폐단이 있다. 대현(大賢)은 포용하지 않는 것이 없다. 그러나 큰 잘못은 마땅히 절교해야 하고, 어질지 못한 이는 진실로 사람을 거절할 수 없다. 그러나 손해 되는 벗은 또한 마땅히 멀리해야 하니, 배우는 자는 살피지 않으면 안 된다."
子夏曰雖小道必有可觀者焉致遠恐泥是以君子不爲也,小道如農圃醫卜之屬泥不通也,子夏曰：“雖小道，必有可觀者焉；致遠恐泥，是以君子不爲也。”,小道，如農圃醫卜之屬。泥，不通也。,자하(子夏)가 말하였다. “비록 작은 도(道)〔技藝〕라도 반드시 볼 만한 것이 있으나 원대(遠大)함에 이르는 데 장애 될까 두렵다. 이 때문에 군자(君子)가 하지 않는 것이다.”,"소도(小道)란 농사와 원예, 의술(醫術)과 복술(卜術) 같은 등속이다. 이(泥)는 통하지 못하는 것이다."
,楊氏曰百家衆技猶耳目口鼻皆有所明而不能相通非無可觀也致遠則泥矣故君子不爲也,,楊氏曰：“百家衆技，猶耳目口鼻，皆有所明而不能相通。非無可觀也，致遠則泥矣，故君子不爲也。”,,"양씨(楊氏)가 말하였다. “백가(百家)의 갖가지 기예(技藝)는, 마치 이목구비(耳目口鼻)와 같아, 모두 밝은 바가 있으나 서로 통할 수 없으니, 볼 만한 것이 없는 것은 아니요, 원대함에 이르는 데 장애가 된다. 그러므로 군자(君子)가 하지 않는 것이다.”"
子夏曰日知其所亡月無忘其所能可謂好學也已矣,亡無也謂己之所未有,子夏曰：“日知其所亡，月無忘其所能，可謂好學也已矣。”,亡，無也。謂己之所未有。,"자하(子夏)가 말하였다. “날마다 모르는 것을 알며, 달마다 능한 것을 잊지 않으면 학문(學問)을 좋아한다고 이를 만하다.”","무(亡)는 없는 것이니, 자신이 가지고 있지 못한 것을 이른다."
,尹氏曰好學者日新而不失,,尹氏曰：“好學者日新而不失。”,,윤씨(尹氏)가 말하였다. “학문(學問)을 좋아한다는 것은 날로 새롭게 하고 잃지 않는 것이다.”
子夏曰博學而篤志切問而近思仁在其中矣,四者皆學問思辨之事耳未及乎力行而爲仁也然從事於此則心不外馳而所存自熟故曰仁在其中矣,子夏曰：“博學而篤志，切問而近思，仁在其中矣。”,四者皆學問思辨之事耳，未及乎力行而爲仁也。然從事於此，則心不外馳，而所存自熟，故曰仁在其中矣。,"자하(子夏)가 말하였다. “배우기를 널리 하고 뜻을 독실히 하며, 절실하게 묻고 가까이[현실에 필요한 것] 생각하면 인(仁)이 그 가운데 있다.”","이 네 가지는 모두 박학(博學)·심문(審問)·신사(愼思)·명변(明辨)의 일들이니, 힘써 행(行)해서 인(仁)을 하는 데는 미치지 못한다. 그러나 여기에 종사하면 마음이 밖으로 달리지 않아 보존하고 있는 것이 저절로 익숙해진다. 그러므로 인(仁)이 그 가운데 있다고 말씀한 것이다."
,程子曰博學而篤志切問而近思何以言仁在其中矣學者要思得之了此便是徹上徹下之道又曰學不博則不能守約志不篤則不能力行切問近思在己者則仁在其中矣又曰近思者以類而推蘇氏曰博學而志不篤則大而無成泛問遠思則勞而無功,,程子曰：“博學而篤志，切問而近思，何以言仁在其中矣？學者要思得之。了此，便是徹上徹下之道。”又曰：“學不博則不能守約，志不篤則不能力行。切問近思在己者，則仁在其中矣。”又曰：“近思者以類而推。”蘇氏曰：“博學而志不篤，則大而無成；泛問遠思，則勞而無功。”,,"정자(程子)가 말씀하였다. “배우기를 널리 하고 뜻을 독실히 하며, 절실하게 묻고 가까이 생각하는 것을 어찌하여 인(仁)이 그 가운데 있다고 말하였는가? 배우는 자들은 이것을 잘 생각하여 알아야 할 것이니, 이것을 마치면 바로 위와 아래를 꿰뚫는 방법이다.” 또 말씀하였다. “배우기를 널리 하지 않으면 지킴이 요약하지 못하고, 뜻이 독실하지 못하면 힘써 행할 수 없으며, 자기에게 있는 것을 절실히 묻고 가까이 생각하면 인(仁)이 그 가운데 있는 것이다.” 또 말씀하였다. “가까이 생각한다는 것은 유(類)로써 미루는〔類推〕 것이다.” 소씨(蘇氏)가 말하였다. “배우기를 널리 하기만 하고 뜻을 독실하게 하지 않으면 크기만 하고 이룸이 없으며, 범연히 묻고 멀리 생각하면 수고롭기만 하고 공효가 없다.”"
子夏曰百工居肆以成其事君子學以致其道,肆謂官府造作之處致極也工不居肆則遷於異物而業不精君子不學則奪於外誘而志不篤尹氏曰學所以致其道也百工居肆必務成其事君子之於學可不知所務哉愚按二說相須其義始備,子夏曰：“百工居肆以成其事，君子學以致其道。”,肆，謂官府造作之處。致，極也。工不居肆，則遷於異物而業不精。君子不學，則奪於外誘而志不篤。尹氏曰：“學所以致其道也。百工居肆，必務成其事。君子之於學，可不知所務哉？”愚按：二說相須，其義始備。,"자하(子夏)가 말하였다. “온갖 공인(工人)들은 공장에 있으면서 그 일을 이루고, 군자(君子)는 배워서 그 도(道)를 지극히 한다.”","사(肆)는 관청의 물건을 만드는 곳이다. 치(致)는 지극히 하는 것이다. 공인(工人)이 공장에 머물지 않으면 다른 일에 마음이 옮겨져 업(業)[일]이 정(精)하지 못하고, 군자(君子)가 배우지 않으면 외물(外物)의 유혹에 마음을 빼앗겨 뜻이 독실하지 못하다. 윤씨(尹氏)가 말하였다. “학문(學問)은 그 도(道)를 극진히 하려고 해서이다. 백공(百工)은 공장에 있으면 반드시 그 일을 이룰 것을 힘써야 하니, 군자(君子)가 학문(學問)에 있어 힘쓸 줄을 몰라서야 되겠는가?” 내가 살펴보건대, 위의 두 말이 서로 있어 보완하여야 그 뜻이 비로소 갖추어진다."
