대문,주석,대문표점,주석표점,대문해석,주석해석
堯曰咨爾舜天之曆數在爾躬允執其中四海困窮天祿永終,此堯命舜而禪以帝位之辭咨嗟歎聲曆數帝王相繼之次第猶歲時氣節之先後也允信也中者無過不及之名四海之人困窮則君祿亦永絶矣戒之也,堯曰：“咨！爾舜！天之曆數在爾躬。允執其中。四海困窮，天祿永終。”,此堯命舜，而禪以帝位之辭。咨，嗟歎聲。曆數，帝王相繼之次第，猶歲時氣節之先後也。允，信也。中者，無過不及之名。四海之人困窮，則君祿亦永絶矣，戒之也。,"요(堯)임금이 말씀하셨다. “아! 너 순(舜)아, 하늘의 역수(曆數)가 너의 몸에 있으니, 진실로 그 중(中)을 잡도록 하라. 사해(四海)가 곤궁하면 천록(天祿)이 영원히 끊어질 것이다.”","이것은 요(堯)임금이 순(舜)임금에게 명하여 제위(帝位)를 선양(禪讓)해 주신 말씀이다. 자(咨)는 차탄(嗟歎)[감탄]하는 소리이다. 역수(曆數)는 제왕(帝王)들이 서로 계승하는 차례이니, 세시(歲時)와 절기(節氣)의 선후(先後)[차례]와 같기 때문이다. 윤(允)은 진실로라는 뜻이다. 중(中)은 과(過)하거나 불급(不及)함이 없는 명칭이다. 사해(四海)의 인민(人民)들이 곤궁하면 군록(君祿) 또한 영원히 끊어지게 된다는 것이니, 순(舜)임금을 경계한 것이다."
舜亦以命禹,舜後遜位於禹亦以此辭命之今見於虞書大禹謨比此加詳,舜亦以命禹。,舜後遜位於禹，亦以此辭命之。今見於虞書大禹謨，比此加詳。,순(舜)임금도 이 말씀으로써 우(禹)임금에게 명(命)[훈계]하셨다.,"순(舜)임금이 그후 우(禹)임금에게 제위(帝位)를 선양(禪讓)하실 때에도 이 말씀으로써 명(命)하여 주셨다. 이 내용은 지금 〈우서(虞書) 대우모(大禹謨)〉에 보이는데, 여기에 비하면 더욱 자세하다."
曰予小子履敢用玄牡敢昭告于皇皇后帝有罪不敢赦帝臣不蔽簡在帝心朕躬有罪無以萬方萬方有罪罪在朕躬,此引商書湯誥之辭蓋湯旣放桀而告諸侯也與書文大同小異曰上當有湯字履蓋湯名用玄牡夏尙黑未變其禮也簡閱也言桀有罪己不敢赦而天下賢人皆上帝之臣己不敢蔽簡在帝心惟帝所命此述其初請命而伐桀之詞也又言君有罪非民所致民有罪實君所爲見其厚於責己薄於責人之意此其告諸侯之辭也,曰：“予小子履，敢用玄牡，敢昭告于皇皇后帝：有罪不敢赦。帝臣不蔽，簡在帝心。朕躬有罪，無以萬方；萬方有罪，罪在朕躬。”,此引商書湯誥之辭。蓋湯旣放桀而告諸侯也。與書文大同小異。曰上當有湯字。履，蓋湯名。用玄牡，夏尙黑，未變其禮也。簡，閱也。言桀有罪，己不敢赦。而天下賢人，皆上帝之臣，己不敢蔽。簡在帝心，惟帝所命。此述其初請命而伐桀之詞也。又言君有罪非民所致，民有罪實君所爲，見其厚於責己薄於責人之意。此其告諸侯之辭也。,"<탕왕(湯王)이> 말씀하셨다. “나 소자(小子) 이(履)는 검은 희생〔玄牡〕을 써서 감히 거룩하신 상제(上帝)께 아룁니다. 죄(罪)가 있는 사람을 제가 감히 용서하지 못하오며, 상제(上帝)의 신하를 제가 감히 가리우지 못하와, 신하를 간택(簡擇)함은 상제(上帝)의 마음에 달려 있습니다. 내 몸에 죄(罪)가 있음은 만방(萬方) 때문이 아니며, 만방(萬方)에 죄(罪)가 있음은 그 책임[죄]이 내 몸에 있습니다.”","이것은 〈상서(商書) 탕고(湯誥)〉의 말을 인용한 것이니, 탕왕(湯王)이 걸왕(桀王)을 추방하고서 제후(諸侯)들에게 말씀한 내용이다. 《서경(書經)》의 글과 대동소이(大同小異)한데, 왈자(曰字) 위에 마땅히 탕자(湯字)가 있어야 한다. 이(履)는 탕왕(湯王)의 이름인 듯하다. 검은 희생을 쓴 것은 하(夏)나라가 흑색(黑色)을 숭상하였으므로 아직 그 예(禮)를 바꾸지 않은 것이다. 간(簡)은 간열(簡閱)[선발]하는 것이다. 이는 걸왕(桀王)이 죄(罪)가 있으니 내가 감히 용서해 줄 수 없으며, 천하(天下)의 현인(賢人)들은 모두 상제(上帝)의 신하이니, 내가 감히 가리울 수 없으며, 간열(簡閱)하는 것이 상제(上帝)의 마음에 달려 있어 오직 상제(上帝)의 명(命)에 따름을 말씀한 것이다. 이것은 맨 처음 상제(上帝)에게 명을 청하여 걸왕(桀王)을 칠 때의 말씀을 기술한 내용이다. 또 임금이 죄가 있음은 백성들의 소치(所致)가 아니요, 백성들이 죄가 있음은 실로 임금이 한 것이라고 말씀하였으니, 자신을 책함에 후하고 남을 책함에 박한 뜻을 볼 수 있다. 이것은 제후(諸侯)들에게 말씀한 내용이다."
周有大賚善人是富,此以下述武王事賚予也武王克商大賚于四海見周書武成篇此言其所富者皆善人也詩序云賚所以錫予善人蓋本於此,周有大賚，善人是富。,此以下述武王事。賚，予也。武王克商，大賚于四海。見周書武成篇。此言其所富者，皆善人也。詩序云“賚所以錫予善人”，蓋本於此。,"주(周)나라에 큰 베풂이 있으니, 선인(善人)이 이에 부(富)하게 되었다.","이 아래는 무왕(武王)의 일을 기술한 것이다. 뇌(賚)는 줌이다. 무왕(武王)이 상(商)나라를 이기고서 사해(四海)에게 크게 베푼 것이니, 이 내용이 〈주서(周書) 무성편(武成篇)〉에 보인다. 이것은 그 부유하게 된 자가 모두 선인(善人)임을 말한 것이다. 《시서(詩序)》에 ‘뇌(賚)는 선인(善人)에게 주는 것이다.’하였으니, 이것도 여기에서 근본한 것이다."
雖有周親不如仁人百姓有過在予一人,此周書泰誓之辭孔氏曰周至也言紂至親雖多不如周家之多仁人,雖有周親，不如仁人。百姓有過，在予一人。,此周書泰誓之辭。孔氏曰：“周，至也。言紂至親雖多，不如周家之多仁人。”,"“비록 지극히 가까운 친척〔周親〕이 있으나 어진 사람만 같지 못하며, 백성들의 과실은 <책임이> 나 한 사람에게 있다.”","이것은 〈주서(周書) 태서편(泰誓篇)〉의 내용이다. 공씨(孔氏)가 말하였다. “주(周)는 지극함이니, 주왕(紂王)이 지극히 가까운 친척이 비록 많으나, 주(周)나라의 어진 사람이 많은 것만 못함을 말한 것이다.”"
謹權量審法度修廢官四方之政行焉,權稱錘也量斗斛也法度禮樂制度皆是也,謹權量，審法度，修廢官，四方之政行焉。,權，稱錘也。量，斗斛也。法度，禮樂制度皆是也。,"권(權)과 양(量)을 삼가고, 법도(法度)를 살피며, 폐지된 관직을 다시 설치하시니, 사방(四方)의 정치(政治)가 제대로 거행되었다.","권(權)은 저울대와 저울추이며, 양(量)은 말〔斗〕과 섬〔斛〕이다. 법도(法度)란 예악(禮樂)과 제도(制度)가 모두 해당된다."
興滅國繼絶世擧逸民天下之民歸心焉,興滅繼絶謂封黃帝堯舜夏商之後擧逸民謂釋箕子之囚復商容之位三者皆人心之所欲也,興滅國，繼絶世，擧逸民，天下之民歸心焉。,興滅繼絶，謂封黃帝、堯、舜、夏、商之後。擧逸民，謂釋箕子之囚，復商容之位。三者皆人心之所欲也。,"멸망한 나라를 일으켜 주고, 끊어진 세대를 계승해 주고, 숨겨진 사람을 등용하시니, 천하(天下)의 민심(民心)이 귀의(歸依)하였다.","멸망한 나라를 일으켜 주고 끊어진 세대를 계승해 주었다는 것은 황제(黃帝)·요(堯)·순(舜)과 하(夏)·상(商)의 후손(後孫)을 봉(封)해 준 것을 말하며, 숨겨진 사람을 등용했다는 것은 갇혀 있던 기자(箕子)를 석방시켜 주고, 상용(商容)의 지위를 회복시켜 준 것을 말한다. 이 세 가지는 모두 사람들이 원하는 바였다."
所重民食喪祭,武成曰重民五敎惟食喪祭,所重：民、食、喪、祭。,武成曰：“重民五敎，惟食喪祭。”,소중히 여겼던 것은 백성의 식생활(食生活)과 상례(喪禮)와 제례(祭禮)였다.,"〈무성편(武成篇)〉에 “백성의 오교(五敎)를 중히 여기되, 식생활과 상례와 제례에 더 치중했다.” 하였다."
寬則得衆信則民任焉敏則有功公則說,此於武王之事無所見恐或泛言帝王之道也,寬則得衆，信則民任焉，敏則有功，公則說。,此於武王之事無所見，恐或泛言帝王之道也。,"너그러우면 대중(大衆)을 얻고, 신의(信義)가 있으면 백성들이 신임하고, 민첩하면 공적(功績)이 있고, 공정(公正)하면 기뻐한다.","이것은 무왕(武王)의 일에 보이는 바가 없으니, 아마도 제왕(帝王)의 도리(道理)를 널리 말씀하신 것인 듯하다."
,楊氏曰論語之書皆聖人微言而其徒傳守之以明斯道者也故於終篇具載堯舜咨命之言湯武誓師之意與夫施諸政事者以明聖學之所傳者一於是而已所以著明二十篇之大旨也孟子於終篇亦歷敍堯舜湯文孔子相承之次皆此意也,,楊氏曰：“論語之書，皆聖人微言，而其徒傳守之，以明斯道者也。故於終篇，具載堯舜咨命之言，湯武誓師之意，與夫施諸政事者。以明聖學之所傳者，一於是而已。所以著明二十篇之大旨也。孟子於終篇，亦歷敍堯、舜、湯、文、孔子相承之次，皆此意也。”,,"양씨(楊氏)가 말하였다. “《논어(論語)》의 내용은 모두 성인(聖人)의 은미(隱微)한 말씀을 그 제자(弟子)들이 전하고 지켜서 사도(斯道)를 밝힌 것이다. 그러므로 마지막 편(篇)에 요(堯)·순(舜)이 불러 명하신 말씀과 탕(湯)·무(武)가 군사들에게 맹세한〔誓師〕 뜻과 및 정사(政事)에 시행(施行)한 것들을 자세히 기재하여 성학(聖學)의 전하는 바가 여기에 한결같을 뿐임을 밝혔으니, 《논어(論語)》 20편(篇)의 대지(大旨)를 밝힌 것이다. 《맹자(孟子)》도 마지막 편(篇)에 요(堯)·순(舜)·탕(湯)·문(文)·공자(孔子)가 서로 계승한 차례를 일일이 서술하였으니, 모두 이러한 뜻이다.”"
