대문,주석,대문표점,주석표점,대문해석,주석해석
子曰爲政以德譬如北辰居其所而衆星共之,政之爲言正也所以正人之不正也德之爲言得也行道而有得於心也北辰北極天之樞也居其所不動也共向也言衆星四面旋繞而歸向之也爲政以德則無爲而天下歸之其象如此,子曰：“爲政以德，譬如北辰，居其所而衆星共之。”,政之爲言正也，所以正人之不正也。德之爲言得也，行道而有得於心也。北辰，北極，天之樞也。居其所，不動也。共，向也，言衆星四面旋繞而歸向之也。爲政以德，則無爲而天下歸之，其象如此。,"공자(孔子)께서 말씀하셨다. “정사(政事)를 덕(德)으로 하는 것은 비유하면, 북극성(北極星)이 제자리에 머물러 있으면 여러 별들이 그에게로 향하는 것과 같다.”","정사(政事)란 말은 바로잡다의 뜻이니, 사람의 바르지 못한 것을 바로잡는 것이다. 덕(德)이란 말은 얻는다의 뜻이니, 도(道)를 행하여 마음에 얻음이 있는 것이다. 북신(北辰)은 북극성(北極星)이니, 하늘의 중추(中樞)이다. 제자리에 머물러 있다〔居其所〕는 것은 움직이지 않는 것이다. 공(共)은 향하는 것이니, 여러 별들이 사면(四面)으로 둘러싸고 북극성(北極星)을 향함을 말한다. 정사(政事)를 덕(德)으로 하면, 하는 일이 없어도 천하(天下)가 돌아오니, 그 형상이 이와 같은 것이다."
,程子曰爲政以德然後無爲范氏曰爲政以德則不動而化不言而信無爲而成所守者至簡而能御煩所處者至靜而能制動所務者至寡而能服衆,,程子曰：“爲政以德，然後無爲。”范氏曰：“爲政以德，則不動而化、不言而信、無爲而成。所守者至簡而能御煩，所處者至靜而能制動，所務者至寡而能服衆。”,,"정자(程子)가 말씀하였다. “정사(政事)를 덕(德)으로 한 뒤에 무위(無爲)가 될 수 있는 것이다.” 범씨(范氏)가 말하였다. “정사(政事)를 덕(德)으로 하면 동(動)하지 않아도 교화되고, 말하지 않아도 믿고, 하는 일이 없어도 이루어지니, 지키는 것이 지극히 간략하면서도 번거로움을 제어할 수 있으며, 처(處)하는 것이 지극히 고요하면서도 움직이는 것을 제어할 수 있으며, 일삼는 것이 지극히 적으면서도 여러 사람을 복종시킬 수 있는 것이다.”"
子曰詩三百一言以蔽之曰思無邪,詩三百十一篇言三百者擧大數也蔽猶蓋也思無邪魯頌駉篇之辭凡詩之言善者可以感發人之善心惡者可以懲創人之逸志其用歸於使人得其情性之正而已然其言微婉且或各因一事而發求其直指全體則未有若此之明且盡者故夫子言詩三百篇而惟此一言足以盡蓋其義其示人之意亦深切矣,子曰：“詩三百，一言以蔽之，曰‘思無邪’。”,詩三百十一篇，言三百者，擧大數也。蔽，猶蓋也。“思無邪”，魯頌駉篇之辭。凡詩之言，善者可以感發人之善心，惡者可以懲創人之逸志，其用歸於使人得其情性之正而已。然其言微婉，且或各因一事而發，求其直指全體，則未有若此之明且盡者。故夫子言詩三百篇，而惟此一言足以盡蓋其義，其示人之意亦深切矣。,"공자(孔子)께서 말씀하셨다. “《시경(詩經)》 3백 편(篇)의 뜻을 한 마디의 말로 대표할 수 있으니, ‘생각에 간사함이 없다.’는 말이다.”","《시경(詩經)》은 3백 11편(篇)인데, 3백 편(篇)이라고 말한 것은 큰 수(數)를 든 것이다. 폐(蔽)는 개(蓋)[덮는다]와 같다. 생각에 간사함이 없다〔思無邪〕는 말은 〈노송 경편(魯頌駉篇)〉의 내용이다. 모든 시(詩)에서 선(善)을 말한 것은 사람의 착한 마음을 감동(感動)시켜 분발(奮發)하게 할 수 있고, 악(惡)을 말한 것은 사람의 방탕한 마음을 징계(懲戒)할 수 있으니, 그 효용(效用)은 사람들이 바른 성정(性情)을 얻는 데에 돌아갈 뿐이다. 그러나 그 말이 은미(隱微)하고 완곡(婉曲)하며, 또 각각 한 가지 일로 인하여 말한 것이어서, 그 전체(全體)를 곧바로 가리킨 것을 찾는다면, 이 말처럼 분명하고도 뜻을 다한 것이 없다. 그러므로 부자(夫子)께서 ‘《시경(詩經)》 3백 편(篇)에 이 한 마디 말이 족히 그 뜻을 다 덮을 수 있다.’고 하신 것이니, 사람에게 보여주신 뜻이 또한 깊고 간절하다."
,程子曰思無邪者誠也范氏曰學者必務知要知要則能守約守約則足以盡博矣經禮三百曲禮三千亦可以一言以蔽之曰毋不敬,,程子曰：“‘思無邪’者，誠也。”范氏曰：“學者必務知要，知要則能守約，守約則足以盡博矣。經禮三百，曲禮三千，亦可以一言以蔽之，曰‘毋不敬’。”,,"정자(程子)가 말씀하였다. “생각에 간사함이 없다는 것은 성(誠)이다.” 범씨(范氏)가 말하였다. “배우는 자들은 요점(要點)을 아는데 힘써야 할 것이니, 요점을 알면 요약(要約)함을 지킬 수 있고, 요약(要約)함을 지키면 해박(該博)한 것을 다할 수 있을 것이다. 경례(經禮) 3백과 곡례(曲禮) 3천 조목(條目)도 한 마디 말로써 그 뜻을 다 덮을 수 있으니, ‘공경하지 않음이 없다〔無不敬〕.’는 말이다.”"
子曰道之以政齊之以刑民免而無恥,道猶引導謂先之也政謂法制禁令也齊所以一之也道之而不從者有刑以一之也免而無恥謂苟免刑罰而無所羞愧蓋雖不敢爲惡而爲惡之心未嘗亡也,子曰：“道之以政，齊之以刑，民免而無恥。”,道，猶引導，謂先之也。政，謂法制禁令也。齊，所以一之也。道之而不從者，有刑以一之也。免而無恥，謂苟免刑罰。而無所羞愧，蓋雖不敢爲惡，而爲惡之心未嘗亡也。,"공자(孔子)께서 말씀하셨다. “인도(引導)하기를 법(法)으로 하고, 가지런히 하기를 형벌(刑罰)로 하면, 백성들이 형벌을 면(免)할 수는 있으나, 부끄러워함은 없을 것이다.”","도(道)는 인도(引導)와 같으니, 솔선수범(率先垂範)함을 말한다. 정(政)은 법제(法制)와 금령(禁令)을 말한다. 제(齊)는 통일(統一)시키는 것이니, 인도해도 따르지 않는 자를 형벌을 가하여 통일시키는 것이다. 면이무치(免而無恥)는 형벌은 면하나 부끄러워하는 바가 없음을 말하니, 비록 감히 악한 짓을 하지는 못하나 악한 짓을 하려는 마음이 일찍이 없지는 못한 것이다."
道之以德齊之以禮有恥且格,禮謂制度品節也格至也言躬行以率之則民固有所觀感而興起矣而其淺深厚薄之不一者又有禮以一之則民恥於不善而又有以至於善也一說格正也書曰格其非心,道之以德，齊之以禮，有恥且格。,禮，謂制度品節也。格，至也。言躬行以率之，則民固有所觀感而興起矣，而其淺深厚薄之不一者，又有禮以一之，則民恥於不善，而又有以至於善也。一說，格，正也。書曰：“格其非心。”,"인도(引導)하기를 덕(德)으로 하고, 가지런히 하기를 예(禮)로써 하면, <백성들이> 부끄러워함이 있고, 또 선(善)에 이르게 될 것이다.”","예(禮)는 제도(制度)와 품절(品節)이다. 격(格)은 이르는 것이다. 몸소 행하여 솔선수범하면 백성이 진실로 보고 감동하여 흥기 하는 바가 있을 것이요, 그 얕고 깊고 두텁고 얇아 균일하지 않은 것을 예(禮)로써 통일(統一)시킨다면, 백성들이 선(善)하지 못함을 부끄러워하고, 또 선(善)함에 이를 수 있음을 말한 것이다. 일설(一說)에 격(格)은 바로잡는 것이니, 《서경(書經)》에 ‘그 그른 마음을 바로잡는다.’라고 하였다."
,愚謂政者爲治之具刑者輔治之法德禮則所以出治之本而德又禮之本也此其相爲終始雖不可以偏廢然政刑能使民遠罪而已德禮之效則有以使民日遷善而不自知故治民者不可徒恃其末又當深探其本也,,愚謂政者，爲治之具。刑者，輔治之法。德禮則所以出治之本，而德又禮之本也。此其相爲終始，雖不可以偏廢，然政刑能使民遠罪而已，德禮之效，則有以使民日遷善而不自知。故治民者不可徒恃其末，又當深探其本也。,,"내가 생각건대, 법제(法制)〔政〕는 정치(政治)를 하는 도구이고, 형벌(刑罰)은 정치(政治)를 돕는 법이며, 덕(德)과 예(禮)는 정치(政治)를 내는 근본(根本)인데, 덕(德)은 또 예(禮)의 근본이다. 이것은 서로 종(終)과 시(始)가 되어, 비록 어느 한 쪽도 폐할 수 없으나, 법제(法制)와 형벌(刑罰)은 백성으로 하여금 죄를 멀리하게 할 수 있을 뿐이며, 덕(德)과 예(禮)의 효과인즉 백성으로 하여금 날로 개과천선(改過遷善)하면서도 자신도 알지 못하게 할 수 있을 것이다. 그러므로 백성을 다스리는 자는 한갓 그 지엽적인 법제(法制)와 형벌(刑罰)만을 믿어서는 안되며, 마땅히 그 근본인 덕(德)과 예(禮)를 깊이 탐구해야 할 것이다."
子曰吾十有五而志于學,古者十五而入大學心之所之謂之志此所謂學卽大學之道也志乎此則念念在此而爲之不厭矣,子曰：“吾十有五而志于學。”,古者十五而入大學。心之所之謂之志。此所謂學，卽大學之道也。志乎此，則念念在此而爲之不厭矣。,"공자(孔子)께서 말씀하셨다. “나는 열 다섯 살에 학문(學問)에 뜻을 두었고,",예전에는 15세에 대학(大學)에 입학하였다. 마음이 가는 것을 지(志)라고 한다. 여기에서 말한 학문(學問)은 곧 《대학(大學)》의 도(道)이다. 여기에 뜻을 둔다면 생각하고 생각함이 여기에 있어서 하기를 싫어하지 않을 것이다.
三十而立,有以自立則守之固而無所事志矣,三十而立，,有以自立，則守之固而無所事志矣。,"서른 살에 자립(自立)하였고,",스스로 섬이 있으면 지킴이 굳어져서 뜻을 두는 것을 일삼을 필요가 없을 것이다.
四十而不惑,於事物之所當然皆無所疑則知之明而無所事守矣,四十而不惑，,於事物之所當然，皆無所疑，則知之明而無所事守矣。,"마흔 살에 사리(事理)에 의혹(疑惑)하지 않았고,",사물의 당연한 것[도리]에 대하여 의혹 하는 바가 없다면 아는 것이 분명하여 지킴을 일삼을 필요가 없을 것이다.
