대문,주석,대문표점,주석표점,대문해석,주석해석
孔子謂季氏八佾舞於庭是可忍也孰不可忍也,季氏魯大夫季孫氏也佾舞列也天子八諸侯六大夫四士二每佾人數如其佾數或曰每佾八人未詳孰是季氏以大夫而僭用天子之禮樂孔子言其此事尙忍爲之則何事不可忍爲或曰忍容忍也蓋深疾之之辭,孔子謂季氏：“八佾舞於庭，是可忍也，孰不可忍也？”,季氏，魯大夫季孫氏也。佾，舞列也，天子八、諸侯六、大夫四、士二。每佾人數，如其佾數。或曰：“每佾八人。”未詳孰是。季氏以大夫而僭用天子之禮樂，孔子言其此事尙忍爲之，則何事不可忍爲。或曰：“忍，容忍也。”蓋深疾之之辭。,"공자(孔子)께서 계씨(季氏)를 두고 말씀하셨다. “<천자(天子)의> 팔일무(八佾舞)를 뜰에서 춤추게 하니, 이 짓을 차마 한다면 무엇을 차마 하지 못하겠는가?”","계씨(季氏)는 노(魯)나라 대부(大夫) 계손씨(季孫氏)이다. 일(佾)은 춤추는 열(列)인데, 천자(天子)는 8열(列), 제후(諸侯)는 6열(列), 대부(大夫)는 4열(列), 사(士)는 2열(列)이다. 각 열(列)마다의 인원수는 그 열(列)의 수와 같다. 혹자는 “각 열(列)마다 8명이다.”라고도 하니, 어느 것이 옳은지는 자세하지 않다. 계씨(季氏)는 대부(大夫)로서 참람하게 천자(天子)의 예악(禮樂)을 사용하였다. 공자(孔子)께서는 “그가 이 일을 오히려 차마 했다면 어떤 일을 차마 하지 못하겠는가?”라고 말씀하신 것이다. 혹자는 “인(忍)은 용인(容忍)하는 것이다” 하니, 그를 깊이 미워하신 말씀이다."
,范氏曰樂舞之數自上而下降殺以兩而已故兩之間不可以毫髮僭差也孔子爲政先正禮樂則季氏之罪不容誅矣謝氏曰君子於其所不當爲不敢須臾處不忍故也而季氏忍此矣則雖弑父與君亦何所憚而不爲乎,,范氏曰：“樂舞之數，自上而下，降殺以兩而已，故兩之間，不可以毫髮僭差也。孔子爲政，先正禮樂，則季氏之罪不容誅矣。”謝氏曰：“君子於其所不當爲不敢須臾處，不忍故也。而季氏忍此矣，則雖弑父與君，亦何所憚而不爲乎？”,,"범씨(范氏)가 말하였다. “음악에 무렬(舞列)의 수(數)는 위로부터 내려와 줄어들기를 두 열(列)씩 할뿐이다. 그러므로 두 열(列)의 사이는 털 끌만큼도 참람하여 어긋나게 해서는 안 되는 것이다. 공자(孔子)께서 정사를 하신다면 제일 먼저 예악(禮樂)을 바로잡으셨을 것이니, 그렇다면 계씨(季氏)의 죄는 주륙(誅戮)을 당하여도 용서받지 못할 것이다.” 사씨(謝氏)가 말하였다. “군자(君子)가 하지 말아야 할 것에 있어서는 잠시[수유(須臾)]라도 처하지 않는 것은 차마 하지 못하기 때문이다. 그런데 계씨(季氏)는 이것을 차마 하였으니, 그렇다면 비록 부모(父母)와 군주(君主)를 시해하는 일이라도 어찌 꺼려서 하지 못하겠는가?”"
三家者以雍徹子曰相維辟公天子穆穆奚取於三家之堂,三家魯大夫孟孫叔孫季孫之家也雍周頌篇名徹祭畢而收其俎也天子宗廟之祭則歌雍以徹是時三家僭而用之相助也辟公諸侯也穆穆深遠之意天子之容也此雍詩之辭孔子引之言三家之堂非有此事亦何取於此義而歌之乎譏其無知妄作以取僭竊之罪,三家者以雍徹。子曰：“‘相維辟公，天子穆穆’，奚取於三家之堂？”,三家，魯大夫孟孫、叔孫、季孫之家也。雍，周頌篇名。徹，祭畢而收其俎也。天子宗廟之祭，則歌雍以徹，是時三家僭而用之。相，助也。辟公，諸侯也。穆穆，深遠之意，天子之容也。此雍詩之辭，孔子引之，言三家之堂非有此事，亦何取於此義而歌之乎？譏其無知妄作，以取僭竊之罪。,삼가(三家)에서 <제사를 마치고 《시경(詩經)》의> 옹장(雍章)을 노래하면서 철상(撤床)을 하였다. 공자(孔子)께서 <이에 대하여> 말씀하셨다. “‘제후(諸侯)들이 제사를 돕거늘 천자(天子)는 엄숙하게 계시다.’는 가사를 어찌해서 삼가(三家)의 당(堂)에서 취해다 쓰는가?”,"삼가(三家)는 노(魯)나라 대부(大夫)인 맹손(孟孫)·숙손(叔孫)·계손(季孫)의 세 집안이다. 옹(雍)은 <《시경(詩經)》> 〈주송(周頌)〉의 편명(篇名)이다. 철(徹)은 제사를 마치고 제기(祭器)를 거두는 것이다. 천자(天子)의 종묘(宗廟) 제사에는 옹장(雍章)을 노래하면서 제기를 거두는데, 이때 삼가(三家)에서 참람하게 이를 사용하였다. 상(相)은 돕는 것이고, 벽공(辟公)은 제후(諸侯)이다. 목목(穆穆)은 심원(深遠)하다는 뜻이니, 천자(天子)의 <엄숙한> 용모(容貌)이다. 이것은 옹시(雍詩)의 가사인데, 공자(孔子)께서 인용하여 “삼가(三家)의 당(堂)에서는 이러한 일이 있지 않은데, 또한 어찌 이 뜻을 취하여 노래하는가?”라고 말씀하신 것이다. 이는 무지(無知)해서 망령되이 행동하여 참람히 도용(盜用)한 죄를 취함을 기롱하신 것이다."
,程子曰周公之功固大矣皆臣子之分所當爲魯安得獨用天子禮樂哉成王之賜伯禽之受皆非也其因襲之弊遂使季氏僭八佾三家僭雍徹故仲尼譏之,,程子曰：“周公之功固大矣，皆臣子之分所當爲，魯安得獨用天子禮樂哉？成王之賜，伯禽之受，皆非也。其因襲之弊，遂使季氏僭八佾，三家僭雍徹，故仲尼譏之。”,,"정자(程子)가 말씀하였다. “주공(周公)의 공(功)이 진실로 크지만 모두 신하의 직분상 마땅히 해야 할 바이니, 노(魯)나라만이 어찌 홀로 천자(天子)의 예악(禮樂)을 쓸 수 있겠는가? 성왕(成王)이 <천자(天子)의 예악(禮樂)을> 준 것과 <주공(周公)의 아들> 백금(伯禽)이 그것을 받은 것은 모두 잘못이다. 그 인습(因襲)의 폐단이 마침내 계씨(季氏)로 하여금 팔일무(八佾舞)를 참람히 쓰게 하였고, 삼가(三家)로 하여금 옹시(雍詩)를 노래하면서 제기(祭器)를 거두게 하였던 것이다. 그러므로 중니(仲尼)께서 기롱하신 것이다.”"
子曰人而不仁如禮何人而不仁如樂何,游氏曰人而不仁則人心亡矣其如禮樂何哉言雖欲用之而禮樂不爲之用也,子曰：“人而不仁，如禮何？人而不仁，如樂何？”,游氏曰：“人而不仁，則人心亡矣，其如禮樂何哉？言雖欲用之，而禮樂不爲之用也。”,"공자(孔子)께서 말씀하셨다. “사람으로서 인(仁)하지 못하면 예(禮)를 어떻게 사용하며, 사람으로서 인(仁)하지 못하면 악(樂)을 어떻게 사용할 수 있겠는가?”","유씨(游氏)가 말하였다. “사람으로서 인(仁)하지 못하면 사람의 마음이 없는 것이니, 그 예악(禮樂)을 어떻게 하겠는가? 비록 예악(禮樂)을 쓰려고 하더라도 예악(禮樂)이 그를 위해 쓰여지지 않을 것이라고 말씀하신 것이다.”"
,程子曰仁者天下之正理失正理則無序而不和李氏曰禮樂待人而後行苟非其人則雖玉帛交錯鍾鼓鏗鏘亦將如之何哉然記者序此於八佾雍徹之後疑其爲僭禮樂者發也,,程子曰：“仁者天下之正理。失正理，則無序而不和。”李氏曰：“禮樂待人而後行，苟非其人，則雖玉帛交錯，鍾鼓鏗鏘，亦將如之何哉？”然記者序此於八佾雍徹之後，疑其爲僭禮樂者發也。,,"정자(程子)가 말씀하였다. “인(仁)은 천하(天下)의 바른 이치이다. 바른 이치를 잃으면 질서가 없어 화(和)하지 못한다.” 이씨(李氏)가 말하였다. “예악(禮樂)은 <훌륭한> 사람을 기다린[만난] 뒤에 행해지니, 만일 적당한 사람이 아니면 비록 옥(玉)과 비단이 사귀어서 오가고, 종과 북을 연주하더라도 또한 장차 <예악(禮樂)을> 어떻게 하겠는가? 그러나 기록한 자가 이것을 팔일(八佾)과 옹철(雍徹)의 뒤에 차례 하였으니, 아마도 예악(禮樂)을 참람히 쓰는 자들 때문에 발언하신 것은 듯하다.”"
林放問禮之本,林放魯人見世之爲禮者專事繁文而疑其本之不在是也故以爲問,林放問禮之本。,林放，魯人。見世之爲禮者，專事繁文，而疑其本之不在是也，故以爲問。,"임방(林放)이 예(禮)의 근본을 묻자,","임방(林放)은 노(魯)나라 사람이다. 그는 세상에서 예(禮)를 실행하는 자들이 오로지 번거로운 문식(文飾)만을 일삼는 것을 보고, 예(禮)의 근본이 여기에 있지 않을 것이라고 의심하였다. 그러므로 물은 것이다."
子曰大哉問,孔子以時方逐末而放獨有志於本故大其問蓋得其本則禮之全體無不在其中矣,子曰：“大哉問！”,孔子以時方逐末，而放獨有志於本，故大其問。蓋得其本，則禮之全體無不在其中矣。,공자(孔子)께서 말씀하셨다. “훌륭하다! 질문이여!”,"공자(孔子)는 당시 사람들이 지엽적인 것만을 따르고 있는데, 임방(林放)만이 유독 근본에 뜻을 두었기 때문에 그 질문을 훌륭하게 여기신 것이다. 이는 그 근본을 얻으면 예(禮)의 전체가 그 가운데 있지 않음이 없는 것이다."
禮與其奢也寧儉喪與其易也寧戚,易治也孟子曰易其田疇在喪禮則節文習熟而無哀痛慘怛之實者也戚則一於哀而文不足耳禮貴得中奢易則過於文儉戚則不及而質二者皆未合禮然凡物之理必先有質而後有文則質乃禮之本也,禮，與其奢也，寧儉；喪，與其易也，寧戚。,易，治也。孟子曰：“易其田疇。”在喪禮，則節文習熟，而無哀痛慘怛之實者也。戚則一於哀，而文不足耳。禮貴得中，奢易則過於文，儉戚則不及而質，二者皆未合禮。然凡物之理，必先有質而後有文，則質乃禮之本也。,"예(禮)는 그 사치하기보다는 차라리 검소하여야 하고, 상(喪)은 형식적으로 잘 치르기보다는 차라리 슬퍼하여야 한다.","이(易)는 다스림이니, 《맹자(孟子)》에 ‘그 밭두둑을 다스린다.’하였다. 상례(喪禮)에 있어서는 절문(節文)만 익숙하고, 애통하고 서글퍼하는 실상이 없는 것이다. 척(戚)은 애통함에 전일하고 문(文)이 부족한 것이다. 예(禮)는 중(中)을 얻음을 귀중히 여기니, 사(奢)와 이(易)는 문(文)에 지나치고, 검(儉)과 척(戚)은 미치지 못해서 질(質)[질박]하니, 이 두 가지는 모두 예(禮)에 합하지 않는다. 그러나 모든 사물의 이치는 반드시 먼저 질(質)이 있은 뒤에 문(文)이 있는 것이니, 그렇다면 질(質)은 바로 예(禮)의 근본이다."
,范氏曰夫祭與其敬不足而禮有餘也不若禮不足而敬有餘也喪與其哀不足而禮有餘也不若禮不足而哀有餘也禮失之奢喪失之易皆不能反本而隨其末故也禮奢而備不若儉而不備之愈也喪易而文不若戚而不文之愈也儉者物之質戚者心之誠故爲禮之本楊氏曰禮始諸飮食故汚尊而抔飮爲之簠簋籩豆罍爵之飾所以文之也則其本儉而已喪不可以徑情而直行爲之衰麻哭踊之數所以節之也則其本戚而已周衰世方以文滅質而林放獨能問禮之本故夫子大之而告之以此,,范氏曰：“夫祭與其敬不足而禮有餘也，不若禮不足而敬有餘也，喪與其哀不足而禮有餘也，不若禮不足而哀有餘也。禮失之奢，喪失之易，皆不能反本，而隨其末故也。禮奢而備，不若儉而不備之愈也；喪易而文，不若戚而不文之愈也。儉者物之質，戚者心之誠，故爲禮之本。”楊氏曰：“禮始諸飮食，故汚尊而抔飮，爲之簠、簋、籩、豆、罍、爵之飾，所以文之也，則其本儉而已。喪不可以徑情而直行，爲之衰麻哭踊之數，所以節之也，則其本戚而已。周衰，世方以文滅質，而林放獨能問禮之本，故夫子大之，而告之以此。”,,"범씨(范氏)가 말하였다. “제사는 경(敬)이 부족(不足)하고 예(禮)가 유여(有餘)[충분함]하기보다는 예(禮)가 부족(不足)하고 경(敬)이 유여(有餘)함만 못하며, 상(喪)은 슬픔이 부족(不足)하고 예(禮)가 유여(有餘)하기 보다는 예(禮)가 부족(不足)하고 슬픔이 유여(有餘)함만 못하다. 예(禮)가 사치함으로 잘못됨과 상(喪)이 형식적으로 잘 치르는 것에 잘못됨은 모두 근본으로 돌아가지 못하고 그 지엽적인 것만을 따르기 때문이다. 예(禮)는 사치하여 잘 갖추어짐이 검소하면서 덜 갖추어짐의 나음만 못하고, 상(喪)은 형식적으로 잘 치러 문채나는 것이 슬퍼하면서 덜 문채나는 것의 나음만 못하다. 검소함은 사물의 바탕이고, 슬퍼함은 마음의 정성이다. 그러므로 예(禮)의 근본이 되는 것이다.” 양씨(楊氏)가 말하였다. “예(禮)는 음식에서 비롯되었다. 그러므로 <옛날에는> 웅덩이를 그릇으로 삼고 손으로 움켜 마시다가 <후대에는> 보궤(簠簋)·변두(籩豆)·뇌작(罍爵)의 꾸밈을 만든 것은 문식(文飾)을 하기 위한 것이었으니, 그렇다면 그 근본은 검소 일 뿐이다. 상(喪)은 감정을 그대로 나타내어 곧바로 행할 수 없기 때문에 최마(衰麻)와 곡하고 발구르기의 수(數)를 제정하였으니 이것은 절제하기 위해서이니, 그렇다면 그 근본을 슬픔일 뿐이다. 주(周)나라가 쇠약해지자, 세속이 문(文)으로 질(質)을 없앴는데도 임방(林放)만은 홀로 예(禮)의 근본을 물었다. 그러므로 부자(夫子)께서 그것을 훌륭하게 여기시고 이와 같이 말씀하신 것이다.”"
