대문,주석,대문표점,주석표점,대문해석,주석해석
子曰里仁爲美擇不處仁焉得知,里有仁厚之俗爲美擇里而不居於是焉則失其是非之本心而不得爲知矣,子曰：“里仁爲美。擇不處仁，焉得知？”,里有仁厚之俗爲美。擇里而不居於是焉，則失其是非之本心，而不得爲知矣。,"공자(孔子)께서 말씀하셨다. “마을의 <인심이> 인후(仁厚)한 것이 아름다우니, 인심이 좋은 마을을 선택하되 인(仁)에 처하지 않는다면 어떻게 지혜롭다 하겠는가.”","마을에 인후(仁厚)한 풍속이 있는 것이 아름다우니, 그러한 마을을 선택하되 이에 처하지 않는다면 이는 그 시비(是非)의 본심(本心)을 잃은 것이어서 지혜가 될 수 없는 것이다."
子曰不仁者不可以久處約不可以長處樂仁者安仁知者利仁,約窮困也利猶貪也蓋深知篤好而必欲得之也不仁之人失其本心久約必濫久樂必淫惟仁者則安其仁而無適不然知者則利於仁而不易所守蓋雖深淺之不同然皆非外物所能奪矣,子曰：“不仁者不可以久處約，不可以長處樂。仁者安仁，知者利仁。”,約，窮困也。利，猶貪也，蓋深知篤好而必欲得之也。不仁之人，失其本心，久約必濫，久樂必淫。惟仁者則安其仁而無適不然，知者則利於仁而不易所守，蓋雖深淺之不同，然皆非外物所能奪矣。,"공자(孔子)께서 말씀하셨다. “인(仁)하지 못한 자는 오랫동안 곤궁한 데 처할 수 없으며 장구하게 즐거움에 처할 수 없으니, 인자(仁者)는 인(仁)을 편안히 여기고 지자(智者)는 인(仁)을 이롭게 여긴다.”","약(約)은 곤궁함이다. 이(利)는 탐(貪)과 같으니, 깊이 알고 독실히 좋아해서 반드시 그것을 얻고자 하는 것이다. 불인(不仁)한 사람은 그 본심(本心)을 잃어서 오랫동안 곤궁하면 반드시 넘치고, 오랫동안 즐거우면 반드시 빠진다. 오직 인자(仁者)는 그 인(仁)을 편안히 여겨서 가는 곳마다 그렇지 않음이 없고, 지자(智者)는 인(仁)을 이롭게 여겨서 지키는 바를 바꾸지 않으니, 비록 깊고 얕음이 똑같지 않으나 그러나 모두 외물(外物)에게 빼앗길 수 있는 바가 아니다."
,謝氏曰仁者心無內外遠近精粗之間非有所存而自不亡非有所理而自不亂如目視而耳聽手持而足行也知者謂之有所見則可謂之有所得則未可有所存斯不亡有所理斯不亂未能無意也安仁則一利仁則二安仁者非顔閔以上去聖人爲不遠不知此味也諸子雖有卓越之才謂之見道不惑則可然未免於利之也,,謝氏曰：“仁者心無內外遠近精粗之間，非有所存而自不亡，非有所理而自不亂，如目視而耳聽，手持而足行也。知者謂之有所見則可，謂之有所得則未可。有所存斯不亡，有所理斯不亂，未能無意也。安仁則一，利仁則二。安仁者非顔閔以上，去聖人爲不遠，不知此味也。諸子雖有卓越之才，謂之見道不惑則可，然未免於利之也。”,,"사씨(謝氏)가 말하였다. “인자(仁者)는 마음에 내(內)와 외(外), 원(遠)과 근(近), 정(精)과 조(粗)의 간격이 없어서 마음을 보존하려고 하지 않아도 저절로 없어지지 않고, 다스리려고 하지 않아도 저절로 혼란해지지 않으니, 마치 눈이 보고 귀가 듣고 손으로 잡고 발로 걸어가는 것과 같은 것이다. 지자(智者)는 소견(所見)이 있다고 이르는 것은 가(可)하거니와, 얻은 바가 있다고 이르는 것은 불가(不可)하다. 그리하여 보존(保存)하는 바가 있어야 없어지지 않고, 다스리는 바가 있어야 혼란해지지 않아, 의식(意識)이 없지 못하다. 안인(安仁)은 하나요, 이인(利仁)은 둘인 것이다. 인(仁)을 편안히 여기는 것은 안자(顔子)와 민자(閔子) 이상으로 성인(聖人)과의 거리가 멀지 않은 자가 아니면 이러한 맛을 알지 못한다. 여러 제자(弟子)들은 비록 탁월한 재질(才質)이 있으나, 도(道)를 봄에 의혹하지 않았다고 이르는 것은 가(可)하거니와, 그러나 그것을 이롭게 여김을 면치 못하였다.”"
子曰惟仁者能好人能惡人,惟之爲言獨也蓋無私心然後好惡當於理程子所謂得其公正是也,子曰：“惟仁者能好人，能惡人。”,惟之爲言獨也。蓋無私心，然後好惡當於理，程子所謂“得其公正”是也。,"공자(孔子)께서 말씀하셨다. “오직 인자(仁者)여야 사람을 좋아하며, 사람을 미워할 수 있는 것이다.”","유(惟)란 말은 홀로 라는 뜻이다. 사심(私心)이 없는 뒤에 좋아하고 미워함이 이치에 맞을 수 있는 것이니, 정자(程子)가 이른바 그 공정(公正)함을 얻었다는 것이 이것이다."
,游氏曰好善而惡惡天下之同情然人每失其正者心有所繫而不能自克也惟仁者無私心所以能好惡也,,游氏曰：“好善而惡惡，天下之同情，然人每失其正者，心有所繫而不能自克也。惟仁者無私心，所以能好惡也。”,,"유씨(游氏)가 말하였다. “선(善)을 좋아하고 악(惡)을 미워함은 천하(天下)의 똑같은 심정이다. 그러나 사람이 매양 그 올바름을 잃는 것은 마음이 매여있는 바가 있어서 스스로 극복하지 못하기 때문이다. 오직 인자(仁者)는 사심(私心)이 없으니, 이 때문에 능히 좋아하고 미워할 수 있는 것이다.”"
子曰苟志於仁矣無惡也,苟誠也志者心之所之也其心誠在於仁則必無爲惡之事矣,子曰：“苟志於仁矣，無惡也。”,苟，誠也。志者，心之所之也。其心誠在於仁，則必無爲惡之事矣。,공자(孔子)께서 말씀하셨다. “진실로 인(仁)에 뜻을 두면 악(惡)함이 없다.”,구(苟)는 진실로 이다. 지(志)란 마음이 가는 것이다. 그 마음이 진실로 인(仁)에 있으면 반드시 악(惡)을 하는 일이 없을 것이다.
,楊氏曰苟志於仁未必無過擧也然而爲惡則無矣,,楊氏曰：“苟志於仁，未必無過擧也，然而爲惡則無矣。”,,양씨(楊氏)가 말하였다. “진실로 인(仁)에 뜻을 두었다 하더라도 반드시 지나친 행동이 없지는 못하다. 그러나 악(惡)을 하는 일은 없을 것이다.”
子曰富與貴是人之所欲也不以其道得之不處也貧與賤是人之所惡也不以其道得之不去也,不以其道得之謂不當得而得之然於富貴則不處於貧賤則不去君子之審富貴而安貧賤也如此,子曰：“富與貴是人之所欲也，不以其道得之，不處也；貧與賤是人之所惡也，不以其道得之，不去也。”,不以其道得之，謂不當得而得之。然於富貴則不處，於貧賤則不去，君子之審富貴而安貧賤也如此。,"공자(孔子)께서 말씀하셨다. “부(富)와 귀(貴)는 사람들이 하고자 하는 것이나 그 정상적인 방법으로 얻지 않으면 처하지 않아야 하며, 빈(貧)과 천(賤)은 사람들이 싫어하는 것이나 그 정상적인 방법으로 얻지 않았다 하더라도 버리지 않아야 한다.","그 정상적인 방법으로 얻지 않았다는 것은 마땅히 얻어서는 안될 것을 얻음을 말한다. 그러나 부귀(富貴)에 있어서는 처하지 않고, 빈천(貧賤)에 있어서는 버리지 않으니, 군자(君子)가 부귀(富貴)를 살피고 빈천(貧賤)을 편안히 여김이 이와 같은 것이다."
君子去仁惡乎成名,言君子所以爲君子以其仁也若貪富貴而厭貧賤則是自離其仁而無君子之實矣何所成其名乎,君子去仁，惡乎成名？,言君子所以爲君子，以其仁也。若貪富貴而厭貧賤，則是自離其仁，而無君子之實矣，何所成其名乎？,군자(君子)가 인(仁)을 떠나면 어찌 이름을 이룰 수 있겠는가.,"‘군자(君子)가 군자(君子)가 된 까닭은 그 인(仁) 때문이니, 만일 부귀(富貴)를 탐하고 빈천(貧賤)을 싫어한다면, 이것은 스스로 그 인(仁)을 떠나서 군자(君子)의 실제가 없는 것이다. 어떻게 그 이름을 이룰 수 있겠는가.’라고 말씀한 것이다."
君子無終食之間違仁造次必於是顚沛必於是,終食者一飯之頃造次急遽苟且之時顚沛傾覆流離之際蓋君子之不去乎仁如此不但富貴貧賤取舍之間而已也,君子無終食之間違仁，造次必於是，顚沛必於是。,終食者，一飯之頃。造次，急遽苟且之時。顚沛，傾覆流離之際。蓋君子之不去乎仁如此，不但富貴、貧賤、取舍之間而已也。,"군자(君子)는 밥을 먹는 동안이라도 인(仁)을 떠남이 없으니, 경황 중에도 이 인(仁)에 반드시 하며, 위급한 상황에도 이 인(仁)에 반드시 하는 것이다.”","종식(終食)이란 한 번 밥 먹는 시간이다. 조차(造次)는 급하고 구차한 때요, 전패(顚沛)는 경복(傾覆)을 당하고 유리(流離)하는 즈음이다. 군자(君子)가 인(仁)을 떠나지 않음이 이와 같으니, 단지 부귀(富貴)와 빈천(貧賤)을 취하고 버리는 사이일 뿐만이 아닌 것이다."
