대문,주석,대문표점,주석표점,대문해석,주석해석
子謂公冶長可妻也雖在縲絏之中非其罪也以其子妻之,公冶長孔子弟子妻爲之妻也縲黑索也絏攣也古者獄中以黑索拘攣罪人長之爲人無所考而夫子稱其可妻其必有以取之矣又言其人雖嘗陷於縲絏之中而非其罪則固無害於可妻也夫有罪無罪在我而已豈以自外至者爲榮辱哉,子謂公冶長，“可妻也。雖在縲絏之中，非其罪也”。以其子妻之。,公冶長，孔子弟子。妻，爲之妻也。縲，黑索也。絏，攣也。古者獄中以黑索拘攣罪人。長之爲人無所考，而夫子稱其可妻，其必有以取之矣。又言其人雖嘗陷於縲絏之中，而非其罪，則固無害於可妻也。夫有罪無罪，在我而已，豈以自外至者爲榮辱哉？,"공자(孔子)께서 공야장(公冶長)을 두고 평하시기를 “사위 삼을 만하다. 비록 포승으로 묶여 옥중(獄中)에 있었으나 그의 죄가 아니었다.” 하시고, 자기의 딸을 그에게 시집보내셨다.","공야장(公冶長)은 공자(孔子)의 제자(弟子)이다. 처(妻)는 <딸을 시집보내어> 그의 아내가 되게 하는 것이다. 유(縲)는 검정색의 포승이고, 설(絏)은 결박이다. 옛날 옥중(獄中)에서는 검정색의 포승으로 죄인(罪人)을 결박하였다. 공야장(公冶長)의 사람됨은 상고할 곳이 없으나, 부자(夫子)께서 ‘사위 삼을 만하다.’고 칭찬하셨으니, 그에게 반드시 취할 만한 점이 있었을 것이다. 또 그 사람이 비록 일찍이 옥중(獄中)에 갇혀 있었으나 그 사람의 죄가 아니었으니, 참으로 사위 삼는 데에 나쁠 것이 없다고 말씀하신 것이다. 죄가 있고 없음은 자신에게 달려 있을 따름이니, 어찌 밖으로부터 이르른 것을 가지고 영욕(榮辱)을 삼겠는가!"
子謂南容邦有道不廢邦無道免於刑戮以其兄之子妻之,南容孔子弟子居南宮名縚又名适字子容諡敬叔孟懿子之兄也不廢言必見用也以其謹於言行故能見用於治朝免禍於亂世也事又見第十一篇,子謂南容，“邦有道，不廢；邦無道，免於刑戮”。以其兄之子妻之。,南容，孔子弟子，居南宮。名縚，又名适。字子容，諡敬叔。孟懿子之兄也。不廢，言必見用也。以其謹於言行，故能見用於治朝，免禍於亂世也。事又見第十一篇。,"공자(孔子)께서 남용(南容)을 두고 평하시기를 “나라에 도(道)가 있을 때에는 버려지지 않을 것이요, 나라에 도(道)가 없을 때에는 형벌을 면할 것이다.” 하시고, 형의 딸을 그에게 시집보내셨다.","남용(南容)은 공자(孔子)의 제자(弟子)이니 남궁(南宮)[남쪽에 있는 궁궐]에 거주하였고, 이름은 도(縚)이며 또 괄(适)이라고도 하였다. 자(字)는 자용(子容), 시호는 경숙(敬叔)이니, 맹의자(孟懿子)의 형(兄)이다. 불폐(不廢)는 반드시 쓰임을 당할 것이라는 말이다. 그는 언행(言行)을 삼가였으므로, 잘 다스려지는 조정에서는 쓰임을 당하고, 난세(亂世)에는 화(禍)를 면할 수 있었던 것이다. 이에 대한 일은 또 제11편〔先進〕에 보인다."
,或曰公冶長之賢不及南容故聖人以其子妻長而以兄子妻容蓋厚於兄而薄於己也程子曰此以己之私心窺聖人也凡人避嫌者皆內不足也聖人自至公何避嫌之有況嫁女必量其才而求配尤不當有所避也若孔子之事則其年之長幼時之先後皆不可知惟以爲避嫌則大不可避嫌之事賢者且不爲況聖人乎,,或曰：“公冶長之賢不及南容，故聖人以其子妻長，而以兄子妻容，蓋厚於兄而薄於己也。”程子曰：“此以己之私心窺聖人也。凡人避嫌者，皆內不足也，聖人自至公，何避嫌之有？況嫁女必量其才而求配，尤不當有所避也。若孔子之事，則其年之長幼、時之先後皆不可知，惟以爲避嫌則大不可。避嫌之事，賢者且不爲，況聖人乎？”,,"혹자가 말하기를 “공야장(公冶長)의 어짊이 남용(南容)에 미치지 못하였으므로, 성인(聖人)이 자기 딸을 공야장(公冶長)에게 시집보내고 형의 딸을 남용(南容)에게 시집보냈으니, 이는 형에게 후히 하고 자기에게 박하게 한 것이다.” 하였다. 정자(程子)가 말씀하였다. “이는 자신의 사심(私心)을 가지고 성인(聖人)을 엿본 것이다. 무릇 사람들이 혐의를 피하는 것은 모두 자기 마음에 부족함이 있기 때문이다. 성인(聖人)은 본래 지극히 공정하시니, 어찌 혐의를 피할 일이 있겠는가? 하물며 딸을 시집보내는 일은 반드시 딸의 재질을 헤아려서 배필을 구하는 것이니, 더욱이 피하는 바가 있어서는 안 된다. 공자(孔子)의 이 일로 말하면, 그 연령의 차이와 시집간 시기의 선후(先後)를 모두 알 수 없거니와, 다만 혐의를 피했다고 하는 것은 크게 옳지 않다. 혐의를 피하는 일은 현자(賢者)도 하지 않는데 하물며 성인(聖人)에게 있어서이겠는가!”"
子謂子賤君子哉若人魯無君子者斯焉取斯,子賤孔子弟子姓宓名不齊上斯斯此人下斯斯此德子賤蓋能尊賢取友以成其德者故夫子旣歎其賢而又言若魯無君子則此人何所取以成此德乎因以見魯之多賢也,子謂子賤，“君子哉若人！魯無君子者，斯焉取斯？”,子賤，孔子弟子，姓宓，名不齊。上斯斯此人，下斯斯此德。子賤蓋能尊賢取友以成其德者。故夫子旣歎其賢，而又言若魯無君子，則此人何所取以成此德乎？因以見魯之多賢也。,"공자(孔子)께서 자천(子賤)을 두고 평하셨다. “군자(君子)답다, 이 사람이여! 노(魯)나라에 군자(君子)가 없었다면 이 사람이 어디에서 이러한 덕(德)을 취했겠는가?”","자천(子賤)은 공자(孔子)의 제자(弟子)이니, 성(姓)은 복(宓)이고, 이름은 불제(不齊)이다. ‘사언취사(斯焉取斯)’의 위 사자(斯字)는 이 사람〔子賤〕이고, 아래 사자(斯字)는 이러한 덕(德)이다. 자천(子賤)은 아마도 어진이를 존경하고 훌륭한 벗을 취하여 덕(德)을 이룬 사람인 듯하다. 그러므로 부자(夫子)께서 이미 그의 어짊을 찬탄(贊歎)하시고, 다시 “노(魯)나라에 군자(君子)가 없었다면 이 사람이 어디에서 취하여 이러한 덕(德)을 이루었겠는가?”라고 말씀하셨으니, 이로 인하여 노(魯)나라에 군자(君子)가 많음을 나타내신 것이다."
,蘇氏曰稱人之善必本其父兄師友厚之至也,,蘇氏曰：“稱人之善，必本其父兄師友，厚之至也。”,,소씨(蘇氏)가 말하였다. “사람의 선(善)을 칭찬할 적에 반드시 그 부형(父兄)과 사우(師友)를 근본 하여 말하는 것은 후덕(厚德)함이 지극한 것이다.”
子貢問曰賜也何如子曰女器也曰何器也曰瑚璉也,器者有用之成材夏曰瑚商曰璉周曰簠簋皆宗廟盛黍稷之器而飾以玉器之貴重而華美者也子貢見孔子以君子許子賤故以己爲問而孔子告之以此然則子貢雖未至於不器其亦器之貴者歟,子貢問曰：“賜也，何如？”子曰：“女器也。”曰：“何器也？”曰：“瑚璉也。”,器者，有用之成材。夏曰瑚，商曰璉，周曰簠簋，皆宗廟盛黍稷之器而飾以玉，器之貴重而華美者也。子貢見孔子以君子許子賤，故以己爲問，而孔子告之以此。然則子貢雖未至於不器，其亦器之貴者歟？,"자공(子貢)이 “저[사(賜)]는 어떻습니까?” 하고 묻자, 공자(孔子)께서 “너는 그릇이다.” 하셨다. “어떤 그릇입니까?” 하고 다시 묻자, “호(瑚)·연(璉)이다.” 하고 대답하셨다.","기(器)란 쓰임이 있는 완성된 재질이다. 하(夏)나라에서는 호(瑚)라 하였고, 상(商)나라에서는 연(璉)이라 하였고, 주(周)나라에서는 보궤(簠簋)라고 하였으니, 모두 종묘(宗廟)에서 서직(黍稷)을 담는 그릇인데, 옥(玉)으로 장식하였으니, 그릇 중에 귀중하고 화려한 것이다. 자공(子貢)은 공자(孔子)께서 자천(子賤)을 군자(君子)라고 허여 하심을 보았다. 이 때문에 저는 어떻습니까 하고 묻자, 공자(孔子)께서 이처럼 답하셨으니, 그렇다면 자공(子貢)은 비록 불기(不器)의 경지에는 이르지 못하였으나, 또한 그릇의 귀한 것일 것이다."
或曰雍也仁而不佞,雍孔子弟子姓冉字仲弓佞口才也仲弓爲人重厚簡默而時人以佞爲賢故美其優於德而病其短於才也,或曰：“雍也，仁而不佞。”,雍，孔子弟子，姓冉，字仲弓。佞，口才也。仲弓爲人重厚簡默，而時人以佞爲賢，故美其優於德，而病其短於才也。,혹자가 말하기를 “옹(雍)은 인(仁)하나 말재주가 없습니다.” 하였다.,"옹(雍)은 공자(孔子)의 제자(弟子)이니, 성(姓)은 염(冉)이고 자(字)는 중궁(仲弓)이다. 영(佞)은 말재주이다. 중궁(仲弓)의 사람됨이 중후하고 소탈〔簡〕 과묵하였는데, 당시 사람들은 말을 잘하는 것을 훌륭하게 여겼으므로, 그가 덕(德)에 뛰어남을 찬미(讚美)하면서도 그의 말재주가 부족한 것을 흠으로 여긴 것이다."
子曰焉用佞禦人以口給屢憎於人不知其仁焉用佞,禦當也猶應答也給辨也憎惡也言何用佞乎佞人所以應答人者但以口取辨而無情實徒多爲人所憎惡爾我雖未知仲弓之仁然其不佞乃所以爲賢不足以爲病也再言焉用佞所以深曉之,子曰：“焉用佞？禦人以口給，屢憎於人。不知其仁，焉用佞？”,禦，當也，猶應答也。給，辨也。憎，惡也。言‘何用佞乎？佞人所以應答人者，但以口取辨而無情實，徒多爲人所憎惡爾。我雖未知仲弓之仁，然其不佞乃所以爲賢，不足以爲病也。’再言‘焉用佞’，所以深曉之。,"공자(孔子)께서 말씀하셨다. “말재주를 어디에다 쓰겠는가. 약삭빠른 구변으로 남의 말을 막아서 자주 남에게 미움만 받을 뿐이니, 그가 인(仁)한지는 모르겠으나, 말재주를 어디에다 쓰겠는가?”","어(禦)는 당(當)[상대, 또는 막는 것]하는 것이니, 남의 말에 응답함과 같다. 급(給)은 말을 잘하는 것이다. 증(憎)은 미워함이다. 말재주를 어디에다 쓰겠는가? 구변 좋은 사람이 남과 응답하는 것은 단지 입으로 약삭빠르게 말하여 이기기를 취할 뿐이요, 실정(實情)이 없어서 한갓 남들에게 미움을 받는 일이 많을 뿐이다. 내 비록 중궁(仲弓)이 인(仁)한지는 알지 못하겠으나, 그의 말재주 없음은 바로 훌륭함이 되는 것이요 흠될 것이 없다고 말씀하신 것이다. “말재주를 어디에다 쓰겠는가?”라고 다시 말씀한 것은 깊이 깨우치려고 하신 것이다."
,或疑仲弓之賢而夫子不許其仁何也曰仁道至大非全體而不息者不足以當之如顔子亞聖猶不能無違於三月之後況仲弓雖賢未及顔子聖人固不得而輕許之也,,或疑仲弓之賢而夫子不許其仁，何也？曰：仁道至大，非全體而不息者，不足以當之。如顔子亞聖，猶不能無違於三月之後；況仲弓雖賢，未及顔子，聖人固不得而輕許之也。”,,"혹자가 의심하기를 “중궁(仲弓)의 어짊으로도 부자(夫子)께서 그의 인(仁)을 허여 하지 않으심은 어째서인가?” 하였다. 나는 다음과 같이 대답하였다. “인(仁)의 도(道)는 지극히 커서 전체가 인(仁)이고 그침이 없는 자가 아니고서는 이에 해당될 수 없다. 안자(顔子)와 같은 아성(亞聖)으로서도 오히려 3개월이 지난 뒤에는 인(仁)을 떠남이 없지 못하였다. 더구나 중궁(仲弓)은 비록 어질다고 하지만 안자(顔子)에 미치지 못하니, 성인(聖人)께서 참으로 가볍게 허여 하실 수 없는 것이다.”"
子使漆雕開仕對曰吾斯之未能信子說,漆雕開孔子弟子字子若斯指此理而言信謂眞知其如此而無毫髮之疑也開自言未能如此未可以治人故夫子說其篤志,子使漆雕開仕。對曰：“吾斯之未能信。”子說。,漆雕開，孔子弟子，字子若。斯，指此理而言。信，謂眞知其如此，而無毫髮之疑也。開自言未能如此，未可以治人，故夫子說其篤志。,"공자(孔子)께서 칠조개(漆雕開)에게 벼슬을 하게 권하시자, 그는 대답하기를 “저는 벼슬하는 것에 대해 아직 자신할 수 없습니다.” 하니, 공자(孔子)께서 기뻐하셨다.","칠조개(漆雕開)는 공자(孔子)의 제자(弟子)이니, 자(字)는 자약(子若)이다. 사(斯)는 이 이치를 가리켜 말한 것이요, 신(信)은 참으로 그러함을 알아 털끝 만한 의심도 없음을 말한다. 칠조개(漆雕開)는 스스로 말하기를 “아직 자신할 수 없어 사람을 다스릴 수 없습니다.” 하였다. 그러므로 공자(孔子)께서 그의 뜻이 돈독함을 기뻐하신 것이다."
