대문,주석,대문표점,주석표점,대문해석,주석해석
子曰雍也可使南面,南面者人君聽治之位言仲弓寬洪簡重有人君之度也,子曰：“雍也可使南面。”,南面者，人君聽治之位。言仲弓寬洪簡重，有人君之度也。,공자(孔子)께서 말씀하셨다. “옹(雍)[중궁(仲弓)]은 남면(南面)[군왕(君王)의 위(位)에 앉음]하게 할 만하다.”,남면(南面)은 군주(君主)가 정사를 다스리는 자리이다. 중궁(仲弓)은 마음이 너그럽고 도량이 크며 간략[대범·소탈]하고 중후(重厚)하여 인군의 도량이 있음을 말씀한 것이다.
仲弓問子桑伯子子曰可也簡,子桑伯子魯人胡氏以爲疑卽莊周所稱子桑戶者是也仲弓以夫子許己南面故問伯子如何可者僅可而有所未盡之辭簡者不煩之謂,仲弓問子桑伯子，子曰：“可也簡。”,子桑伯子，魯人，胡氏以爲疑卽莊周所稱子桑戶者是也。仲弓以夫子許己南面，故問伯子如何。可者，僅可而有所未盡之辭。簡者，不煩之謂。,"중궁(仲弓)이 자상백자(子桑伯子)에 대하여 물으니, 공자(孔子)께서 대답하셨다. “그의 간략함도 괜찮다〔可〕.”","자상백자(子桑伯子)는 노(魯)나라 사람이다. 호씨(胡氏)는 “장주(莊周)가 말한 자상호(子桑戶)라는 자가 그인 듯하다.” 하였다. 중궁(仲弓)은 부자(夫子)께서 자신에게 남면(南面)할 수 있다고 허여(許與)하셨으므로, ‘백자(伯子)는 어떠합니까?’하고 물은 것이다. 가(可)는 겨우 괜찮아서 미진(未盡)함이 있는 말이다. 간(簡)은 번거롭지[까다롭지]않은 것이다."
仲弓曰居敬而行簡以臨其民不亦可乎居簡而行簡無乃大簡乎,言自處以敬則中有主而自治嚴如是而行簡以臨民則事不煩而民不擾所以爲可若先自處以簡則中無主而自治疎矣而所行又簡豈不失之太簡而無法度之可守乎家語記伯子不衣冠而處夫子譏其欲同人道於牛馬然則伯子蓋太簡者而仲弓疑夫子之過許與,仲弓曰：“居敬而行簡，以臨其民，不亦可乎？居簡而行簡，無乃大簡乎？”,言自處以敬，則中有主而自治嚴，如是而行簡以臨民，則事不煩而民不擾，所以爲可。若先自處以簡，則中無主而自治疎矣，而所行又簡，豈不失之太簡，而無法度之可守乎？家語記伯子不衣冠而處，夫子譏其欲同人道於牛馬。然則伯子蓋太簡者，而仲弓疑夫子之過許與。,중궁(仲弓)이 말하였다. “자신이 경(敬)에 처해 있으면서 간략함을 행하여 인민(人民)을 대한다면 가(可)하지 않겠습니까? 자신이 간략함에 처하고 다시 간략함을 행한다면 너무 간략한 것이 아니겠습니까?”,"스스로 처하기를 경(敬)으로 한다면 마음에 주장이 있어 스스로를 다스림이 엄격할 것이니, 이와 같이 하고서 간략함을 행하여 인민(人民)을 대한다면 정사가 번거롭지 않아 인민(人民)들이 소요되지 않을 것이다. 그러므로 가(可)하다고 할 수 있거니와, 만약 먼저 간략함으로써 자처(自處)한다면 마음에 주장이 없어 스스로를 다스림이 소홀해질 것이다. 그런데 행동을 또 간략하게 한다면 어찌 너무 간략함에 잘못되어 지킬 만한 법도(法度)가 없는 것이 아니겠는가? 《가어(家語)》에 ‘백자(伯子)가 의관(衣冠)을 하지 않고 거처하자, 공자(孔子)께서 그가 사람의 도리(道理)를 우마(牛馬)와 동일시(同一視)하려 한다고 비판하셨다.’하였으니, 그렇다면 백자(伯子)는 아마도 너무 간략한 자(者)일 것이다. 그러므로 중궁(仲弓)은 부자(夫子)께서 지나치게 허여(許與)하신 것으로 의심한 것이다."
子曰雍之言然,仲弓蓋未喩夫子可字之意而其所言之理有默契焉者故夫子然之,子曰：“雍之言然。”,仲弓蓋未喩夫子可字之意，而其所言之理，有默契焉者，故夫子然之。,공자(孔子)께서 말씀하셨다. “옹(雍)의 말이 옳다.”,중궁(仲弓)이 부자(夫子)의 가자(可字)의 뜻을 깨닫지 못하였으나 그가 말한 이치는 묵묵히[은연중] 합함이 있었으므로 부자(夫子)께서 옳다고 하신 것이다.
,程子曰子桑伯子之簡雖可取而未盡善故夫子云可也仲弓因言內主於敬而簡則爲要直內存乎簡而簡則爲疏略可謂得其旨矣又曰居敬則心中無物故所行自簡居簡則先有心於簡而多一簡字矣故曰太簡,,程子曰：“子桑伯子之簡，雖可取而未盡善，故夫子云可也。仲弓因言內主於敬而簡，則爲要直；內存乎簡而簡，則爲疏略，可謂得其旨矣。”又曰：“居敬則心中無物，故所行自簡；居簡則先有心於簡，而多一簡字矣，故曰太簡。”,,"정자(程子)가 말씀하였다. “자상백자(子桑伯子)의 간략함은 비록 취할 만하나 지극히 선(善)하지는 못하였다. 그러므로 부자(夫子)께서 겨우 괜찮다〔可〕고 말씀하신 것이다. 중궁(仲弓)은 인하여 말하기를 ‘마음에 경(敬)을 주장하면서 간략하면 긴요하고 바름이 되거니와, 마음에 간략함을 두고서 또 간략하면 소략(疏略)함이 된다.’고 하였으니, 그 뜻을 알았다고 할 만하다.” 또 말씀하였다. “경(敬)에 처(處)하면 심중(心中)에 아무런 일이 없으므로 행하는 바가 저절로 간략해진다. 그러나 간략함에 처(處)하면 먼저 간략함에 마음이 있어 한 간자(簡字)가 많게 된다. 그러므로 너무 간략하다고 말한 것이다.”"
哀公問弟子孰爲好學孔子對曰有顔回者好學不遷怒不貳過不幸短命死矣今也則亡未聞好學者也,遷移也貳復也怒於甲者不移於乙過於前者不復於後顔子克己之功至於如此可謂眞好學矣短命者顔子三十二而卒也旣云今也則亡又言未聞好學者蓋深惜之又以見眞好學者之難得也,哀公問：“弟子孰爲好學？”孔子對曰：“有顔回者好學，不遷怒，不貳過。不幸短命死矣！今也則亡，未聞好學者也。”,遷，移也。貳，復也。怒於甲者，不移於乙；過於前者，不復於後。顔子克己之功至於如此，可謂眞好學矣。短命者，顔子三十二而卒也。旣云今也則亡，又言未聞好學者，蓋深惜之，又以見眞好學者之難得也。,"애공(哀公)이 “제자중(弟子中)에 누가 학문(學問)을 좋아합니까?” 하고 묻자, 공자(孔子)께서 대답하셨다. “안회(顔回)라는 자(者)가 학문(學問)을 좋아하여 노여움을 남에게 옮기지 않으며 잘못을 두 번 다시 저지르지 않았는데, 불행(不幸)히도 명(命)이 짧아 죽었습니다. 그리하여 지금은 없으니, 아직 학문(學問)을 좋아한다는 자를 듣지 못하였습니다.”","천(遷)은 옮김이요, 이(貳)는 다시 하는 것이니, 갑(甲)에게 화낸 것을 을(乙)에게 옮기지 않고, 전에 잘못한 것을 뒤에 다시 하지 않는 것이다. 안자(顔子)는 극기(克己)의 공부가 이와 같음에 이르렀으니, 참으로 학문(學問)을 좋아한다고 말할 만하다. 명(命)이 짧다는 것은 안자(顔子)가 32세(歲)에 죽었기 때문이다. 이미 지금은 없다고 말씀하고, 또 학문을 좋아한다는 자를 듣지 못했다고 말씀하였으니, 이는 깊이 애석히 여긴 것이요, 또한 참으로 학문(學問)을 좋아하는 자를 얻기 어려움을 나타내신 것이다."
,程子曰顔子之怒在物不在己故不遷有不善未嘗不知知之未嘗復行不貳過也又曰喜怒在事則理之當喜怒者也不在血氣則不遷若舜之誅四凶也可怒在彼己何與焉如鑑之照物姸媸在彼隨物應之而已何遷之有又曰如顔子地位豈有不善所謂不善只是微有差失纔差失便能知之纔知之便更不萌作張子曰慊於己者不使萌於再或曰詩書六藝七十子非不習而通也而夫子獨稱顔子爲好學顔子之所好果何學歟程子曰學以至乎聖人之道也學之道奈何曰天地儲精得五行之秀者爲人其本也眞而靜其未發也五性具焉曰仁義禮智信形旣生矣外物觸其形而動於中矣其中動而七情出焉曰喜怒哀懼愛惡欲情旣熾而益蕩其性鑿矣故覺者約其情使合於中正其心養其性而已然必先明諸心知所往然後力行以求至焉若顔子之非禮勿視聽言動不遷怒貳過者則其好之篤而學之得其道也然其未至於聖人者守之也非化之也假之以年則不日而化矣今人乃謂聖本生知非學可至而所以爲學者不過記誦文辭之間其亦異乎顔子之學矣,,程子曰：“顔子之怒，在物不在己，故不遷。有不善未嘗不知，知之未嘗復行，不貳過也。”又曰：“喜怒在事，則理之當喜怒者也，不在血氣則不遷。若舜之誅四凶也，可怒在彼，己何與焉。如鑑之照物，姸媸在彼，隨物應之而已，何遷之有？”又曰：“如顔子地位，豈有不善？所謂不善，只是微有差失。纔差失便能知之，纔知之便更不萌作。”張子曰：“慊於己者，不使萌於再。”或曰：“詩書六藝，七十子非不習而通也，而夫子獨稱顔子爲好學。顔子之所好，果何學歟？”程子曰：“學以至乎聖人之道也。”“學之道奈何？”曰：“天地儲精，得五行之秀者爲人。其本也眞而靜。其未發也五性具焉，曰仁、義、禮、智、信。形旣生矣，外物觸其形而動於中矣。其中動而七情出焉，曰喜、怒、哀、懼、愛、惡、欲。情旣熾而益蕩，其性鑿矣。故覺者約其情使合於中，正其心，養其性而已。然必先明諸心，知所往，然後力行以求至焉。若顔子之非禮勿視、聽、言、動，不遷怒貳過者，則其好之篤而學之得其道也。然其未至於聖人者，守之也，非化之也。假之以年，則不日而化矣。今人乃謂聖本生知，非學可至，而所以爲學者，不過記誦文辭之間，其亦異乎顔子之學矣。”,,"정자(程子)가 말씀하였다. “안자(顔子)의 화냄은 상대방에 있었고, 자신에게 있지 않았으므로 옮기지 않은 것이다. 선(善)하지 않은 것이 있으면 일찍이 알지 못한 적이 없고, 알면 일찍이 다시 행한 적이 없으셨으니, 잘못을 다시 하지 않은 것이다.” 또 말씀하였다. “기뻐하고 화냄이 <자신의 감정에 있지 않고 상대방의 행한>일에 있다면, 이것은 도리상 마땅히 기뻐하고 화내야 할 경우인 것이요, 혈기(血氣)에 있지 않다면 옮기지 않는 것이다. 예를 들면 순(舜)임금이 사흉(四凶)을 처벌할 때에 화낼 만한 것이 저들에게 있었으니, 자신이 무슨 관여가 있었겠는가? 마치 거울이 물건을 비춤에, 모습의 아름다움과 추함이 저쪽에 달려 있는 것과 같아서 사물에 따라 대응할 따름이니, 어찌 화를 옮김이 있겠는가.” 또 말씀하였다. “안자(顔子)의 지위[경지]와 같으면 어찌 선(善)하지 않음이 있겠는가. 이른바 선(善)하지 않다는 것은 다만 약간의 잘못이 있는 것이니, 잠시라도 잘못이 있으면 곧 알았고, 알기만 하면 곧 다시는 싹터 나오지 않게 한 것이다.” 장자(張子)가 말씀하였다. “자신의 마음에 부족하다고 느껴진 행동을 두 번 다시 싹트지 않게 한 것이다.” 혹자가 말하였다. “시(詩)·서(書)와 육예(六藝)[예(禮)·악(樂)·사(射)·어(御)·서(書)·수(數)]를 70제자(弟子)가 익혀 통하지 않은 것이 아니지만, 부자(夫子)께서 유독 안자(顔子)만이 학문(學問)을 좋아했다고 칭찬하였으니, 안자(顔子)가 좋아한 것은 과연 어떤 학문입니까?” 정자(程子)가 말씀하였다. “배워서 성인(聖人)에 이르는 방법이었다.” “배우는 방법은 어떻게 하는 것입니까?” 하니, 말씀하였다. “천지(天地)가 정기(精氣)를 쌓아 <만물을 낳았는데> 오행(五行)의 빼어난 정기(精氣)를 얻은 것이 사람이니, 그 본체는 참되고 고요하다. 이것이 미발(未發)했을 때에는 오성(五性)이 구비되어 있으니, 인(仁)·의(義)·예(禮)·지(智)·신(信)이다. 그리고 형체가 이미 생기고 나면 외물(外物)이 그 형체에 접촉되어 마음이 움직인다. 그 마음이 움직여 칠정(七情)이 나오니, 희(喜)·노(怒)·애(哀)·구(懼)·애(愛)·악(惡)·욕(欲)이다. 감정이 이미 성해져 더욱 방탕해지면 그 본성(本性)을 잃게 된다. 그러므로 선각자는 정(情)을 단속하여 중도(中道)에 합하게 하고, 그 마음을 바루어 본성(本性)을 기를 뿐이다. 그러나 반드시 먼저 마음을 밝혀서 갈 곳을 안 뒤에야 힘써 행하여 도(道)에 이르기를 구할 수 있는 것이다. 예를 들면 안자(顔子)의 예(禮)가 아니면 보거나 듣거나 말하거나 동(動)하지 않은 것과 화를 남에게 옮기거나 잘못을 다시 되풀이하지 않음과 같은 것이니, 이는 그 좋아함이 독실하고 배움에 그 요령을 얻은 것이다. 그러나 그 성인(聖人)의 경지에 도달하지 못한 것은 지킨 것이요 저절로 화(化)한 것이 아니기 때문이니, 몇 년만 수명을 연장해 주었다면 며칠이 되지 않아 저절로 화(化)하였을 것이다. 지금 사람들은 마침내 생각하기를 ‘성인(聖人)은 본래 태어나면서부터 아는 것이니, 배워서 도달할 수 있는 것이 아니다.’라고 여겨, 학문(學問)하는 것이 단지 글을 기억하거나 외우며 문장을 짓는 데에 지나지 않으니, 그 또한 안자(顔子)의 학문(學問)과는 다른 것이다.”"
子華使於齊冉子爲其母請粟子曰與之釜請益曰與之庾冉子與之粟五秉,子華公西赤也使爲孔子使也釜六斗四升庾十六斗秉十六斛,子華使於齊，冉子爲其母請粟。子曰：“與之釜。”請益。曰：“與之庾。”冉子與之粟五秉。,子華，公西赤也。使，爲孔子使也。釜，六斗四升。庾，十六斗。秉，十六斛。,"자화(子華)가 <공자(孔子)를 위하여> 제(齊)나라에 심부름을 가자, 염자(冉子)가 그의 어머니를 위해 곡식을 줄 것을 요청하니, 공자(孔子)께서 “부(釜)를 주어라.” 하셨다. 더 줄 것을 요청하자, 공자(孔子)께서 “유(庾)를 주어라.” 하셨는데, 이보다 많은 5병(秉)을 주었다.","자화(子華)는 공서적(公西赤)이다. 시(使)는 공자(孔子)를 위하여 심부름을 간 것이다. 부(釜)는 6두(斗) 4승(升)이고, 유(庾)는 16두(斗)이며, 병(秉)은 16곡(斛)[섬]이다."
子曰赤之適齊也乘肥馬衣輕裘吾聞之也君子周急不繼富,乘肥馬衣輕裘言其富也急窮迫也周者補不足繼者續有餘,子曰：“赤之適齊也，乘肥馬，衣輕裘。吾聞之也，君子周急不繼富。”,乘肥馬、衣輕裘，言其富也。急，窮迫也。周者，補不足。繼者，續有餘。,"공자(孔子)께서 말씀하였다. “적(赤)[자화(子華)]이 제(齊)나라에 갈 때에 살찐 말을 타고 가벼운 갖옷을 입었다. 내가 들으니, ‘군자(君子)는 궁박(窮迫)한 자를 돌봐주고 부유(富裕)한 자를 계속 대주지 않는다.’하였다.”","살찐 말을 타고 가벼운 갖옷을 입었다는 것은 부유함을 말한 것이다. 급(急)은 궁박(窮迫)한 것이다. 주(周)는 부족(不足)한 이를 도와주는 것이요, 계(繼)란 여유가 있는 이를 계속 대주는 것이다."
原思爲之宰與之粟九百辭,原思孔子弟子名憲孔子爲魯司寇時以思爲宰粟宰之祿也九百不言其量不可考,原思爲之宰，與之粟九百，辭。,原思，孔子弟子，名憲。孔子爲魯司寇時，以思爲宰。粟，宰之祿也。九百不言其量，不可考。,"원사(原思)가 <공자(孔子)의> 가신(家臣)〔宰〕이 되었는데, <공자(孔子)께서> 곡식 9백을 주자, 사양하였다.","원사(原思)는 공자(孔子)의 제자(弟子)이니, 이름은 헌(憲)이다. 공자(孔子)께서 노(魯)나라 사구(司寇)가 되었을 때에 원사(原思)를 가신(家臣)으로 삼았다. 속(粟)은 가신(家臣)의 녹봉이다. 9백은 그 양(量)을 말하지 않았으니, 상고할 수 없다."
