대문,주석,대문표점,주석표점,대문해석,주석해석
子曰述而不作信而好古竊比於我老彭,述傳舊而已作則創始也故作非聖人不能而述則賢者可及竊比尊之之辭我親之之辭老彭商賢大夫見大戴禮蓋信古而傳述者也孔子刪詩書定禮樂贊周易修春秋皆傳先王之舊而未嘗有所作也故其自言如此蓋不惟不敢當作者之聖而亦不敢顯然自附於古之賢人蓋其德愈盛而心愈下不自知其辭之謙也然當是時作者略備夫子蓋集群聖之大成而折衷之其事雖述而功則倍於作矣此又不可不知也,子曰：“述而不作，信而好古，竊比於我老彭。”,述，傳舊而已。作，則創始也。故作非聖人不能，而述則賢者可及。竊比，尊之之辭。我，親之之辭。老彭，商賢大夫，見大戴禮，蓋信古而傳述者也。孔子刪詩書，定禮樂，贊周易，修春秋，皆傳先王之舊，而未嘗有所作也，故其自言如此。蓋不惟不敢當作者之聖，而亦不敢顯然自附於古之賢人；蓋其德愈盛而心愈下，不自知其辭之謙也。然當是時，作者略備，夫子蓋集群聖之大成而折衷之。其事雖述，而功則倍於作矣，此又不可不知也。,"공자(孔子)께서 말씀하셨다. “전술(傳述)하기만 하고 창작(創作)하지 않으며, 옛것을 믿고 좋아함을 내 저으기 우리 노팽(老彭)에게 견주노라.”","술(述)은 옛것을 전술(傳述)하는 것일 뿐이요, 작(作)은 처음으로 창작(創作)하는 것이다. 그러므로 작(作)은 성인(聖人)이 아니면 불가능하지만 술(述)은 현자(賢者)도 미칠 수 있는 것이다. 절비(竊比)는 그를 높이는 말이요, 아(我)는 그를 친근하게 여기는 말이다. 노팽(老彭)은 상(商)나라의 어진 대부(大夫)로 《대대례(大戴禮)》에 보이는데 아마도 옛것을 믿어 전술(傳述)한자인 듯하다. 공자(孔子)는 《시(詩)》·《서(書)》를 산삭(刪削)하고, 예악(禮樂)을 정리하였으며 《주역(周易)》을 찬술(贊述)[부연]하고 《춘추(春秋)》를 편수(編修)하여 모두 선왕(先王)의 옛것을 전술(傳述)하였고 일찍이 창작(創作)한 것이 있지 않았다. 그러므로 스스로 말씀하시기를 이와 같이 한 것이다. 이는 창작(創作)을 하는 성인(聖人)으로 자처하지 않았을 뿐만 아니라, 감히 드러내놓고 옛 현인(賢人)에게도 스스로 붙이지 못한 것이니, 그 덕(德)이 더욱 높아질수록 마음이 더욱 겸손해져서, 자신도 그 말씀이 겸손한 것임을 알지 못하신 것이다. 그러나 당시에 창작(創作)은 대략 갖추어졌으니, 공자(孔子)는 여러 성인(聖人)을 집대성(集大成)하여 절충(折衷)하셨다. 그러하니 공자(孔子)가 하신 일은 비록 전술(傳述)에 불과 하였으나 그 공(功)은 창작(創作)보다 곱절이나 된다. 이 또한 알지 않으면 안 된다."
子曰默而識之學而不厭誨人不倦何有於我哉,識記也默識謂不言而存諸心也一說識知也不言而心解也前說近是何有於我言何者能有於我也三者已非聖人之極至而猶不敢當則謙而又謙之辭也,子曰：“默而識之，學而不厭，誨人不倦，何有於我哉？”,識，記也。默識，謂不言而存諸心也。一說：識，知也，不言而心解也。前說近是。何有於我，言何者能有於我也。三者已非聖人之極至，而猶不敢當，則謙而又謙之辭也。,"공자(孔子)게서 말씀하셨다. “묵묵히 기억하며 배우고 싫어하지 않으며 사람 가르치기를 게을리 하지 않는 것, 이중에 어느 것이 나에게 있겠는가?”","지(識)는 기억함이니, 묵묵히 기억한다 함은 말하지 않으면서도 마음에 간직함을 말한다. 일설(一說)에 식(識)은 앎이니, 말하지 않아도 마음속에 이해되는 것이라 하는데, 전설(前說)이 옳은 듯하다. 하유어아(何有於我)는 어느 것이 나에게 있겠는가 라는 말이다. 세 가지의 일은 성인(聖人)의 지극한 일이 아닌데도 오히려 자처하지 않았으니, 겸손하고 또 겸손한 말씀이다."
子曰德之不修學之不講聞義不能徙不善不能改是吾憂也,尹氏曰德必修而後成學必講而後明見善能徙改過不吝此四者日新之要也苟未能之聖人猶憂況學者乎,子曰：“德之不修，學之不講，聞義不能徙，不善不能改，是吾憂也。”,尹氏曰：“德必修而後成，學必講而後明，見善能徙，改過不吝，此四者日新之要也。苟未能之，聖人猶憂，況學者乎？”,공자(孔子)께서 말씀하셨다. “덕(德)이 닦아지지 못함과 학문이 강마(講磨)되지 못함과 의(義)를 듣고 옮겨가지 못함과 불선(不善)을 고치지 못하는 것이 바로 나의 걱정거리이다.”,"윤씨(尹氏)가 말하였다. “덕(德)은 반드시 닦은 뒤에야 이루어지고, 학문은 반드시 강마(講磨)한 뒤에야 밝아지며, 선(善)을 보면 능히 옮기고, 허물을 고침에 인색하지 않는 이 네 가지 일은 나날이 새롭게 하는 공부의 요체(要諦)이다. 만일 이에 능하지 못한다면 성인(聖人)도 근심하였으니, 하물며 배우는 자에 있어서랴!”"
子之燕居申申如也夭夭如也,燕居閒暇無事之時楊氏曰申申其容舒也夭夭其色愉也,子之燕居，申申如也，夭夭如也。,燕居，閒暇無事之時。楊氏曰：“申申，其容舒也。夭夭，其色愉也。”,공자(孔子)께서 한가로이 계실 적에 그 모습은 신신(申申)[활짝 폄]하시며 요요(夭夭)[온화함]하셨다.,"연거(燕居)는 한가하여 일이 없는 때이다. 양씨(楊氏)가 말하였다. “신신(申申)은 용모가 펴진 것이요, 요요(夭夭)는 얼굴빛이 온화한 것이다.”"
,程子曰此弟子善形容聖人處也爲申申字說不盡故更著夭夭字今人燕居之時不怠惰放肆必太嚴厲嚴厲時著此四字不得怠惰放肆時亦著此四字不得惟聖人便自有中和之氣,,程子曰：“此弟子善形容聖人處也，爲申申字說不盡，故更著夭夭字。今人燕居之時，不怠惰放肆，必太嚴厲。嚴厲時著此四字不得，怠惰放肆時亦著此四字不得，惟聖人便自有中和之氣。”,,"정자(程子)가 말씀하였다. “이것은 제자(弟子)가 성인(聖人)[공자(孔子)]을 잘 형용한 부분이다. 신신(申申)이라는 글자만으로는 다 설명할 수 없으므로 다시 요요(夭夭)라는 글자를 놓은 것이다. 지금 사람들은 한가로이 지낼 때에는 게으르거나 방사(放肆)하지 않으면 반드시 지나치게 엄하다. 지나치게 엄할 때에는 신신(申申) 요요(夭夭)라는 네 글자를 놓을 수 없으며, 게으르거나 방사(放肆)할 적에도 이 네 글자를 놓을 수 없으니, 오직 성인(聖人)은 저절로 중화(中和)의 기상이 있는 것이다.”"
子曰甚矣吾衰也久矣吾不復夢見周公,孔子盛時志欲行周公之道故夢寐之間如或見之至其老而不能行也則無復是心而亦無復是夢矣故因此而自歎其衰之甚也,子曰：“甚矣吾衰也！久矣吾不復夢見周公。”,孔子盛時，志欲行周公之道，故夢寐之間，如或見之。至其老而不能行也，則無復是心，而亦無復是夢矣，故因此而自歎其衰之甚也。,공자(孔子)께서 말씀하셨다. “심하도다. 나의 쇠함이여! 오래되었다. 내 다시는 꿈속에서 주공(周公)을 뵙지 못하였다.”,"공자(孔子)가 젊었을 때에는 주공(周公)의 도(道)를 행하려는 뜻을 두었기 때문에 꿈속에서 혹 주공(周公)을 뵈었었는데, 늙어서 도(道)를 행할 수 없음에 이르러서는 다시 이러한 마음이 없어져 꿈속에서도 다시 주공(周公)을 뵙지 못하였다. 그러므로 이로 인하여 자신의 쇠함이 심함을 못내 자탄(自歎)하신 것이다."
,程子曰孔子盛時寤寐常存行周公之道及其老也則志慮衰而不可以有爲矣蓋存道者心無老少之異而行道者身老則衰也,,程子曰：“孔子盛時，寤寐常存行周公之道；及其老也，則志慮衰而不可以有爲矣。蓋存道者心，無老少之異；而行道者身，老則衰也。”,,"정자(程子)가 말씀하였다. “공자(孔子)가 젊었을 때에는 자나깨나 늘 주공(周公)의 도(道)를 행하려는 마음을 두셨는데, 늘그막에 이르러서는 의지가 쇠하여 할 수가 없게 되었다. 도(道)를 두는 것은 마음이니 마음은 노소(老少)의 차이가 없거니와, 도(道)를 행하는 것은 몸이니 몸은 늙으면 쇠하는 법이다.”"
子曰志於道,志者心之所之之謂道則人倫日用之間所當行者是也知此而心必之焉則所適者正而無他歧之惑矣,子曰：“志於道，,志者，心之所之之謂。道，則人倫日用之間所當行者是也。知此而心必之焉，則所適者正，而無他歧之惑矣。,"공자(孔子)께서 말씀하셨다. “도(道)에 뜻을 두며,","지(志)는 마음이 지향해 가는 것을 말한다. 도(道)는 곧 인륜과 일상생활하는 사이에 마땅히 행하여야할 것이 이것이다. 이것을 알아서 마음이 반드시 거기에 가 있다면 가는 것이 올 바라서, 딴 길로 향하는 미혹이 없을 것이다."
據於德,據者執守之意德則行道而有得於心者也得之於心而守之不失則終始惟一而有日新之功矣,據於德，,據者，執守之意；德則行道而有得於心者也。得之於心而守之不失，則終始惟一，而有日新之功矣。,"덕(德)을 굳게 지키며,","거(據)는 꼭 잡아 지킨다는 뜻이요, 덕(德)은 곧 도(道)를 행하여 마음에 얻는 것이다. 마음에 도(道)를 얻고 그것을 잘 지켜 잃지 않는다면, 종시(終始)가 한결같아서 나날이 새로워지는 공효(功效)가 있을 것이다."
依於仁,依者不違之謂仁則私欲盡去而心德之全也工夫至此而無終食之違則存養之熟無適而非天理之流行矣,依於仁，,依者，不違之謂。仁，則私欲盡去而心德之全也。工夫至此而無終食之違，則存養之熟，無適而非天理之流行矣。,"인(仁)에 의지하며,","의(依)는 떠나지 않음을 이름이요, 인(仁)은 곧 사욕(私慾)이 모두 없어져 심덕(心德)이 온전한 것이다. 공부(功夫)가 여기에 이르러 밥 한 그릇 먹는 사이라도 인(仁)을 떠나지 않는다면 존양(存養)이 익숙해져서 가는 곳마다 천리(天理)의 유행(流行) 아님이 없을 것이다."
