대문,주석,대문표점,주석표점,대문해석,주석해석
子曰泰伯其可謂至德也已矣三以天下讓民無得而稱焉,泰伯周大王之長子至德謂德之至極無以復加者也三讓謂固遜也無得而稱其遜隱微無迹可見也蓋大王三子長泰伯次仲雍次季歷大王之時商道浸衰而周日彊大季歷又生子昌有聖德大王因有翦商之志而泰伯不從大王遂欲傳位季歷以及昌泰伯知之卽與仲雍逃之荊蠻於是大王乃立季歷傳國至昌而三分天下有其二是爲文王文王崩子發立遂克商而有天下是爲武王夫以泰伯之德當商周之際固足以朝諸侯有天下矣乃棄不取而又泯其迹焉則其德之至極爲如何哉蓋其心卽夷齊扣馬之心而事之難處有甚焉者宜夫子之歎息而贊美之也泰伯不從事見春秋傳,子曰：“泰伯，其可謂至德也已矣！三以天下讓，民無得而稱焉。”,泰伯，周大王之長子。至德，謂德之至極，無以復加者也。三讓，謂固遜也。無得而稱，其遜隱微，無迹可見也。蓋大王三子：長泰伯，次仲雍，次季歷。大王之時，商道浸衰，而周日彊大。季歷又生子昌，有聖德。大王因有翦商之志，而泰伯不從，大王遂欲傳位季歷以及昌。泰伯知之，卽與仲雍逃之荊蠻。於是大王乃立季歷，傳國至昌，而三分天下有其二，是爲文王。文王崩，子發立，遂克商而有天下，是爲武王。夫以泰伯之德，當商周之際，固足以朝諸侯有天下矣，乃棄不取而又泯其迹焉，則其德之至極爲如何哉！蓋其心卽夷齊扣馬之心，而事之難處有甚焉者，宜夫子之歎息而贊美之也。泰伯不從，事見春秋傳。,공자(孔子)께서 말씀하셨다. “태백(泰伯)은 지극한 덕(德)이 있다고 이를 만하다. 세 번 천하(天下)를 <굳이> 사양하였으나 백성들이 그 덕(德)을 칭송할 수 없게 하였구나!”,"태백(泰伯)은 주(周)나라 태왕(大王)의 장자(長子)이다. 지덕(至德)은 덕(德)이 지극하여 다시 더할 것이 없음을 말한다. 세 번 사양함이란 굳이 사양함을 말한다. 칭송할 수가 없게 하였다 함은 은미하여 자취를 볼 수 없는 것이다. 태왕(大王)은 세 아들이 있었는데, 장자(長子)는 태백(泰伯), 차자(次子)는 중옹(仲雍), 삼자(三子)는 계력(季歷)이다. 태왕(大王) 때에 상(商)나라의 정치는 점차 쇠약해지고 주(周)나라는 날로 강대해졌으며, 또 계력(季歷)이 아들 창(昌)을 낳았는데 성덕(聖德)이 있었다. 이에 태왕(大王)은 이로 인하여 상(商)나라를 칠 생각이 있었는데 태백(泰伯)이 따르지 않으니, 태왕(大王)은 마침내 왕위(王位)를 계력(季歷)에게 전하여 창(昌)에게 미치게 하고자 하였다. 태백(泰伯)은 이것을 알고 곧 중옹(仲雍)과 함께 형만(荊蠻)으로 도망하였다. 태왕(大王)은 마침내 계력(季歷)에게 나라를 물려주어 창(昌)에게 이르러서는 천하(天下)의 3분의 2를 소유하니, 이가 바로 문왕(文王)이다. 문왕(文王)이 죽고 아들 발(發)이 즉위하여 마침내 상(商)나라를 <정벌(征伐)하여> 이기고 천하(天下)를 소유하니, 이가 바로 무왕(武王)이다. 태백(泰伯)의 덕(德)으로, 상(商)나라와 주(周)나라의 교체시기를 당하여 진실로 제후들의 조회를 받고 천하(天下)를 소유할 수 있었다. 그런데도 그는 마침내 이것을 버리고 취하지 아니하였으며, 또 그 사양한 자취마저 민멸(泯滅)하였으니, 그 덕(德)의 지극함이 어떠한가? 그 마음은 바로 백이(伯夷)와 숙제(叔齊)가 <무왕(武王)의> 말고삐를 잡고 상(商)나라 정벌(征伐)을 간(諫)하던 심정이나 일의 난처함은 그보다 더 심하였으니, 부자(夫子)께서 탄식하고 찬미하심은 당연하다 하겠다. 태백(泰伯)이 태왕(大王)의 뜻에 따르지 않은 사실은 《춘추좌전(春秋左傳)》에 보인다."
子曰恭而無禮則勞愼而無禮則葸勇而無禮則亂直而無禮則絞,葸畏懼貌絞急切也無禮則無節文故有四者之弊,子曰：“恭而無禮則勞，愼而無禮則葸，勇而無禮則亂，直而無禮則絞。,葸，畏懼貌。絞，急切也。無禮則無節文，故有四者之弊。,"공자(孔子)께서 말씀하셨다. “공손하되 예(禮)가 없으면 수고롭고, 삼가되 예(禮)가 없으면 두렵고, 용맹스럽되 예(禮)가 없으면 혼란하고, 강직하되 예(禮)가 없으면 너무 급하다.”",시(葸)는 두려워하는 모양이다. 교(絞)는 매우 급하여 너그럽지 못한 것이다. 예(禮)가 없으면 절문(節文)이 없으므로 네 가지의 폐단이 있는 것이다.
君子篤於親則民興於仁故舊不遺則民不偸,君子謂在上之人也興起也偸薄也,君子篤於親，則民興於仁；故舊不遺，則民不偸。”,君子，謂在上之人也。興，起也。偸，薄也。,"군자(君子)[위정자(爲政者)]가 친척에게 후하게 하면 백성들이 인(仁)에 흥기(興起)하고, 친구를 버리지 않으면 백성들의 인심이 각박해지지 않는다.”",군자(君子)는 윗자리에 있는 사람을 말한다. 흥(興)은 흥기(興起)이다. 투(偸)는 각박함이다.
,張子曰人道知所先後則恭不勞愼不葸勇不亂直不絞民化而德厚矣,,張子曰：“人道知所先後，則恭不勞、愼不葸、勇不亂、直不絞，民化而德厚矣。”,,"장자(張子)가 말씀하였다. “사람의 도리에 먼저 해야 할 것과 뒤에 해야 할 것을 알면 공손해도 수고롭지 않고, 삼가도 두렵지 않고, 용맹스러워도 난리를 일으키지 않고, 곧아도 급하지 않아, 백성들이 교화(敎化)되어 덕(德)이 후해질 것이다.”"
,吳氏曰君子以下當自爲一章乃曾子之言也愚按此一節與上文不相蒙而與首篇謹終追遠之意相類吳說近是,,吳氏曰：“君子以下，當自爲一章，乃曾子之言也。”愚按：此一節與上文不相蒙，而與首篇謹終追遠之意相類，吳說近是。,,"오씨(吳氏)는 “군자(君子) 이하는 마땅히 별도로 한 장(章)이 되어야 하니, 이것은 곧 증자(曾子)의 말씀이다.” 하였다. 내가 상고해 보니, 이 한 절(節)은 위 글과 서로 연결되지 않고 수편(首篇)[학이편(學而篇)]의 상사(喪事)를 삼가고 옛 조상을 추모한다〔愼終追遠〕는 뜻과 서로 유사하니, 오씨(吳氏)의 말이 옳은 듯하다."
曾子有疾召門弟子曰啓予足啓予手詩云戰戰兢兢如臨深淵如履薄冰而今而後吾知免夫小子,啓開也曾子平日以爲身體受於父母不敢毁傷故於此使弟子開其衾而視之詩小旻之篇戰戰恐懼兢兢戒謹臨淵恐墜履冰恐陷也曾子以其所保之全示門人而言其所以保之之難如此至於將死而後知其得免於毁傷也小子門人也語畢而又呼之以致反復丁寧之意其警之也深矣,曾子有疾，召門弟子曰：“啓予足！啓予手！詩云‘戰戰兢兢，如臨深淵，如履薄冰。’而今而後，吾知免夫！小子！”,啓，開也。曾子平日以爲身體受於父母，不敢毁傷，故於此使弟子開其衾而視之。詩小旻之篇。戰戰，恐懼。兢兢，戒謹。臨淵，恐墜；履冰，恐陷也。曾子以其所保之全示門人，而言其所以保之之難如此；至於將死，而後知其得免於毁傷也。小子，門人也。語畢而又呼之，以致反復丁寧之意，其警之也深矣。,"증자(曾子)가 병(病)이 위중하자, 제자(弟子)들을 불러 말씀하였다. “<이불을 걷고> 나의 발과 손을 보아라. 《시경(詩經)》에 이르기를 ‘전전(戰戰)하고 긍긍(兢兢)하여, 깊은 못에 임한 듯이 하고, 엷은 얼음을 밟는 듯이 하라.’하였으니, 이제서야 나는 <이 몸을 훼상시킬까 하는 근심에서> 면한 것을 알겠구나, 소자(小子)[제자]들아!”","계(啓)는 여는 것이다. 증자(曾子)는 평소에 ‘신체는 부모(父母)에게 받았으니, 감히 훼상할 수 없다.’하였다. 그러므로 이때에 제자(弟子)들로 하여금 이불을 걷고 자신의 손과 발을 보게 한 것이다. 시(詩)는 〈소민편(小旻篇)〉이다. 전전(戰戰)은 두려워하는 것이고, 긍긍(兢兢)은 경계하고 삼가는 것이다. 못에 임한 듯이 한다 함은 떨어질까 두려워하는 것이고, 얼음을 밟는 듯이 한다 함은 빠질까 두려워하는 것이다. 증자(曾子)는 온전히 보전한 것을 문인(門人)들에게 보여주고, 그 보전함의 어려움이 이와 같아서 장차 죽음에 이른 뒤에야 훼상함을 면할 수 있음을 알았다고 말씀한 것이다. 소자(小子)는 문인(門人)이다. 말을 마치고 다시 <문인들을> 부른 것은 반복하고 간곡히 당부하는 뜻을 극진히 하신 것이니, 그 경계함이 깊다."
,程子曰君子曰終小人曰死君子保其身以沒爲終其事也故曾子以全歸爲免矣尹氏曰父母全而生之子全而歸之曾子臨終而啓手足爲是故也非有得於道能如是乎范氏曰身體猶不可虧也況虧其行以辱其親乎,,程子曰：“君子曰終，小人曰死。君子保其身以沒，爲終其事也，故曾子以全歸爲免矣。”尹氏曰：“父母全而生之，子全而歸之。曾子臨終而啓手足，爲是故也。非有得於道，能如是乎？”范氏曰：“身體猶不可虧也，況虧其行以辱其親乎？”,,"정자(程子)가 말씀하였다. “군자(君子)의 죽음을 종(終)이라 하고, 소인(小人)의 죽음을 사(死)라 한다. 군자(君子)는 몸을 보전하고 죽는 것을 자신의 일을 마치는 것으로 여긴다. 그러므로 증자(曾子)께서 몸을 온전히 보전하고 돌아감으로써 면함을 삼은 것이다.” 윤씨(尹氏)가 말하였다. “부모(父母)가 이 몸을 온전히 낳아 주셨으니, 자식이 온전히 보전하고 돌아가야 한다. 증자(曾子)께서 임종시(臨終時)에 이불을 걷고 손과 발을 보여 주심은 이 때문이었다. 도(道)에 터득함이 있지 않았다면 어찌 이와 같을 수 있겠는가?” 범씨(范氏)가 말하였다. “신체(身體)도 오히려 훼손할 수 없는데, 하물며 그 행실을 훼손하여 어버이를 욕되게 할 수 있겠는가?”"
曾子有疾孟敬子問之,孟敬子魯大夫仲孫氏名捷問之者問其疾也,曾子有疾，孟敬子問之。,孟敬子，魯大夫仲孫氏，名捷。問之者，問其疾也。,"증자(曾子)가 병환이 있자, 맹경자(孟敬子)가 문병(問病)을 왔다.","맹경자(孟敬子)는 노(魯)나라 대부(大夫) 중손씨(仲孫氏)이니, 이름은 첩(捷)이다. 문(問)은 문병이다."
曾子言曰鳥之將死其鳴也哀人之將死其言也善,言自言也鳥畏死故鳴哀人窮反本故言善此曾子之謙辭欲敬子知其所言之善而識之也,曾子言曰：“鳥之將死，其鳴也哀；人之將死，其言也善。,言，自言也。鳥畏死，故鳴哀。人窮反本，故言善。此曾子之謙辭，欲敬子知其所言之善而識之也。,"증자(曾子)가 말씀하였다. “새가 장차 죽을 때에는 울음소리가 애처롭고, 사람이 장차 죽을 때에는 그 말이 착한 법이다.”","언(言)은 스스로 말하는 것이다. 새는 죽음을 두려워하므로 울음소리가 애처롭고, 사람은 궁하면 근본으로 돌아가므로 말이 착한 것이다. 이는 증자(曾子)의 겸사이니, 경자(敬子)로 하여금 그 말하는 것이 선(善)한 것임을 알아서 기억하게 하려고 한 것이다."
君子所貴乎道者三動容貌斯遠暴慢矣正顔色斯近信矣出辭氣斯遠鄙倍矣籩豆之事則有司存,貴猶重也容貌擧一身而言暴粗厲也慢放肆也信實也正顔色而近信則非色莊也辭言語氣聲氣也鄙凡陋也倍與背同謂背理也籩竹豆豆木豆言道雖無所不在然君子所重者在此三事而已是皆修身之要爲政之本學者所當操存省察而不可有造次顚沛之違者也若夫籩豆之事器數之末道之全體固無不該然其分則有司之守而非君子之所重矣程子曰動容貌擧一身而言也周旋中禮暴慢斯遠矣正顔色則不妄斯近信矣出辭氣正由中出斯遠鄙倍三者正身而不外求故曰籩豆之事則有司存尹氏曰養於中則見於外曾子蓋以修己爲爲政之本若乃器用事物之細則有司存焉,君子所貴乎道者三：動容貌，斯遠暴慢矣；正顔色，斯近信矣；出辭氣，斯遠鄙倍矣。籩豆之事，則有司存。”,貴，猶重也。容貌，擧一身而言。暴，粗厲也。慢，放肆也。信、實也。正顔色而近信，則非色莊也。辭，言語。氣，聲氣也。鄙，凡陋也。倍，與背同，謂背理也。籩，竹豆。豆，木豆。言道雖無所不在，然君子所重者，在此三事而已。是皆修身之要、爲政之本，學者所當操存省察，而不可有造次顚沛之違者也。若夫籩豆之事，器數之末，道之全體固無不該，然其分則有司之守，而非君子之所重矣。程子曰：“動容貌，擧一身而言也。周旋中禮，暴慢斯遠矣。正顔色則不妄，斯近信矣。出辭氣，正由中出，斯遠鄙倍。三者正身而不外求，故曰籩豆之事則有司存。”尹氏曰“養於中則見於外，曾子蓋以修己爲爲政之本。若乃器用事物之細，則有司存焉。”,"군자(君子)가 귀중히 여기는 도(道)가 세 가지 있으니, “용모를 움직일 때에는 사나움과 태만함을 멀리하며, 얼굴빛을 바룰 때에는 성실(誠實)함에 가깝게 하며, 말과 소리를 낼 때에는 비루 함과 도리에 위배되는 것을 멀리하여야 한다. 제기(祭器)를 다루는 등의 소소한 일로 말하면 유사(有司)[담당자]가 있어 하는 것이다.”","귀(貴)는 중(重)[귀중]과 같다. 용모(容貌)는 온몸을 들어 말한 것이다. 포(暴)는 거칠고 사나운 것이다. 만(慢)은 방사(放肆)한 것이다. 신(信)은 성실함이니, 안색을 바룰 때에 성실함에 가깝게 한다면, 이는 얼굴빛만 장엄한 체하는 것이 아니다. 사(辭)는 언어(言語)이고 기(氣)는 소리와 숨이다. 비(鄙)는 비루한 것이고, 패(倍)는 배(背)와 같으니, 이치에 위배됨을 말한다. 변(籩)은 대나무로 만든 제기이고, 두(豆)는 나무로 만든 제기이다. 도(道)는 있지 않은 데가 없으나, 군자(君子)가 귀중히 여기는 것은 이 세 가지 일에 있을 뿐이다. 이는 모두 수신(修身)하는 요점이요, 정치하는 근본이니, 배우는 자들은 마땅히 조존(操存)하고 성찰(省察)하여 경황중〔造次〕이거나, 위급한 상황〔顚沛〕이라도 떠나서는 안 된다. 변두(籩豆)의 일로 말하면 기수(器數)의 지엽적인 것이니, 도(道)의 전체(全體)는 진실로 포함되지 않음이 없으나, 그러나 그 직분은 유사(有司)의 책임이고, 군자(君子)[위정자]가 귀중히 여기는 바가 아님을 말씀한 것이다. 정자(程子)가 말씀하였다. “용모를 움직인다 함은 온몸을 들어 말한 것이니, 주선(周旋)[행동]함에 예(禮)에 맞으면 포만(暴慢)이 멀어질 것이다. 얼굴빛을 바루면 망령되지 않으니, 성실함에 가까워질 것이다. 말과 소리를 낼 때에 바로 중심(中心)에서 나오면 비패(鄙背)함이 멀어질 것이다. 이 세 가지는 몸을 바르게 하는 것이요, 밖에서 구하는 것이 아니다. 그러므로 변두(籩豆)의 일은 담당자가 있다고 말씀한 것이다.” 윤씨(尹氏)가 말하였다. “심중(心中)에 함양(涵養)하면 외모(外貌)에 드러나는 것이다. 증자(曾子)는 수신(修身)으로써 정치(政治)하는 근본(根本)을 삼았으니, 변두(籩豆) 등의 기물〔器用〕과 사물의 소소한 것으로 말하면 이것을 맡은 담당자가 따로 있는 것이다.”"
