대문,주석,대문표점,주석표점,대문해석,주석해석
子罕言利與命與仁,罕少也程子曰計利則害義命之理微仁之道大皆夫子所罕言也,子罕言利與命與仁。,罕，少也。程子曰：“計利則害義，命之理微，仁之道大，皆夫子所罕言也。”,공자(孔子)께서는 이(利)와 명(命)과 인(仁)을 드물게 말씀하셨다.,"한(罕)은 적은 것이다. 정자(程子)가 말씀하였다. “이(利)를 따지면 의(義)를 해치며, 명(命)의 이치(理致)는 은미하고, 인(仁)의 도(道)는 크니, 모두 부자(夫子)께서 드물게 말씀하신 것이다.”"
達巷黨人曰大哉孔子博學而無所成名,達巷黨名其人姓名不傳博學而無所成名蓋美其學之博而惜其不成一藝之名也,達巷黨人曰：“大哉孔子！博學而無所成名。”,達巷，黨名。其人姓名不傳。博學而無所成名，蓋美其學之博而惜其不成一藝之名也。,"달항당(達巷黨)의 사람이 말하기를 “위대하구나, 공자(孔子)여! 박학(博學)하였으나 <어느 한 가지로> 이름을 낸 것이 없구나.” 하였다.",달항(達巷)은 당(黨)[지역단위]의 이름이다. 그 사람의 성명(姓名)은 전하지 않는다. 박학(博學)하였으나 <어느 한 가지로> 이름을 낸 것이 없다는 것은 그 학문(學問)이 넓음을 찬미하면서도 한 기예(技藝)로 이름을 이루지 못했음을 애석히 여긴 것이다.
子聞之謂門弟子曰吾何執執御乎執射乎吾執御矣,執專執也射御皆一藝而御爲人僕所執尤卑言欲使我何所執以成名乎然則吾將執御矣聞人譽己承之以謙也,子聞之，謂門弟子曰：“吾何執？執御乎？執射乎？吾執御矣。”,執，專執也。射御皆一藝，而御爲人僕，所執尤卑。言欲使我何所執以成名乎？然則吾將執御矣。聞人譽己，承之以謙也。,공자(孔子)께서 이를 들으시고 문하(門下)의 제자(弟子)들에게 다음과 같이 말씀하셨다. “내 무엇을 전문(專門)으로 잡아야 하겠는가? 말 모는 일을 잡아야 하겠는가? 아니면 활 쏘는 일을 잡아야 하겠는가? 내 말 모는 일을 잡겠다.”,"집(執)은 전문(專門)으로 잡는 것이다. 사(射)와 어(御)는 한 기예(技藝)인데, 어(御)는 남의 마부가 되는 것이어서 잡는 일이 더욱 비천(卑賤)하다. “나로 하여금 어느 일을 전문으로 잡아서 이름을 이루게 하려고 하는가? 그렇다면 나는 장차 말 모는 일을 잡겠다.”고 말씀한 것이다. 이는 남이 자신을 칭찬하는 말을 듣고서 겸사(謙辭)로써 받으신 것이다."
,尹氏曰聖人道全而德備不可以偏長目之也達巷黨人見孔子之大意其所學者博而惜其不以一善得名於世蓋慕聖人而不知者也故孔子曰欲使我何所執而得爲名乎然則吾將執御矣,,尹氏曰：“聖人道全而德備，不可以偏長目之也。達巷黨人見孔子之大，意其所學者博，而惜其不以一善得名於世，蓋慕聖人而不知者也。故孔子曰，欲使我何所執而得爲名乎？然則吾將執御矣。”,,윤씨(尹氏)가 말하였다. “성인(聖人)은 도(道)가 온전하고 덕(德)이 완비되어 어느 한 가지 장기(長技)로 지목할 수 없다. 그러나 달항당(達巷黨) 사람은 공자(孔子)의 위대함을 보고서 생각하기를 그 배운 것이 넓으나 어느 한 가지 잘함으로 세상에 이름을 얻지 못했음을 애석히 여겼다. 그러하니 성인(聖人)을 흠모하였으나 성인(聖人)을 제대로 알지 못한 것이다. 그러므로 공자(孔子)께서 말씀하시기를 ‘나로 하여금 무슨 일을 전문적으로 잡아서 이름을 얻게 하려고 하는가? 그렇다면 말 모는 일을 잡겠다.’고 하신 것이다.”
子曰麻冕禮也今也純儉吾從衆,麻冕緇布冠也純絲也儉謂省約緇布冠以三十升布爲之升八十縷則其經二千四百縷矣細密難成不如用絲之省約,子曰：“麻冕，禮也；今也純，儉。吾從衆。,麻冕，緇布冠也。純，絲也。儉，謂省約。緇布冠，以三十升布爲之，升八十縷，則其經二千四百縷矣。細密難成，不如用絲之省約。,"공자(孔子)께서 말씀하셨다. “베로 만든 면류관이 <본래의>예(禮)이지만 지금에는 관(冠)을 생사(生絲)로 만드니, 검소(儉素)하다. 나는 여러 사람들〔時俗〕을 따르겠다.”","마면(麻冕)은 검정 베로 만든 치포관(緇布冠)이다. 준(純)은 실〔絲〕이다. 검(儉)은 생략(省約)됨을 말한다. 치포관(緇布冠)은 30새〔升〕의 베로 만드는데 1승(升)은 80올이니, 그 날실〔經〕이 2천 4백 올이 된다. 이는 세밀하여 만들기가 어려우니, 생사(生絲)를 사용하여 <수공(手工)이> 생략(省約)됨만 못하다."
拜下禮也今拜乎上泰也雖違衆吾從下,臣與君行禮當拜於堂下君辭之乃升成拜泰驕慢也,拜下，禮也；今拜乎上，泰也。雖違衆，吾從下。”,臣與君行禮，當拜於堂下。君辭之，乃升成拜。泰，驕慢也。,"<당(堂)> 아래에서 절하는 것이 <본래의> 예(禮)인데, 지금은 <당(堂)> 위에서 절하니, 이는 교만(驕慢)하다. 나는 비록 사람들과 어긋난다 하더라도 <당(堂)> 아래에서 절하겠다.”","신하가 임금과 예(禮)를 행할 때에는 마땅히 당(堂) 아래에서 절해야 하며, 임금이 이를 사양하면 그제야 당(堂) 위로 올라가서 절을 끝낸다. 태(泰)는 교만함이다."
,程子曰君子處世事之無害於義者從俗可也害於義則不可從也,,程子曰：“君子處世，事之無害於義者，從俗可也；害於義，則不可從也。”,,"정자(程子)가 말씀하였다. “군자(君子)가 처세(處世)함에 있어서 일이 의리(義理)에 위배되지 않는 것은 세속(世俗)을 따르는 것이 괜찮지만, 의리(義理)에 해로울 경우에는 세속(世俗)을 따를 수 없는 것이다.”"
子絶四毋意毋必毋固毋我,絶無之盡者毋史記作無是也意私意也必期必也固執滯也我私己也四者相爲終始起於意遂於必留於固而成於我也蓋意必常在事前固我常在事後至於我又生意則物欲牽引循環不窮矣,子絶四：毋意，毋必，毋固，毋我。,絶，無之盡者。毋，史記作“無”是也。意，私意也。必，期必也。固，執滯也。我，私己也。四者相爲終始，起於意，遂於必，留於固，而成於我也。蓋意必常在事前，固我常在事後，至於我又生意，則物欲牽引，循環不窮矣。,"공자(孔子)는 네 가지의 마음이 전혀 없으셨으니, 사사로운 뜻이 없으셨으며, 기필 하는 마음이 없으셨으며, 집착하는 마음이 없으셨으며, 이기심이 없으셨다.","절(絶)은 전혀 없는 것이다. 무(毋)는 《사기(史記)》에는 무(無)로 되어 있으니, 이것이 옳다. 의(意)는 사사로운 뜻이요, 필(必)은 기필 하는 것이요, 고(固)는 집체(執滯)하는 것이요, 아(我)는 사사로운 자기를 뜻한다. 이 네 가지는 서로 시종(始終)이 되니, 즉 <어떤 일이> 사사로운 뜻에서 시작되어 기필 하는 마음에로 이행되고, 이것이 고집하는 데 머물러 이기적인 자아로 완성된다. 의(意)와 필(必)은 항상 일이 생기기 전에 있고, 고(固)와 아(我)는 항상 일이 생긴 뒤에 있다. <그러나> 아(我)가 다시 사의(私意)를 내게 되면 물욕(物慾)에 이끌려 끊임없이 반복 순환하게 된다."
,程子曰此毋字非禁止之辭聖人絶此四者何用禁止張子曰四者有一焉則與天地不相似楊氏曰非知足以知聖人詳視而默識之不足以記此,,程子曰：“此毋字，非禁止之辭。聖人絶此四者，何用禁止。”張子曰：“四者有一焉，則與天地不相似。”楊氏曰：“非知足以知聖人，詳視而默識之，不足以記此。”,,"정자(程子)가 말씀하였다. “여기의 무자(毋字)는 <의도적으로> 금지하는 말이 아니다. 성인(聖人)은 이 네 가지 마음이 전혀 없으시니, 어찌 <의도적으로> 금지할 필요가 있겠는가?” 장자(張子)가 말씀하였다. “위의 네 가지 중에 하나라도 <마음속에> 있으면 이는 천지(天地)와 서로 같지 못한 것이다.” 양씨(楊氏)가 말하였다. “지혜가 족히 성인(聖人)을 알 수 있고, 그를 자세히 살펴보아 묵묵히 깨닫는 자가 아니라면 <성인(聖人)의 이와 같은 점을> 기록할 수 없는 것이다.”"
子畏於匡,畏者有戒心之謂匡地名史記云陽虎曾暴於匡夫子貌似陽虎故匡人圍之,子畏於匡。,畏者，有戒心之謂。匡，地名。史記云：“陽虎曾暴於匡，夫子貌似陽虎，故匡人圍之。”,공자(孔子)께서 광(匡)땅에서 경계심을 품고 계셨다.,"외(畏)란 경계하는 마음을 품고 있음을 말한다. 광(匡)은 지명(地名)이다. 《사기(史記)》에 “양호(陽虎)가 일찍이 광(匡)땅에서 포악한 짓을 했었는데, 부자(夫子)의 모습이 양호(陽虎)와 유사했으므로 광(匡)땅 사람들이 <공자(孔子)를 양호(陽虎)로 오인하여> 포위했다.” 하였다."
曰文王旣沒文不在玆乎,道之顯者謂之文蓋禮樂制度之謂不曰道而曰文亦謙辭也玆此也孔子自謂,曰：“文王旣沒，文不在玆乎？,道之顯者謂之文，蓋禮樂制度之謂。不曰道而曰文，亦謙辭也。玆，此也，孔子自謂。,"공자(孔子)께서 말씀하셨다. “문왕(文王)이 이미 별세하셨으니, 문(文)이 이 몸에 있지 않겠는가?","도(道)가 드러난 것을 문(文)이라 하니, 예악(禮樂)과 제도(制度)를 말한다. 도(道)라고 말하지 않고, 문(文)이라고 한 것은 또한 <공자(孔子)의> 겸사(謙辭)이다. 자(玆)는 이것이니, 공자(孔子)께서 자신을 일컬으신 것이다."
