대문,주석,대문표점,주석표점,대문해석,주석해석
史記列傳曰孟軻騶人也受業子思之門人道旣通游事齊宣王宣王不能用適梁梁惠王不果所言則見以爲迂遠而闊於事情當是之時秦用商鞅楚魏用吳起齊用孫子田忌天下方務於合從連衡以攻伐爲賢而孟軻乃述唐虞三代之德是以所如者不合退而與萬章之徒序詩書述仲尼之意作孟子七篇,,史記列傳曰：“孟軻，騶人也，受業子思之門人。道旣通，游事齊宣王，宣王不能用。適梁，梁惠王不果所言，則見以爲迂遠而闊於事情。當是之時，秦用商鞅，楚魏用吳起，齊用孫子、田忌。天下方務於合從連衡，以攻伐爲賢。而孟軻乃述唐、虞、三代之德，是以所如者不合。退而與萬章之徒序詩書，述仲尼之意，作孟子七篇。”,(주석없음),"《사기(史記)》 열전(列傳)에 다음과 같이 기록되어 있다.  “맹가(孟軻)는 추(騶)땅 사람이니, 자사(子思)의 문인(門人)에게 수업(受業)하였다. 도(道)를 이미 통달하자, 제(齊)나라에 가서 선왕(宣王)을 섬겼으나 선왕(宣王)이 쓰지 못하였고, 양(梁)땅에 갔으나 양혜왕(梁惠王) 역시 말한 바를 행하지 못하였으니, 현실과 우원(迂遠)하여 사정(事情)과 거리가 멀다고 여김을 받았다. 이 때를 당하여 진(秦)나라에서는 상앙(商鞅)을 등용하고, 초(楚)나라와 위(魏)나라에서는 오기(吳起)를 등용하고, 제(齊)나라에서는 손자(孫子)와 전기(田忌)를 등용해서 천하(天下)가 막 합종(合縱)과 연횡(連橫)을 힘써 공격과 정벌을 훌륭한 것으로 여기고 있었는데, 맹가(孟軻)는 마침내 당우(唐虞)[요순(堯舜)]와 삼대(三代)의 덕(德)을 말씀하였다. 이 때문에 가는 곳마다 뜻이 합하지 못하자, 물러나 만장(萬章) 등의 문도(門徒)들과 더불어 《시경(詩經)》과 《서경(書經)》을 서술하고, 중니(仲尼)의 뜻을 기술하여 《맹자(孟子)》 7편(篇)을 지으셨다.”",(주석해석없음)
韓子曰堯以是傳之舜舜以是傳之禹禹以是傳之湯湯以是傳之文武周公文武周公傳之孔子孔子傳之孟軻軻之死不得其傳焉荀與揚也擇焉而不精語焉而不詳,,韓子曰：“堯以是傳之舜，舜以是傳之禹，禹以是傳之湯，湯以是傳之文、武、周公，文、武、周公傳之孔子，孔子傳之孟軻，軻之死不得其傳焉。荀與揚也，擇焉而不精，語焉而不詳。”,(주석없음),"한자(韓子)[한유(韓愈)]가 말하였다. “요(堯)임금은 이것을 순(舜)임금에게 전하시고, 순(舜)임금은 이것을 우왕(禹王)에게 전하시고, 우왕(禹王)은 이것을 탕왕(湯王)에게 전하시고, 탕왕(湯王)은 이것을 문왕(文王)·무왕(武王)과 주공(周公)에게 전하시고, 문왕(文王)·무왕(武王)과 주공(周公)은 이것을 공자(孔子)에게 전하시고, 공자(孔子)는 맹가(孟軻)에게 전하셨는데, 맹가(孟軻)가 죽자, 그 전함을 얻지 못하였다. 순자(荀子)[순황(荀況)]와 양자(揚子)[양웅(揚雄)]는 선택은 하였으나 정(精)하지 못하였고, 말은 하였으나 상세하지 못하였다.”",(주석해석없음)
又曰孟氏醇乎醇者也荀與揚大醇而小疵,,又曰：“孟氏醇乎醇者也。荀與揚，大醇而小疵。”,(주석없음),"또 말하였다. “맹자(孟子)는 순수하고 순수한 자요, 순자(荀子)와 양자(揚子)는 크게는 순수하나 약간의 하자(瑕疵)[병폐]가 있다.”",(주석해석없음)
又曰孔子之道大而能博門弟子不能徧觀而盡識也故學焉而皆得其性之所近其後離散分處諸侯之國又各以其所能授弟子源遠而末益分惟孟軻師子思而子思之學出於曾子自孔子沒獨孟軻氏之傳得其宗故求觀聖人之道者必自孟子始,,又曰：“孔子之道大而能博，門弟子不能徧觀而盡識也，故學焉而皆得其性之所近。其後離散，分處諸侯之國，又各以其所能授弟子，源遠而末益分。惟孟軻師子思，而子思之學出於曾子。自孔子沒，獨孟軻氏之傳得其宗。故求觀聖人之道者，必自孟子始。”,(주석없음),"또 말하였다. “공자(孔子)의 도(道)가 크고도 넓어서 문하(門下)의 제자(弟子)들이 두루 보고 다 알 수가 없었다. 그러므로 배움에 모두 그 성질[소질]의 가까운 바를 얻었는데, 그후 이산(離散)하여 제후(諸侯)의 나라에 나누어 거처하면서 또 각기 자기의 능한 것으로써 제자(弟子)들에게 전수해 주니, 근원(根源)이 멀어짐에 지엽(枝葉)이 더욱 나누어졌다. 오직 맹가(孟軻)는 자사(子思)를 스승으로 삼았는데, 자사(子思)의 학문(學問)은 증자(曾子)에게서 나왔으니, 공자(孔子)가 별세한 뒤로부터 유독 맹가씨(孟軻氏)의 전통(傳統)이 그 종주(宗主)를 얻었다. 그러므로 성인(聖人)의 도(道)를 관찰하고자 하는 자는 반드시 《맹자(孟子)》로부터 시작하여야 한다.”",(주석해석없음)
又曰揚子雲曰古者楊墨塞路孟子辭而闢之廓如也夫楊墨行正道廢孟子雖賢聖不得位空言無施雖切何補然賴其言而今之學者尙知宗孔氏崇仁義貴王賤霸而已其大經大法皆亡滅而不救壞爛而不收所謂存十一於千百安在其能廓如也然向無孟氏則皆服左衽而言侏離矣故愈嘗推尊孟氏以爲功不在禹下者爲此也,,又曰：“揚子雲曰：‘古者楊墨塞路，孟子辭而闢之，廓如也。’夫楊墨行，正道廢。孟子雖賢聖，不得位。空言無施，雖切何補。然賴其言，而今之學者尙知宗孔氏，崇仁義，貴王賤霸而已。其大經大法，皆亡滅而不救，壞爛而不收。所謂存十一於千百，安在其能廓如也？然向無孟氏，則皆服左衽而言侏離矣。故愈嘗推尊孟氏，以爲功不在禹下者，爲此也。”,(주석없음),"또 말하였다. “양자운(揚子雲)[양웅(揚雄)]이 말하기를 ‘옛날에 양주(楊朱)·묵적(墨翟)이 정도(正道)를 막았는데, 맹자(孟子)께서 말씀하여 물리쳐서 훤하게 열어놓았다.’ 하였다. 양주(楊朱)·묵적(墨翟)의 도(道)가 행해지면 정도(正道)가 폐해진다. 맹자(孟子)가 비록 현성(賢聖)이었으나 지위를 얻지 못해서 빈 말 뿐이요, 시행함이 없었으니, 비록 간절한들 무슨 보탬이 있었겠는가? 그러나 그 말씀을 힘입어서 지금의 배우는 자들이 아직도 공씨(孔氏)를 종주(宗主)로 삼고 인의(仁義)를 높이며, 왕도(王道)를 귀히 여기고, 패도(霸道)를 천히 여길 줄 알고 있다. <그러나> 이 뿐이요, 그 대경대법(大經大法)은 모두 없어져 구원하지 못하고, 파괴되어 수습되지 못하였으니, 이른바 천(千)과 백(百)에 십(十)과 일(一)이 남아 있다는 것이니, ‘훤하게 열어놓았다’는 것이 어디에 있는가? 그러나 지난번에 맹씨(孟氏)가 없었더라면 우리들은 다 왼쪽으로 옷깃을 하는[좌임(左衽)] 오랑캐 옷을 입고 오랑캐 말을 하였을 것이다. 그러므로 내 일찍이 맹자(孟子)를 추존하여 공로가 우왕(禹王)의 아래에 있지 않다고 말한 것은 이 때문이다.”",(주석해석없음)
或問於程子曰孟子還可謂聖人否程子曰未敢便道他是聖人然學已到至處,,或問於程子曰：“孟子還可謂聖人否？”程子曰：“未敢便道他是聖人，然學已到至處。”,(주석없음),"혹자(或者)가 정자(程子)에게 묻기를 “맹자(孟子)도 성인(聖人)이라고 이를 수 있습니까”하자, 정자(程子)가 말씀하였다. “감히 그 분이 곧 성인(聖人)이라고 말할 수는 없으나 학문은 이미 성인(聖人)의 경지에 이르셨다.”",(주석해석없음)
程子又曰孟子有功於聖門不可勝言仲尼只說一箇仁字孟子開口便說仁義仲尼只說一箇志孟子便說許多養氣出來只此二字其功甚多,,程子又曰：“孟子有功於聖門，不可勝言。仲尼只說一箇仁字，孟子開口便說仁義。仲尼只說一箇志，孟子便說許多養氣出來。只此二字，其功甚多。”,(주석없음),"정자(程子)가 또 말씀하였다. “맹자(孟子)가 성문(聖門)에 공로가 있음을 이루 다 말할 수 없다. 중니(仲尼)께서는 다만 하나의 인자(仁字)만을 말씀하셨는데, 맹자(孟子)는 입을 여시면 곧 인의(仁義)를 말씀하였으며, 중니(仲尼)는 다만 하나의 지(志)를 말씀하셨는데, 맹자(孟子)는 곧 허다한 양기(養氣)를 말씀하셨으니, 다만 이 두 글자가 그 공로가 매우 큰 것이다.”",(주석해석없음)
又曰孟子有大功於世以其言性善也,,又曰：“孟子有大功於世，以其言性善也。”,(주석없음),또 말씀하였다. “맹자(孟子)가 세상에 큰공이 있는 것은 성선(性善)을 말씀하였기 때문이다.”,(주석해석없음)
又曰孟子性善養氣之論皆前聖所未發,,又曰：“孟子性善、養氣之論，皆前聖所未發。”,(주석없음),또 말씀하였다. “맹자(孟子)의 성선(性善)과 양기(養氣)에 대한 의논은 모두 전성인(前聖人)들이 미처 발명(發明)하지 못하신 것이다.”,(주석해석없음)
又曰學者全要識時若不識時不足以言學顔子陋巷自樂以有孔子在焉若孟子之時世旣無人安可不以道自任,,又曰：“學者全要識時。若不識時，不足以言學。顔子陋巷自樂，以有孔子在焉。若孟子之時，世旣無人，安可不以道自任。”,(주석없음),"또 말씀하였다. “배우는 자들은 온전히 때를 알아야 하니, 만일 때를 알지 못한다면 족히 학문을 말할 수 없다. 안자(顔子)가 누추한 골목에서 스스로 즐긴 것은 공자(孔子)가 계셨기 때문이요, 맹자(孟子) 때로 말하면 세상에 이미 그러한 사람이 없었으니, 어찌 도(道)로써 자임(自任)하지 않을 수 있었겠는가?”",(주석해석없음)
