대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰伯夷目不視惡色耳不聽惡聲非其君不事非其民不使治則進亂則退橫政之所出橫民之所止不忍居也思與鄕人處如以朝衣朝冠坐於塗炭也當紂之時居北海之濱以待天下之淸也故聞伯夷之風者頑夫廉懦夫有立志,橫謂不循法度頑者無知覺廉者有分辨懦柔弱也餘並見前篇,孟子曰：“伯夷，目不視惡色，耳不聽惡聲。非其君不事，非其民不使。治則進，亂則退。橫政之所出，橫民之所止，不忍居也。思與鄕人處，如以朝衣朝冠坐於塗炭也。當紂之時，居北海之濱，以待天下之淸也。故聞伯夷之風者，頑夫廉，懦夫有立志。”,橫，謂不循法度。頑者，無知覺。廉者，有分辨。懦，柔弱也。餘並見前篇。,"맹자(孟子)께서 말씀하였다. “백이(伯夷)는 눈으로는 나쁜 빛을 보지 아니하며, 귀로는 나쁜 소리를 듣지 아니하고, 섬길 만한 군주가 아니면 섬기지 아니하며, 그 백성이 아니면 부리지 아니하여, 세상이 다스려지면 나아가고 혼란하면 물러가서, 나쁜 정사(政事)가 나오는 곳과 나쁜 백성들이 거주하는 곳에는 차마 거처하지 못하였으며, 향인(鄕人)들과 거처함을 생각하기를 마치 조복(朝服)과 조관(朝冠)으로 도탄(塗炭)에 앉은 듯이 여기더니, 주(紂)의 때를 당하여 북해(北海)의 가에 거처하면서 천하가 맑아지기를 기다렸다. 그러므로 백이(伯夷)의 풍도(風度)를 들은 자들은 완악한 지아비가 청렴해지고, 나약한 지아비가 입지(立志)를 갖게 된다.”","횡(橫)은 법도를 따르지 않음을 이른다. 완(頑)은 지각(知覺)이 없는 것이요, 염(廉)은 분변(分辨)이 있는 것이다. 나(懦)는 유약(柔弱)함이다. 나머지는 모두 전편(前篇)[공손추상(公孫丑上)]에 보인다."
伊尹曰何事非君何使非民治亦進亂亦進曰天之生斯民也使先知覺後知使先覺覺後覺予天民之先覺者也予將以此道覺此民也思天下之民匹夫匹婦有不與被堯舜之澤者若己推而內之溝中其自任以天下之重也,何事非君言所事卽君何使非民言所使卽民無不可事之君無不可使之民也餘見前篇,伊尹曰：‘何事非君？何使非民？’治亦進，亂亦進。曰：‘天之生斯民也，使先知覺後知，使先覺覺後覺。予，天民之先覺者也；予將以此道覺此民也。’思天下之民匹夫匹婦有不與被堯舜之澤者，若己推而內之溝中，其自任以天下之重也。,何事非君，言所事卽君。何使非民，言所使卽民。無不可事之君，無不可使之民也。餘見前篇。,"이윤(伊尹)은 말하기를 ‘어느 사람을 섬기면 군주가 아니면, 어느 사람을 부리면 백성이 아니겠는가.’하여, 세상이 다스려져도 나아가며 혼란해도 나아가서, 말하기를 ‘하늘이 이 백성을 낸 것은 먼저 안 사람으로 하여금 뒤늦게 아는 사람을 깨우쳐주며, 선각자(先覺者)로 하여금 뒤늦게 깨닫는 자를 깨우치게 하신 것이니, 나는 하늘이 낸 백성 중에 선각자(先覺者)이니, 내 장차 이 도(道)로써 이 백성을 깨우치겠다.’ 하였으며, 생각하기를, 천하의 백성 중에 필부(匹夫)·필부(匹婦)라도 요순(堯舜)의 혜택을 입는 데 참여하지 못한 자가 있으면, 마치 자기가 그를 밀쳐서 도랑 가운데로 넣은 것처럼 여겼으니, 이는 천하(天下)의 중함으로써 자임(自任)한 것이다.","하사비군(何事非君)은 섬기는 바가 바로 군주임을 말하고 하사비민(何使非民)은 부리는 바가 바로 백성임을 말하니, 섬기지 못할 군주가 없으며, 부릴 수 없는 백성이 없다는 것이다. 나머지는 전편(前篇)[공손추상(公孫丑上), 만장상(萬章上)]에 보인다."
柳下惠不羞汚君不辭小官進不隱賢必以其道遺佚而不怨阨窮而不憫與鄕人處由由然不忍去也爾爲爾我爲我雖袒裼裸裎於我側爾焉能浼我哉故聞柳下惠之風者鄙夫寬薄夫敦,鄙狹陋也敦厚也餘見前篇,柳下惠，不羞汚君，不辭小官。進不隱賢，必以其道。遺佚而不怨，阨窮而不憫。與鄕人處，由由然不忍去也。‘爾爲爾，我爲我，雖袒裼裸裎於我側，爾焉能浼我哉？’故聞柳下惠之風者，鄙夫寬，薄夫敦。,鄙，狹陋也。敦，厚也。餘見前篇。,"유하혜(柳下惠)는 더러운 군주를 섬김을 부끄러워하지 않으며, 작은 벼슬을 사양하지 않으며, 나아가면 어짊을 숨기지 아니하여 반드시 그 도리대로 하며, <벼슬길에서> 버림을 받아도 원망하지 않고, 곤궁을 당해도 걱정하지 않으며, 향인(鄕人)들과 더불어 처하되 유유(由由)[유유(悠悠)]하게 차마 떠나지 못해서, 말하기를 ‘너는 너이고 나는 나이니, <네가> 비록 내 옆에서 옷을 걷고 벗는다한들 네 어찌 나를 더럽히겠는가.’ 하였다. 그러므로 유하혜(柳下惠)의 풍도(風度)를 들은 자들은 비루한 지아비가 너그러워지며, 박(薄)한 지아비가 인심이 후해진다.",비(鄙)는 좁고 누추함이다. 돈(敦)은 후(厚)함이다. 나머지는 전편(前篇)[공손추상(公孫丑上)]에 보인다.
孔子之去齊接淅而行去魯曰遲遲吾行也去父母國之道也可以速而速可以久而久可以處而處可以仕而仕孔子也,接猶承也淅漬米水也漬米將炊而欲去之速故以手承水取米而行不及炊也擧此一端以見其久速仕止各當其可也或曰孔子去魯不稅冕而行豈得爲遲楊氏曰孔子欲去之意久矣不欲苟去故遲遲其行也膰肉不至則得以微罪行矣故不稅冕而行非速也,孔子之去齊，接淅而行；去魯，曰：‘遲遲吾行也。’去父母國之道也。可以速而速，可以久而久，可以處而處，可以仕而仕，孔子也。,接，猶承也。淅，漬米水也。漬米將炊，而欲去之速，故以手承水取米而行，不及炊也。擧此一端，以見其久、速、仕、止，各當其可也。或曰：“孔子去魯，不稅冕而行，豈得爲遲？”楊氏曰：“孔子欲去之意久矣，不欲苟去，故遲遲其行也。膰肉不至，則得以微罪行矣，故不稅冕而行，非速也。”,"공자(孔子)께서 제(齊)나라를 떠날 적에 <밥을 지으려고> 쌀을 담갔다가 건져 가지고 떠나셨고, 노(魯)나라를 떠날 적에는 말씀하시기를 ‘더디고 더디다, 내 걸음이여!’ 하셨으니, 이는 부모국(父母國)을 떠나는 도리이다. 속히 떠날 만하면 속히 떠나고, 오래 머무를 만하면 오래 머물며, 은둔할 만하면 은둔하고, 벼슬할 만하면 벼슬한 것은 공자(孔子)이시다.”","접(接)은 승(承)[받음]과 같다. 석(淅)은 쌀을 담근 물이다. 쌀을 담그어 장차 밥을 지으려 하다가 떠나고자 함이 속(速)하였으므로 손으로써 물을 받아 쌀을 건져 가지고 떠나시어 미처 밥을 짓지 못한 것이다. 이 한 가지를 들어, 오래 머물고 속히 떠나며 벼슬하고 그만두는 것이 각기 그 가(可)함에 마땅하게 하였음을 나타낸 것이다. 혹자가 말하기를 “공자(孔子)께서 노(魯)나라를 떠나실 적에 면류관을 벗지 않고 떠나셨으니, 어찌 더디다 할 수 있습니까?” 하자, 양씨(楊氏)가 대답하였다. “공자(孔子)께서는 떠나고자 하신 뜻이 오래 되었으되, 구차히 떠나고자 하지 않으셨으므로 그 걸음을 더디고 더디게 하신 것이다. 제사지낸 고기가 이르지 않았다면 작은 죄로써 떠날 수 있었다. 그러므로 면류관을 벗지 않고 떠나신 것이니, 이것은 속(速)한 것이 아니다.”"
孟子曰伯夷聖之淸者也伊尹聖之任者也柳下惠聖之和者也孔子聖之時者也,張子曰無所雜者淸之極無所異者和之極勉而淸非聖人之淸勉而和非聖人之和所謂聖者不勉不思而至焉者也孔氏曰任者以天下爲己責也愚謂孔子仕止久速各當其可蓋兼三子之所以聖者而時出之非如三子之可以一德名也或疑伊尹出處合乎孔子而不得爲聖之時何也程子曰終是任底意思在,孟子曰：“伯夷，聖之淸者也；伊尹，聖之任者也；柳下惠，聖之和者也；孔子，聖之時者也。”,張子曰：“無所雜者淸之極，無所異者和之極。勉而淸，非聖人之淸；勉而和，非聖人之和。所謂聖者，不勉不思而至焉者也。”孔氏曰：“任者，以天下爲己責也。”愚謂孔子仕、止、久、速，各當其可，蓋兼三子之所以聖者而時出之，非如三子之可以一德名也。或疑伊尹出處，合乎孔子，而不得爲聖之時，何也？程子曰：“終是任底意思在。”,"맹자(孟子)께서 말씀하였다. “백이(伯夷)는 성인(聖人)의 청(淸)한 자요, 이윤(伊尹)은 성인(聖人)의 자임(自任)한 자요, 유하혜(柳下惠)는 성인(聖人)의 화(和)한 자요, 공자(孔子)는 성인(聖人)의 시중(時中)인 자이시다.”","장씨(張氏)가 말씀하였다. “잡됨이 없는 것은 청(淸)이 지극한 것이요, 다름이 없는 것은 화(和)가 지극한 것이니, 억지로 힘써서 청(淸)한 것은 성인(聖人)의 청(淸)이 아니요, 억지로 힘써서 화(和)한 것은 성인(聖人)의 화(和)가 아니다. 이른바 성(聖)이란, 힘쓰지 않고 생각하지 않고서도 이르는 것이다.” 공씨(孔氏)가 말하였다. “임(任)이란 천하(天下)로써 자기의 책임을 삼는 것이다.” 내가 생각건대, 공자(孔子)께서는 벼슬하고 그만두며 오래 머물고 속히 떠남이 각기 그 가(可)함에 마땅하였으니, 이는 세 분의 성(聖)스러움을 겸하여 때에 맞게 나온 것이니, 세 분이 한 덕(德)으로써 이름할 수 있는 것과는 같지 않다. 혹자가 의심하기를 “이윤(伊尹)의 출처(出處)가 공자(孔子)에게 합하는데도 성인(聖人)의 시중(時中)이 되지 못함은 어째서입니까?” 하자, 정자(程子)가 말씀하였다. 끝내 자임(自任)하는 의사(意思)가 있었기 때문이다.”"
孔子之謂集大成集大成也者金聲而玉振之也金聲也者始條理也玉振之也者終條理也始條理者智之事也終條理者聖之事也,此言孔子集三聖之事而爲一大聖之事猶作樂者集衆音之小成而爲一大成也成者樂之一終書所謂簫韶九成是也金鐘屬聲宣也如聲罪致討之聲玉磬也振收也如振河海而不洩之振始始之也終終之也條理猶言脈絡指衆音而言也智者知之所及聖者德之所就也蓋樂有八音金石絲竹匏土革木若獨奏一音則其一音自爲始終而爲一小成猶三子之所知偏於一而其所就亦偏於一也八音之中金石爲重故特爲衆音之綱紀又金始震而玉終詘然也故並奏八音則於其未作而先擊鎛鍾以宣其聲俟其旣闋而後擊特磬以收其韻宣以始之收以終之二者之間脈絡通貫無所不備則合衆小成而爲一大成猶孔子之知無不盡而德無不全也金聲玉振始終條理疑古樂經之言故兒寬云唯天子建中和之極兼總條貫金聲而玉振之亦此意也,孔子之謂集大成。集大成也者，金聲而玉振之也。金聲也者，始條理也；玉振之也者，終條理也。始條理者，智之事也；終條理者，聖之事也。,此言孔子集三聖之事，而爲一大聖之事；猶作樂者，集衆音之小成，而爲一大成也。成者，樂之一終，書所謂“簫韶九成”是也。金，鐘屬。聲，宣也，如聲罪致討之聲。玉，磬也。振，收也，如振河海而不洩之振。始，始之也。終，終之也。條理，猶言脈絡，指衆音而言也。智者，知之所及；聖者，德之所就也。蓋樂有八音：金、石、絲、竹、匏、土、革、木。若獨奏一音，則其一音自爲始終，而爲一小成。猶三子之所知偏於一，而其所就亦偏於一也。八音之中，金石爲重，故特爲衆音之綱紀。又金始震而玉終詘然也，故並奏八音，則於其未作，而先擊鎛鍾以宣其聲；俟其旣闋，而後擊特磬以收其韻。宣以始之，收以終之。二者之間，脈絡通貫，無所不備，則合衆小成而爲一大成，猶孔子之知無不盡而德無不全也。金聲玉振，始終條理，疑古樂經之言。故兒寬云“唯天子建中和之極，兼總條貫，金聲而玉振之。”亦此意也。,"공자(孔子)를 집대성(集大成)이라 이르는 것이니, 집대성(集大成)이란 금(金)으로 소리를 퍼뜨리고, 옥(玉)으로 거두는 것이다. 금(金)으로 소리를 퍼뜨린다는 것은 조리(條理)를 시작함이요, 옥(玉)으로 거둔다는 것은 조리(條理)를 끝냄이니, 조리(條理)를 시작하는 것은 지(智)의 일이요, 조리(條理)를 끝내는 것은 성(聖)의 일이다.","이것은 공자(孔子)께서 세 성인(聖人)의 일을 모아 한 대성(大聖)이 되신 일을 말한 것이니, 풍악을 일으키는 자가 중음(衆音)의 소성(小成)을 모아서 한 대성(大成)을 만드는 것과 같다. 성(成)은 음악이 한 번 끝나는 것이니, 《서경(書經)》에 이른바 ‘소소구성(簫韶九成)’이라는 것이 이것이다. 금(金)은 종(鍾)의 등속이요, 성(聲)은 베풂이니, <《춘추좌전(春秋左傳)》에> 죄를 소리내어 토벌한다는 성자(聲字)와 같다. 옥(玉)은 경쇠이고, 진(振)은 거둠이니, <《중용(中庸)》에> ‘하해(河海)를 거두어도 새지 않는다.’는 진자(振字)와 같다. 시(始)는 그것을 시작함이요, 종(終)은 그것을 끝냄이다. 조리(條理)는 맥락(脈絡)이란 말과 같으니, 여러 음(音)을 가리켜 말한 것이다. 지(智)는 앎이 미치는 것이요, 성(聖)은 덕(德)이 성취된 것이다. 악기에는 팔음(八音)이 있으니, 금(金)·석(石)·사(絲)·죽(竹)·포(匏)·토(土)·목(木)이다. 만일 홀로 한 음(音)만을 연주하게 되면 그 한 음(音)이 스스로 시(始)와 종(終)이 되어 한 소성(小成)이 되니, 이는 마치 세 분의 아는 바가 하나에 편벽 되어서 그 성취한 바가 또한 하나에 편벽 됨과 같은 것이다. 팔음(八音) 가운데에 금(金)·석(石)이 중하므로 특별히 여러 음(音)의 강기(綱紀)[큰 강령]가 되고, 또 금(金)은 처음에 울리고 옥(玉)은 끝에 거둔다. 그러므로 팔음(八音)을 아울러 연주하게 되면 풍악을 일으키기 전에 먼저 종을 쳐서 그 소리를 퍼뜨리고, 이미 끝나기를 기다린 뒤에 특경(特磬)을 쳐서 그 운(韻)을 거두는 것이다. 소리를 퍼뜨려 시작하고 거두어 마쳐서 두 가지 사이에 맥락(脈絡)이 관통하여 갖추어지지 않음이 없으면 여러 소성(小成)을 합하여 하나의 대성(大成)이 되니, 공자(孔子)의 앎이 다하지 않음이 없어서 덕(德)이 완전하지 않음이 없는 것과 같은 것이다. 금성옥진(金聲玉振)과 시종조리(始終條理)는 의심컨대 옛 《악경(樂經)》의 말인 듯하다. 그러므로 한(漢)나라 때 예관(兒寬)이 이르기를 “오직 천자(天子)가 중화(中和)의 극(極)을 세워서 조관(條貫)[조리(條理)]을 겸하여 꿰뚫어, 금(金)으로 소리를 퍼뜨리고 옥(玉)으로 거둔다.” 하였으니, 또한 이러한 뜻이다."
智譬則巧也聖譬則力也由射於百步之外也其至爾力也其中非爾力也,此復以射之巧力發明聖智二字之義見孔子巧力俱全而聖智兼備三子則力有餘而巧不足是以一節雖至於聖而智不足以及乎時中也,智，譬則巧也；聖，譬則力也。由射於百步之外也，其至，爾力也；其中，非爾力也。,此復以射之巧力，發明聖、智二字之義。見孔子巧力俱全，而聖智兼備，三子則力有餘而巧不足，是以一節雖至於聖，而智不足以及乎時中也。,"지(智)를 비유하면 공교함이요, 성(聖)을 비유하면 힘이니, 백보(百步)의 밖에서 활을 쏘는 것과 같으니, <과녁이 있는 곳에> 이름은 너의 힘이거니와 과녁에 맞는 것은 너의 힘이 아니다.”","이것은 다시 활쏘기의 공교함과 힘을 가지고 성(聖)·지(智) 두 글자의 뜻을 발명(發明)한 것이다. 공자(孔子)는 재주와 힘이 모두 온전하여 성(聖)과 지(智)를 겸비하셨고, 세 분인즉 힘은 유여(有餘)하나 재주가 부족하였다. 이 때문에 한 부분은 비록 성(聖)에 이르렀으나, 지혜가 족히 시중(時中)에 미칠 수 없을 나타낸 것이다."
,此章言三子之行各極其一偏孔子之道兼全於衆理所以偏者由其蔽於始是以缺於終所以全者由其知之至是以行之盡三子猶春夏秋冬之各一其時孔子則太和元氣之流行於四時也,,此章言三子之行，各極其一偏；孔子之道，兼全於衆理。所以偏者，由其蔽於始，是以缺於終；所以全者，由其知之至，是以行之盡。三子猶春夏秋冬之各一其時，孔子則太和元氣之流行於四時也。,,"이 장(章)은 세 분의 행실은 각기 그 한 쪽에 지극하였고, 공자(孔子)의 도(道)는 모든 이치에 겸하여 온전하셨으니, 한쪽에 치우치게 된 이유는 처음에 가리웠기 때문에 종말에 결함(缺陷)이 있는 것이요, 온전하게 된 이유는 그 앎이 지극하기 때문에 행실이 다한 것임을 말씀한 것이다. 세 분은 춘(春)·하(夏)·추(秋)·동(冬)이 각기 그 철을 하나씩 맡고 있는 것과 같고, 공자(孔子)인즉 태화원기(太和元氣)가 사시(四時)에 유행함과 같다."
北宮錡問曰周室班爵祿也如之何,北宮姓錡名衛人班列也,北宮錡問曰：“周室班爵祿也，如之何？”,北宮，姓；錡，名；衛人。班，列也。,북궁의(北宮錡)가 물었다. “주(周)나라 왕실의 작록(爵祿)을 반열함은 어떻게 했습니까?”,"북궁(北宮)은 성(姓)이요, 의(錡)는 이름이니, 위(衛)나라 사람이다. 반(班)은 반열이다."
孟子曰其詳不可得而聞也諸侯惡其害己也而皆去其籍然而軻也嘗聞其略也,當時諸侯兼幷僭竊故惡周制妨害己之所爲也,孟子曰：“其詳不可得而聞也。諸侯惡其害己也，而皆去其籍。然而軻也，嘗聞其略也。”,當時諸侯兼幷僭竊，故惡周制妨害己之所爲也。,맹자(孟子)께서 말씀하였다. “그 상세한 내용은 내 얻어듣지 못하였다. 제후(諸侯)들이 자신들에게 해(害)가 됨을 싫어하여 모두 그 전적(典籍)을 없애버렸거니와 그러나 나는 일찍이 그 대략을 들었노라.”,당시 제후(諸侯)들이 겸병(兼幷)하고 참람한 짓을 하였다. 그러므로 주(周)나라의 제도가 자기들의 하는 바에 방해됨을 싫어한 것이다.
