대문,주석,대문표점,주석표점,대문해석,주석해석
告子曰性猶杞柳也義猶桮棬也以人性爲仁義猶以杞柳爲桮棬,性者人生所稟之天理也杞柳柜柳桮棬屈木所爲若巵匜之屬告子言人性本無仁義必待矯揉而後成如荀子性惡之說也,告子曰：“性，猶杞柳也；義，猶桮棬也。以人性爲仁義，猶以杞柳爲桮棬。”,性者，人生所稟之天理也。杞柳，柜柳。桮棬，屈木所爲，若巵匜之屬。告子言人性本無仁義，必待矯揉而後成，如荀子性惡之說也。,"고자(告子)가 말하였다. “성(性)은 기류(杞柳)와 같고, 의(義)는 나무로 만든 그릇과 같으니, 사람의 본성(本性)을 가지고 인의(仁義)를 행함은 기류(杞柳)를 가지고 그릇을 만드는 것과 같다.”","성(性)이란 사람이 태어날 때에 받은 바의 천리(天理)이다. 기류(杞柳)는 거류(柜柳)이다. 배권(桮棬)은 나무를 구부려 만든 것이니, 치(巵)와 이(匜)같은 등속이다. 고자(告子)는 “인성(人性)은 본래 인의(仁義)가 없어서, 반드시 교유(矯揉)하기를 기다린 뒤에야 이루어진다.”고 말하였으니, 순자(荀子)의 성악설(性惡說)과 같은 것이다."
孟子曰子能順杞柳之性而以爲桮棬乎將戕賊杞柳而後以爲桮棬也如將戕賊杞柳而以爲桮棬則亦將戕賊人以爲仁義與率天下之人而禍仁義者必子之言夫,言如此則天下之人皆以仁義爲害性而不肯爲是因子之言而爲仁義之禍也,孟子曰：“子能順杞柳之性而以爲桮棬乎？將戕賊杞柳而後以爲桮棬也？如將戕賊杞柳而以爲桮棬，則亦將戕賊人以爲仁義與？率天下之人而禍仁義者，必子之言夫！”,言如此，則天下之人皆以仁義爲害性而不肯爲，是因子之言而爲仁義之禍也。,"맹자(孟子)께서 말씀하였다. “그대는 기류(杞柳)의 성질을 순(順)히 하여 배권(桮棬)을 만드는가? 장차 기류(杞柳)를 해친 뒤에야 배권(桮棬)을 만들 것이니, 만일 장차 기류(杞柳)를 해쳐서 배권(桮棬)을 만든다면, 또한 장차 사람을 해쳐서 인의(仁義)를 한단 말인가? 천하 사람을 몰아서 인의(仁義)를 해치게 할 것은 반드시 그대의 이 말일 것이다.”","이와 같다면 천하 사람들이 모두 인의(仁義)가 본성(本性)을 해친다고 여겨서 즐겨 하지 않을 것이니, 이는 그대의 말로 인하여 인의(仁義)의 화(禍)가 된다고 말씀한 것이다."
告子曰性猶湍水也決諸東方則東流決諸西方則西流人性之無分於善不善也猶水之無分於東西也,湍波流瀠回之貌也告子因前說而小變之近於揚子善惡混之說,告子曰：“性猶湍水也，決諸東方則東流，決諸西方則西流。人性之無分於善不善也，猶水之無分於東西也。”,湍，波流瀠回之貌也。告子因前說而小變之，近於揚子善惡混之說。,"고자(告子)가 말하였다. “성(性)은 여울물과 같다. 그리하여 이것을 동방(東方)으로 터놓으면 동쪽으로 흐르고, 서방(西方)으로 터놓으면 서쪽으로 흐르니, 인성(人性)이 선(善)과 불선(不善)에 구분이 없음은 마치 물이 동(東)·서(西)에 분별이 없는 것과 같다.”","단(湍)은 물결이 맴도는 모양이다. 고자(告子)가 앞의 말로 인하여 약간 변했으니, 양자(揚子)[양웅(揚雄)]의 선(善)·악(惡)이 혼잡 되어 있다는 말에 가까운 것이다."
孟子曰水信無分於東西無分於上下乎人性之善也猶水之就下也人無有不善水無有不下,言水誠不分東西矣然豈不分上下乎性卽天理未有不善者也,孟子曰：“水信無分於東西。無分於上下乎？人性之善也，猶水之就下也。人無有不善，水無有不下。”,言水誠不分東西矣，然豈不分上下乎？性卽天理，未有不善者也。,"맹자(孟子)께서 말씀하였다. “물은 진실로 동(東)·서(西)에 분별이 없거니와, 상(上)·하(下)에도 분별이 없단 말인가? 인성(人性)의 선(善)함은 물이 아래로 내려가는 것과 같으니, 사람은 불선(不善)한 사람이 없으며, 물은 아래로 내려가지 않는 것이 없다.”","‘물은 진실로 동(東)·서(西)에 분별이 없거니와, 그러나 어찌 상(上)·하(下)에 분별이 없겠는가.’라고 말씀한 것이다. 성(性)은 바로 천리(天理)이니, 불선(不善)함이 있지 않다."
今夫水搏而躍之可使過顙激而行之可使在山是豈水之性哉其勢則然也人之可使爲不善其性亦猶是也,搏擊也躍跳也顙額也水之過額在山皆不就下也然其本性未嘗不就下但爲搏擊所使而逆其性耳,今夫水，搏而躍之，可使過顙；激而行之，可使在山。是豈水之性哉？其勢則然也。人之可使爲不善，其性亦猶是也。,搏，擊也。躍，跳也。顙，額也。水之過額在山，皆不就下也。然其本性未嘗不就下，但爲搏擊所使而逆其性耳。,"지금 물을 쳐서 튀어 오르게 하면 이마를 지나게 할 수 있으며, 격(激)하여 흘러가게 하면 산에 있게 할 수 있거니와, 이것이 어찌 물의 본성(本性)이겠는가? 그 세(勢)가 그렇게 만든 것이다. 사람이 불선(不善)을 하게 함은 그 성(性)이 또한 이와 같은 것이다.","박(搏)은 침이다. 약(躍)은 뜀[튐]이다. 상(顙)은 이마이다. 물이 이마를 지나고 산에 있음은 모두 아래로 내려가지 않는 것이다. 그러나 그 본성(本性)은 일찍이 아래로 내려가지 않는 것이 아닌데, 다만 치고 격함에 사역을 당하여 그 본성(本性)을 거슬렸을 뿐이다."
,此章言性本善故順之而無不善本無惡故反之而後爲惡非本無定體而可以無所不爲也,,此章言性本善，故順之而無不善；本無惡，故反之而後爲惡，非本無定體，而可以無所不爲也。,,"이 장(章)은 성(性)이 본래 선(善)하기 때문에 순(順)히 하면 불선(不善)함이 없고, 본래 악(惡)함이 없기 때문에 반대로 한 뒤에야 악(惡)함이 되니, 본래 정해진 체(體)가 없어서 하지 못하는 바가 없는 것이 아님을 말씀한 것이다."
告子曰生之謂性,生指人物之所以知覺運動者而言告子論性前後四章語雖不同然其大指不外乎此與近世佛氏所謂作用是性者略相似,告子曰：“生之謂性。”,生，指人物之所以知覺運動者而言。告子論性，前後四章，語雖不同，然其大指不外乎此，與近世佛氏所謂作用是性者略相似。,고자(告子)가 말하였다. “생(生)의 본능을 성(性)이라 한다.”,"생(生)은 인물(人物)이 지각(知覺)하고 운동(運動)하는 것을 가리켜 말한 것이다. 고자(告子)가 성(性)을 논한 앞뒤 네 장(章)이 말은 비록 똑같지 않으나, 그 대지(大指)는 이에서 벗어나지 않는다. 근세(近世)에 불가(佛家)의 이른바 ‘작용(作用)하는 것이 성(性)이다.’한 것과 대략 서로 비슷하다."
孟子曰生之謂性也猶白之謂白與曰然白羽之白也猶白雪之白白雪之白猶白玉之白與曰然,白之謂白猶言凡物之白者同謂之白更無差別也白羽以下孟子再問而告子曰然則是謂凡有生者同是一性矣,孟子曰：“生之謂性也，猶白之謂白與？”曰：“然。”“白羽之白也，猶白雪之白；白雪之白，猶白玉之白與？”曰：“然。”,白之謂白，猶言凡物之白者，同謂之白，更無差別也。白羽以下，孟子再問而告子曰然，則是謂凡有生者同是一性矣。,"맹자(孟子)께서 말씀하였다. “생(生)의 본능을 성(性)이라 함은 백색(白色)을 백색(白色)이라고 이르는 것과 같은 것인가?” “그러하다.” “그렇다면 백우(白羽)의 백색(白色)이 백설(白雪)의 백색(白色)과 같으며, 백설(白雪)의 백색(白色)이 백옥(白玉)의 백색(白色)과 같은 것인가?” “그러하다.”","백지위백(白之謂白)은 모든 물건의 백색(白色)을 똑같이 백색(白色)이라 이르고, 다시 차별이 없다는 말과 같다. 백우(白羽)이하는 맹자(孟子)께서 다시 물으심에, 고자(告子)가 ‘그렇다.’고 말하였으니, 그렇다면 이는 모든 생(生)을 가지고 있는 것과 똑같이 한 성(性)이라고 말한 것이다."
然則犬之性猶牛之性牛之性猶人之性與,孟子又言若果如此則犬牛與人皆有知覺皆能運動其性皆無以異矣於是告子自知其說之非而不能對也,“然則犬之性，猶牛之性；牛之性，猶人之性與？”,孟子又言若果如此，則犬牛與人皆有知覺，皆能運動，其性皆無以異矣，於是告子自知其說之非而不能對也。,"“그렇다면 개의 성(性)이 소의 성(性)과 같으며, 소의 성(性)이 사람의 성(性)과 같단 말인가?”","맹자(孟子)께서 또 말씀하시기를 “만일 과연 이와 같다면 개와 소와 사람이 모두 지각(知覺)이 있으며, 모두 운동(運動)할 수 있으니, 그 성(性)이 다름이 없을 것이다.” 하시니, 이에 고자(告子)가 스스로 그 말이 틀렸음을 알고서 대답하지 못한 것이다."
,愚按性者人之所得於天之理也生者人之所得於天之氣也性形而上者也氣形而下者也人物之生莫不有是性亦莫不有是氣然以氣言之則知覺運動人與物若不異也以理言之則仁義禮智之稟豈物之所得而全哉此人之性所以無不善而爲萬物之靈也告子不知性之爲理而以所謂氣者當之是以杞柳湍水之喩食色無善無不善之說縱橫繆戾紛紜舛錯而此章之誤乃其本根所以然者蓋徒知知覺運動之蠢然者人與物同而不知仁義禮智之粹然者人與物異也孟子以是折之其義精矣,,愚按：性者，人之所得於天之理也；生者，人之所得於天之氣也。性，形而上者也；氣，形而下者也。人物之生，莫不有是性，亦莫不有是氣。然以氣言之，則知覺運動，人與物若不異也；以理言之，則仁義禮智之稟豈物之所得而全哉？此人之性所以無不善，而爲萬物之靈也。告子不知性之爲理，而以所謂氣者當之，是以杞柳湍水之喩，食色無善無不善之說，縱橫繆戾，紛紜舛錯，而此章之誤乃其本根。所以然者，蓋徒知知覺運動之蠢然者，人與物同；而不知仁義禮智之粹然者，人與物異也。孟子以是折之，其義精矣。,,"내가 살펴보건대, 성(性)이란 사람이 하늘에서 얻은 바의 이(理)요, 생(生)이란 사람이 하늘에서 얻은 바의 기(氣)이니, 성(性)은 형이상(形而上)이요, 기(氣)는 형이하(形而下)이다. 인물(人物)이 태어날 때에 이 성(性)을 가지고 있지 않은 자가 없으며, 또한 이 기(氣)를 가지고 있지 않은 자가 없다. 그러나 기(氣)로써 말한다면, 지각(知覺)·운동(運動)은 사람과 동물이 다르지 않은 듯하되, 이(理)로써 말한다면, 인의예지(仁義禮智)의 본성(本性)을 받음이 어찌 동물이 얻어 온전히 할 수 있는 것이겠는가. 이는 사람의 성(性)이 불선(不善)함이 없어서 만물의 영장(靈長)이 되는 이유이다. 고자(告子)는 성(性)이 이(理)라는 것을 알지 못하고 이른바 기(氣)라는 것을 가지고 성(性)에 해당시켰다. 이 때문에 기류(杞柳)·단수(湍水)의 비유와 식색(食色)이니, 선(善)도 없고, 불선(不善)도 없다는 등의 말이 종횡(縱橫)으로 틀리고 어지럽게 잘못되었는데, 이 장(章)의 오류(誤謬)가 바로 그 뿌리이다. 그렇게 된 이유는 다만 지각(知覺)·운동(運動)의 움직이는 것은 사람과 동물이 같은 줄만 알고, 인의예지(仁義禮智)의 순수한 것은 사람과 동물이 다름을 몰랐기 때문이다. 맹자(孟子)께서 이것으로써 꺾으셨으니, 그 의(義)가 정밀하다."
