대문,주석,대문표점,주석표점,대문해석,주석해석
任人有問屋廬子曰禮與食孰重曰禮重,任國名屋廬子名連孟子弟子也,任人有問屋廬子曰：“禮與食孰重？”曰：“禮重。”,任，國名。屋廬子，名連，孟子弟子也。,임(任)나라 사람이 옥려자(屋廬子)에게 물었다. “예(禮)와 밥[음식]은 어느 것이 더 중(重)한가?” 옥려자(屋廬子)가 대답하였다. “예(禮)가 중(重)하다.”,"임(任)은 나라 이름이다. 옥려자(屋廬子)는 이름이 연(連)이니, 맹자(孟子)의 제자(弟子)이다."
色與禮孰重,任人復問也,“色與禮孰重？”,任人復問也。,“색(色)과 예(禮)는 어느 것이 더 중(重)한가?”,임(任)나라 사람이 다시 물은 것이다.
曰禮重曰以禮食則飢而死不以禮食則得食必以禮乎親迎則不得妻不親迎則得妻必親迎乎,,曰：“禮重。”曰：“以禮食，則飢而死；不以禮食，則得食，必以禮乎？親迎，則不得妻；不親迎，則得妻，必親迎乎！”,(주석없음),"“예(禮)가 중(重)하다.” “예(禮)대로 먹으면 굶어 죽고, 예(禮)대로 먹지 않으면 밥을 얻을 수 있더라도 반드시 예(禮)대로 해야 하는가? 친영(親迎)을 하면 아내를 얻지 못하고 친영(親迎)을 하지 않으면 아내를 얻더라도 반드시 친영(親迎)을 해야 하는가?”",(주석해석없음)
屋廬子不能對明日之鄒以告孟子孟子曰於答是也何有,何有不難也,屋廬子不能對，明日之鄒以告孟子。孟子曰：“於答是也何有？”,何有，不難也。,"옥려자(屋廬子)가 대답하지 못하고는 다음날 추(鄒)나라에 가서 맹자(孟子)께 아뢰자, 맹자(孟子)께서 말씀하였다. “이것을 답함에 무슨 어려움이 있겠는가.”",하유(何有)는 어렵지 않음이다.
不揣其本而齊其末方寸之木可使高於岑樓,本謂下末謂上方寸之木至卑喩食色岑樓樓之高銳似山者至高喩禮若不取其下之平而升寸木於岑樓之上則寸木反高岑樓反卑矣,不揣其本而齊其末，方寸之木可使高於岑樓。,本，謂下。末，謂上。方寸之木至卑，喩食色。岑樓，樓之高銳似山者，至高，喩禮。若不取其下之平，而升寸木於岑樓之上，則寸木反高，岑樓反卑矣。,"그 근본을 헤아리지 않고 그 끝만을 가지런히 한다면, 한 치 되는 나무를 잠루(岑樓)보다 높게 할 수 있다.","본(本)은 아래를 이르고, 말(末)은 위를 이른다. 방촌(方寸)의 나무는 지극히 낮으니, 식색(食色)을 비유한 것이고, 잠루(岑樓)는 누대가 높고 뾰족하여 산(山)과 같은 것으로 지극히 높으니, 예(禮)를 비유한 것이다. 만일 그 아래의 평(平)함을 취하지 않고, 한 치 되는 나무를 잠루(岑樓)의 위에 올려놓는다면, 한 치 되는 나무가 도리어 높아지고 잠루(岑樓)가 도리어 낮아질 것이다."
金重於羽者豈謂一鉤金與一輿羽之謂哉,鉤帶鉤也金本重而帶鉤小故輕喩禮有輕於食色者羽本輕而一輿多故重喩食色有重於禮者,金重於羽者，豈謂一鉤金與一輿羽之謂哉？,鉤，帶鉤也。金本重而帶鉤小，故輕，喩禮有輕於食色者；羽本輕而一輿多，故重，喩食色有重於禮者。,쇠가 깃털보다 무겁다는 것은 어찌 한 갈고리의 쇠와 한 수레의 깃털을 말함이겠는가.,"구(鉤)는 띠의 갈고리이다. 쇠는 본래 무거우나 띠의 갈고리는 작기 때문에 가벼우니, 예(禮)가 식색(食色)보다 경(輕)한 경우가 있음을 비유하였고, 깃털은 본래 가벼우나 한 수레는 많기 때문에 무거우니, 식색(食色)이 예(禮)보다 중(重)한 경우가 있음을 비유하였다."
取食之重者與禮之輕者而比之奚翅食重取色之重者與禮之輕者而比之奚翅色重,禮食親迎禮之輕者也飢而死以滅其性不得妻而廢人倫食色之重者也奚翅猶言何但言其相去懸絶不但有輕重之差而已,取食之重者，與禮之輕者而比之，奚翅食重？取色之重者，與禮之輕者而比之，奚翅色重？,禮食親迎，禮之輕者也。飢而死以滅其性，不得妻而廢人倫，食色之重者也。奚翅，猶言何但。言其相去懸絶，不但有輕重之差而已。,"밥의 중(重)한 것과 예(禮)의 가벼운 것을 취하여 비교한다면 어찌 밥이 중(重)할 뿐만 이겠으며, 색(色)의 중(重)한 것과 예(禮)의 가벼운 것을 취하여 비교한다면 어찌 색(色)이 중(重)할 뿐만 이겠는가.","예(禮)대로 먹음과 친영(親迎)함은 예(禮)의 가벼운 것이요, 굶어 죽어서 성명(性命)[생명(生命)]을 멸함과 아내를 얻지 못하여 인륜(人倫)을 폐함은 식색(食色)의 중(重)한 것이다. 해시(奚翅)는 하단(何但)[어찌 단지]이란 말과 같으니, 그 거리가 현격하여 단지 경중(輕重)의 차이가 있을 뿐만이 아님을 말한 것이다."
往應之曰紾兄之臂而奪之食則得食不紾則不得食則將紾之乎踰東家牆而摟其處子則得妻不摟則不得妻則將摟之乎,紾戾也摟牽也處子處女也此二者禮與食色皆其重者而以之相較則禮爲尤重也,往應之曰：‘紾兄之臂而奪之食，則得食；不紾，則不得食，則將紾之乎？踰東家牆而摟其處子，則得妻；不摟，則不得妻，則將摟之乎？’,紾，戾也。摟，牽也。處子，處女也。此二者，禮與食色皆其重者，而以之相較，則禮爲尤重也。,"가서 대답하기를 ‘형의 팔을 비틀고 밥을 빼앗아 먹으면 밥을 먹을 수 있고, 형의 팔을 비틀지 않으면 밥을 먹지 못할지라도 장차 비틀겠는가? 동쪽 집의 담장을 뛰어넘어 처자(處子)를 끌어오면 아내를 얻고, 끌어오지 않으면 아내를 얻지 못할지라도 장차 끌어오겠는가?’라고 하라.”","진(紾)은 비틂이다. 누(摟)는 끎이다. 처자(處子)는 처녀(處女)이다. 이 두 가지는 예(禮)와 식색(食色)이 다 중(重)한 경우인데, 이것을 가지고 서로 비교해 보면 예(禮)가 더욱 중(重)함이 된다."
,此章言義理事物其輕重固有大分然於其中又各自有輕重之別聖賢於此錯綜斟酌毫髮不差固不肯枉尺而直尋亦未嘗膠柱而調瑟所以斷之一視於理之當然而已矣,,此章言義理事物，其輕重固有大分，然於其中，又各自有輕重之別。聖賢於此，錯綜斟酌，毫髮不差，固不肯枉尺而直尋，亦未嘗膠柱而調瑟，所以斷之，一視於理之當然而已矣。,,"이 장(章)은 의리(義理)와 사물(事物)은 그 경중(輕重)이 진실로 큰 분별이 있으나, 그 가운데에 또 각자 경중(輕重)의 분별이 있다. 성현(聖賢)은 이에 대하여 이리저리 종합하고 참작하여 털끝만큼도 어긋나지 않게 하시니, 진실로 한 자를 굽혀 한 길을 펴기를 즐거워하지도 않으며, 또한 일찍이 거문고의 기둥[고족(雇足)]에 아교 칠을 하고 비파를 고르지도 않는다. 그리하여 결단함에 한결같이 이치의 당연함을 볼뿐임을 말씀한 것이다."
曹交問曰人皆可以爲堯舜有諸孟子曰然,趙氏曰曹交曹君之弟也人皆可以爲堯舜疑古語或孟子所嘗言也,曹交問曰：“人皆可以爲堯舜，有諸？”孟子曰：“然。”,趙氏曰：“曹交，曹君之弟也。”人皆可以爲堯舜，疑古語，或孟子所嘗言也。,"조교(曹交)가 물었다. “사람은 다 요순(堯舜)이 될 수 있다 하니, 그러한 것이 있습니까?” 맹자(孟子)께서 말씀하였다. “그러하다.”","조씨(趙氏)가 말하기를 “조교(曹交)는 조(曹)나라 군주의 아우이다.” 하였다. 사람이 다 요순(堯舜)이 될 수 있다는 것은, 의심컨대 옛말이거나, 혹은 맹자(孟子)께서 일찍이 말씀하신 것인 듯하다."
