대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰盡其心者知其性也知其性則知天矣,心者人之神明所以具衆理而應萬事者也性則心之所具之理而天又理之所從以出者也人有是心莫非全體然不窮理則有所蔽而無以盡乎此心之量故能極其心之全體而無不盡者必其能窮夫理而無不知者也旣知其理則其所從出亦不外是矣以大學之序言之知性則物格之謂盡心則知至之謂也,孟子曰：“盡其心者，知其性也。知其性，則知天矣。”,心者，人之神明，所以具衆理而應萬事者也。性則心之所具之理，而天又理之所從以出者也。人有是心，莫非全體，然不窮理，則有所蔽而無以盡乎此心之量。故能極其心之全體而無不盡者，必其能窮夫理而無不知者也。旣知其理，則其所從出。亦不外是矣。以大學之序言之，知性則物格之謂，盡心則知至之謂也。,"맹자(孟子)께서 말씀하였다. “그 마음을 다하는 자는 그 성(性)을 아니, 그 성(性)을 알면 하늘을 알게 된다.”","심(心)은 사람의 신명(神明)이니, 모든 이(理)를 갖추어 있고, 만사(萬事)를 응하는 것이다. 성(性)은 심(心)에 갖추어져 있는 이(理)요, 천(天)은 또 이(理)가 따라서 나오는 것이다. 사람이 가지고 있는 이 마음은 전체(全體) 아님이 없으나 이(理)를 궁구하지 않으면 가리워진 바가 있어 이 심(心)의 양(量)을 다하지 못하는 것이다. 그러므로 심(心)의 전체(全體)를 지극히 하여 다하지 않음이 없는 자는 반드시 이(理)를 궁구하여 알지 못함이 없는 자이니, 이미 그 이(理)를 알면 따라서 나오는 것[천(天)]도 여기에서 벗어나지 않을 것이다. 《대학(大學)》의 순서로써 말하면 지성(知性)은 물격(物格)을 이르고, 진심(盡心)은 지지(知至)를 이른다."
存其心養其性所以事天也,存謂操而不舍養謂順而不害事則奉承而不違也,存其心，養其性，所以事天也。,存，謂操而不舍；養，謂順而不害。事，則奉承而不違也。,"그 마음을 보존하여 그 성(性)을 기름은 하늘을 섬기는 것이요,","존(存)은 잡고 버리지 않음을 이르고, 양(養)은 순(順)히 하고 해치지 않음을 이른다. 사(事)는 받들고 어기지 않는 것이다."
殀壽不貳修身以俟之所以立命也,殀壽命之短長也貳疑也不貳者知天之至修身以俟死則事天以終身也立命謂全其天之所付不以人爲害之,殀壽不貳，修身以俟之，所以立命也。,殀壽，命之短長也。貳，疑也。不貳者，知天之至，修身以俟死，則事天以終身也。立命，謂全其天之所付，不以人爲害之。,"요절하거나 장수함에 의심하지 않아, 몸을 닦고 천명(天命)을 기다림은 명(命)을 세우는 것이다.","요수(殀壽)는 명(命)의 길고 짧음이다. 이(貳)는 의심함이다. 의심하지 않음은 천리(天理)를 앎이 지극함이요, 몸을 닦고 죽음을 기다림은 하늘을 섬겨 몸을 마치는 것이다. 입명(立命)은 하늘이 부여해 준 것을 온전히 보존하여 인위(人爲)로써 해치지 않음을 이른다."
,程子曰心也性也天也一理也自理而言謂之天自禀受而言謂之性自存諸人而言謂之心張子曰由太虛有天之名由氣化有道之名合虛與氣有性之名合性與知覺有心之名愚謂盡心知性而知天所以造其理也存心養性以事天所以履其事也不知其理固不能履其事然徒造其理而不履其事則亦無以有諸己矣知天而不以殀壽貳其心智之盡也事天而能修身以俟死仁之至也智有不盡固不知所以爲仁然智而不仁則亦將流蕩不法而不足以爲智矣,,程子曰：“心也、性也、天也，一理也。自理而言謂之天，自稟受而言謂之性，自存諸人而言謂之心。”張子曰：“由太虛，有天之名；由氣化，有道之名；合虛與氣，有性之名；合性與知覺，有心之名。”愚謂盡心知性而知天，所以造其理也；存心養性以事天，所以履其事也。不知其理，固不能履其事；然徒造其理而不履其事，則亦無以有諸己矣。知天而不以殀壽貳其心，智之盡也；事天而能修身以俟死，仁之至也。智有不盡，固不知所以爲仁；然智而不仁，則亦將流蕩不法，而不足以爲智矣。,,"정자(程子)가 말씀하였다. “심(心)과 성(性)과 천(天)은 똑같은 이(理)이다. 이(理)의 입장에서 말하면 천(天)이라 이르고, 품수(禀受)한 입장에서 말하면 성(性)이라 이르고, 사람에게 보존된 입장에서 말하면 심(心)이라고 이른다.” 장자(張子)가 말씀하였다. “태허(太虛)로 말미암아 천(天)이란 명칭이 있고, 기화(氣化)[음양이기(陰陽二氣)의 조화(造化)]로 말미암아 도(道)란 명칭이 있고, 허(虛)와 기(氣)를 합하여 성(性)이란 명칭이 있고, 성(性)과 지각(知覺)을 합하여 심(心)이란 명칭이 있는 것이다.” 내가 생각건대, 심(心)을 다하고 성(性)을 알아서 천(天)을 앎은 그 이(理)에 나아감이요, 심(心)을 보존하고 성(性)을 길러서 천(天)을 섬김은 그 일을 실천하는 것이니, 그 이(理)를 알지 못하면 진실로 그 일을 실천할 수 없다. 그러나 다만 그 이(理)에 나아가기만 하고 그 일을 실천하지 않는다면, 또한 자기 몸에 이것을 소유할 수 없다. 천(天)을 알아 요수(殀壽)로써 그 마음을 의심하지 않음은 지(智)가 극진함이요, 천(天)을 섬겨 몸을 닦고 죽음을 기다림은 인(仁)이 지극함이다. 지(智)가 극진하지 못함이 있으면 진실로 인(仁)을 함을 알지 못한다. 그러나 지(智)만 하고 인(仁)을 하지 못한다면, 또한 장차 방탕한 데로 흐르고 법도가 없어서 족히 지(智)가 될 수 없을 것이다."
孟子曰莫非命也順受其正,人物之生吉凶禍福皆天所命然惟莫之致而至者乃爲正命故君子修身以俟之所以順受乎此也,孟子曰：“莫非命也，順受其正。”,人物之生，吉凶禍福，皆天所命。然惟莫之致而至者，乃爲正命，故君子修身以俟之，所以順受乎此也。,"맹자(孟子)께서 말씀하였다. “명(命) 아님이 없으나, 그 정명(正命)을 순(順)히 받아야 한다.”",인물(人物)이 살아갈 때에 길흉(吉凶)·화복(禍福)은 다 하늘이 명(命)한 것이다. 그러나 오직 그것을 이르게 함이 없어도 저절로 이른 것이 정명(正命)이 된다. 그러므로 군자(君子)가 몸을 닦고 기다림은 이것을 순(順)히 받으려고 하는 것이다.
是故知命者不立乎巖墻之下,命謂正命巖墻墻之將覆者知正命則不處危地以取覆壓之禍,是故知命者，不立乎巖墻之下。,命，謂正命。巖墻，墻之將覆者。知正命，則不處危地以取覆壓之禍。,이러므로 정명(正命)을 아는 자는 위험한 담장 아래에 서지 않는다.,"명(命)은 정명(正命)을 이른다. 암장(巖墻)은 담장이 장차 넘어지려고 하는 것이다. 정명(正命)을 안다면 위험한 곳에 처하여, 담이 전복되어 압사(壓死)하는 화를 취하지 않을 것이다."
盡其道而死者正命也,盡其道則所値之吉凶皆莫之致而至者矣,盡其道而死者，正命也。,盡其道，則所値之吉凶，皆莫之致而至者矣。,"그 도(道)를 다하고 죽는 자는 정명(正命)이요,",그 도(道)를 다하면 만나는 바의 길(吉)·흉(凶)이 모두 그것을 이르게 함이 없어도 저절로 이르는 것이다.
桎梏死者非正命也,桎梏所以拘罪人者言犯罪而死與立巖墻之下者同皆人所取非天所爲也,桎梏死者，非正命也。,桎梏，所以拘罪人者。言犯罪而死，與立巖墻之下者同，皆人所取，非天所爲也。,질곡(桎梏)으로 죽는 자는 정명(正命)이 아니다.”,"질곡(桎梏)은 죄인을 구속하는 것이다. 죄를 범하여 죽는 것은 위험한 담장 아래에 서 있다가 압사하는 것과 같으니, 모두 인간이 취한 것이요, 하늘이 한 것이 아님을 말씀한 것이다."
,此章與上章蓋一時之言所以發其末句未盡之意,,此章與上章蓋一時之言，所以發其末句未盡之意。,,"이 장(章)과 위 장(章)은 아마도 한 때의 말씀인 듯하니, 위 장(章) 말구(末句)의 미진(未盡)한 뜻을 발명(發明)한 것이다."
孟子曰求則得之舍則失之是求有益於得也求在我者也,在我者謂仁義禮智凡性之所有者,孟子曰：“求則得之，舍則失之，是求有益於得也，求在我者也。”,在我者，謂仁義禮智，凡性之所有者。,"맹자(孟子)께서 말씀하였다. “구하면 얻고 버리면 잃으니, 이 구함은 얻음에 유익(有益)함이 있으니, 자신에게 있는 것을 구하기 때문이다.”",자신에게 있다는 것은 인(仁)·의(義)·예(禮)·지(智) 등 모든 성(性)에 있는 것을 이른다.
求之有道得之有命是求無益於得也求在外者也,有道言不可妄求有命則不可必得在外者謂富貴利達凡外物皆是,求之有道，得之有命，是求無益於得也，求在外者也。,有道，言不可妄求。有命，則不可必得。在外者，謂富貴利達，凡外物皆是。,"구함에 도(道)가 있고, 얻음에 명(命)이 있으니, 이 구함은 얻음에 유익(有益)함이 없으니, 밖에 있는 것을 구하기 때문이다.”","도(道)가 있다는 것은 망령되이 구해서는 안됨을 말한 것이요, 명(命)이 있다는 것은 반드시 얻을 수는 없는 것이다. 밖에 있다는 것은 부귀(富貴)와 이달(利達) 등 모든 외물(外物)이 다 이것이다."
,趙氏曰言爲仁由己富貴在天如不可求從吾所好,,趙氏曰：“言爲仁由己，富貴在天，如不可求，從吾所好。”,,"조씨(趙氏)가 말하였다. “인(仁)을 행함은 자신에게 달려있고, 부귀(富貴)는 하늘에 있으니, 만일 부귀(富貴)를 구할 수 없다면 내가 좋아하는 바를 따라야 함을 말씀한 것이다.”"
孟子曰萬物皆備於我矣,此言理之本然也大則君臣父子小則事物細微其當然之理無一不具於性分之內也,孟子曰：“萬物皆備於我矣。”,此言理之本然也。大則君臣父子，小則事物細微，其當然之理，無一不具於性分之內也。,"맹자(孟子)께서 말씀하였다. “만물(萬物)이 모두 나에게 갖추어져 있으니, ”","이는 이(理)의 본연(本然)을 말씀한 것이다. 크게는 군신간(君臣間)과 부자간(父子間)이요, 작게는 사물(事物)의 세미(細微)한 것이, 그 당연한 이치가 한 가지도 성분(性分)의 안에 갖추어지지 않은 것이 없다."
反身而誠樂莫大焉,誠實也言反諸身而所備之理皆如惡惡臭好好色之實然則其行之不待勉强而無不利矣其爲樂孰大於是,反身而誠，樂莫大焉。,誠，實也。言反諸身，而所備之理，皆如惡惡臭、好好色之實然，則其行之不待勉强而無不利矣，其爲樂孰大於是。,"몸에 돌이켜보아 성실하면 즐거움이 이보다 더 클 수 없고,","성(誠)은 성실함이다. 자기 몸에 돌이켜봄에 갖추어져 있는 바의 이(理)를 모두 악취(惡臭)를 싫어하고, 호색(好色)을 좋아하는 실제와 같이 한다면, 그 행함이 억지로 힘쓰기를 기다리지 않고도 순하지 않음이 없을 것이다. 그 즐거움이 무엇이 이보다 크겠는가."
强恕而行求仁莫近焉,强勉强也恕推己以及人也反身而誠則仁矣其有未誠則是猶有私意之隔而理未純也故當凡事勉强推己及人庶幾心公理得而仁不遠也,强恕而行，求仁莫近焉。,强，勉强也。恕，推己以及人也。反身而誠則仁矣，其有未誠，則是猶有私意之隔，而理未純也。故當凡事勉强，推己及人，庶幾心公理得而仁不遠也。,서(恕)를 힘써서 행하면 인(仁)을 구함이 이보다 가까울 수 없다.”,"강(强)은 억지로 힘씀이다. 서(恕)는 내 마음을 미루어 남에게 미치는 것이다. 자신을 돌이켜봄에 성실하면 인(仁)이니, 그 성실하지 못함이 있다면 이는 아직도 사의(私意)에 막힘이 있어서 이치가 순수하지 못한 것이다. 그러므로 마땅히 모든 일에 힘써서 자기 마음을 미루어 남에게 미친다면, 거의 마음이 공정하고 이치가 맞아져 인(仁)이 멀지 않게 될 것이다."
,此章言萬物之理具於吾身體之而實則道在我而樂有餘行之以恕則私不容而仁可得,,此章言萬物之理具於吾身，體之而實，則道在我而樂有餘；行之以恕，則私不容而仁可得。,,"이 장(章)은 만물(萬物)의 이(理)가 내 몸에 갖추어져 있으니, 이것을 체행(體行)하여 성실히 하면 도(道)가 내 몸에 있어 즐거움이 유여(有餘)하고, 서(恕)로써 행하면 사(私)가 용납되지 않아 인(仁)을 얻을 수 있음을 말씀한 것이다."
孟子曰行之而不著焉習矣而不察焉終身由之而不知其道者衆也,著者知之明察者識之精言方行之而不能明其所當然旣習矣而猶不識其所以然所以終身由之而不知其道者多也,孟子曰：“行之而不著焉，習矣而不察焉，終身由之而不知其道者，衆也。”,著者，知之明；察者，識之精。言方行之而不能明其所當然，旣習矣而猶不識其所以然，所以終身由之而不知其道者多也。,"맹자(孟子)께서 말씀하였다. “행하면서도 밝게 알지 못하며, 익히면서도 살피지 못한다. 그러므로 종신토록 행하면서도 그 도(道)를 모르는 자가 많은 것이다.”","저(著)는 앎이 밝음이요, 찰(察)은 앎이 정(精)한 것이다. 자기가 막 행하고 있으면서도 그 소당연(所當然)을 분명히 알지 못하며, 이미 익히고 있으면서도 오히려 그 소이연(所以然)을 알지 못한다. 이 때문에 종신토록 행하면서도 그 도(道)를 알지 못하는 자가 많음을 말씀한 것이다."
孟子曰人不可以無恥無恥之恥無恥矣,趙氏曰人能恥己之無所恥是能改行從善之人終身無復有恥辱之累矣,孟子曰：“人不可以無恥。無恥之恥，無恥矣。”,趙氏曰：“人能恥己之無所恥，是能改行從善之人，終身無復有恥辱之累矣。”,"맹자(孟子)께서 말씀하였다. “사람은 부끄러움[염치]이 없어서는 안되니, 부끄러움이 없음을 부끄러워한다면 치욕스러운 일이 없을 것이다.”","조씨(趙氏)가 말하였다. “사람이 능히 자신이 부끄러워하는 바가 없음을 부끄러워한다면, 이는 능히 나쁜 행실을 고쳐 선(善)을 따르는 사람이니, 종신토록 다시는 치욕(恥辱)의 누(累)가 있지 않을 것이다.”"
孟子曰恥之於人大矣,恥者吾所固有羞惡之心也存之則進於聖賢失之則入於禽獸故所繫爲甚大,孟子曰：“恥之於人大矣。”,恥者，吾所固有羞惡之心也。存之則進於聖賢，失之則入於禽獸，故所繫爲甚大。,맹자(孟子)께서 말씀하였다. “부끄러움이 사람에 있어서 매우 크다.”,"부끄러움은 나에게 고유(固有)한 바의 수오지심(羞惡之心)이다. 이것을 보존하면 성현(聖賢)에 나아가고, 이것을 잃으면 금수(禽獸)에 들어간다. 그러므로 관계되는 바가 매우 큰 것이다."
爲機變之巧者無所用恥焉,爲機械變詐之巧者所爲之事皆人所深恥而彼方且自以爲得計故無所用其愧恥之心也,爲機變之巧者，無所用恥焉。,爲機械變詐之巧者，所爲之事皆人所深恥，而彼方且自以爲得計，故無所用其愧恥之心也。,기변(機變)의 공교로운 짓을 하는 자는 부끄러움을 쓰는 바가 없다.,"기계(機械)와 변사(變詐)의 공교로운 짓을 하는 자는 행하는 바의 일이 모두 남들은 깊이 부끄러워하는 것인데도, 자신은 스스로 좋은 계책이라고 여긴다. 그러므로 그 부끄러워하는 마음을 쓸 곳이 없는 것이다."
不恥不若人何若人有,但無恥一事不如人則事事不如人矣或曰不恥其不如人則何能有如人之事其義亦通或問人有恥不能之心如何程子曰恥其不能而爲之可也恥其不能而掩藏之不可也,不恥不若人，何若人有？,但無恥一事不如人，則事事不如人矣。或曰：“不恥其不如人，則何能有如人之事。”其義亦通。或問：“人有恥不能之心如何？”程子曰：“恥其不能而爲之可也，恥其不能而掩藏之不可也。”,"부끄러워하지 않음이 남[정상인(正常人)]과 같지 못하다면, 어느 것이 남과 같은 것이 있겠는가.”","다만 부끄러워함이 없는 한 가지 일이 남과 같지 못하다면 일마다 남과 같지 못할 것이다. 혹자가 말하기를 “그 남만 같지 못함을 부끄러워하지 않는다면 어찌 능히 남과 같은 일이 있겠는가”라고 하니, 그 뜻이 또한 통한다. 혹자가 묻기를 “사람들이 능하지 못함을 부끄러워하는 마음을 두는 것이 어떻습니까?” 하고 묻자, 정자(程子)가 대답하였다. “능하지 못함을 부끄러워하여 힘써서 하는 것은 가(可)하고, 능하지 못함을 부끄러워하여 가리고 감추는 것은 불가(不可)하다.”"
孟子曰古之賢王好善而忘勢古之賢士何獨不然樂其道而忘人之勢故王公不致敬盡禮則不得亟見之見且猶不得亟而況得而臣之乎,言君當屈己以下賢士不枉道而求利二者勢若相反而實則相成蓋亦各盡其道而已,孟子曰：“古之賢王好善而忘勢，古之賢士何獨不然？樂其道而忘人之勢。故王公不致敬盡禮，則不得亟見之。見且猶不得亟，而況得而臣之乎？”,言君當屈己以下賢，士不枉道而求利。二者勢若相反，而實則相成，蓋亦各盡其道而已。,"맹자(孟子)께서 말씀하였다. “옛날 어진 군왕(君王)들은 선(善)을 좋아하고 세력을 잊었으니, 옛 현사(賢士)가 어찌 홀로 그렇지 않았겠는가. 그 도(道)를 즐거워하고 남의 세력을 잊었다. 그러므로 왕공(王公)이 경(敬)을 지극히 하고 예(禮)를 다하지 않으면, 자주 그를 만나볼 수 없었다. 만나보는 것도 오히려 자주할 수 없는데, 하물며 그를 신하로 삼음에 있어서랴!”","인군(人君)은 마땅히 몸을 굽혀서 어진이에게 몸을 낮추어야 하고, 선비는 도(道)를 굽혀 이익을 구하지 않아야 함을 말씀한 것이다. 두 가지는 세(勢)가 상반(相反)되는 듯하나, 실제는 서로 이루어주니, 또한 각기 그 도리를 다할 뿐이다."
孟子謂宋句踐曰子好遊乎吾語子遊,宋姓句踐名遊遊說也,孟子謂宋句踐曰：“子好遊乎？吾語子遊。”,宋，姓。句踐，名。遊，遊說也。,맹자(孟子)께서 송구천(宋句踐)에게 일러 말씀하였다. “그대는 유세(遊說)하기를 좋아하는가? 내 그대에게 유세(遊說)하는 것을 말해 주겠다.”,"송(宋)은 성(姓)이요, 구천(句踐)은 이름이다. 유(遊)는 유세(遊說)하는 것이다."
人知之亦囂囂人不知亦囂囂,趙氏曰囂囂自得無欲之貌,人知之，亦囂囂；人不知，亦囂囂。,趙氏曰：“囂囂，自得無欲之貌。”,"남이 알아주더라도 효효(囂囂)하며, 남이 알아주지 못하더라도 또한 효효(囂囂)하여야 한다.”",조씨(趙氏)가 말하였다. “효효(囂囂)는 자득(自得)하여 욕심이 없는 모양이다.”
