대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰不仁哉梁惠王也仁者以其所愛及其所不愛不仁者以其所不愛及其所愛,親親而仁民仁民而愛物所謂以其所愛及其所不愛也,孟子曰：“不仁哉，梁惠王也！仁者以其所愛及其所不愛，不仁者以其所不愛及其所愛。”,親親而仁民，仁民而愛物，所謂以其所愛及其所不愛也。,"맹자(孟子)께서 말씀하였다. “인(仁)하지 못하다, 양혜왕(梁惠王)이여! 인자(仁者)는 그 사랑하는 바로써 사랑하지 않는 바에 미치고, 인(仁)하지 못한 자는 사랑하지 않는 바로써 사랑하는 바에 미친다.”","친척을 친(親)히 하고 백성[사람]을 사랑하며, 백성을 사랑하고서 물건을 사랑함이 이른바 사랑하는 바로써 사랑하지 않는 바에 미친다는 것이다."
公孫丑曰何謂也梁惠王以土地之故糜爛其民而戰之大敗將復之恐不能勝故驅其所愛子弟以殉之是之謂以其所不愛及其所愛也,梁惠王以下孟子答辭也糜爛其民使之戰鬪糜爛其血肉也復之復戰也子弟謂太子申也以土地之故及其民以民之故及其子皆以其所不愛及其所愛也,公孫丑曰：“何謂也？”“梁惠王以土地之故，糜爛其民而戰之，大敗，將復之，恐不能勝，故驅其所愛子弟以殉之，是之謂以其所不愛及其所愛也。”,梁惠王以下，孟子答辭也。糜爛其民，使之戰鬪，糜爛其血肉也。復之，復戰也。子弟，謂太子申也。以土地之故及其民，以民之故及其子，皆以其所不愛及其所愛也。,"공손추(公孫丑)가 말하였다. “무슨 말씀입니까?” “양혜왕(梁惠王)이 토지의 연고 때문에 그 백성을 미란(糜爛)시켜 싸우게 하였다가 대패(大敗)하고는, 장차 다시 싸우려 하되, 이기지 못할까 두려우므로 그 사랑하는 자제(子弟)를 내몰아서 여기에 희생시켰으니, 이것을 사랑하지 않는 바로써 사랑하는 바에 미친다고 하는 것이다.”","양혜왕(梁惠王) 이하는 맹자(孟子)께서 대답하신 말씀이다. 그 백성을 미란(糜爛)시켰다는 것은 백성들을 싸우게 하여 그 피와 살을 미란(糜爛)시킨 것이다. 부지(復之)는 다시 싸우는 것이다. 자제(子弟)는 태자(太子) 신(申)을 이른다. 토지의 이유 때문에 그 백성에게 미치고, 백성의 이유 때문에 그 아들에게 미쳤으니, 이것은 모두 사랑하지 않는 바로써 사랑하는 바에 미친 것이다."
,此承前篇之末三章之意言仁人之恩自內及外不仁之禍由疏逮親,,此承前篇之末三章之意，言仁人之恩，自內及外；不仁之禍，由疏逮親。,,"이는 전편(前篇)의 끝 세 장(章)의 뜻을 이어서 인인(仁人)의 은혜는 안으로부터 밖에 미치고, 불인(不仁)의 화(禍)는 소원(疏遠)함으로부터 친척에게 미침을 말씀한 것이다."
孟子曰春秋無義戰彼善於此則有之矣,春秋每書諸侯戰伐之事必加譏貶以著其擅興之罪無有以爲合於義而許之者但就中彼善於此者則有之如召陵之師之類是也,孟子曰：“春秋無義戰。彼善於此，則有之矣。”,春秋每書諸侯戰伐之事，必加譏貶，以著其擅興之罪，無有以爲合於義而許之者。但就中彼善於此者則有之，如召陵之師之類是也。,"맹자(孟子)께서 말씀하였다. “《춘추(春秋)》에 의로운 전쟁이 없었으니, 그 중에 저것이 이것보다 나은 것은 있다.”","《춘추(春秋)》에는 제후(諸侯)들이 전벌(戰伐)한 일을 쓸 때마다 반드시 비판과 폄(貶)을 가하여 그 멋대로 군대를 일으킨 죄를 드러내었고, 의(義)에 합한다고 여겨 허여 한 것이 없다. 다만 그 중에 저것이 이것보다 나은 것은 있었으니, 예를들면 소릉(召陵)의 군대와 같은 유(類)가 이것이다."
征者上伐下也敵國不相征也,征所以正人也諸侯有罪則天子討而正之此春秋所以無義戰也,征者上伐下也，敵國不相征也。,征，所以正人也。諸侯有罪，則天子討而正之，此春秋所以無義戰也。,"정(征)은 윗사람이 아랫사람을 정벌하는 것이니, 대등한 나라끼리는 서로 정벌하지 못하는 것이다.”","정(征)은 사람을 바로잡는 것이다. 제후(諸侯)가 죄가 있으면 천자(天子)가 그를 토벌하여 바로잡는 것이니, 이 때문에 《춘추(春秋)》에 의(義)로운 전쟁이 없는 것이다."
孟子曰盡信書則不如無書,程子曰載事之辭容有重稱而過其實者學者當識其義而已苟執於辭則時或有害於義不如無書之愈也,孟子曰：“盡信書，則不如無書。”,程子曰：“載事之辭，容有重稱而過其實者，學者當識其義而已；苟執於辭，則時或有害於義，不如無書之愈也。”,맹자(孟子)께서 말씀하였다. “《서경(書經)》의 내용을 모두 믿는다면 《서경(書經)》이 없는 것만 못할 것이다.”,"정자(程子)가 말씀하였다. “일을 기재한 내용에는 혹 지나치게 칭하여 그 실제보다 지나친 것이 있으니, 배우는 자들은 마땅히 그 의(義)를 알뿐이다. 만일 그 내용에 집착한다면 때로는 혹 의리에 해로움이 있을 것이니, 《서경(書經)》이 없는 것이 나음만 못할 것이다.”"
吾於武成取二三策而已矣,武成周書篇名武王伐紂歸而記事之書也策竹簡也取其二三策之言其餘不可盡信也程子曰取其奉天伐暴之意反正施仁之法而已,吾於武成，取二三策而已矣。,武成，周書篇名，武王伐紂歸而記事之書也。策，竹簡也。取其二三策之言，其餘不可盡信也。程子曰：“取其奉天伐暴之意，反正施仁之法而已。”,나는 〈무성편(武成篇)〉에 대해서 두서너 쪽을 취할 뿐이다.,"〈무성(武成)〉은 주서(周書)의 편명(篇名)이니, 무왕(武王)이 주왕(紂王)을 정벌하고 돌아와 그 사실을 기재한 책이다. 책(策)은 죽간(竹簡)이니, 그 두서너 책(策)의 말을 취하고, 그 나머지는 다 믿을 수 없다는 것이다. 정자(程子)가 말씀하였다. “하늘을 받들어 포악한 삶을 정벌한 뜻과 정사를 돌이켜 인(仁)을 베푼 법을 취할 뿐이다.”"
仁人無敵於天下以至仁伐至不仁而何其血之流杵也,杵舂杵也或作鹵楯也武成言武王伐紂紂之前徒倒戈攻于後以北血流漂杵孟子言此則其不可信者然書本意乃謂商人自相殺非謂武王殺之也孟子之設是言懼後世之惑且長不仁之心耳,仁人無敵於天下。以至仁伐至不仁，而何其血之流杵也？,杵，舂杵也。或作鹵，楯也。武成言武王伐紂，紂之“前徒倒戈，攻于後以北，血流漂杵”。孟子言此則其不可信者。然書本意，乃謂商人自相殺，非謂武王殺之也。孟子之設是言，懼後世之惑，且長不仁之心耳。,"인인(仁人)은 천하에 대적할 사람이 없다. 지극한 인(仁)으로 지극히 불인(不仁)한 사람을 정벌하였으니, 어찌 그 피가 절구공이를 표류하게 하는 일이 있었겠는가.”","저(杵)는 방아찧는 절구공이이다. 혹은 노(鹵)로도 되어 있으니, 방패이다. 〈무성(武成)〉에 말하기를 ‘무왕(武王)이 주(紂)를 정벌함에 주(紂)의 군대 앞에 있던 무리들이 창을 거꾸로 들고서 뒤를 공격하여 패배시켜, 피가 흘러 절구공이가 표류했다.’ 하였으니, 맹자(孟子)께서 이것이 그 믿을 수 없는 것이라고 말씀한 것이다. 그러나 《서경(書經)》의 본래 뜻은 바로 상(商)나라 사람들이 자기들끼리 서로 죽인 것을 말했을 뿐이요, 무왕(武王)이 그들을 죽였다고 말한 것은 아니다. 맹자(孟子)께서 이러한 말씀을 하신 것은 후세(後世)의 의혹을 두려워한 것이요, 또 불인(不仁)한 마음을 조장(助長)할까 해서였다."
孟子曰有人曰我善爲陳我善爲戰大罪也,制行伍曰陳交兵曰戰,孟子曰：“有人曰：‘我善爲陳，我善爲戰。’大罪也。”,制行伍曰陳，交兵曰戰。,"맹자(孟子)께서 말씀하였다. “어떤 사람이 말하기를 ‘내가 진(陳)을 잘 치며, 내가 전쟁을 잘한다.’고 하면 그는 큰 죄인이다.","항오(行伍)를 통제하는 것을 진(陳)이라 하고, 병기를 서로 가하는 것은 전(戰)이라 한다."
國君好仁天下無敵焉南面而征北狄怨東面而征西夷怨曰奚爲後我,此引湯之事以明之解見前篇,國君好仁，天下無敵焉。南面而征北狄怨，東面而征西夷怨。曰：‘奚爲後我？’,此引湯之事以明之，解見前篇。,"국군(國君)이 인(仁)을 좋아하면 천하에 대적할 자가 없는 것이다. <탕왕(湯王)이> 남쪽을 향하여 정벌함에 북쪽에 있는 오랑캐가 원망하며, 동쪽을 향하여 정벌함에 서쪽에 있는 오랑캐가 원망하여 ‘어찌하여 우리들을 뒤에 정벌하는가.’ 하였다.","이것은 탕(湯)임금의 일을 인용하여 밝힌 것이니, 해석이 전편(前篇)[양혜왕하(梁惠王下)]에 보인다."
