대문,주석,대문표점,주석표점,대문해석,주석해석
孟子見梁惠王,梁惠王魏侯罃也都大梁僭稱王謚曰惠史記惠王三十五年卑禮厚幣以招賢者而孟軻至梁,孟子見梁惠王。,梁惠王，魏侯罃也。都大梁，僭稱王，謚曰惠。史記：“惠王三十五年，卑禮厚幣以招賢者，而孟軻至梁。”,"맹자(孟子)께서 양혜왕(梁惠王)을 뵈시니,","양혜왕(梁惠王)은 위(魏)나라 후(侯)인 영(罃)이다. 대량(大梁) 땅에 도읍 하였고 왕(王)이라 참칭(僭稱)하였으며, 시호를 혜(惠)라 하였다. 《사기(史記)》에 “혜왕(惠王) 35년(年)에 자신의 예(禮)를 낮추고 폐백을 후(厚)히 하여 현자(賢者)를 초청하자, 맹가(孟軻)가 양(梁)땅에 이르렀다.”하였다."
王曰叟不遠千里而來亦將有以利吾國乎,叟長老之稱王所謂利蓋富國彊兵之類,王曰：“叟不遠千里而來，亦將有以利吾國乎？”,叟，長老之稱。王所謂利，蓋富國彊兵之類。,"왕(王)이 말씀하였다. “노인(老人)께서 천리(千里)를 멀리 여기지 않고 오셨으니, 또한 장차 내 나라를 이롭게 함이 있겠습니까?”",수(叟)는 장로(長老)의 칭호이다. 왕(王)이 말씀한 이(利)란 나라를 부유하게 하고 군대를 강하게 하는 따위이다.
孟子對曰王何必曰利亦有仁義而已矣,仁者心之德愛之理義者心之制事之宜也此二句乃一章之大指下文乃詳言之後多放此,孟子對曰：“王何必曰利？亦有仁義而已矣。”,仁者，心之德、愛之理。義者，心之制、事之宜也。此二句乃一章之大指，下文乃詳言之。後多放此。,맹자(孟子)께서 대답하셨다. “왕(王)은 하필 이(利)를 말씀하십니까? 또한 인의(仁義)가 있을 뿐입니다.”,"인(仁)이란 마음의 덕(德)이요, 사랑의 원리이며, 의(義)란 마음의 제재요, 일의 마땅함이다. 이 두 구(句)는 바로 이 한 장(章)의 대지(大指)인데, 아래 글에 마침내 상세히 말씀하였으니, 뒤도 이와 같은 경우가 많다."
王曰何以利吾國大夫曰何以利吾家士庶人曰何以利吾身上下交征利而國危矣萬乘之國弑其君者必千乘之家千乘之國弑其君者必百乘之家萬取千焉千取百焉不爲不多矣苟爲後義而先利不奪不饜,此言求利之害以明上文何必曰利之意也征取也上取乎下下取乎上故曰交征國危謂將有弑奪之禍乘車數也萬乘之國者天子畿內地方千里出車萬乘千乘之家者天子之公卿采地方百里出車千乘也千乘之國諸侯之國百乘之家諸侯之大夫也弑下殺上也饜足也言臣之於君每十分而取其一分亦已多矣若又以義爲後而以利爲先則不弑其君而盡奪之其心未肯以爲足也,王曰‘何以利吾國’？大夫曰‘何以利吾家’？士庶人曰‘何以利吾身’？上下交征利而國危矣。萬乘之國弑其君者，必千乘之家；千乘之國弑其君者，必百乘之家。萬取千焉，千取百焉，不爲不多矣。苟爲後義而先利，不奪不饜。,此言求利之害，以明上文何必曰利之意也。征，取也。上取乎下，下取乎上，故曰交征。國危，謂將有弑奪之禍。乘，車數也。萬乘之國者，天子畿內地方千里，出車萬乘。千乘之家者，天子之公卿采地方百里，出車千乘也。千乘之國，諸侯之國。百乘之家，諸侯之大夫也。弑，下殺上也。饜，足也。言臣之於君，每十分而取其一分，亦已多矣。若又以義爲後而以利爲先，則不弑其君而盡奪之，其心未肯以爲足也。,"왕(王)께서 어떻게 하면 내 나라를 이롭게 할까 하시면, 대부(大夫)들은 어떻게 하면 내 집안을 이롭게 할까 하며, 사(士)·서인(庶人)들은 어떻게 하면 내 몸을 이롭게 할까 하여, 윗사람과 아랫사람이 서로 이(利)를 취한다면 나라가 위태로울 것입니다. 만승(萬乘)의 나라에 그 군주(君主)를 시해하는 자는 반드시 천승(千乘)을 가진 공경(公卿)의 집안이요, 천승(千乘)의 나라에 그 군주를 시해하는 자는 반드시 백승(百乘)을 가진 대부(大夫)의 집안이니, 만승(萬乘)에 천승(千乘)을 취하며 천승(千乘)에 백승(百乘)을 취함이 많지 않은 것은 아니지만, 만일 의(義)를 뒤로 하고 이(利)를 먼저 하면, <모두> 빼앗지 않으면 만족해하지 않습니다.","이것은 이(利)를 구하는 해(害)를 말씀하여, 위 글에 ‘하필 이(利)를 말씀하십니까?’ 한 뜻을 밝힌 것이다. 정(征)은 취(取)함이니, 윗사람은 아랫사람에게서 취하고 아랫사람은 윗사람에게서 취한다. 그러므로 교정(交征)이라고 말한 것이다. 국위(國危)란 장차 군주(君主)를 시해하고 찬탈하는 화가 있음을 말한다. 승(乘)은 수레의 수(數)이다. 만승(萬乘)의 나라란 천자(天子)의 기내(畿內)로 땅이 방(方) 천리(千里)여서 수레 만승(萬乘)이 나올 수 있는 것이요. 천승(千乘)의 집안이란 천자(天子)의 공경(公卿)으로, 채지(采地)가 방(方) 백리(百里)여서 수레 천승(千乘)이 나올 수 있는 것이다. 천승(千乘)의 나라란 제후(諸侯)의 나라요, 백승(百乘)의 집안이란 제후(諸侯)의 대부(大夫)이다. 시(弑)는 아랫사람이 윗사람을 죽이는 것이다. 염(饜)은 만족함이다. 신하가 군주에 대해서 매양 10분(分)에 그 1분(分)을 취했으니, 이것도 이미 많다. 그러나 만일 또 의(義)로써 뒤를 삼고 이(利)로써 우선을 삼는다면, 군주를 시해하고 다 빼앗지 않고서는 그 마음에 즐겨 만족하게 여기지 못함을 말씀한 것이다."
未有仁而遺其親者也未有義而後其君者也,此言仁義未嘗不利以明上文亦有仁義而已之意也遺猶棄也後不急也言仁者必愛其親義者必急其君故人君躬行仁義而無求利之心則其下化之自親戴於己也,未有仁而遺其親者也，未有義而後其君者也。,此言仁義未嘗不利，以明上文亦有仁義而已之意也。遺，猶棄也。後，不急也。言仁者必愛其親，義者必急其君。故人君躬行仁義而無求利之心，則其下化之，自親戴於己也。,"인(仁)하고서 그 어버이를 버리는 자는 있지 않으며, 의(義)롭고서 그 군주를 뒤로 하는 자는 있지 않습니다.","이것은 인의(仁義)가 일찍이 이롭지 않은 것이 아님을 말씀하여, 위 글에 ‘또한 인의(仁義)가 있을 뿐입니다.’한 뜻을 밝힌 것이다. 유(遺)는 기(棄)와 같다. 후(後)는 급하게 여기지 않음이다. 인(仁)한 자는 반드시 그 어버이를 사랑하고, 의(義)로운 자는 반드시 그 군주를 우선으로 한다. 그러므로 인군(人君)이 몸소 인의(仁義)를 행하고 이(利)를 구하는 마음이 없으면, 그 아랫사람들이 교화되어 스스로 자신[군주(君主)]를 친히 하고 떠받듦을 말씀한 것이다."
王亦曰仁義而已矣何必曰利,重言之以結上文兩節之意,“王亦曰仁義而已矣，何必曰利？”,重言之，以結上文兩節之意。,"왕(王)께서는 또한 “인의(仁義)를 말씀하실 따름이니, 하필 이(利)를 말씀하십니까?”",거듭 말씀하여 위 글의 두 절(節)의 뜻을 맺은 것이다.
,此章言仁義根於人心之固有天理之公也利心生於物我之相形人欲之私也循天理則不求利而自無不利徇人欲則求利未得而害已隨之所謂毫釐之差千里之繆此孟子之書所以造端託始之深意學者所宜精察而明辨也,,此章言仁義根於人心之固有，天理之公也。利心生於物我之相形，人欲之私也。循天理，則不求利而自無不利；徇人欲，則求利未得而害已隨之。所謂毫釐之差，千里之繆。此孟子之書所以造端託始之深意，學者所宜精察而明辨也。,,"이 장(章)은 인의(仁義)는 인심(人心)의 고유(固有)한 것에서 근원 하였으니 천리(天理)의 공(公)이요, 이심(利心)은 남과 내가 서로 나타남에서 생겼으니 인욕(人慾)의 사(私)이다. 천리(天理)를 따르면 이(利)를 구하지 않아도 저절로 이롭지 않음이 없고, 인욕(人慾)을 따르면 이(利)를 구하여도 얻지 못하고 해(害)가 이미 따름을 말씀하였으니, 이른바 ‘털끝 만한 차이가 천리(千里)나 어그러진다.’는 것이다. 이것은 《맹자(孟子)》 책이 단서를 짓고 시작을 의탁한 바의 깊은 뜻이니, 배우는 자가 마땅히 정하게 살피고 밝게 분별하여야 할 것이다."
,太史公曰余讀孟子書至梁惠王問何以利吾國未嘗不廢書而歎也曰嗟乎利誠亂之始也夫子罕言利常防其源也故曰放於利而行多怨自天子以至於庶人好利之弊何以異哉程子曰君子未嘗不欲利但專以利爲心則有害惟仁義則不求利而未嘗不利也當是之時天下之人惟利是求而不復知有仁義故孟子言仁義而不言利所以拔本塞源而救其弊此聖賢之心也,,太史公曰：“余讀孟子書至梁惠王問何以利吾國，未嘗不廢書而歎也。曰嗟乎！利誠亂之始也。夫子罕言利，常防其源也。故曰‘放於利而行，多怨’。自天子以至於庶人，好利之弊，何以異哉？”程子曰：“君子未嘗不欲利，但專以利爲心則有害。惟仁義則不求利而未嘗不利也。當是之時，天下之人惟利是求，而不復知有仁義。故孟子言仁義而不言利，所以拔本塞源而救其弊，此聖賢之心也。”,,"태사공(太史公)이 말하였다. “내 《맹자(孟子)》 책을 읽다가 양혜왕(梁惠王)이 ‘어떻게 하면 내 나라를 이롭게 하겠습니까?’ 하는 물음에 이르러서는, 일찍이 읽던 책을 중지하고 탄식하지 않은 적이 없었다. 아! 이(利)는 진실로 난(亂)의 시초이다. 부자(夫子)께서는 이(利)를 드물게 말씀하시어 항상 그 난(亂)의 근원을 막으셨다. 그러므로 말씀하시기를 ‘이(利)에 따라 행동하면 원망이 많다.’ 하셨으니, 천자(天子)로부터 서인(庶人)에 이르기까지 이(利)를 좋아하는 폐단이 어찌 다르겠는가.” 정자(程子)가 말씀하였다. “군자(君子)가 일찍이 이롭고자 하지 않는 것은 아니나, 다만 오로지 이(利)로써 마음을 삼으면 해(害)가 있고, 인의(仁義)는 이(利)를 구하지 않아도 일찍이 이롭지 않음이 없는 것이다. 이 때를 당하여 천하(天下) 사람들이 오직 이(利)만을 추구하고 다시 인의(仁義)가 있음을 알지 못하였다. 그러므로 맹자(孟子)께서 인의(仁義)를 말씀하시고 이(利)를 말씀하지 않았으니, 이것은 뿌리를 뽑고 근원을 막아서 그 폐단을 바로잡으신 것이니, 성현(聖賢)의 마음이시다.”"
孟子見梁惠王王立於沼上顧鴻雁麋鹿曰賢者亦樂此乎,沼池也鴻雁之大者麋鹿之大者,孟子見梁惠王，王立於沼上，顧鴻雁麋鹿，曰：“賢者亦樂此乎？”,沼，池也。鴻，雁之大者。麋，鹿之大者。,"맹자(孟子)께서 양혜왕(梁惠王)을 뵈셨는데, 왕(王)이 못가에 있더니, 홍안(鴻雁)과 미록(麋鹿)을 돌아보고 말씀하였다. “현자(賢者)도 또한 이것을 즐거워하십니까?”","소(沼)는 못이다. 홍(鴻)은 기러기 중에 큰 것이요, 미(麋)는 사슴 중에 큰 것이다."
孟子對曰賢者而後樂此不賢者雖有此不樂也,此一章之大指,孟子對曰：“賢者而後樂此，不賢者雖有此，不樂也。”,此一章之大指。,"맹자(孟子)께서 대답하셨다. “현자(賢者)인 뒤에야 이것을 즐거워할 수 있으니, 어질지 못한 자는 비록 이것을 가지고 있더라도 즐거워하지 못합니다.”",이것은 한 장(章)의 대지(大指)이다.
詩云經始靈臺經之營之庶民攻之不日成之經始勿亟庶民子來王在靈囿麀鹿攸伏麀鹿濯濯白鳥鶴鶴王在靈沼於牣魚躍文王以民力爲臺爲沼而民歡樂之謂其臺曰靈臺謂其沼曰靈沼樂其有麋鹿魚鼈古之人與民偕樂故能樂也,此引詩而釋之以明賢者而後樂此之意詩大雅靈臺之篇經量度也靈臺文王臺名也營謀爲也攻治也不日不終日也亟速也言文王戒以勿亟也子來如子來趨父事也靈囿靈沼臺下有囿囿中有沼也麀牝鹿也伏安其所不驚動也濯濯肥澤貌鶴鶴潔白貌於歎美辭牣滿也孟子言文王雖用民力而民反歡樂之旣加以美名而又樂其所有蓋由文王能愛其民故民樂其樂而文王亦得以享其樂也,詩云：‘經始靈臺，經之營之，庶民攻之，不日成之。經始勿亟，庶民子來。王在靈囿，麀鹿攸伏，麀鹿濯濯，白鳥鶴鶴。王在靈沼，於牣魚躍。’文王以民力爲臺爲沼。而民歡樂之，謂其臺曰靈臺，謂其沼曰靈沼，樂其有麋鹿魚鼈。古之人與民偕樂，故能樂也。,此引詩而釋之，以明賢者而後樂此之意。詩大雅靈臺之篇，經，量度也。靈臺，文王臺名也。營，謀爲也。攻，治也。不日，不終日也。亟，速也，言文王戒以勿亟也。子來，如子來趨父事也。靈囿、靈沼，臺下有囿，囿中有沼也。麀，牝鹿也。伏，安其所，不驚動也。濯濯，肥澤貌。鶴鶴，潔白貌。於，歎美辭。牣，滿也。孟子言文王雖用民力，而民反歡樂之，旣加以美名，而又樂其所有。蓋由文王能愛其民，故民樂其樂，而文王亦得以享其樂也。,"《시경(詩經)》에 이르기를 ‘영대(靈臺)를 처음으로 경영(經營)하여 이것을 헤아리고 도모하시니, 서민(庶民)들이 와서 일하는지라 하루가 못되어 완성되었도다. 경시(經始)하기를 급히 하지 말라고 하셨으나 서민(庶民)들은 아들이 아버지 일에 달려오듯이 하는도다. 왕(王)이 영유(靈囿)에 계시니, 사슴들이 그 곳에 가만히 엎드려 있도다. 사슴들은 탁탁(濯濯)하거늘 백조는 학학(鶴鶴)하도다. 왕(王)이 영소(靈沼)에 계시니, 아! <연못에> 가득히 고기들이 뛰논다.’ 하였으니, 문왕(文王)이 백성의 힘을 이용하여 대(臺)를 만들고 소(沼)를 만들었으나, 백성들이 그것을 즐거워하여 그 대(臺)를 이르기를 영대(靈臺)라 하고, 그 소(沼)를 이르기를 영소(靈沼)라 하여, 그가 미록(麋鹿)과 고기와 자라를 소유함을 좋아하였으니, 옛사람들은 백성과 더불어 함께 즐겼기 때문에 능히 즐길 수 있었던 것입니다.","이것은 《시경(詩經)》을 인용하고 이를 해석하여 ‘현자(賢者)인 뒤에야 이것을 즐길 수 있다.’는 뜻을 밝힌 것이다. 시(詩)는 〈대아(大雅) 영대편(靈臺篇)〉이다. 경(經)은 헤아림이다. 영대(靈臺)는 문왕(文王)의 대(臺) 이름이다. 영(營)은 도모함이다. 공(攻)은 다스림이다. 불일(不日)은 하루를 마치지 못함이다. 극(亟)은 속(速)함이니, 문왕(文王)이 빨리 하지 말라고 경계함을 말씀한 것이다. 자래(子來)는 자식이 와서 아버지의 일에 달려오듯이 하는 것이다. 영유(靈囿)와 영소(靈沼)는 대(臺)아래에 동산이 있고, 동산 가운데 연못이 있었던 것이다. 우(麀)는 암사슴이다. 복(伏)은 그 곳에 편안히 있어서 놀라고 움직이지 않음이다. 탁탁(濯濯)은 살찌고 윤택한 모양이요, 학학(鶴鶴)은 깨끗하고 흰 모양이다. 오(於)는 탄미하는 말이다. 인(牣)은 가득함이다. 맹자(孟子)는 문왕(文王)이 비록 백성의 힘을 이용하였으나 백성들은 도리어 그것을 즐거워하여 이미 아름다운 명칭을 가해주고, 또 그[문왕(文王)]가 소유함을 즐거워하였으니, 이는 문왕(文王)이 백성을 사랑하였기 때문에 백성들이 그[문왕(文王)]의 즐거워함을 좋아하여, 문왕(文王)또한 그 즐거움을 누릴 수 있었음을 말씀한 것이다."
