대문,주석,대문표점,주석표점,대문해석,주석해석
莊暴見孟子曰暴見於王王語暴以好樂暴未有以對也曰好樂何如孟子曰王之好樂甚則齊國其庶幾乎,莊暴齊臣也庶幾近辭也言近於治,莊暴見孟子，曰：“暴見於王，王語暴以好樂，暴未有以對也。”曰：“好樂何如？”孟子曰：“王之好樂甚，則齊國其庶幾乎！”,莊暴，齊臣也。庶幾，近辭也。言近於治。,"장포(莊暴)가 맹자(孟子)를 뵙고 말하였다. “포(暴)가 왕(王)을 뵈오니, 왕(王)께서 저에게 음악(音樂)을 좋아한다고 말씀하셨으나 저는 여기에 대답하지 못하였습니다. 음악(音樂)을 좋아하는 것이 어떻습니까?” 맹자(孟子)께서 대답하였다. “왕(王)께서 음악(音樂)을 좋아함이 심하시면 제(齊)나라는 그 거의 다스려질 것이다.”","장포(莊暴)는 제(齊)나라 신하(臣下)이다. 서기(庶幾)는 가깝다는 말이니, 다스려짐에 가까움을 말한 것이다."
他日見於王曰王嘗語莊子以好樂有諸王變乎色曰寡人非能好先王之樂也直好世俗之樂耳,變色者慚其好之不正也,他日，見於王曰：“王嘗語莊子以好樂，有諸？”王變乎色，曰：“寡人非能好先王之樂也，直好世俗之樂耳。”,變色者，慚其好之不正也。,"타일(他日)에 맹자(孟子)께서 왕(王)을 뵙고 말씀하였다. “왕(王)께서 일찍이 장자(莊子)[장포(莊暴)]에게 음악(音樂)을 좋아한다고 말씀하였다 하오니, 그러한 일이 있습니까?” 왕(王)이 얼굴빛을 변하고 말씀하였다. “과인(寡人)은 선왕(先王)의 음악(音樂)을 좋아하는 것이 아니라, 다만 세속(世俗)의 음악(音樂)을 좋아할 뿐입니다.”",얼굴빛을 변한 것은 그 좋아함이 올바르지 못함을 부끄러워한 것이다.
曰王之好樂甚則齊其庶幾乎今之樂由古之樂也,今樂世俗之樂古樂先王之樂,曰：“王之好樂甚，則齊其庶幾乎！今之樂由古之樂也。”,今樂，世俗之樂。古樂，先王之樂。,맹자(孟子)께서 말씀하였다. “왕(王)께서 음악(音樂)을 좋아하심이 심하시면 제(齊)나라는 그 거의 다스려질 것입니다. 지금 음악(音樂)이 옛 음악(音樂)과 같습니다.”,"지금 음악은 세속(世俗)의 음악이요, 옛 음악은 선왕(先王)의 음악이다."
曰可得聞與曰獨樂樂與人樂樂孰樂曰不若與人曰與少樂樂與衆樂樂孰樂曰不若與衆,獨樂不若與人與少樂不若與衆亦人之常情也,曰：“可得聞與？”曰：“獨樂樂，與人樂樂，孰樂？”曰：“不若與人。”曰：“與少樂樂，與衆樂樂，孰樂？”曰：“不若與衆。”,獨樂不若與人，與少樂不若與衆，亦人之常情也。,“얻어 들을 수 있겠습니까?” “홀로 음악을 즐김과 다른 사람과 음악을 즐김이 어느 것이 더 즐겁습니까?” “남과 더불어 하는 것만 같지 못합니다.” “적은 사람과 음악을 즐김과 많은 사람과 음악을 즐김이 어느 것이 더 즐겁습니까?” “많은 사람과 더불어 하는 것만 같지 못합니다.”,"홀로 즐김이 남과 더불어 하는 것만 같지 못하고, 적은 사람과 즐김이 많은 사람과 더불어 즐기는 것만 같지 못함은 또한 사람의 떳떳한 정(情)이다."
臣請爲王言樂,此以下皆孟子之言也,“臣請爲王言樂。”,此以下，皆孟子之言也。,“신(臣)이 청컨대 왕(王)을 위하여 음악(音樂)을 말씀드리겠습니다.”,이 이하는 모두 맹자(孟子)의 말씀이다.
今王鼓樂於此百姓聞王鍾鼓之聲管籥之音擧疾首蹙頞而相告曰吾王之好鼓樂夫何使我至於此極也父子不相見兄弟妻子離散今王田獵於此百姓聞王車馬之音見羽旄之美擧疾首蹙頞而相告曰吾王之好田獵夫何使我至於此極也父子不相見兄弟妻子離散此無他不與民同樂也,鍾鼓管籥皆樂器也擧皆也疾首頭痛也蹙聚也頞額也人憂戚則蹙其額極窮也羽旄旌屬不與民同樂謂獨樂其身而不恤其民使之窮困也,今王鼓樂於此，百姓聞王鍾鼓之聲，管籥之音，擧疾首蹙頞而相告曰：‘吾王之好鼓樂，夫何使我至於此極也？父子不相見，兄弟妻子離散。’今王田獵於此，百姓聞王車馬之音，見羽旄之美，擧疾首蹙頞而相告曰：‘吾王之好田獵，夫何使我至於此極也？父子不相見，兄弟妻子離散。’此無他，不與民同樂也。,鍾鼓管籥，皆樂器也。擧，皆也。疾首，頭痛也。蹙，聚也。頞，額也。人憂戚則蹙其額。極，窮也。羽旄，旌屬。不與民同樂，謂獨樂其身而不恤其民，使之窮困也。,"지금 왕(王)이 이 곳에서 음악(音樂)을 타시면 백성들이 왕(王)의 종소리, 북소리와 피리소리, 젓대소리를 듣고는 모두 머리를 아파하고 이마를 찌푸리며 서로 말하기를 ‘우리 왕(王)께서 음악(音樂)을 타시기 좋아하심이여! 어찌 우리들로 하여금 이 곤궁함에 이르게 해서 부자간(父子間)이 서로 만나보지 못하며, 형제처자(兄弟妻子)가 이산(離散)되게 하는가.’ 하며, 지금 왕(王)이 이 곳에서 사냥을 하시면 백성들은 왕(王)의 수레소리, 말소리를 들으며 깃과 들소꼬리를 만든 깃발의 아름다움을 보고는 모두 머리를 아파하고 이마를 찌푸리며 서로 말하기를 ‘우리 왕(王)께서 사냥을 좋아하심이여! 어찌 우리들로 하여금 이 곤궁함에 이르게 해서 부자간(父子間)이 서로 만나보지 못하며 형제처자(兄弟妻子)가 서로 이산(離散)되게 하는가.’ 한다면, 이것은 다름이 아니라 임금께서 백성과 더불어 함께 즐기시지 않기 때문입니다.","종(鍾)·고(鼓)와 관(管)·약(籥)은 모두 악기(樂器)이다. 거(擧)는 모두이다. 질수(疾首)는 머리가 아픈 것이다. 축(蹙)은 모임이요, 알(頞)은 이마이니, 사람이 근심하면 이마를 찌푸리게 된다. 극(極)은 곤궁함이다. 우모(羽旄)는 깃발의 등속이다. 백성과 더불어 함께 즐거워하지 않는다는 것은, 홀로 그 자신만 즐기고 백성을 구휼하지 않아서 그들로 하여금 곤궁하게 함을 말한다."
今王鼓樂於此百姓聞王鍾鼓之聲管籥之音擧欣欣然有喜色而相告曰吾王庶幾無疾病與何以能鼓樂也今王田獵於此百姓聞王車馬之音見羽旄之美擧欣欣然有喜色而相告曰吾王庶幾無疾病與何以能田獵也此無他與民同樂也,與民同樂者推好樂之心以行仁政使民各得其所也,今王鼓樂於此，百姓聞王鍾鼓之聲，管籥之音，擧欣欣然有喜色而相告曰：‘吾王庶幾無疾病與？何以能鼓樂也？’今王田獵於此，百姓聞王車馬之音，見羽旄之美，擧欣欣然有喜色而相告曰‘吾王庶幾無疾病與？何以能田獵也？’此無他，與民同樂也。,與民同樂者，推好樂之心以行仁政，使民各得其所也。,"지금 왕(王)이 이 곳에서 음악(音樂)을 타시면 백성들이 왕(王)의 종소리, 북소리와 피리소리, 젓대소리를 듣고는 모두 흔연(欣然)히 기뻐하는 기색이 있으면서 서로 말하기를 ‘우리 왕(王)께서 행여 질병(疾病)이 없으신가, 어떻게 음악(音樂)을 타시는가.’ 하며, 지금 이 곳에서 사냥을 하시면 백성들이 왕(王)의 수레소리, 말소리를 들으며 깃발의 아름다움을 보고는 모두 흔연(欣然)히 기뻐하는 기색이 있으면서 서로 말하기를 ‘우리 왕(王)이 행여 질병(疾病)이 없으신가. 어떻게 사냥을 하시는가.’ 한다면, 이것은 다름이 아니라 백성과 더불어 함께 즐거워하시기 때문입니다.",백성과 더불어 함께 즐거워한다는 것은 음악을 좋아하는 마음을 미루어 인정(仁政)을 행하여 백성으로 하여금 각기 그 살 곳을 얻게 하는 것이다.
今王與百姓同樂則王矣,好樂而能與百姓同之則天下之民歸之矣所謂齊其庶幾者如此,今王與百姓同樂，則王矣。,好樂而能與百姓同之，則天下之民歸之矣，所謂齊其庶幾者如此。,지금 왕께서 백성과 더불어 함께 즐거워하신다면 왕노릇 하실 것입니다.”,"음악을 좋아하면서 백성과 더불어 함께 한다면 천하(天下)의 백성들이 돌아올 것이니, 이른바 제(齊)나라가 그 거의 다스려진다는 것은 이와 같은 것이다."
,范氏曰戰國之時民窮財盡人君獨以南面之樂自奉其身孟子切於救民故因齊王之好樂開導其善心深勸其與民同樂而謂今樂猶古樂其實今樂古樂何可同也但與民同樂之意則無古今之異耳若必欲以禮樂治天下當如孔子之言必用韶舞必放鄭聲蓋孔子之言爲邦之正道孟子之言救時之急務所以不同,,范氏曰：“戰國之時，民窮財盡，人君獨以南面之樂自奉其身。孟子切於救民，故因齊王之好樂，開導其善心，深勸其與民同樂，而謂今樂猶古樂。其實今樂古樂，何可同也？但與民同樂之意，則無古今之異耳。若必欲以禮樂治天下，當如孔子之言，必用韶舞，必放鄭聲。蓋孔子之言，爲邦之正道；孟子之言，救時之急務，所以不同。”,,"범씨(范氏)가 말하였다. “전국시대(戰國時代)에 백성들이 곤궁하고 재물이 다함은 인군(人君)이 홀로 남면(南面)의 즐거움으로써 스스로 그 몸만을 받들었기 때문이다. 맹자(孟子)는 백성을 구제함에 간절하였다. 그러므로 제선왕(齊宣王)의 음악(音樂)을 좋아함을 인하여 그 선(善)한 마음을 개도(開導)해서 백성과 더불어 함께 즐길 것을 깊이 권하여, 지금 음악이 옛 음악과 같다고 말씀하셨으니, 그 실제는 지금 음악과 옛 음악이 어찌 같을 수 있겠는가. 다만 백성과 더불어 함께 즐거워하는 뜻은 고금(古今)의 차이가 없을 뿐이다. 만일 반드시 예악(禮樂)을 가지고 천하(天下)를 다스리고자 한다면 마땅히 공자(孔子)의 말씀과 같이 하여 반드시 소무(韶舞)를 쓰고 반드시 정(鄭)나라의 음악을 추방해야 할 것이다. 공자(孔子)의 말씀은 나라를 다스리는 정도(正道)요, 맹자(孟子)의 말씀은 당시를 구제하는 급선무(急先務)이니, 이 때문에 같지 않은 것이다.”"
,楊氏曰樂以和爲主使人聞鍾鼓管絃之音而疾首蹙頞則雖奏以咸英韶濩無補於治也故孟子告齊王以此姑正其本而已,,楊氏曰：“樂以和爲主，使人聞鍾鼓管絃之音而疾首蹙頞，則雖奏以咸、英、韶、濩，無補於治也。故孟子告齊王以此，姑正其本而已。”,,"양씨(楊氏)가 말하였다. “음악은 화(和)함으로써 주장을 삼으니, 사람들로 하여금 종고(鍾鼓)와 관현(管絃)의 음악(音樂)을 듣고는 머리를 아프게 하고 이마를 찌푸리게 한다면, 비록 함(咸)·영(英)·소(韶)·호(濩)를 연주한다 하더라도 정치(政治)에 보탬이 없을 것이다. 그러므로 맹자(孟子)께서 제선왕(齊宣王)에게 이것으로써 말씀하셨으니, 이는 우선 그 근본(根本)을 바로잡으셨을 뿐이다.”"
