대문,주석,대문표점,주석표점,대문해석,주석해석
公孫丑問曰夫子當路於齊管仲晏子之功可復許乎,公孫丑孟子弟子齊人也當路居要地也管仲齊大夫名夷吾相桓公霸諸侯許猶期也孟子未嘗得政丑蓋設辭以問也,公孫丑問曰：“夫子當路於齊，管仲、晏子之功，可復許乎？”,公孫丑，孟子弟子，齊人也。當路，居要地也。管仲，齊大夫，名夷吾，相桓公，霸諸侯。許，猶期也。孟子未嘗得政，丑蓋設辭以問也。,공손추(公孫丑)가 물었다. “부자(夫子)께서 <만일> 제(齊)나라에서 요로(要路)를 담당하신다면 관중(管仲)과 안자(晏子)의 공적을 다시 기대할 수 있겠습니까?”,"공손추(公孫丑)는 맹자(孟子)의 제자(弟子)이니, 제(齊)나라 사람이다. 당로(當路)는 요지(要地)[요직(要職)]에 거(居)하는 것이다. 관중(管仲)은 제(齊)나라 대부(大夫)로 이름은 이오(夷吾)이니, 환공(桓公)을 도와서 제후(諸侯)의 패자(霸者)가 되게 하였다. 허(許)는 기(期)[기대함]와 같다. 맹자(孟子)께서 일찍이 정권을 얻지 못하셨으니, 공손추(公孫丑)가 가설(假設)하여 물은 것이다."
孟子曰子誠齊人也知管仲晏子而已矣,齊人但知其國有二子而已不復知有聖賢之事,孟子曰：“子誠齊人也，知管仲、晏子而已矣。”,齊人但知其國有二子而已，不復知有聖賢之事。,맹자(孟子)께서 말씀하였다. “그대는 진실로 제(齊)나라 사람이로다. 관중(管仲)과 안자(晏子)를 알뿐이로구나.”,"제(齊)나라 사람은 단지 그 나라에 두 사람이 있음을 알 뿐이요, 다시 성현(聖賢)의 일이 있음을 알지 못하였다."
或問乎曾西曰吾子與子路孰賢曾西蹴然曰吾先子之所畏也曰然則吾子與管仲孰賢曾西艴然不悅曰爾何曾比予於管仲管仲得君如彼其專也行乎國政如彼其久也功烈如彼其卑也爾何曾比予於是,孟子引曾西與或人問答如此曾西曾子之孫蹴不安貌先子曾子也艴怒色也曾之言則也烈猶光也桓公獨任管仲四十餘年是專且久也管仲不知王道而行霸術故言功烈之卑也楊氏曰孔子言子路之才曰千乘之國可使治其賦也使其見於施爲如是而已其於九合諸侯一匡天下固有所不逮也然則曾西推尊子路如此而羞比管仲者何哉譬之御者子路則範我馳驅而不獲者也管仲之功詭遇而獲禽耳曾西仲尼之徒也故不道管仲之事,或問乎曾西曰：‘吾子與子路孰賢？’曾西蹴然曰：‘吾先子之所畏也。’曰：‘然則吾子與管仲孰賢？’曾西艴然不悅，曰：‘爾何曾比予於管仲？管仲得君，如彼其專也；行乎國政，如彼其久也；功烈，如彼其卑也。爾何曾比予於是？’,孟子引曾西與或人問答如此。曾西，曾子之孫。蹴，不安貌。先子，曾子也。艴，怒色也。曾之言則也。烈，猶光也。桓公獨任管仲四十餘年，是專且久也。管仲不知王道而行霸術，故言功烈之卑也。楊氏曰：“孔子言子路之才，曰：‘千乘之國，可使治其賦也。’使其見於施爲，如是而已。其於九合諸侯，一匡天下，固有所不逮也。然則曾西推尊子路如此，而羞比管仲者何哉？譬之御者，子路則範我馳驅而不獲者也；管仲之功，詭遇而獲禽耳。曾西，仲尼之徒也，故不道管仲之事。”,"혹자(或者)가 증서(曾西)에게 묻기를 ‘그대가 자로(子路)와 더불어 누가 더 어진가?’ 하니, 증서(曾西)가 불안해하면서 말하기를 ‘자로(子路)는 우리 선자(先子)께서 두려워하신 바이다.’ 하였다. ‘그렇다면 그대는 관중(管仲)과 더불어 누가 더 어진가?’하니. 증서(曾西)가 불연(艴然)[변색]하며 기뻐하지 않고 말하기를 ‘네 어찌 곧 나를 관중(管仲)에게 비하는가. 관중(管仲)은 군주의 신임을 얻기를 저와 같이 독차지하였으며, 국정을 시행하기를 저와 같이 오래 하였는데도 공렬(功烈)이 자와 같이 낮으니, 네 어찌 곧 나를 이 사람에게 비교하는가.’ 하였다.","맹자(孟子)께서 증서(曾西)와 혹자의 문답을 인용하기를 이와 같이 하셨다. 증서(曾西)는 증자(曾子)의 손자(孫子)이다. 축(蹴)은 불안해하는 모양이다. 선자(先子)는 증자(曾子)이다. 불(艴)은 성내는 빛이다. 증(曾)이란 말은 즉(則)[곧]의 뜻이다. 열(烈)은 광(光)과 같다. 환공(桓公)이 홀로 관중(管仲)에게 맡기기를 40여 년이나 하였으니, 이것은 독차지하고 또 오래한 것이다. 관중(管仲)은 왕도(王道)를 알지 못하고 패술(霸術)을 행하였다. 그러므로 공렬(功烈)이 낮다고 말씀한 것이다. 양씨(楊氏)가 말하였다. “공자(孔子)께서 자로(子路)의 재주를 말씀하시기를 ‘천승(千乘)의 나라에 그로 하여금 부(賦)[병(兵)]를 다스리게 할 만하다.’ 하셨으니, 가령 그가 시행에 능력을 나타낸다 하더라도 이와 같을 뿐이니, 제후(諸侯)들을 규합하여 한번 천하(天下)를 바로잡음에는 진실로 미치지 못하는 바가 있는 것이다. 그렇다면 증서(曾西)가 자로(子路)를 추존하기를 이와 같이 하면서, 관중(管仲)에게 비하기를 부끄럽게 여긴 것은 어째서인가? 이것을 말 모는 자에게 비교하면, 자로(子路)는 자신의 말 모는 것을 법대로 해서 짐승을 잡지 못한 것이요, 관중(管仲)의 공로는 부정한 방법으로 짐승을 만나서 잡았을 뿐이다.’ 증서(曾西)는 중니(仲尼)의 무리였다. 그러므로 관중(管仲)의 일을 말하지 않은 것이다.”"
曰管仲曾西之所不爲也而子爲我願之乎,曰孟子言也願望也,曰：“管仲，曾西之所不爲也，而子爲我願之乎？”,曰，孟子言也。願，望也。,"관중(管仲)은 증서(曾西)도 하지 않은 것인데, 그대는 나를 위해서 원한다 말인가.”",왈(曰)은 맹자(孟子)의 말씀이다. 원(願)은 바라는 것이다.
曰管仲以其君霸晏子以其君顯管仲晏子猶不足爲與,顯顯名也,曰：“管仲以其君霸，晏子以其君顯。管仲、晏子猶不足爲與？”,顯，顯名也。,"“관중(管仲)은 그 군주를 <천하(天下)에> 패자(霸者)가 되게 하였고, 안자(晏子)는 그 군주를 이름이 드러나게 하였으니, 관중(管仲)과 안자(晏子)도 오히려 해봄직 하지 않습니까?”",현(顯)은 이름을 드러냄이다.
曰以齊王由反手也,反手言易也,曰：“以齊王，由反手也。”,反手，言易也。,제(齊)나라를 가지고 왕노릇 함은 손을 뒤집는 것과 같이 쉬운 것이다.”,반수(反手)는 쉬움을 말한다.
曰若是則弟子之惑滋甚且以文王之德百年而後崩猶未洽於天下武王周公繼之然後大行今言王若易然則文王不足法與,滋益也文王九十七而崩言百年擧成數也文王三分天下才有其二武王克商乃有天下周公相成王制禮作樂然後敎化大行,曰：“若是，則弟子之惑滋甚。且以文王之德，百年而後崩，猶未洽於天下；武王、周公繼之，然後大行。今言王若易然，則文王不足法與？”,滋，益也。文王九十七而崩，言百年，擧成數也。文王三分天下，才有其二；武王克商，乃有天下。周公相成王，制禮作樂，然後敎化大行。,"“그렇다면 제자(弟子)의 의혹이 더욱 심해집니다. 또 문왕(文王)의 덕을 가지고도 백년 뒤에 붕(崩)하셨는데도 아직 천하(天下)에 교화(敎化)가 무젖지 못하여, 무왕(武王)과 주공(周公)이 계속한 뒤에야 크게 행해졌습니다. 그런데 지금 왕노릇 하는 것을 쉬운 것처럼 말씀하시니, 그렇다면 문왕(文王)은 족히 법받을 만한 것이 못됩니까?”","자(滋)는 더함이다. 문왕(文王)은 97세(歲)에 붕(崩)하셨는데, 백 년이라 말한 것은 완성된 수를 들어 말한 것이다. 문왕(文王)은 천하(天下)를 3분함에 겨우 3분의 2를 소유하셨는데, 무왕(武王)이 상(商)나라를 이겨 마침내 천하(天下)를 소유하였고, 주공(周公)이 성왕(成王)을 도와 예(禮)를 짓고 음악(音樂)을 만든 뒤에야 교화가 크게 행해졌다."
曰文王何可當也由湯至於武丁賢聖之君六七作天下歸殷久矣久則難變也武丁朝諸侯有天下猶運之掌也紂之去武丁未久也其故家遺俗流風善政猶有存者又有微子微仲王子比干箕子膠鬲皆賢人也相與輔相之故久而後失之也尺地莫非其有也一民莫非其臣也然而文王猶方百里起是以難也,當猶敵也商自成湯至於武丁中間太甲太戊祖乙盤庚皆賢聖之君作起也自武丁至紂凡七世故家舊臣之家也,曰：“文王何可當也？由湯至於武丁，賢聖之君六七作。天下歸殷久矣，久則難變也。武丁朝諸侯有天下，猶運之掌也。紂之去武丁未久也，其故家遺俗，流風善政，猶有存者；又有微子、微仲、王子比干、箕子、膠鬲皆賢人也，相與輔相之，故久而後失之也。尺地莫非其有也，一民莫非其臣也，然而文王猶方百里起，是以難也。”,當，猶敵也。商自成湯至於武丁，中間太甲、太戊、祖乙、盤庚皆賢聖之君。作，起也。自武丁至紂凡七世。故家，舊臣之家也。,"“문왕(文王)을 어찌 당할 수 있겠는가. 탕왕(湯王)으로부터 무정(武丁)에 이르기까지 어질고 성스러운 군주가 6, 7명이 나와서 천하가 은(殷)나라에 돌아간 지가 오래되었으니, 오래면 변하기 어렵다. 무정(武丁)이 제후(諸侯)들에게 조회 받고 천하(天下)를 소유하되 마치 이것을 손바닥에 움직이듯이 하였으니, 주왕(紂王)은 무정(武丁)과의 거리가 오래지 않다. 그 고가(故家)와 남은 풍속과 유풍(流風)과 선정(善政)이 아직도 남은 것이 있었으며, 또 미자(微子)·미중(微仲)과 왕자(王子) 비간(比干)과 기자(箕子)·교격(膠鬲)이 있었는데, 이들은 다 현인(賢人)이었다. 이들이 서로 더불어 그를 보좌하였으므로 오랜 뒤에야 나라를 잃었으니, 한 자 되는 땅도 그의 소유 아님이 없었으며, 한 백성도 그의 신하 아닌 이가 없었다. 그런데도 문왕(文王)은 방(方) 백리(百里)를 가지고 일어나셨으니, 이 때문에 어려웠던 것이다.”",당(當)은 적(敵)과 같다. 상(商)나라는 성탕(成湯)으로부터 무정(武丁)에 이르기까지 중간에 태갑(太甲)·태무(太戊)·조을(祖乙)·반경(盤庚)이 모두 어질고 성스러운 군주였다. 작(作)은 일어남이다. 무정(武丁)으로부터 주왕(紂王)에 이르기까지는 모두 7세(世)이다. 고가(故家)란 구신(舊臣)의 집안이다.
齊人有言曰雖有知慧不如乘勢雖有鎡基不如待時今時則易然也,鎡基田器也時謂耕種之時,齊人有言曰：‘雖有知慧，不如乘勢；雖有鎡基，不如待時。’今時則易然也。,鎡基，田器也。時，謂耕種之時。,"제(齊)나라 사람의 말에 이르기를 ‘비록 지혜가 있으나 세(勢)를 타는 것만 못하며, 비록 농기구가 있으나 때를 기다리는 것만 못하다.’ 하였으니, 지금 때는 그렇게 하기가 쉽다.",자기(鎡基)는 농기구이다. 시(時)는 경종(耕種)의 때를 이른다.
夏后殷周之盛地未有過千里者也而齊有其地矣鷄鳴狗吠相聞而達乎四境而齊有其民矣地不改辟矣民不改聚矣行仁政而王莫之能禦也,此言其勢之易也三代盛時王畿不過千里今齊已有之異於文王之百里又鷄犬之聲相聞自國都以至於四境言居民稠密也,夏后、殷、周之盛，地未有過千里者也，而齊有其地矣；鷄鳴狗吠相聞，而達乎四境，而齊有其民矣。地不改辟矣，民不改聚矣，行仁政而王，莫之能禦也。,此言其勢之易也。三代盛時，王畿不過千里。今齊已有之，異於文王之百里。又鷄犬之聲相聞，自國都以至於四境，言居民稠密也。,"하후(夏后)와 은(殷)·주(周)의 전성기에 땅이 천리(千里)를 넘은 자가 있지 않았는데, 지금 제(齊)나라는 그만한 땅을 소유하고 있으며, 닭 울음과 개 짖는 소리가 서로 들려서 사경(四境)에 도달하고 있으니, 제(齊)나라가 그만한 백성을 가지고 있으니, 땅을 다시 더 개척하지 않으며 백성을 더 모으지 않더라도 인정(仁政)을 행하고서 왕노릇 한다면 이것을 막을 자가 없을 것이다.","이것은 그 세(勢)의 쉬움을 말씀한 것이다. 삼대(三代)의 성할 때에 왕기(王畿)가 천리(千里)를 넘지 못하였는데, 지금 제(齊)나라는 이미 이것을 가지고 있으니, 문왕(文王)의 백리(百里)와는 다르며, 또 닭 울음과 개 짖는 소리가 서로 들려서 국도(國都)로부터 사경(四境)에 이르니, 이것은 거주하는 백성들이 조밀함을 말한 것이다."
且王者之不作未有疏於此時者也民之憔悴於虐政未有甚於此時者也飢者易爲食渴者易爲飮,此言其時之易也自文武至此七百餘年異於商之賢聖繼作民苦虐政之甚異於紂之猶有善政易爲飮食言飢渴之甚不待甘美也,且王者之不作，未有疏於此時者也；民之憔悴於虐政，未有甚於此時者也。飢者易爲食，渴者易爲飮。,此言其時之易也。自文武至此七百餘年，異於商之賢聖繼作；民苦虐政之甚，異於紂之猶有善政。易爲飮食，言飢渴之甚，不待甘美也。,"또 왕자(王者)가 나오지 않음이 지금보다 더 성근 적이 있지 않았으며, 백성들이 학정(虐政)에 시달림이 지금보다 더 심한 적이 있지 않았으니, 굶주린 자에게 밥 되기가 쉽고, 목마른 자에게 음료 되기가 쉬운 것이다.","이것은 그 때의 쉬움을 말씀한 것이다. 문왕(文王)·무왕(武王)으로부터 이에 이르기까지 7백여 년이 지났으니, 상(商)나라의 어질고 성스러운 군주가 이어 나온 것과는 다르며, 백성들이 학정(虐政)을 괴롭게 여김이 심하니, 주왕(紂王) 때에 오히려 선정(善政)이 있었던 것과는 다르다. 밥과 음료 되기가 쉽다는 것은 기갈이 심해서 달고 아름다움을 기다리지 않음을 말한 것이다."
孔子曰德之流行速於置郵而傳命,置驛也郵馹也所以傳命也孟子引孔子之言如此,孔子曰：‘德之流行，速於置郵而傳命。’,置，驛也。郵，馹也。所以傳命也。孟子引孔子之言如此。,"공자(孔子)께서 말씀하시기를 ‘덕(德)의 유행이 파발마로 명(命)을 전달하는 것보다 빠르다.’ 하셨으니,","치(置)는 역(驛)이요, 우(郵)는 역마이니, 명(命)을 전달하는 것이다. 맹자(孟子)께서 공자(孔子)의 말씀을 인용한 것이 이와 같다."
當今之時萬乘之國行仁政民之悅之猶解倒懸也故事半古之人功必倍之惟此時爲然,倒懸諭困苦也所施之事半於古人而功倍於古人由時勢易而德行速也,當今之時，萬乘之國行仁政，民之悅之，猶解倒懸也。故事半古之人，功必倍之，惟此時爲然。,倒懸，諭困苦也。所施之事，半於古人，而功倍於古人，由時勢易而德行速也。,지금을 당하여 만승(萬乘)의 나라가 인정(仁政)을 행한다면 백성들의 기뻐하는 것이 거꾸로 매달린 것을 풀어준 것과 같을 것이다. 그러므로 일은 옛사람의 반만 하고서 효과는 반드시 옛사람의 배가 되는 것은 오직 지금만이 그러할 것이다.”,"도현(倒懸)은 곤궁하고 괴로움을 비유한 것이다. 시행하는 바의 일은 옛사람의 반만 하고, 효과는 옛사람의 배가 되는 것은 시세(時勢)가 쉬워 덕(德)의 유행(流行)이 빠르기 때문이다."
