대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰天時不如地利地利不如人和,天時謂時日支干孤虛王相之屬也地利險阻城池之固也人和得民心之和也,孟子曰：“天時不如地利，地利不如人和。”,天時，謂時日支干、孤虛、王相之屬也。地利，險阻、城池之固也。人和，得民心之和也。,"맹자(孟子)께서 말씀하였다. “천시(天時)가 지리(地利)만 못하고, 지리(地利)가 인화(人和)만 못하다.”",천시(天時)란 시일(時日)의 지간(支干)[간지(干支)]에 대한 고허(孤虛)와 왕상(王相) 같은 등속을 말한다. 지리(地利)는 지형의 험(險)함과 성지(城池)의 견고함이다. 인화(人和)는 인심(人心)의 화(和)함을 얻음이다.
三里之城七里之郭環而攻之而不勝夫環而攻之必有得天時者矣然而不勝者是天時不如地利也,三里七里城郭之小者郭外城環圍也言四面攻圍曠日持久必有値天時之善者,三里之城，七里之郭，環而攻之而不勝。夫環而攻之，必有得天時者矣；然而不勝者，是天時不如地利也。,三里七里，城郭之小者。郭，外城。環，圍也。言四面攻圍，曠日持久，必有値天時之善者。,"3리(里) 되는 성(城)과 7리(里) 되는 곽(郭)[외성(外城)]을 포위 공격하여도 이기지 못하는 경우가 있다. 포위 공격하면 반드시 천시(天時)를 얻을 때가 있으련마는 그런데도 이기지 못함은, 이는 천시(天時)가 지리(地利)만 못한 것이다.","3리(里)와 7리(里)는 성곽(城郭)의 작은 것이다. 곽(郭)은 외성(外城)이다. 환(環)은 포위하는 것이다. 사면으로 포위 공격하여 여러 날 동안 지구전(持久戰)을 하면, 반드시 천시(天時)의 좋음을 만날 때가 있음을 말씀한 것이다."
城非不高也池非不深也兵革非不堅利也米粟非不多也委而去之是地利不如人和也,革甲也粟穀也委棄也言不得民心民不爲守也,城非不高也，池非不深也，兵革非不堅利也，米粟非不多也；委而去之，是地利不如人和也。,革，甲也。粟，穀也。委，棄也。言不得民心，民不爲守也。,"성(城)이 높지 않은 것도 아니며, 못이 깊지 않은 것도 아니며, 병기와 갑옷이 견고하고 예리하지 않은 것도 아니며, 쌀과 곡식이 많지 않은 것도 아니지만 이것을 버리고 떠나가니, 이는 지리(地利)가 인화(人和)만 못한 것이다.",혁(革)은 갑옷이다. 속(粟)은 곡식이다. 위(委)는 버림이다. 민심(民心)을 얻지 못하면 백성들이 위하여 지켜주지 않음을 말씀한 것이다.
故曰域民不以封疆之界固國不以山谿之險威天下不以兵革之利得道者多助失道者寡助寡助之至親戚畔之多助之至天下順之,域界限也,故曰：域民不以封疆之界，固國不以山谿之險，威天下不以兵革之利。得道者多助，失道者寡助。寡助之至，親戚畔之；多助之至，天下順之。,域，界限也。,"그러므로 옛말에 이르기를 ‘백성을 한계 짓되 국경의 경계로써 하지 않으며, 국가를 견고히 하되 산(山)과 강(江)의 험고(險固)함으로써 하지 않으며, 천하(天下)를 두렵게 하되 병혁(兵革)의 예리함으로써 하지 않는다.’ 한 것이다. 도(道)를 얻은 자는 도와주는 이가 많고, 도(道)를 잃은 자는 도와주는 이가 적다. 도와주는 이가 적음의 지극함에는 친척이 배반하고, 도와주는 이가 많음의 지극함에는 천하가 순종하는 것이다.",역(域)은 한계이다.
以天下之所順攻親戚之所畔故君子有不戰戰必勝矣,言不戰則已戰則必勝,以天下之所順，攻親戚之所畔；故君子有不戰，戰必勝矣。,言不戰則已，戰則必勝。,천하가 순종하는 바로써 친척이 배반하는 바를 공격한다. 그러므로 군자(君子)는 싸우지 않음이 있을지언정 싸우면 반드시 승리하는 것이다.”,싸우지 않으면 그만이거니와 싸우면 반드시 승리함을 말씀한 것이다.
,尹氏曰言得天下者凡以得民心而已,,尹氏曰：“言得天下者，凡以得民心而已。”,,윤씨(尹氏)가 말하였다. “천하를 얻는 자는 모두 민심(民心)을 얻음으로써 일 뿐임을 말씀한 것이다.”
孟子將朝王王使人來曰寡人如就見者也有寒疾不可以風朝將視朝不識可使寡人得見乎對曰不幸而有疾不能造朝,王齊王也孟子本將朝王王不知而託疾以召孟子故孟子亦以疾辭也,孟子將朝王，王使人來曰：“寡人如就見者也，有寒疾，不可以風。朝將視朝，不識可使寡人得見乎？”對曰：“不幸而有疾，不能造朝。”,王，齊王也。孟子本將朝王，王不知而託疾以召孟子，故孟子亦以疾辭也。,"맹자(孟子)께서 장차 왕(王)에게 조회하려고 하셨는데, 왕(王)이 사람을 시켜 보내와 말씀하기를 “과인(寡人)이 나아가 뵈려고 하였는데, 한질(寒疾)[감기]이 있어서 바람을 쐴 수 없습니다. 아침에 장차 조회를 볼 것이니, 알지 못하겠습니다. 과인(寡人)으로 하여금 장차 뵈올 수 있게 하올런지요?” 맹자(孟子)께서 대답하였다. “불행히도 병이 있어서 조회에 나갈 수 없습니다.”","왕(王)은 제왕(齊王)이다. 맹자(孟子)가 본래 장차 왕(王)에게 조회하려고 하셨는데, 왕(王)이 이것을 모르고 병(病)을 칭탁하여 맹자(孟子)를 불렀다. 그러므로 맹자(孟子) 또한 병(病)으로써 사양하신 것이다."
明日出弔於東郭氏公孫丑曰昔者辭以病今日弔或者不可乎曰昔者疾今日愈如之何不弔,東郭氏齊大夫家也昔者昨日也或者疑辭辭疾而出弔與孔子不見孺悲取瑟而歌同意,明日，出弔於東郭氏，公孫丑曰：“昔者辭以病，今日弔，或者不可乎？”曰：“昔者疾，今日愈，如之何不弔？”,東郭氏，齊大夫家也。昔者，昨日也。或者，疑辭。辭疾而出弔，與孔子不見孺悲取瑟而歌同意。,"다음 날 밖으로 나가 동곽씨(東郭氏)에게 조문하려 하시니, 공손추(公孫丑)가 말하였다. “어제 병(病)으로 사양하시고 오늘 조문함이 어쩌면 불가(不可)할 듯합니다.” 맹자(孟子)께서 말씀하였다. “어제 병(病)이 오늘 나았으니, 어찌 조문하지 않겠는가?”","동곽씨(東郭氏)는 제(齊)나라 대부(大夫)의 집안이다. 석(昔)은 어제이다. 혹(或)은 의문사이다. 병(病)으로 사양하고 나아가 조문하신 것은, 공자(孔子)께서 유비(孺悲)를 만나보지 않으시고, 비파를 취하여 노래한 것과 같은 뜻이다."
王使人問疾醫來孟仲子對曰昔者有王命有采薪之憂不能造朝今病小愈趨造於朝我不識能至否乎使數人要於路曰請必無歸而造於朝,孟仲子趙氏以爲孟子之從昆弟學於孟子者也采薪之憂言病不能采薪謙辭也仲子權辭以對又使人要孟子令勿歸而造朝以實己言,王使人問疾，醫來。孟仲子對曰：“昔者有王命，有采薪之憂，不能造朝。今病小愈，趨造於朝，我不識能至否乎？”使數人要於路，曰：“請必無歸，而造於朝！”,孟仲子，趙氏以爲孟子之從昆弟，學於孟子者也。采薪之憂，言病不能采薪，謙辭也。仲子權辭以對，又使人要孟子令勿歸而造朝，以實己言。,"왕(王)이 사람을 시켜 병(病)을 물으시고 의원이 오자, 맹중자(孟仲子)가 대답하기를 “어제에 왕명(王命)이 계셨으나 채신(采薪)의 우환(憂患)이 있어 조회에 나가지 못하시더니, 오늘 병(病)이 조금 나으셨으므로 조정에 달려 나가셨습니다. 제가 알지 못하겠습니다. 능히 도착하셨는지요?” 하고는, 몇 사람으로 하여금 길목에서 지키게 하다가 “반드시 돌아오지 말고 조정에 나아가소서” 하였다.","맹중자(孟仲子)는 조씨(趙氏)가 이르기를 “맹자(孟子)의 종형제(從兄弟)로서 맹자(孟子)에게 공부한 자이다” 하였다. 채신(采薪)의 우환(憂患)이란 병들어 나무를 할 수 없음을 말한 것이니, 겸사(謙辭)이다. 중자(仲子)는 권사(權辭)[둘러대는 말]로써 대답하고, 또 사람으로 하여금 길목에서 지키다가 맹자(孟子)를 만나 뵙게 하여, 돌아오시지 말고 조정에 나아가시어 자신의 말을 실증하게 한 것이다."
不得已而之景丑氏宿焉景子曰內則父子外則君臣人之大倫也父子主恩君臣主敬丑見王之敬子也未見所以敬王也曰惡是何言也齊人無以仁義與王言者豈以仁義爲不美也其心曰是何足與言仁義也云爾則不敬莫大乎是我非堯舜之道不敢以陳於王前故齊人莫如我敬王也,景丑氏齊大夫家也景子景丑也惡歎辭也景丑所言敬之小者也孟子所言敬之大者也,不得已而之景丑氏宿焉。景子曰：“內則父子，外則君臣，人之大倫也。父子主恩，君臣主敬。丑見王之敬子也，未見所以敬王也。”曰：“惡！是何言也！齊人無以仁義與王言者，豈以仁義爲不美也？其心曰‘是何足與言仁義也’云爾，則不敬莫大乎是。我非堯舜之道，不敢以陳於王前，故齊人莫如我敬王也。”,景丑氏，齊大夫家也。景子，景丑也。惡，歎辭也。景丑所言，敬之小者也；孟子所言，敬之大者也。,"<맹자(孟子)께서> 부득이 경추씨(景丑氏)에게 가서 유숙(留宿)하셨다. 경자(景子)가 말하였다. “안에는 부자간(父子間)이요 밖에는 군신간(君臣間)이 인간의 큰 윤리입니다. 부자간(父子間)에는 은혜를 주장하고 군신간(君臣間)에는 경(敬)을 주장하니, 저는 왕(王)께서 선생을 공경함은 보았고, 선생께서 왕(王)을 공경하시는 것은 보지 못하였습니다.” 맹자(孟子)께서 말씀하였다. “아! 이 웬 말인가? 제(齊)나라 사람 중에 인의(仁義)를 가지고 왕(王)과 더불어 말하는 이가 없는 것은 어찌 인의(仁義)를 불미(不美)하다고 여겨서이겠는가? 그 마음에 ‘이 어찌 족히 더불어 인의(仁義)를 말할 수 있겠는가.’ 라고 해서일 것이니, 그렇다면 이것은 불경(不敬)함이 이보다 더 큼이 없는 것이다. 나는 요순(堯舜)의 도(道)가 아니면 감히 왕(王)의 앞에서 말씀드리지 못하노니, 그러므로 제(齊)나라 사람들은 내가 왕(王)을 공경하는 것처럼 하는 이가 없는 것이다.”","경추씨(景丑氏)는 제(齊)나라 대부(大夫)의 집안이다. 경자(景子)는 경추(景丑)이다. 오(惡)는 탄식하는 말이다. 경추(景丑)가 말한 것은 경(敬)의 작은 것이요, 맹자(孟子)가 말씀한 것은 경(敬)의 큰 것이다."
