대문,주석,대문표점,주석표점,대문해석,주석해석
滕文公爲世子將之楚過宋而見孟子,世子太子也,滕文公爲世子，將之楚，過宋而見孟子。,世子，太子也。,등문공(滕文公)이 세자(世子)로 있을 때에 장차 초(楚)나라로 가기 위하여 송(宋)나라를 지나다가 맹자(孟子)를 만나 뵈었다.,세자(世子)는 태자(太子)이다.
孟子道性善言必稱堯舜,道言也性者人所稟於天以生之理也渾然至善未嘗有惡人與堯舜初無少異但衆人汨於私欲而失之堯舜則無私欲之蔽而能充其性爾故孟子與世子言每道性善而必稱堯舜以實之欲其知仁義不假外求聖人可學而至而不懈於用力也門人不能悉記其辭而撮其大旨如此程子曰性卽理也天下之理原其所自未有不善喜怒哀樂未發何嘗不善發而中節卽無往而不善發不中節然後爲不善故凡言善惡皆先善而後惡言吉凶皆先吉而後凶言是非皆先是而後非,孟子道性善，言必稱堯舜。,道，言也。性者，人所稟於天以生之理也，渾然至善，未嘗有惡。人與堯舜初無少異，但衆人汨於私欲而失之，堯舜則無私欲之蔽，而能充其性爾。故孟子與世子言，每道性善，而必稱堯舜以實之。欲其知仁義不假外求，聖人可學而至，而不懈於用力也。門人不能悉記其辭，而撮其大旨如此。程子曰：“性卽理也。天下之理，原其所自，未有不善。喜、怒、哀、樂未發，何嘗不善。發而中節，卽無往而不善；發不中節，然後爲不善。故凡言善惡，皆先善而後惡；言吉凶，皆先吉而後凶；言是非，皆先是而後非。”,"맹자(孟子)께서 성(性)의 선(善)함을 말씀하시되, 말씀마다 반드시 요순(堯舜)을 칭하셨다.","도(道)는 말함이다. 성(性)은 사람이 하늘에게서 받고 태어난 이(理)이니, 혼연히 지극히 선(善)하여 일찍이 악(惡)함이 있지 않다. 그리하여 중인(衆人)[일반인]와 요순(堯舜)이 처음에는 조금도 다름이 없었으나, 다만 중인(衆人)들은 사욕에 빠져 이것을 잃었고, 요순(堯舜)은 사욕에 가리움이 없어 그 본성(本性)을 채웠을 뿐이다. 그러므로 맹자(孟子)께서 세자(世子)와 더불어 말씀할 때에 매양 성(性)의 선(善)함을 말씀하면서 반드시 요순(堯舜)을 칭하여 실증하신 것이니, 인의(仁義)는 밖에서 구함을 기다리지 않고 성인(聖人)은 배워서 이를 수 있는 것임을 알아서 힘을 씀에 게을리 하지 않게 하고자 하신 것이다. 문인(門人)들이 그 말씀을 다 기록하지 못하고, 그 대지(大旨)[대지(大指)]를 뽑기를 이와 같이 한 것이다. 정자(程子)가 말씀하였다. “성(性)은 바로 이(理)이다. 천하의 이(理)가 그 나온 바를 근원해 보면 불선(不善)함이 있지 않으니, 희로애락(喜怒哀樂)이 발(發)하지 않았을 때에 어찌 일찍이 불선(不善)하겠는가? 발(發)하여 절도(節度)에 맞으면 가는 곳마다 불선(不善)함이 없는 것이요, 발(發)하여 절도(節度)에 맞지 않은 뒤에야 불선(不善)함이 된다. 그러므로 무릇 선악(善惡)을 말할 때에 다 선(善)을 먼저 하고 악(惡)을 뒤에 하며, 길흉(吉凶)을 말할 때에 다 길(吉)을 먼저 하고 흉(凶)을 뒤에 하며, 시비(是非)를 말할 때에 다 시(是)를 먼저 하고 비(非)를 뒤에 하는 것이다.”"
世子自楚反復見孟子孟子曰世子疑吾言乎夫道一而已矣,時人不知性之本善而以聖賢爲不可企及故世子於孟子之言不能無疑而復來求見蓋恐別有卑近易行之說也孟子知之故但告之如此以明古今聖愚本同一性前言已盡無復有他說也,世子自楚反，復見孟子。孟子曰：“世子疑吾言乎？夫道一而已矣。”,時人不知性之本善，而以聖賢爲不可企及；故世子於孟子之言不能無疑，而復來求見，蓋恐別有卑近易行之說也。孟子知之，故但告之如此，以明古今聖愚本同一性，前言已盡，無復有他說也。,"세자(世子)가 초(楚)나라에서 돌아와 다시 맹자(孟子)를 뵙자, 맹자(孟子)께서 말씀하였다. “세자(世子)는 내 말을 의심하십니까? 도(道)는 하나일 뿐입니다.”","당시 사람들이 성(性)이 본래 선(善)함을 알지 못하여 성현(聖賢)을 바라고 미칠 수 없다고 여겼으므로, 세자(世子)가 맹자(孟子)의 말씀에 대하여 의심이 없지 않아서 다시 와서 만나기를 요구한 것이니, 별도로 비근(卑近)하여 행하기 쉬운 말씀이 있을까 해서였다. 맹자(孟子)께서 이것을 아셨으므로, 다만 말씀하시기를 이와 같이 하여 고금(古今)과 성우(聖愚)가 본래 똑같은 한 성(性)이니, 지난번 말이 이미 다하여 다시 다른 말이 없음을 밝히신 것이다."
成覵謂齊景公曰彼丈夫也我丈夫也吾何畏彼哉顔淵曰舜何人也予何人也有爲者亦若是公明儀曰文王我師也周公豈欺我哉,成覵人姓名彼謂聖賢也有爲者亦若是言人能有爲則皆如舜也公明姓儀名魯賢人也文王我師也蓋周公之言公明儀亦以文王爲必可師故誦周公之言而歎其不我欺也孟子旣告世子以道無二致而復引此三言以明之欲世子篤信力行以師聖賢不當復求他說也,成覵謂齊景公曰：‘彼丈夫也，我丈夫也，吾何畏彼哉？’顔淵曰：‘舜何人也？予何人也？有爲者亦若是。’公明儀曰：‘文王我師也，周公豈欺我哉？’,成覵，人姓名。彼，謂聖賢也。有爲者亦若是，言人能有爲，則皆如舜也。公明，姓；儀，名；魯賢人也。文王我師也，蓋周公之言。公明儀亦以文王爲必可師，故誦周公之言，而歎其不我欺也。孟子旣告世子以道無二致，而復引此三言以明之，欲世子篤信力行，以師聖賢，不當復求他說也。,"성간(成覵)이 제경공(齊景公)에게 이르기를 ‘저[성현(聖賢)]들도 장부(丈夫)이며 나도 장부(丈夫)이니, 내 어찌 저 성현(聖賢)들을 두려워하겠는가?’ 하였으며, 안연(顔淵)이 말씀하기를 ‘순(舜)임금은 어떠한 분이며 나는 어떠한 사람인가? 훌륭한 일을 하는 자는 또한 이 순(舜)임금과 같다.’ 하였으며, 공명의(公明儀)가 말하기를 ‘<주공(周公)은> 「문왕(文王)은 내 스승이다」 하셨으니, 주공(周公)이 어찌 나를 속였겠는가?’ 하였습니다.","성간(成覵)은 사람의 성명(姓名)이다. 피(彼)는 성현(聖賢)을 이른다. 유위자역약시(有爲者亦若是)는 사람이 훌륭한 일을 함이 있으면 모두 순(舜)임금과 같이 됨을 말한 것이다. 공명(公明)은 성(姓)이요, 의(儀)는 이름이니, 노(魯)나라의 현인(賢人)이다. ‘문왕(文王)은 나의 스승’이란 말은 주공(周公)의 말씀인데, 공명의(公明議) 또한 반드시 문왕(文王)을 스승 삼아야 한다고 생각하였으므로, 주공(周公)의 말씀을 외고, 나를 속이지 않았다고 감탄한 것이다. 맹자(孟子)는 이미 세자(世子)에게 도(道)는 두 가지가 없음을 말씀하였고, 다시 세 말씀을 인용하여 밝히셨으니, 세자(世子)가 독실히 믿고 힘써 행해서 성현(聖賢)을 스승 삼을 것이요, 다시 다른 말을 구하지 않게 하고자 하신 것이다."
今滕絶長補短將五十里也猶可以爲善國書曰若藥不瞑眩厥疾不瘳,絶猶截也書商書說命篇瞑眩憒亂言滕國雖小猶足爲治但恐安於卑近不能自克則不足以去惡而爲善也,今滕，絶長補短，將五十里也，猶可以爲善國。書曰：‘若藥不瞑眩，厥疾不瘳。’,絶，猶截也。書商書說命篇。瞑眩，憒亂。言滕國雖小，猶足爲治，但恐安於卑近，不能自克，則不足以去惡而爲善也。,"이제 등(滕)나라를 긴 곳을 잘라 짧은 곳을 보충하면, 거의 50리가 되는 작은 나라이나, 오히려 선(善)한 나라가 될 수 있습니다. 《서경(書經)》에 이르기를 ‘만일 약(藥)이 독하여 정신이 어지럽지 않으면 그 병(病)이 낫지 않는다.’ 하였습니다.”","절(絶)은 절(截)과 같다. 서(書)는 〈상서(商書) 열명편(說命篇)〉이다. 명현(瞑眩)은 어지러운 것이다. 등(滕)나라가 비록 작으나 오히려 다스려질 수 있으니, 다만 비근(卑近)함에 안주하여 스스로 극복하지 못하면 악(惡)을 제거하고 선(善)을 행하지 못할까 두려운 것이다."
,愚按孟子之言性善始見於此而詳具於告子之篇然默識而旁通之則七篇之中無非此理其所以擴前聖之未發而有功於聖人之門程子之言信矣,,愚按：孟子之言性善，始見於此，而詳具於告子之篇。然默識而旁通之，則七篇之中，無非此理。其所以擴前聖之未發，而有功於聖人之門，程子之言信矣。,,"내가 살펴보건대, 맹자(孟子)께서 성선(性善)을 말씀하신 것이 여기에서 처음 나오고 〈고자편(告子篇)〉에 자세히 갖추어져 있다. 그러나 묵묵히 알고 사방으로 통달해 보면, 「맹자(孟子)」 7편(篇) 중에 이 이치 아닌 것이 없다. 전(前) 성인(聖人)들이 미처 발명(發明)하지 못한 것을 확충하여 성인(聖人)의 문하에 공(功)이 있는 것이니, 정자(程子)의 말씀이 참으로 옳다."
滕定公薨世子謂然友曰昔者孟子嘗與我言於宋於心終不忘今也不幸至於大故吾欲使子問於孟子然後行事,定公文公父也然友世子之傅也大故大喪也事謂喪禮,滕定公薨。世子謂然友曰：“昔者孟子嘗與我言於宋，於心終不忘。今也不幸至於大故，吾欲使子問於孟子，然後行事。”,定公，文公父也。然友，世子之傅也。大故，大喪也。事，謂喪禮。,"등(滕)나라 정공(定公)이 죽자, 세자(世子)가 연우(然友)에게 말하였다. “지난번에 맹자(孟子)께서 일찍이 나와 송(宋)나라에서 말씀하였는데, 내 마음에 끝내 잊혀지지 않는다. 이제 불행하여 대고(大故)를 당하였으니, 내 자네로 하여금 맹자(孟子)에게 물은 뒤에 장례 하는 일을 행하고자 하노라.”",정공(定公)은 문공(文公)의 아버지이다. 연우(然友)는 세자(世子)의 사부(師傅)이다. 대고(大故)는 대상(大喪)이다. 사(事)는 상례(喪禮)를 이른다.
然友之鄒問於孟子孟子曰不亦善乎親喪固所自盡也曾子曰生事之以禮死葬之以禮祭之以禮可謂孝矣諸侯之禮吾未之學也雖然吾嘗聞之矣三年之喪齊疏之服飦粥之食自天子達於庶人三代共之,當時諸侯莫能行古喪禮而文公獨能以此爲問故孟子善之又言父母之喪固人子之心所自盡者蓋悲哀之情痛疾之意非自外至宜乎文公於此有所不能自已也但所引曾子之言本孔子告樊遲者豈曾子嘗誦之以告其門人歟三年之喪者子生三年然後免於父母之懷故父母之喪必以三年也齊衣下縫也不緝曰斬衰緝之曰齊衰疏麤也麤布也飦糜也喪禮三日始食粥旣葬乃疏食此古今貴賤通行之禮也,然友之鄒問於孟子。孟子曰：“不亦善乎！親喪固所自盡也。曾子曰：‘生，事之以禮；死，葬之以禮，祭之以禮，可謂孝矣。’諸侯之禮，吾未之學也；雖然，吾嘗聞之矣。三年之喪，齊疏之服，飦粥之食，自天子達於庶人，三代共之。”,當時諸侯莫能行古喪禮，而文公獨能以此爲問，故孟子善之。又言父母之喪，固人子之心所自盡者。蓋悲哀之情，痛疾之意，非自外至，宜乎文公於此有所不能自已也。但所引曾子之言，本孔子告樊遲者，豈曾子嘗誦之以告其門人歟？三年之喪者，子生三年，然後免於父母之懷。故父母之喪，必以三年也。齊，衣下縫也。不緝曰斬衰，緝之曰齊衰。疏，麤也，麤布也。飦，糜也。喪禮：三日始食粥。旣葬，乃疏食。此古今貴賤通行之禮也。,"연우(然友)가 추(鄒)땅에 가서 맹자(孟子)에게 묻자, 맹자(孟子)께서 말씀하였다. “좋지 않은가! 친상(親喪)은 진실로 자신이 다해야 하는 것이다. 증자(曾子)께서 말씀하시기를 ‘살아서 섬기기를 예(禮)로써 하며, 죽어서 장례하기를 예(禮)로써 하며, 제사하기를 예(禮)로써 하면 효(孝)라고 이를 수 있다.’ 하셨으니, 제후(諸侯)의 예(禮)는 내 아직 배우지 않았거니와, 그러나 내 일찍이 들었으니, 3년상에 자소(齊疏)의 상복을 입으며 미음과 죽을 먹음은 천자(天子)로부터 서인(庶人)에 이르러 삼대(三代)가 공통이었다.”","당시 제후(諸侯) 중에 옛 상례(喪禮)를 행하는 자가 없었는데, 문공(文公)이 홀로 이것을 질문하였으므로, 맹자(孟子)께서 그것을 좋게 여기신 것이다. 또 말씀하기를 ‘부모(父母)의 상(喪)은 진실로 자식의 마음에 스스로 다해야 할 것이니, 슬퍼하는 정(情)과 아파하는 마음이 밖으로부터 온 것이 아니다. 그러하니 문공(文公)이 마땅히 여기에 대하여 스스로 그만둘 수 없는 슬픈 정(情)이 있다.’고 하신 것이다. 다만 여기에 인용할 증자(曾子)의 말씀은 본래 공자(孔子)께서 번지(樊遲)에게 말씀해 주신 것이니, 아마도 증자(曾子)가 일찍이 외어서 그 문인들에게 말씀하신 듯하다. 3년의 상(喪)을 하는 것은 자식이 태어난 지 3년이 지난 뒤에 부모(父母)의 품을 면하므로 부모(父母)의 상(喪)을 반드시 3년으로 하는 것이다. 자(齊)는 옷의 아래를 꿰맨 것이니, 꿰매지 않은 것을 참최(斬衰)라 하고, 꿰맨 것을 자최(齊衰)라 한다. 소(疏)는 거침이니, 거친 삼베이다. 전(飦)은 미음이다. 상례(喪禮)에 <부모가 죽은 지> 3일이 되어야 비로소 죽을 먹고, 장례(葬禮)를 지내고서야 거친 밥을 먹으니, 이는 고금(古今)과 귀천(貴賤)이 통행하는 예(禮)이다."
然友反命定爲三年之喪父兄百官皆不欲曰吾宗國魯先君莫之行吾先君亦莫之行也至於子之身而反之不可且志曰喪祭從先祖曰吾有所受之也,父兄同姓老臣也滕與魯俱文王之後而魯祖周公爲長兄弟宗之故滕謂魯爲宗國也然謂二國不行三年之喪者乃其後世之失非周公之法本然也志記也引志之言而釋其意以爲所以如此者蓋爲上世以來有所傳受雖或不同不可改也然志所言本謂先王之世舊俗所傳禮文小異而可以通行者耳不謂後世失禮之甚者也,然友反命，定爲三年之喪。父兄百官皆不欲，曰：“吾宗國魯先君莫之行，吾先君亦莫之行也，至於子之身而反之，不可。且志曰：‘喪祭從先祖。’”曰：“吾有所受之也。”,父兄，同姓老臣也。滕與魯俱文王之後，而魯祖周公爲長。兄弟宗之，故滕謂魯爲宗國也。然謂二國不行三年之喪者，乃其後世之失，非周公之法本然也。志，記也，引志之言而釋其意。以爲所以如此者，蓋爲上世以來，有所傳受；雖或不同，不可改也。然志所言，本謂先王之世舊俗所傳，禮文小異而可以通行者耳，不謂後世失禮之甚者也。,"연우(然友)가 복명(復命)[반명(反命)]하여 3년상(喪)을 하기로 정하자, 부형(父兄)과 백관(百官)이 모두 하고자 하지 않으면서 말하기를 “우리의 종주국인 노(魯)나라 선군(先君)께서도 이것을 행하지 않으셨고, 우리 선군(先君)께서도 또한 행하지 않으셨으니, 그대의 몸에 이르러 이것을 뒤집는 것은 불가합니다. 또 옛 기록에 이르기를 ‘상례(喪禮)와 제례(祭禮)는 선조를 따르라.’ 하였으니, 이것은 우리들이 전수 받은 바가 있기 때문입니다.” 하였다.","부형(父兄)은 동성(同姓)의 늙은 신하들이다. 등(滕)나라와 노(魯)나라는 모두 문왕(文王)의 후손인데, 노(魯)나라의 조상인 주공(周公)이 맏이가 된다. 그리하여 형제간에 그를 종주로 삼기 때문에 등(滕)나라가 노(魯)나라를 종주국이라 한 것이다. 그러나 두 나라가 3년상을 행하지 않았다고 말한 것은, 바로 후세에서 잘못한 것이요, 주공(周公)의 법이 본래 그러한 것은 아니다. 지(志)는 기록한 책이다. 기록한 책의 말을 인용하고, 그 뜻을 해석하여, ‘이와 같이 하는 까닭은 상세(上世)[선대(先代)] 이래로 전수 받은 바가 있으니, 비록 혹 똑같지 않더라도 고칠 수 없다.’고 한 것이다. 그러나 기록에 말한 것은, 본래 선왕(先王) 세대의 옛 풍속이 전하는 것이 예문(禮文)과 조금 달라서 통용(通用)할 수 있는 것을 말했을 뿐이요, 후세(後世)에 실례(失禮)하기를 심히 한 것을 말한 것은 아니다."
謂然友曰吾他日未嘗學問好馳馬試劍今也父兄百官不我足也恐其不能盡於大事子爲我問孟子然友復之鄒問孟子孟子曰然不可以他求者也孔子曰君薨聽於冢宰歠粥面深墨卽位而哭百官有司莫敢不哀先之也上有好者下必有甚焉者矣君子之德風也小人之德草也草尙之風必偃是在世子,不我足謂不以我滿足其意也然者然其不我足之言不可他求者言當責之於己冢宰六卿之長也歠飮也深墨甚黑色也卽就也尙加也論語作上古字通也偃伏也孟子言但在世子自盡其哀而已,謂然友曰：“吾他日未嘗學問，好馳馬試劍。今也父兄百官不我足也，恐其不能盡於大事，子爲我問孟子。”然友復之鄒問孟子。孟子曰：“然。不可以他求者也。孔子曰：‘君薨，聽於冢宰。歠粥，面深墨。卽位而哭，百官有司，莫敢不哀，先之也。’上有好者，下必有甚焉者矣。‘君子之德，風也；小人之德，草也。草尙之風必偃。’是在世子。”,不我足，謂不以我滿足其意也。然者，然其不我足之言。不可他求者，言當責之於己。冢宰，六卿之長也。歠，飮也。深墨，甚黑色也。卽，就也。尙，加也。論語作上，古字通也。偃，伏也。孟子言但在世子自盡其哀而已。,"<세자(世子)가> 연우(然友)에게 말하기를 “내 지난날에 일찍이 학문을 하지 않았고, 말달리기와 칼쓰기를 좋아하였는데, 지금에 부형(父兄)과 백관(百官)들이 나를 만족하게 여기지 않으니, 대사(大事)에 예(禮)를 다하지 못할까 염려스럽다. 자네는 나를 위하여 맹자(孟子)에게 다시 물어보라.” 하였다. 연우(然友)가 다시 추(鄒)땅에 가서 맹자(孟子)에게 묻자, 맹자(孟子)께서 말씀하였다. “그러하겠다. 다른 것을 가지고 찾을 것이 없다. 공자(孔子)께서 말씀하시기를 ‘임금이 죽으면 <세자(世子)는 모든 정사를 총재(冢宰)에게 위임하여 백관(百官)들이> 명령을 총재(冢宰)에게 듣는다. 세자(世子)가 죽을 먹고 얼굴이 짙은 흑색이 되어 자리에 나아가 곡을 하면 백관(百官)과 유사(有司)들이 감히 슬퍼하지 않음이 없는 것은 윗사람이 솔선수범하였기 때문이다. 위에서 <무엇을> 좋아함이 있으면 아래에는 반드시 그보다 더 심함이 있는 것이다. 군자(君子)[위정자(爲政者)]의 덕(德)은 비유하면 바람이요, 소인(小人)[백성]의 덕(德)은 풀이니, 풀 위에 바람이 가해지면 반드시 그리로 쏠린다.’ 하셨으니, 이것은 세자(世子)에게 달려 있는 것이다.”","불아족(不我足)은 나의 하는 일을 그들의 뜻에 만족하게 여기지 않음을 이른다. 연(然)이란 나를 만족하게 여기지 않는다는 말을 옳게 여긴 것이다. 다른 것을 가지고 찾을 것이 없다는 것은, 마땅히 자신에게서 책해야 함을 말씀한 것이다. 총재(冢宰)는 육경(六卿)의 우두머리이다. 철(歠)은 마심이다. 심묵(深墨)은 심한 흑색이다. 즉(卽)은 나아감이다. 상(尙)은 가(加)함이니, 《논어(論語)》〈안연편(顔淵篇)〉에는 상(上)으로 되어 있으니, 고자(古字)에 통용되었다. 언(偃)은 엎드림이다. 맹자(孟子)께서는 단지 세자(世子)가 스스로 그 슬퍼함을 다함에 달려있을 뿐이라고 말씀하신 것이다."
