대문,주석,대문표점,주석표점,대문해석,주석해석
陳代曰不見諸侯宜若小然今一見之大則以王小則以霸且志曰枉尺而直尋宜若可爲也,陳代孟子弟子也小謂小節也枉屈也直伸也八尺曰尋枉尺直尋猶屈己一見諸侯而可以致王霸所屈者小所伸者大也,陳代曰：“不見諸侯，宜若小然；今一見之，大則以王，小則以霸。且志曰：‘枉尺而直尋’，宜若可爲也。”,陳代，孟子弟子也。小，謂小節也。枉，屈也。直，伸也。八尺曰尋。枉尺直尋，猶屈己一見諸侯，而可以致王霸，所屈者小，所伸者大也。,"진대(陳代)가 말하였다. “제후왕(諸侯王)을 만나보지 않는 것은 작은 일인 것 같습니다. 이제 한 번 만나보시면 크게는 왕자(王者)를 이루고, 작게는 패자(霸者)를 이룰 것입니다. 또 옛 기록에 ‘한 자〔尺〕를 굽혀 한 길〔尋〕를 편다.’ 하셨으니, 의심컨대 할 만한 일 일듯 합니다.”","진대(陳代)는 맹자(孟子)의 제자(弟子)이다. 소(小)는 작은 일을 이른다. 왕(枉)은 굽힘이요, 직(直)은 폄이다. 8척(尺)을 심(尋)이라 한다. 한 자를 굽혀 한 길을 편다〔枉尺直尋〕는 것은 자기 몸을 굽혀 한 번 제후(諸侯)를 만나보면 왕자(王者)와 패자(霸者)를 이룰 수 있으니, 굽힌 것은 작고 편 것은 큰 것과 같은 것이다."
孟子曰昔齊景公田招虞人以旌不至將殺之志士不忘在溝壑勇士不忘喪其元孔子奚取焉取非其招不往也如不待其招而往何哉,田獵也虞人守苑囿之吏也招大夫以旌招虞人以皮冠元首也志士固窮常念死無棺槨棄溝壑而不恨勇士輕生常念戰鬪而死喪其首而不顧也此二句乃孔子歎美虞人之言夫虞人招之不以其物尙守死而不往況君子豈可不待其招而自往見之邪此以上告之以不可往見之意,孟子曰：“昔齊景公田，招虞人以旌，不至，將殺之。志士不忘在溝壑，勇士不忘喪其元。孔子奚取焉？取非其招不往也，如不待其招而往，何哉？”,田，獵也。虞人，守苑囿之吏也。招大夫以旌，招虞人以皮冠。元，首也。志士固窮，常念死無棺槨，棄溝壑而不恨；勇士輕生，常念戰鬪而死，喪其首而不顧也。此二句，乃孔子歎美虞人之言。夫虞人招之不以其物，尙守死而不往，況君子豈可不待其招而自往見之邪？此以上告之以不可往見之意。,"맹자(孟子)께서 말씀하였다. “옛날에 제경공(齊景公)이 사냥할 적에 우인(虞人)을 정(旌)[깃발]”으로 부르자, 오지 않으니, 장차 그를 죽이려 했었다. <공자(孔子)께서 그를 칭찬하시기를> ‘지사(志士)는 시신(屍身)이 도랑에 버려질 것을 잊지 않고, 용사(勇士)는 자기 머리를 잃을 것을 잊지 않는다.’ 하셨으니, 공자(孔子)는 어찌하여 그를 취하셨는가? <자기의 신분에 맞는> 부름이 아니면 가지 않은 것을 취하신 것이다. <그런데> 만일 부름을 기다리지 않고 간다면 어떠하겠는가.","전(田)은 사냥이다. 우인(虞人)은 원유(苑囿)[동산]를 지키는 관리이다. 대부(大夫)를 부를 때에는 정(旌)을 사용하고, 우인(虞人)을 부를 때에는 피관(皮冠)[가죽으로 만든 관]를 사용한다. 원(元)은 머리이다. 지사(志士)는 곤궁함을 굳게 지켜 항상 죽으면 관곽(棺槨)이 없어 시신이 도랑에 버려지더라도 한(恨)하지 않을 것을 생각하고, 용사(勇士)는 생명을 가벼이 여겨 항상 전투하다가 머리를 잃더라도 돌아보지 않을 것을 생각한다. 이 두 글귀는 바로 공자(孔子)께서 우인(虞人)을 탄미(歎美)하신 말씀이다. 우인(虞人)은 자기를 부를 때에 <자신의 신분에 걸맞은> 물건으로 하지 않더라도 오히려 죽음으로써 지키고 가지 않았는데, 하물며 군자(君子)가 어찌 부름을 기다리지 않고 스스로 찾아가서 만나볼 수 있겠는가. 이 이상(以上)은 제후왕을 만나볼 수 없는 뜻을 말씀한 것이다."
且夫枉尺而直尋者以利言也如以利則枉尋直尺而利亦可爲與,此以下正其所稱枉尺直尋之非夫所謂枉小而所伸者大則爲之者計其利耳一有計利之心則雖枉多伸少而有利亦將爲之邪甚言其不可也,且夫枉尺而直尋者，以利言也。如以利，則枉尋直尺而利，亦可爲與？,此以下，正其所稱枉尺直尋之非。夫所謂枉小而所伸者大則爲之者，計其利耳。一有計利之心，則雖枉多伸少而有利，亦將爲之邪？甚言其不可也。,"또 한 자를 굽혀서 한 길을 편다는 것은 이(利)로써 말한 것이니, 만일 이(利)로써 한다면, 한 길을 굽혀서 한 자를 펴 이(利)가 있을지라도 또한 하겠는가.","이 이하(以下)는 그가 말한 왕척직심(枉尺直尋)의 잘못을 바로잡은 것이다. “이른바 ‘굽히는 것이 작고 펴는 것이 크면 한다.’는 것은 이(利)를 계산한 것이니, 한 번이라도 이(利)를 계산하는 마음이 있으면 비록 굽히는 것이 많고 펴는 것이 적으면서 이(利)가 있더라도 또한 장차 하겠는가.” 하셨으니, 그 불가(不可)함을 심히 말씀한 것이다."
昔者趙簡子使王良與嬖奚乘終日而不獲一禽嬖奚反命曰天下之賤工也或以告王良良曰請復之彊而後可一朝而獲十禽嬖奚反命曰天下之良工也簡子曰我使掌與女乘謂王良良不可曰吾爲之範我馳驅終日不獲一爲之詭遇一朝而獲十詩云不失其馳舍矢如破我不貫與小人乘請辭,趙簡子晉大夫趙鞅也王良善御者也嬖奚簡子幸臣與之乘爲之御也復之再乘也彊而後可嬖奚不肯彊之而後肯也一朝自晨至食時也掌專主也範法度也詭遇不正而與禽遇也言奚不善射以法馳驅則不獲廢法詭遇而後中也詩小雅車攻之篇言御者不失其馳驅之法而射者發矢皆中而力今嬖奚不能也貫習也,昔者趙簡子使王良與嬖奚乘，終日而不獲一禽。嬖奚反命曰：‘天下之賤工也。’或以告王良。良曰：‘請復之。’彊而後可，一朝而獲十禽。嬖奚反命曰：‘天下之良工也。’簡子曰：‘我使掌與女乘。’謂王良。良不可，曰：‘吾爲之範我馳驅，終日不獲一；爲之詭遇，一朝而獲十。詩云：“不失其馳，舍矢如破。”我不貫與小人乘，請辭。’,趙簡子，晉大夫趙鞅也。王良，善御者也。嬖奚，簡子幸臣。與之乘，爲之御也。復之，再乘也。彊而後可，嬖奚不肯，彊之而後肯也。一朝，自晨至食時也。掌，專主也。範，法度也。詭遇，不正而與禽遇也。言奚不善射，以法馳驅則不獲，廢法詭遇而後中也。詩小雅車攻之篇。言御者不失其馳驅之法，而射者發矢皆中而力，今嬖奚不能也。貫，習也。,"옛적에 조간자(趙簡子)가 왕량(王良)으로 하여금 폐해(嬖奚)[총애하는 신하인 해(奚)]와 함께 수레를 타고 사냥하게 하였는데, 종일토록 한 마리의 짐승도 잡지 못하고, 폐해(嬖奚)가 복명(復命)[반명(反命)]하기를 ‘천하(天下)에 값어치 없는 말몰이꾼이었습니다.’ 하였다. 혹자가 이 말을 왕량(王良)에게 전하자, 왕량(王良)이 다시 하자고 청하였으나 <승낙하지 않다가> 강요한 뒤에야 승낙하였다. <이번에는> 하루아침에 열 마리의 짐승을 잡자, 폐해(嬖奚)가 복명(復命)하기를 ‘천하(天下)에 훌륭한 말몰이꾼이었습니다.’ 하니, 간자(簡子)는 ‘내 그로 하여금 너와 함께 수레를 타게 하도록 하겠다.’ 하고는 왕량(王良)에게 이 말을 일렀다. 왕량(王良)이 허락하지 않으면서 말하기를 ‘내 그를 위해서 말 모는 것을 법(法)대로 하였더니, 종일(終日)토록 한 마리의 짐승도 잡지 못하였고, 이번에는 그를 위하여 부정한 방법으로 짐승을 만나게 하였더니, 하루아침에 열 마리의 짐승을 잡았습니다. 《시경(詩經)》에 「말몰이꾼이 말 모는 법(法)을 잃지 않거늘 사수(射手)가 화살을 쏨에 깨뜨리는 것과 같이 명중한다.」 하였으니, 나는 저런 소인(小人)과 함께 수레 타는 것을 익히지 못하였으니, 사양하겠습니다.’ 하였다.","조간자(趙簡子)는 진(晉)나라 대부(大夫)인 조앙(趙鞅)이다. 왕량(王良)은 말몰이를 잘하는 자이다. 폐해(嬖奚)는 간자(簡子)의 총애하는 신하이다. 여지승(與之乘)은 그를 위하여 말을 모는 것이다. 부지(復之)는 다시 타는 것이다. 강이후가(彊而後可)는 폐해(嬖奚)가 사냥하기를 하고자 하지 않다가 강요한 뒤에야 하고자 한 것이다. 일조(一朝)는 새벽부터 아침밥을 먹을 때까지이다. 장(掌)은 전적으로 맡는 것이다. 범(範)은 법도(法度)이다. 궤우(詭遇)는 부정하게 <말을 몰아> 짐승과 만나게 하는 것이다. 폐해(嬖奚)는 활을 잘 쏘지 못해서 법(法)대로 말을 몰면 짐승을 잡지 못하고, 법(法)을 폐지하여 부정한 방법으로 만나게 한 뒤에야 짐승을 맞출 수 있었음을 말한 것이다. 시(詩)는 〈소아(小雅) 거공편(車攻篇)〉이다. 어자(御者)는 말 모는 법(法)을 잃지 않고, 사수(射手)는 화살을 쏨에 다 맞추고 힘차야 하는데, 지금 폐해(嬖奚)는 능하지 못함을 말한 것이다. 관(貫)은 익힘이다."
御者且羞與射者比比而得禽獸雖若丘陵弗爲也如枉道而從彼何也且子過矣枉己者未有能直人者也,比阿黨也若丘陵言多也,御者且羞與射者比。比而得禽獸，雖若丘陵，弗爲也。如枉道而從彼，何也？且子過矣，枉己者，未有能直人者也。,比，阿黨也。若丘陵，言多也。,"말 모는 어자(御者)도 활을 쏘는 사수(射手)와 더불어 아부하는 것을 부끄러워해서, 아부하여 금수(禽獸)를 잡기를 비록 구릉(丘陵)과 같이 할 수 있더라도 하지 않았으니, 선비가 만일 도(道)를 굽혀 저를 따른다면 어찌 하겠는가. 또한 자네가 잘못이다. 자기 몸을 굽힌 자가 능히 남을 곧게 펴는 경우는 없는 것이다.”",비(比)는 아당(阿黨)함이다. 구릉(丘陵)과 같다는 것은 많음을 말한다.
,或曰居今之世出處去就不必一一中節欲其一一中節則道不得行矣楊氏曰何其不自重也枉己其能直人乎古之人寧道之不行而不輕其去就是以孔孟雖在春秋戰國之時而進必以正以至終不得行而死也使不恤其去就而可以行道孔孟當先爲之矣孔孟豈不欲道之行哉,,或曰：“居今之世，出處去就不必一一中節，欲其一一中節，則道不得行矣。”楊氏曰：“何其不自重也，枉己其能直人乎？古之人寧道之不行，而不輕其去就；是以孔孟雖在春秋戰國之時，而進必以正，以至終不得行而死也。使不恤其去就而可以行道，孔孟當先爲之矣。孔孟豈不欲道之行哉？”,,"혹자(或者)가 말하기를 “지금 세상에 살면서 출처(出處)와 거취(去就)를 반드시 하나하나 예절에 맞게 할 것이 없으니, 하나하나 예절에 맞게 하고자 한다면 도(道)가 행해질 수 없을 것이다.”하자, 양씨(楊氏)가 말하였다. “어찌 그리도 자중(自重)하지 않는가? 자기 몸을 굽히면 남을 곧게 펼 수 있겠는가. 옛사람들은 차라리 도(道)가 행해지지 못할지언정 거취(去就)를 가벼이 하지 않았다. 이 때문에 공자(孔子)와 맹자(孟子)께서는 비록 춘추(春秋)·전국(戰國)시대에 계셨지만 나아가기를 반드시 정도(正道)로써 하여 끝내 도(道)가 행해지지 못하고 죽음에 이르신 것이다. 가령 그 거취(去就)를 생각하지 않고서 도(道)를 행할 수 있다면 공자(孔子)와 맹자(孟子)께서 마땅히 먼저 하셨을 것이다. 공자(孔子)와 맹자(孟子)께서 어찌 도(道)가 행해지기를 원하지 않으셨겠는가.”"
景春曰公孫衍張儀豈不誠大丈夫哉一怒而諸侯懼安居而天下熄,景春人姓名公孫衍張儀皆魏人怒則說諸侯使相攻伐故諸侯懼也,景春曰：“公孫衍、張儀豈不誠大丈夫哉？一怒而諸侯懼，安居而天下熄。”,景春，人姓名。公孫衍、張儀，皆魏人。怒則說諸侯使相攻伐，故諸侯懼也。,"경춘(景春)이 말하였다. “공손연(公孫衍)과 장의(張儀)는 어찌 진실로 대장부(大丈夫)가 아니겠습니까? 한번 노(怒)함에 제후(諸侯)들이 두려워하고, 편안히[조용히] 거함에 천하(天下)가 잠잠합니다.”",경춘(景春)은 사람의 성명(姓名)이다. 공손연(公孫衍)과 장의(張儀)는 다 위(魏)나라 사람이다. 이들은 노(怒)하면 제후(諸侯)를 설득하여 서로 공격하고 정벌하게 하였다. 그러므로 제후(諸侯)들이 두려워한 것이다.
孟子曰是焉得爲大丈夫乎子未學禮乎丈夫之冠也父命之女子之嫁也母命之往送之門戒之曰往之女家必敬必戒無違夫子以順爲正者妾婦之道也,加冠於首曰冠女家夫家也婦人內夫家以嫁爲歸也夫子夫也女子從人以順爲正道也蓋言二子阿諛苟容竊取權勢乃妾婦順從之道耳非丈夫之事也,孟子曰：“是焉得爲大丈夫乎？子未學禮乎？丈夫之冠也，父命之；女子之嫁也，母命之，往送之門，戒之曰：‘往之女家，必敬必戒，無違夫子！’以順爲正者，妾婦之道也。”,加冠於首曰冠。女家，夫家也。婦人內夫家，以嫁爲歸也。夫子，夫也。女子從人，以順爲正道也。蓋言二子阿諛苟容，竊取權勢，乃妾婦順從之道耳，非丈夫之事也。,"맹자(孟子)께서 말씀하였다. “이 어찌 대장부(大丈夫)라 할 수 있겠는가. 그대는 예(禮)를 배우지 않았는가? 장부(丈夫)[남자(男子)]가 관례(冠禮)할 때에 아버지가 명(命)[훈계]하고, 여자(女子)가 시집갈 때에 어머니가 명(命)하나니, 시집감에 문에서 전송할 적에 경계하기를 ‘네 집에 가서 반드시 공경하고 반드시 경계하여 부자(夫子)[남편]를 어기지 말라.’ 하니, 순종함을 정도(正道)로 삼는 것은 첩부(妾婦)의 도(道)이다.”","머리에 관(冠)을 더함을 관례(冠禮)라 한다. 여가(女家)는 남편의 집이니, 부인(婦人)은 남편의 집을 안으로 하기 때문에, 시집가는 것을 돌아간다고 하는 것이다. 부자(夫子)는 남편이다. 여자(女子)는 남자를 따르니, 순종함을 정도(正道)로 삼는다. 공손연(公孫衍)과 장의(張儀) 이 두 사람은 아첨하고 구차히 용납하여 권세(權勢)를 절취하였으니, 이는 바로 첩부(妾婦)의 순종하는 도리요, 남자(男子) 대장부(大丈夫)의 일이 아니라고 말씀한 것이다."
居天下之廣居立天下之正位行天下之大道得志與民由之不得志獨行其道富貴不能淫貧賤不能移威武不能屈此之謂大丈夫,廣居仁也正位禮也大道義也與民由之推其所得於人也獨行其道守其所得於己也淫蕩其心也移變其節也屈挫其志也,居天下之廣居，立天下之正位，行天下之大道。得志與民由之，不得志獨行其道。富貴不能淫，貧賤不能移，威武不能屈。此之謂大丈夫。,廣居，仁也。正位，禮也。大道，義也。與民由之，推其所得於人也；獨行其道，守其所得於己也。淫，蕩其心也。移，變其節也。屈，挫其志也。,"천하(天下)의 넓은 집[인(仁)]에 거처하며, 천하(天下)의 바른 자리[예(禮)]에 서며, 천하(天下)의 대도(大道)[의(義)]를 행하여, 뜻을 얻으면 백성과 함께 도(道)를 행하고, 뜻을 얻지 못하면 홀로 그 도(道)를 행하여, 부귀(富貴)가 마음을 방탕하게 하지 못하며, 빈천(貧賤)이 절개를 옮겨놓지 못하며, 위무(威武)가 지조를 굽히게 할 수 없는 것, 이를 대장부(大丈夫)라 이르는 것이다.”","광거(廣居)는 인(仁)이요, 정위(正位)는 예(禮)요, 대도(大道)는 의(義)이다. 백성과 함께 행한다는 것은 그 얻은 바를 남에게 미룸이요, 홀로 그 도(道)를 행한다는 것은 그 얻은 바를 자기 몸에 지키는 것이다. 음(淫)은 마음을 방탕하게 함이요, 이(移)는 절개를 변함이요, 굴(屈)은 지조를 꺾는 것이다."
,何叔京曰戰國之時聖賢道否天下不復見其德業之盛但見姦巧之徒得志橫行氣焰可畏遂以爲大丈夫不知由君子觀之是乃妾婦之道耳何足道哉,,何叔京曰：“戰國之時，聖賢道否，天下不復見其德業之盛；但見姦巧之徒，得志橫行，氣焰可畏，遂以爲大丈夫。不知由君子觀之，是乃妾婦之道耳，何足道哉？”,,"하숙경(何叔京)이 말하였다. “전국(戰國) 때에 성현(聖賢)의 도(道)가 비색(否塞)해져서 천하(天下) 사람들이 다시는 그 덕업(德業)의 성대함을 보지 못하고, 다만 간교(姦巧)한 무리들이 뜻을 얻어 횡행(橫行)하여 기염이 두려울 만함을 보고는 마침내 대장부(大丈夫)라 하였으니, 군자(君子)의 입장에서 보면 이것이 첩부(妾婦)의 도(道)임을 알지 못한 것이다. 어찌 족히 말할 것이 있겠는가.”"
