대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰離婁之明公輸子之巧不以規矩不能成方員師曠之聰不以六律不能正五音堯舜之道不以仁政不能平治天下,離婁古之明目者公輸子名班魯之巧人也規所以爲員之器也矩所以爲方之器也師曠晉之樂師知音者也六律截竹爲筩陰陽各六以節五音之上下黃鍾大簇姑洗蕤賓夷則無射爲陽大呂夾鍾仲呂林鍾南呂應鍾爲陰也五音宮商角徵羽也范氏曰此言治天下不可無法度仁政者治天下之法度也,孟子曰：“離婁之明，公輸子之巧，不以規矩，不能成方員：師曠之聰，不以六律，不能正五音；堯舜之道，不以仁政，不能平治天下。”,離婁，古之明目者。公輸子，名班，魯之巧人也。規，所以爲員之器也。矩，所以爲方之器也。師曠，晉之樂師，知音者也。六律，截竹爲筩，陰陽各六，以節五音之上下。黃鍾、大簇、姑洗、蕤賓、夷則、無射，爲陽；大呂、夾鍾、仲呂、林鍾、南呂、應鍾，爲陰也。五音：宮、商、角、徵、羽也。范氏曰：“此言治天下不可無法度，仁政者，治天下之法度也。”,"맹자(孟子)께서 말씀하였다. “이루(離婁)의 눈밝음과 공수자(公輸子)의 솜씨로도 규구(規矩)를 쓰지 않으면 방형(方形)과 원형(圓形)을 이루지 못하고, 사광(師曠)의 귀밝음으로도 육률(六律)을 쓰지 않으면 오음(五音)을 바로잡지 못하고, 요(堯)·순(舜)의 도(道)로도 인정(仁政)을 쓰지 않으면 천하(天下)를 평치(平治)할 수 없다.”","이루(離婁)는 옛날에 눈이 밝은 자이다. 공수자(公輸子)는 이름이 반(班)이니, 노(魯)나라의 솜씨 있는 사람이다. 규(規)는 원형(圓形)을 만드는 기구요, 구(矩)는 방형(方形)을 만드는 기구이다. 사광(師曠)은 진(晉)나라의 악사(樂師)로 음악을 잘 아는 자이다. 육률(六律)은 대나무를 잘라 대통을 만든 것으로, 음(陰)·양(陽)이 각각 여섯 개여서 오음(五音)의 높고 낮음을 조절하는 것이니, 황종(黃鍾)·태주(大簇)·고선(姑洗)·유빈(蕤賓)·이칙(夷則)·무역(無射)은 양(陽)이 되고, 대려(大呂)·협종(夾鍾)·중려(仲呂)·임종(林鍾)·남려(南呂)·응종(應鍾)은 음(陰)이 된다. 오음(五音)은 궁(宮)·상(商)·각(角)·치(徵)·우(羽)이다. 범씨(氾氏)가 말하였다. “이는 천하(天下)를 다스림에 법도(法度)가 없을 수 없으니, 인정(仁政)은 천하를 다스리는 법도임을 말씀하신 것이다.”"
今有仁心仁聞而民不被其澤不可法於後世者不行先王之道也,仁心愛人之心也仁聞者有愛人之聲聞於人也先王之道仁政是也范氏曰齊宣王不忍一牛之死以羊易之可謂有仁心梁武帝終日一食蔬素宗廟以麪爲犧牲斷死刑必爲之涕泣天下知其慈仁可謂有仁聞然而宣王之時齊國不治武帝之末江南大亂其故何哉有仁心仁聞而不行先王之道故也,今有仁心仁聞而民不被其澤，不可法於後世者，不行先王之道也。,仁心，愛人之心也。仁聞者，有愛人之聲聞於人也。先王之道，仁政是也。范氏曰：“齊宣王不忍一牛之死，以羊易之，可謂有仁心。梁武帝終日一食蔬素，宗廟以麪爲犧牲，斷死刑必爲之涕泣，天下知其慈仁，可謂有仁聞。然而宣王之時，齊國不治，武帝之末，江南大亂。其故何哉，有仁心仁聞而不行先王之道故也。”,이제 <군주(君主)가> 인심(仁心)과 인문(仁聞)이 있으면서도 백성들이 그 혜택을 입지 못하여 후세에 법이 될 수 없는 것은 선왕(先王)의 도(道)를 행하지 않기 때문이다.,"인심(仁心)은 사람을 사랑하는 마음이요, 인문(仁聞)은 사람을 사랑한다는 명성이 사람들에게 알려진 것이다. 선왕(先王)의 도(道)는 인정(仁政)이 이것이다. 범씨(范氏)가 말하였다. “제선왕(齊宣王)은 한 마리 소가 죽는 것을 차마 보지 못하여 양(羊)으로써 바꾸게 하였으니, 인심(仁心)이 있다고 이를 만하고, 양무제(梁武帝)는 하루에 한 번만 먹되 소식(素食)을 하고 종묘(宗廟)에는 밀가루로 희생(犧牲)을 만들어 썼으며, 사형(死刑)을 결단함에는 반드시 그를 위하여 눈물을 흘려, 천하가 그의 인자(仁慈)함을 알고 있었으니, 인문(仁聞)이 있다고 이를 만하였다. 그러나 선왕(宣王) 때에 제(齊)나라가 잘 다스려지지 못하였고, 무제(武帝)의 말기에 강남(江南)이 크게 혼란하였으니, 그 연고는 무엇인가? 인심(仁心)과 인문(仁聞)이 있었으나 선왕(先王)의 도(道)를 행하지 않았기 때문이다.”"
故曰徒善不足以爲政徒法不能以自行,徒猶空也有其心無其政是謂徒善有其政無其心是謂徒法程子嘗言爲政須要有綱紀文章謹權審量讀法平價皆不可闕而又曰必有關雎麟趾之意然後可以行周官之法度正謂此也,故曰，徒善不足以爲政，徒法不能以自行。,徒，猶空也。有其心，無其政，是謂徒善；有其政，無其心，是謂徒法。程子嘗言：“爲政須要有綱紀文章，謹權、審量、讀法、平價，皆不可闕。”而又曰，“必有關雎麟趾之意，然後可以行周官之法度”，正謂此也。,"그러므로 말하기를 ‘한갓 선심(善心)만 가지고는 정사를 할 수 없으며, 한갓 법(法)[제도(制度)]만 가지고는 스스로 행해질 수 없다.’고 한 것이다.","도(徒)는 공(空)과 같으니, 선심(善心)만 있고 선정(善政)[제도(制度)]이 없는 것을 도선(徒善)이라 이르고, 선정(善政)만 있고 선심(善心)이 없는 것을 도법(徒法)이라 이른다. 정자(程子)가 일찍이 말씀하기를 “정사를 함에는 모름지기 기강(紀綱)과 문장(文章)이 있어야 하니, 저울을 삼가고 양(量)을 살피며 법(法)을 읽고 물가(物價)를 공평(公平)하게 함을 모두 빼놓을 수 없다.” 하였고, 또 말씀하기를 “반드시 〈관저(關雎)〉 〈인지(麟趾)〉의 뜻이 있은 뒤에야 《주관(周官)》의 법도(法度)를 시행할 수 있다.” 하였으니, 바로 이것을 말씀한 것이다."
詩云不愆不忘率由舊章遵先王之法而過者未之有也,詩大雅假樂之篇愆過也率循也章典法也所行不過差不遺忘者以其循用舊典故也,詩云：‘不愆不忘，率由舊章。’遵先王之法而過者，未之有也。,詩大雅假樂之篇。愆，過也。率，循也。章，典法也。所行不過差不遺忘者，以其循用舊典故也。,"《시경(詩經)》에 이르기를 ‘잘못되지 않고 잊어버리지 않음은 옛 법을 따르기 때문이다.’ 하였으니, 선왕(先王)의 법(法)을 따르고서 잘못되는 자는 있지 않다.","시(詩)는 〈대아(大雅) 가락편(假樂篇)〉이다. 건(愆)은 잘못이요, 솔(率)은 따름이다. 장(章)은 전법(典法)이다. 행하는 바가 잘못되지 않고 잊어버리지 않는 것은 옛 법을 따라 쓰기 때문이다."
聖人旣竭目力焉繼之以規矩準繩以爲方員平直不可勝用也旣竭耳力焉繼之以六律正五音不可勝用也旣竭心思焉繼之以不忍人之政而仁覆天下矣,準所以爲平繩所以爲直覆被也此言古之聖人旣竭耳目心思之力然猶以爲未足以徧天下及後世故制爲法度以繼續之則其用不窮而仁之所被者廣矣,聖人旣竭目力焉，繼之以規矩準繩，以爲方員平直，不可勝用也；旣竭耳力焉，繼之以六律，正五音，不可勝用也；旣竭心思焉，繼之以不忍人之政，而仁覆天下矣。,準，所以爲平。繩，所以爲直。覆，被也。此言古之聖人，旣竭耳目心思之力，然猶以爲未足以徧天下，及後世，故制爲法度以繼續之，則其用不窮，而仁之所被者廣矣。,"성인(聖人)은 이미 시력(視力)을 다하시고 규(規)·구(矩)·준(準)·승(繩)으로써 계속하시니, 방(方)·원(圓)·평(平)·직(直)을 만듦에 이루 다 쓸 수 없으며, 이미 청력(聽力)을 다하시고 육률(六律)로써 계속하시니, 오음(五音)을 바로잡음에 이루 다 쓸 수 없으며, 이미 심사(心思)를 다하시고 사람을 차마하지 못하는 정사로써 계속하시니, 인(仁)이 천하에 덮였다.","준(準)[수평기(水平器)]은 평평한 것을 만드는 것이요, 승(繩)[먹줄]은 곧은 것을 만드는 것이다. 부(覆)는 입힘이다. 이는 옛날 성인(聖人)이 이미 이(耳)·목(目)·심사(心思)의 힘을 다하시되 그러나 오히려 천하(天下)에 두루하고 후세(後世)에 미치기에 부족하다고 여기셨다. 이 때문에 법도(法度)를 만들어 계속하시니, 그 쓰임이 다하지 않아 인(仁)이 입혀짐이 넓음을 말씀한 것이다."
故曰爲高必因丘陵爲下必因川澤爲政不因先王之道可謂智乎,丘陵本高川澤本下爲高下者因之則用力少而成功多矣鄒氏曰自章首至此論以仁心仁聞行先王之道,故曰，爲高必因丘陵，爲下必因川澤。爲政不因先王之道，可謂智乎？,丘陵本高，川澤本下，爲高下者因之，則用力少而成功多矣。鄒氏曰：“自章首至此，論以仁心仁聞行先王之道。”,"그러므로 ‘높은 것을 만들되 반드시 구릉(丘陵)을 이용하고, 낮은 것을 만들되 반드시 천택(川澤)을 이용하라.’ 하였으니, 정사를 하면서 선왕(先王)의 도(道)를 이용하지 않는다면 지혜롭다 이를 수 있겠는가.","구릉(丘陵)은 본래 높고 천택(川澤)은 본래 낮으니, 높은 것과 낮은 것을 만드는 자가 이것을 이용하면, 힘을 씀이 적고도 공(功)을 이룸이 많다. 추씨(鄒氏)가 말하였다. “장(章)의 머리로부터 여기까지는 인심(仁心)과 인문(仁聞)으로써 선왕(先王)의 도(道)를 행함을 말씀하였다.”"
是以惟仁者宜在高位不仁而在高位是播其惡於衆也,仁者有仁心仁聞而能擴而充之以行先王之道者也播惡於衆謂貽患於下也,是以惟仁者宜在高位。不仁而在高位，是播其惡於衆也。,仁者，有仁心仁聞而能擴而充之，以行先王之道者也。播惡於衆，謂貽患於下也。,"이 때문에 오직 인자(仁者)만이 높은 지위에 있어야 하는 것이니, 불인(不仁)하면서 높은 지위에 있으면, 이는 그 악(惡)[폐해]을 여러 사람에게 펴는 것이다.","인자(仁者)란, 인심(仁心)과 인문(仁聞)이 있으면서 이것을 확충(擴充)하여 선왕(先王)의 도(道)를 행하는 자이다. 파악어중(播惡於衆)은 환(患)[화(禍)]을 아랫사람에게 끼침을 이른다."
上無道揆也下無法守也朝不信道工不信度君子犯義小人犯刑國之所存者幸也,此言不仁而在高位之禍也道義理也揆度也法制度也道揆謂以義理度量事物而制其宜法守謂以法度自守工官也度卽法也君子小人以位而言也由上無道揆故下無法守無道揆則朝不信道而君子犯義無法守則工不信度而小人犯刑有此六者其國必亡其不亡者僥倖而已,上無道揆也。下無法守也，朝不信道，工不信度，君子犯義，小人犯刑，國之所存者幸也。,此言不仁而在高位之禍也。道，義理也。揆，度也。法，制度也。道揆，謂以義理度量事物而制其宜。法守，謂以法度自守。工，官也。度，卽法也。君子小人，以位而言也。由上無道揆，故下無法守。無道揆，則朝不信道而君子犯義；無法守，則工不信度而小人犯刑。有此六者，其國必亡；其不亡者僥倖而已。,"위에서는 도(道)로 헤아림이 없으며, 아래에서는 법(法)을 지킴이 없어, 조정에서는 도(道)를 믿지 않으며 관리들은 법도(法度)를 믿지 아니하며, 군자(君子)[정치가(政治家)]가 의(義)를 범하고, 소인(小人)이 법(法)을 범한다면, 그러고도 나라가 보존되는 것은 요행이다.","이는 불인(不仁)하면서 높은 지위에 있는 화(禍)를 말씀한 것이다. 도(道)는 의리(義理)이다. 규(揆)는 헤아림이다. 법(法)은 제도(制度)이다. 도규(道揆)는 의리(義理)로써 사물(事物)을 헤아려 마땅하게 하는 것이요. 법수(法守)는 법도(法度)로써 스스로 지킴을 이른다. 공(工)은 관원이다. 도(度)는 바로 법(法)이다. 군자(君子)와 소인(小人)은 지위로써 말한 것이다. 위에서 도(道)로 헤아림이 없기 때문에 아래에서 법(法)을 지킴이 없는 것이니, 도(道)로 헤아림이 없으면 조정에서 도(道)를 믿지 아니하여 군자(君子)가 의(義)를 범하고, 법(法)을 지킴이 없으면 관리들이 법도(法度)를 믿지 아니하여 소인(小人)이 형법(刑法)을 범하게 된다. 이 여섯 가지를 갖고 있으면 그 나라는 반드시 망하니, 그러고도 망하지 않는 것은 요행일 뿐이다."
故曰城郭不完兵甲不多非國之災也田野不辟貨財不聚非國之害也上無禮下無學賊民興喪無日矣,上不知禮則無以敎民下不知學則易與爲亂鄒氏曰自是以惟仁者至此所以責其君,故曰：城郭不完，兵甲不多，非國之災也；田野不辟，貨財不聚，非國之害也。上無禮，下無學，賊民興，喪無日矣。,上不知禮，則無以敎民；下不知學，則易與爲亂。鄒氏曰：“自是以惟仁者至此，所以責其君。”,"그러므로 말하기를 ‘성곽(城郭)이 완전하지 못하고 병사(兵士)가 많지 못한 것이 나라의 재앙이 아니며, 전야(田野)가 개간되지 못하고 재화가 모이지 않는 것이 나라의 해가 아니다. 윗사람이 예(禮)가 없고, 아랫사람이 배움이 없으면, 나라를 해치는 백성이 나와서 며칠이 못 가 망하게 된다.’ 한 것이다.","윗사람이 예(禮)를 모르면 백성을 가르칠 수 없고, 아랫사람이 배울 줄 모르면 난(亂)[반란]에 가담하기 쉽다. 추씨(鄒氏)가 말하였다. “‘시이유인자(是以惟仁者)’로부터 여기까지는 그 군주를 책하신 것이다.”"
詩曰天之方蹶無然泄泄,詩大雅板之篇蹶顚覆之意泄泄怠緩悅從之貌言天欲顚覆周室群臣無得泄泄然不急救正之,詩曰：‘天之方蹶，無然泄泄。’,詩大雅板之篇。蹶，顚覆之意。泄泄，怠緩悅從之貌。言天欲顚覆周室，群臣無得泄泄然，不急救正之。,"《시경(詩經)》에 이르기를 ‘하늘이 바야흐로 <주(周)나라 왕실(王室)을> 쓰러뜨리려 하니, 그렇게 예예(泄泄)하지 말라.’ 하였으니,","시(詩)는 〈대아(大雅) 판편(板篇)〉이다. 궤(蹶)는 전복의 뜻이다. 예예(泄泄)는 게으르고 느슨하며 기뻐하여 따르는 모양이다. 하늘이 주(周)나라 왕실(王室)을 전복시키려 하니, 신하들은 예예(泄泄)하여 급히 바로잡지 않을 수 없음을 말씀한 것이다."
