대문,주석,대문표점,주석표점,대문해석,주석해석
孟子曰舜生於諸馮遷於負夏卒於鳴條東夷之人也,諸馮負夏鳴條皆地名在東方夷服之地,孟子曰：“舜生於諸馮，遷於負夏，卒於鳴條，東夷之人也。”,諸馮、負夏、鳴條，皆地名，在東方夷服之地。,"맹자(孟子)께서 말씀하였다. “순(舜)임금은 제풍(諸馮)에서 태어나 부하(負夏)로 옮기셨다가 명조(鳴條)에서 별세하셨으니, 동이(東夷)의 사람이시다.”","제풍(諸馮)·부하(負夏)·명조(鳴條)는 모두 지명(地名)이니, 동방(東方) 이복(夷服)의 땅에 있었다."
文王生於岐周卒於畢郢西夷之人也,岐周岐山下周舊邑近畎夷畢郢近豊鎬今有文王墓,文王生於岐周，卒於畢郢，西夷之人也。,岐周，岐山下周舊邑，近畎夷。畢郢，近豊鎬，今有文王墓。,"문왕(文王)은 기주(岐周)에서 태어나 필영(畢郢)에서 별세하셨으니, 서이(西夷)의 사람이시다.","기주(岐周)는 기산(岐山) 아래에 있는 주(周)나라의 옛 도읍이니, 견이(畎夷)와 가깝다. 필영(畢郢)은 풍(豊)·호(鎬)에 가까우니, 지금 문왕(文王)의 묘(墓)가 있다."
地之相去也千有餘里世之相後也千有餘歲得志行乎中國若合符節,得志行乎中國謂舜爲天子文王爲方伯得行其道於天下也符節以玉爲之篆刻文字而中分之彼此各藏其半有故則左右相合以爲信也若合符節言其同也,地之相去也，千有餘里；世之相後也，千有餘歲。得志行乎中國，若合符節。,得志行乎中國，謂舜爲天子，文王爲方伯，得行其道於天下也。符節，以玉爲之，篆刻文字而中分之，彼此各藏其半，有故則左右相合以爲信也。若合符節，言其同也。,"지역의 거리가 천여 리가 되며, 세대(世代)의 서로 뒤떨어짐이 천여 년이 되지만, 뜻을 얻어 <도(道)를> 중국(中國)에 행함에 있어서는 부절(符節)을 합한 듯이 똑같았다.","뜻을 얻어 중국(中國)에 행한다는 것은, 순(舜)임금은 천자(天子)가 되시고 문왕(文王)은 방백(方伯)이 되시어, 그 도(道)를 천하에 행함을 이른다. 부절(符節)은 옥(玉)으로 만들었으니, 문자(文字)를 전각(篆刻)하고 반으로 나누어 피차(彼此)가 각기 반씩을 보관하고 있다가, 연고가 있으면 좌우(左右)의 것을 서로 합하여 신표(信標)로 삼는다. 약합부절(若合符節)은 그 같음을 말한다."
先聖後聖其揆一也,揆度也其揆一者言度之而其道無不同也,先聖後聖，其揆一也。,揆，度也。其揆一者，言度之而其道無不同也。,앞의 성인(聖人)과 뒤의 성인(聖人)의 그 헤아려봄에 똑같다.”,"규(揆)는 헤아림이니, 헤아려봄에 같다는 것은 헤아려봄에 도(道)가 같지 않음이 없음을 말씀한 것이다."
,范氏曰言聖人之生雖有先後遠近之不同然其道則一也,,范氏曰：“言聖人之生，雖有先後遠近之不同，然其道則一也。”,,"범씨(范氏)가 말하였다. “성인(聖人)의 태어남은 비록 선후(先後)와 원근(遠近)의 차이가 있으나, 이 도(道)는 똑같음을 말씀한 것이다.”"
子産聽鄭國之政以其乘輿濟人於溱洧,子産鄭大夫公孫僑也溱洧二水名也子産見人有徒涉此水者以其所乘之車載而渡之,子産聽鄭國之政，以其乘輿濟人於溱洧。,子産，鄭大夫公孫僑也。溱洧，二水名也。子産見人有徒涉此水者，以其所乘之車載而渡之。,"자산(子産)이 정(鄭)나라의 정사를 다스릴 적에, 자기가 타는 수레를 가지고 진수(溱水)와 유수(洧水)에서 사람들을 건네주었다.",자산(子産)은 정(鄭)나라 대부(大夫)인 공손교(公孫僑)이다. 진(溱)과 유(洧)는 두 물의 이름이다. 자산(子産)은 사람들이 이 물을 도섭(徒涉)하는 자가 있음을 보고는 자기가 타는 수레를 가지고 태워서 건네준 것이다.
孟子曰惠而不知爲政,惠謂私恩小利政則有公平正大之體綱紀法度之施焉,孟子曰：“惠而不知爲政。”,惠，謂私恩小利。政，則有公平正大之體，綱紀法度之施焉。,맹자(孟子)께서 말씀하였다. “은혜로우나 정치를 하는 법을 알지 못하였도다.”,"혜(惠)는 사사로운 은혜와 작은 이(利)를 이르고, 정(政)은 공평(公平)·정대(正大)한 체통과 기강(紀綱)·법도(法度)의 시행(施行)이 있는 것이다."
歲十一月徒杠成十二月輿梁成民未病涉也,杠方橋也徒杠可通徒行者梁亦橋也輿梁可通車輿者周十一月夏九月也周十二月夏十月也夏令曰十月成梁蓋農功已畢可用民力又時將寒沍水有橋梁則民不患於徒涉亦王政之一事也,歲十一月徒杠成，十二月輿梁成，民未病涉也。,杠，方橋也。徒杠，可通徒行者。梁，亦橋也。輿梁，可通車輿者。周十一月，夏九月也。周十二月，夏十月也。夏令曰：“十月成梁。”蓋農功已畢，可用民力，又時將寒沍，水有橋梁，則民不患於徒涉，亦王政之一事也。,"11월에 도강(徒杠)이 이루어지며 12월에 여량(輿梁)이 이루어지면, 백성들이 물 건너는 것을 괴롭게 여기지 않는다.","강(杠)은 판자로 만든 다리이니, 도강(徒杠)은 도보(徒步)로 다니는 자를 통행하게 하는 것이다. 양(梁)도 다리이니, 여량(輿梁)은 수레를 통행하게 하는 것이다. 주(周)나라의 11월은 하(夏)나라의 9월이요, 주(周)나라의 12월은 하(夏)나라의 10월이다. 하령(夏令)에 이르기를 ‘10월에 다리를 이룬다.’ 하였으니, 농사일이 이미 끝나서 백성의 노동력을 쓸 수 있고, 또 때가 장차 추워져서 물이 얼 것이니, 물에 교량(橋梁)이 있으면 백성들이 도보(徒步)로 건너는 것을 염려하지 않을 수 있으니, 이 또한 왕정(王政)의 한 가지 일이다."
君子平其政行辟人可也焉得人人而濟之,辟辟除也如周禮閽人爲之辟之辟言能平其政則出行之際辟除行人使之避己亦不爲過況國中之水當涉者衆豈能悉以乘輿濟之哉,君子平其政，行辟人可也。焉得人人而濟之？,辟，辟除也，如周禮閽人爲之辟之辟。言能平其政，則出行之際，辟除行人，使之避己，亦不爲過。況國中之水，當涉者衆，豈能悉以乘輿濟之哉？,"군자(君子)가 정사(政事)를 공평히 한다면 출행(出行)할 때에 사람들을 벽제(辟除)하는 것도 가하니, 어찌 사람마다 모두 건네줄 수 있겠는가.","벽(辟)은 벽제(辟除)함이니, 《주례(周禮)》에 ‘혼인(閽人)이 위하여 벽제(辟除)한다.’는 벽(辟)과 같다. ‘능히 정사(政事)를 공평히 한다면, 출행(出行)하는 즈음에 행인들을 벽제(辟除)하여 자기를 피하게 하는 것도 지나침이 되지 않는다. 더구나 국중(國中)의 물에 마땅히 건너야 할 곳이 많으니, 어찌 다 타고 있는 수레로 그들을 건네줄 수 있겠는가.’라고 말씀한 것이다."
故爲政者每人而悅之日亦不足矣,言每人皆欲致私恩以悅其意則人多日少亦不足於用矣諸葛武侯嘗言治世以大德不以小惠得孟子之意矣,故爲政者，每人而悅之，日亦不足矣。,言每人皆欲致私恩以悅其意，則人多日少，亦不足於用矣。諸葛武侯嘗言，“治世以大德，不以小惠”，得孟子之意矣。,그러므로 위정자(爲政者)가 매양 사람마다 마음을 기쁘게 해주려 한다면 날마다 하여도 또한 부족할 것이다.”,"사람마다 모두 사사로운 은혜를 이루어 그 뜻을 기쁘게 하고자 한다면 사람은 많고 날짜는 적어서 또한 씀에 부족함을 말씀한 것이다. 제갈무후(諸葛武侯)가 일찍이 말하기를 “세상을 다스림은 대덕(大德)으로써 해야 하고, 작은 은혜로써 하지 않는다.” 하였으니, 맹자(孟子)의 뜻을 얻었다."
