대문,주석,대문표점,주석표점,대문해석,주석해석
萬章問曰舜往于田號泣于旻天何爲其號泣也孟子曰怨慕也,舜往于田耕歷山時也仁覆閔下謂之旻天號泣于旻天呼天而泣也事見虞書大禹謨篇怨慕怨己之不得其親而思慕也,萬章問曰：“舜往于田，號泣于旻天，何爲其號泣也？”孟子曰：“怨慕也。”,舜往于田，耕歷山時也。仁覆閔下，謂之旻天。號泣于旻天，呼天而泣也。事見虞書大禹謨篇。怨慕，怨己之不得其親而思慕也。,"만장(萬章)이 물었다. “순(舜)임금이 밭에 가서 하늘을 부르며 우셨으니, 어찌하여 부르짖으며 우신 것입니까?” 맹자(孟子)께서 말씀하였다. “원망하고 사모하신 것이다.”","순(舜)임금이 밭에 갔다는 것은 역산(歷山)에서 밭갈 때이다. 인(仁)으로 덮어주어 아랫사람들을 불쌍히 여김을 민천(旻天)이라 이른다. 민천(旻天)에 호읍(號泣)했다는 것은 하늘을 부르며 운 것이니, 이 사실은 〈우서(虞書) 대우모편(大禹謨篇)〉에 보인다. 원모(怨慕)는 자기가 어버이에게 사랑을 얻지 못함을 원망하고 사모한 것이다."
萬章曰父母愛之喜而不忘父母惡之勞而不怨然則舜怨乎曰長息問於公明高曰舜往于田則吾旣得聞命矣號泣于旻天于父母則吾不知也公明高曰是非爾所知也夫公明高以孝子之心爲不若是恝我竭力耕田共爲子職而已矣父母之不我愛於我何哉,長息公明高弟子公明高曾子弟子于父母亦書辭言呼父母而泣也恝無愁之貌於我何哉自責不知己有何罪耳非怨父母也楊氏曰非孟子深知舜之心不能爲此言蓋舜惟恐不順於父母未嘗自以爲孝也若自以爲孝則非孝矣,萬章曰：“父母愛之，喜而不忘；父母惡之，勞而不怨。然則舜怨乎？”曰：“長息問於公明高曰：‘舜往于田，則吾旣得聞命矣；號泣于旻天，于父母，則吾不知也。’公明高曰：‘是非爾所知也。’夫公明高以孝子之心，爲不若是恝，我竭力耕田，共爲子職而已矣，父母之不我愛，於我何哉？“,長息，公明高弟子。公明高，曾子弟子。于父母，亦書辭，言呼父母而泣也。恝，無愁之貌。於我何哉，自責不知己有何罪耳，非怨父母也。楊氏曰：“非孟子深知舜之心，不能爲此言。蓋舜惟恐不順於父母，未嘗自以爲孝也；若自以爲孝，則非孝矣。”,"만장(萬章)이 말하였다. “부모(父母)가 사랑하시거든 기뻐하고 잊지 말며, 부모(父母)가 미워하시거든 더욱 노력하고 원망하지 말아야 하니, 그렇다면 순(舜)은 원망했습니까?” 맹자(孟子)께서 말씀하였다. “장식(長息)이 공명고(公明高)에게 묻기를 ‘순(舜)이 밭에 간 이유는 제가 이미 가르침을 들었거니와, 민천(旻天)과 부모(父母)에게 호읍(號泣)한 것은 제가 알지 못하겠습니다.’ 하자, 공명고(公明高)가 말하기를 ‘이것은 네가 알 바가 아니다.’ 하였으니, 저 공명고(公明高)는 생각하기를 ‘효자의 마음은 이처럼 무관심할 수 없다. 「나는 힘을 다해 밭을 갈아 공손히 자식된 직분을 할 따름이니, 부모께서 나를 사랑하지 않음은 나에게 무슨 죄가 있어서인가.」’라고 여긴 것이다.","장식(長息)은 공명고(公明高)의 제자이다. 공명고(公明高)는 증자(曾子)의 제자이다. 부모에게 <호읍(號泣)> 했다는 것은 또한 《서경(書經)》의 말이니, 부모를 부르며 운 것을 말한다. 괄(恝)은 근심이 없는 모양이다. 어아하재(於我何哉)는, 자신에게 무슨 죄가 있어서인지 알지 못하겠다고 자책한 것이니, 부모를 원망한 것이 아니다. 양씨(楊氏)가 말하였다. “순(舜)의 마음을 깊이 아신 맹자(孟子)가 아니라면 이러한 말씀을 할 수 없었을 것이다. 순(舜)은 오직 부모에게 순(順)하지 못함을 두려워하였고 일찍이 스스로 효도한다고 여긴 적이 없으셨다. 만일 스스로 효도한다고 여긴다면 효(孝)가 아니다.”"
帝使其子九男二女百官牛羊倉廩備以事舜於畎畝之中天下之士多就之者帝將胥天下而遷之焉爲不順於父母如窮人無所歸,帝堯也史記云二女妻之以觀其內九男事之以觀其外又言一年所居成聚二年成邑三年成都是天下之士就之也胥相視也遷之移以與之也如窮人之無所歸言其怨慕迫切之甚也,帝使其子九男二女，百官牛羊倉廩備，以事舜於畎畝之中。天下之士多就之者，帝將胥天下而遷之焉。爲不順於父母，如窮人無所歸。,帝，堯也。史記云：“二女妻之，以觀其內；九男事之，以觀其外。”又言：“一年所居成聚，二年成邑，三年成都”是天下之士就之也。胥，相視也。遷之，移以與之也。如窮人之無所歸，言其怨慕迫切之甚也。,"요(堯)임금께서 자식인 9남 2녀로 하여금 백관(百官)과 우양(牛羊)과 창름(倉廩)을 갖추어 순(舜)을 견묘(畎畝)의 가운데에서 섬기게 하시니, 천하의 선비가 찾아가는 자가 많았다. 이에 요(堯)임금이 장차 천하의 인심을 살펴보아 제위(帝位)를 물려주려 하셨는데, 순(舜)은 부모에게 순(順)하지 못하였기 때문에 궁한 사람이 돌아갈 데 없는 것처럼 여기셨다.","제(帝)는 요(堯)임금이다. 《사기(史記)》에 이르기를 ‘두 딸을 시집 보내어 그 안을 관찰하게 하고, 아홉 아들로 섬기게 하여 그 밖을 관찰하게 했다.’ 하였다. 또 이르기를 ‘1년에 거주한 곳이 취락(聚落)[부락]을 이루었고, 2년에 읍(邑)을 이루었고, 3년에 도(都)를 이루었다.’ 하였으니, 이것은 천하의 선비가 찾아간 것이다. 서(胥)는 봄이다. 천지(遷之)는 제위(帝位)를 옮겨 주는 것이다. 궁인(窮人)이 돌아갈 데가 없는 것처럼 했다는 것은 원모(怨慕)함의 절박(切迫)함이 심함을 말씀한 것이다."
天下之士悅之人之所欲也而不足以解憂好色人之所欲妻帝之二女而不足以解憂富人之所欲富有天下而不足以解憂貴人之所欲貴爲天子而不足以解憂人悅之好色富貴無足以解憂者惟順於父母可以解憂,孟子推舜之心如此以解上文之意極天下之欲不足以解憂而惟順於父母可以解憂孟子眞知舜之心哉,天下之士悅之，人之所欲也，而不足以解憂；好色，人之所欲，妻帝之二女，而不足以解憂；富，人之所欲，富有天下，而不足以解憂；貴，人之所欲，貴爲天子，而不足以解憂。人悅之、好色、富貴，無足以解憂者，惟順於父母，可以解憂。,孟子推舜之心如此，以解上文之意。極天下之欲，不足以解憂；而惟順於父母，可以解憂。孟子眞知舜之心哉！,"천하의 선비가 좋아함은 사람들이 원하는 것인데도 족히 근심을 풀지 못하셨으며, 아름다운 여색(女色)은 사람들이 원하는 것인데도, 요(堯)임금의 두 딸을 아내로 삼으셨으나 족히 근심을 풀지 못하셨으며, 부(富)는 사람들이 원하는 것인데도, 부(富)는 천하를 소유하셨으나 족히 근심을 풀지 못하셨으며, 귀(貴)는 사람들이 원하는 것인데도, 귀(貴)는 천자(天子)가 되셨으나 족히 근심을 풀지 못하셨으니, 사람들이 좋아함과 아름다운 여색(女色)과 부(富)와 귀(貴)에 족히 근심을 풀 만한 것이 없었고, 오직 부모에게 순(順)하여야 근심을 풀 수 있으셨다.","맹자(孟子)는 순(舜)의 마음을 추측하기를 이와 같이 하여 위 글의 뜻을 해석하신 것이다. ‘천하의 욕망을 지극히 하였으되 족히 근심을 풀 수가 없었고, 오직 부모에게 순(順)하여야 근심을 풀 수 있었다.’ 하셨으니, 맹자(孟子)는 순(舜)의 마음을 참으로 아신 것이다."
人少則慕父母知好色則慕少艾有妻子則慕妻子仕則慕君不得於君則熱中大孝終身慕父母五十而慕者予於大舜見之矣,言常人之情因物有遷惟聖人爲能不失其本心也艾美好也楚辭戰國策所謂幼艾義與此同不得失意也熱中躁急心熱也言五十者舜攝政時年五十也五十而慕則其終身慕可知矣,人少，則慕父母；知好色，則慕少艾；有妻子，則慕妻子；仕則慕君，不得於君則熱中。大孝終身慕父母。五十而慕者，予於大舜見之矣。,言常人之情，因物有遷，惟聖人爲能不失其本心也。艾，美好也。楚辭、戰國策所謂幼艾，義與此同。不得，失意也。熱中，躁急心熱也。言五十者，舜攝政時年五十也。五十而慕，則其終身慕可知矣。,"사람들이 어릴 때에는 부모를 사모하다가 여색(女色)을 좋아할 줄 알면 젊고 예쁜 소녀를 사모하고, 처자(妻子)를 두면 처자(妻子)를 사모하고, 벼슬하면 군주를 사모하고, 군주에게 신임을 얻지 못하면 가슴속에 열병이 나는 것이다. 대효(大孝)는 종신토록 부모를 사모하나니, 50세까지 부모를 사모한 자를 나는 대순(大舜)에게서 보았노라.”","보통 사람들의 정(情)은 사물에 따라 옮김이 있으나, 오직 성인(聖人)은 그 본심을 잃지 않음을 말씀한 것이다. 애(艾)는 아름답고 예쁨이니, 《초사(楚辭)》와 《전국책(戰國策)》에 이른바 ‘유애(幼艾)’라는 것도 뜻이 이와 같다. 부득(不得)은 실의(失意)이다. 열중(熱中)은 조급하여 마음에 열병이 나는 것이다. 50세라고 말씀한 것은 순(舜)이 섭정(攝政)할 때의 연세가 50세였기 때문이다. 50세까지 사모했다면 종신토록 사모했음을 알 수 있다."
,此章言舜不以得衆人之所欲爲己樂而以不順乎親之心爲己憂非聖人之盡性其孰能之,,此章言舜不以得衆人之所欲爲己樂，而以不順乎親之心爲己憂。非聖人之盡性，其孰能之？,,"이 장(章)은 순(舜)은 중인(衆人)들의 원하는 바를 얻음으로써 자신의 낙(樂)을 삼지 않고, 어버이의 마음에 순(順)하지 못함으로써 자신의 근심을 삼았음을 말한 것이니, 본성(本性)을 다한 성인(聖人)이 아니면 그 누가 이렇게 할 수 있겠는가."
萬章問曰詩云娶妻如之何必告父母信斯言也宜莫如舜舜之不告而娶何也孟子曰告則不得娶男女居室人之大倫也如告則廢人之大倫以懟父母是以不告也,詩齊國風南山之篇也信誠也誠如此詩之言也懟讎怨也舜父頑母嚚常欲害舜告則不聽其娶是廢人之大倫以讎怨於父母也,萬章問曰：“詩云：‘娶妻如之何？必告父母。’信斯言也，宜莫如舜。舜之不告而娶，何也？”孟子曰：“告則不得娶。男女居室，人之大倫也。如告，則廢人之大倫，以懟父母，是以不告也。”,詩齊國風南山之篇也。信，誠也，誠如此詩之言也。懟，讎怨也。舜父頑母嚚，常欲害舜。告則不聽其娶，是廢人之大倫，以讎怨於父母也。,"만장(萬章)이 물었다. “《시경(詩經)》에 이르기를 ‘장가들려면 어떻게 하여야 하는가? 반드시 부모(父母)에게 아뢰어야 한다.’ 하였으니, 진실로 이 말대로라면 순(舜)만한 이가 없을 듯하옵니다. 순(舜)이 부모에게 아뢰지 않고 장가든 것은 어째서입니까?” 맹자(孟子)께서 말씀하였다. “부모에게 아뢰었다면 장가들 수 없었을 것이다. 남녀(男女)가 한 방에 거처함은 사람의 큰 윤리이니, 만일 부모에게 고하면 사람의 큰 윤리를 폐지하여 부모를 원망하게 되었을 것이다. 이 때문에 아뢰지 않으신 것이다.”","시(詩)는 〈제국풍(齊國風) 남산편(南山篇)〉이다. 신(信)은 진실로이니, 진실로 이 시(詩)의 말과 같다는 것이다. 대(懟)는 원수로 여김이다. 순(舜)의 아버지는 완악(頑惡)하고 어머니는 간악하여 항상 순(舜)을 해치고자 하였다. 그러므로 부모에게 아뢰었다면 장가드는 것을 허락해 주지 않았을 것이니, 이는 인간의 큰 윤리를 폐지하여 부모를 원망하게 되는 것이다."
萬章曰舜之不告而娶則吾旣得聞命矣帝之妻舜而不告何也曰帝亦知告焉則不得妻也,以女爲人妻曰妻程子曰堯妻舜而不告者以君治之而已如今之官府治民之私者亦多,萬章曰：“舜之不告而娶，則吾旣得聞命矣；帝之妻舜而不告，何也？”曰：“帝亦知告焉則不得妻也。”,以女爲人妻曰妻。程子曰：“堯妻舜而不告者，以君治之而已，如今之官府治民之私者亦多。”,"만장(萬章)이 말하였다. “순(舜)께서 아뢰지 않고 장가든 것은 제가 이미 가르침을 들었거니와, 요(堯)임금께서 순(舜)에게 딸을 시집보내면서도 그 부모에게 말씀하지 않음은 어째서입니까?” 맹자(孟子)께서 말씀하였다. “요(堯)임금 또한 고(告)하면 딸을 시집보낼 수 없음을 아셨기 때문이었다.”","딸을 <시집보내어> 남의 아내가 되게 하는 것을 처(妻)라 한다. 정자(程子)가 말씀하였다. “요(堯)가 순(舜)에게 딸을 시집보내면서 그 부모에게 고하지 않은 것은 군주로서 다스렸을 뿐이니, 지금의 관부(官府)에도 백성의 사사로운 일을 다스리는 경우가 또한 많은 것과 같다.”"
萬章曰父母使舜完廩捐階瞽瞍焚廩使浚井出從而揜之象曰謨蓋都君咸我績牛羊父母倉廩父母干戈朕琴朕弤朕二嫂使治朕棲象往入舜宮舜在牀琴象曰鬱陶思君爾忸怩舜曰惟玆臣庶汝其于予治不識舜不知象之將殺己與曰奚而不知也象憂亦憂象喜亦喜,完治也捐去也階梯也揜蓋也按史記曰使舜上塗廩瞽瞍從下縱火焚廩舜乃以兩笠自捍而下去得不死後又使舜穿井舜穿井爲匿空旁出舜旣入深瞽瞍與象共下土實井舜從匿空中出去卽其事也象舜異母弟也謨謀也蓋蓋井也舜所居三年成都故謂之都君咸皆也績功也舜旣入井象不知舜已出欲以殺舜爲己功也干盾也戈戟也琴舜所彈五弦琴也弤琱弓也象欲以舜之牛羊倉廩與父母而自取此物也二嫂堯二女也棲牀也象欲使爲己妻也象往舜宮欲分取所有見舜生在牀彈琴蓋旣出卽潛歸其宮也鬱陶思之甚而氣不得伸也象言己思君之甚故來見爾忸怩慚色也臣庶謂其百官也象素憎舜不至其宮故舜見其來而喜使之治其臣庶也孟子言舜非不知其將殺己但見其憂則憂見其喜則喜兄弟之情自有所不能已耳萬章所言其有無不可知然舜之心則孟子有以知之矣他亦不足辨也程子曰象憂亦憂象喜亦喜人情天理於是爲至,萬章曰：“父母使舜完廩，捐階，瞽瞍焚廩。使浚井，出，從而揜之。象曰：‘謨蓋都君咸我績。牛羊父母，倉廩父母，干戈朕，琴朕，弤朕，二嫂使治朕棲。’象往入舜宮，舜在牀琴。象曰：‘鬱陶思君爾。’忸怩。舜曰：‘惟茲臣庶，汝其于予治。’不識舜不知象之將殺己與？”曰：“奚而不知也？象憂亦憂，象喜亦喜。”,完，治也。捐，去也。階，梯也。揜，蓋也。按史記，曰：“使舜上塗廩，瞽瞍從下縱火焚廩，舜乃以兩笠自捍而下去，得不死。後又使舜穿井，舜穿井爲匿空旁出。舜旣入深，瞽瞍與象共下土實井，舜從匿空中出去。”卽其事也。象，舜異母弟也。謨，謀也。蓋，蓋井也。舜所居三年成都，故謂之都君。咸，皆也。績，功也。舜旣入井，象不知舜已出，欲以殺舜爲己功也。干，盾也。戈，戟也。琴，舜所彈五弦琴也。弤，琱弓也。象欲以舜之牛羊倉廩與父母，而自取此物也。二嫂，堯二女也。棲，牀也，象欲使爲己妻也。象往舜宮，欲分取所有，見舜生在牀彈琴，蓋旣出卽潛歸其宮也。鬱陶，思之甚而氣不得伸也。象言己思君之甚，故來見爾。忸怩，慚色也。臣庶，謂其百官也。象素憎舜，不至其宮，故舜見其來而喜，使之治其臣庶也。孟子言舜非不知其將殺己，但見其憂則憂，見其喜則喜，兄弟之情，自有所不能已耳。萬章所言，其有無不可知，然舜之心，則孟子有以知之矣，他亦不足辨也。程子曰：“象憂亦憂，象喜亦喜，人情天理，於是爲至。”,"만장(萬章)이 말하였다. “<전설에> ‘순(舜)의 부모(父母)가 순(舜)으로 하여금 곳집을 손질하게 하고 사다리를 치운 다음 고수(瞽瞍)가 창고에 불을 질렀으며, 순(舜)에게 우물을 파게 하고는, 순(舜)이 나오시자 따라서 흙을 덮어 생매장시키고, 상(象)이 말하기를 「꾀하여 도군(都君)을 생매장한 것은 모두 나의 공로이니, 우양(牛羊)은 부모의 것이요, 창름(倉廩)은 부모의 것이요, 간과(干戈)는 짐(朕)의 것이요, 거문고는 짐(朕)의 것이요, 활은 짐(朕)의 것이요, 두 형수는 짐(朕)의 집을 다스리게 하겠다.」 하고는, 상(象)이 가서 순(舜)의 궁궐에 들어가자, 순(舜)이 상(牀)에 계시면서 거문고를 타고 계셨다. 상(象)이 말하기를 「울도(鬱陶)하게 도군(都君)을 그리워했습니다.」 하고 부끄러워하자, 순(舜)께서 「이 여러 신하들을 너는 내게 와서 다스리라.」 하셨다.’ 하니, 알지 못하겠습니다. 순(舜)은 상(象)이 장차 자신을 죽이려 한 것을 모르셨습니까?” “어찌 알지 못하셨으리오마는, 상(象)이 근심하면 또한 근심하시고, 상(象)이 기뻐하면 또한 기뻐하신 것이다.”","완(完)은 다스림이다. 연(捐)은 버림이다. 계(階)는 사다리이다. 엄(揜)은 덮음이다.《사기(史記)》를 상고해보면, ‘순(舜)으로 하여금 창고에 올라가 흙을 바르게 하고는 고수(瞽瞍)가 아래에서 불을 놓아 창고를 불태우자, 순(舜)은 마침내 두 개의 삿갓으로 스스로 몸을 가리우고 내려와서 죽지 않게 되었으며, 그 후 또 순(舜)으로 하여금 우물을 파게 하니, 순(舜)은 우물을 파되 옆으로 나올 수 있는 숨은 구멍을 만들어 놓았는데, 순(舜)이 이미 깊이 들어가자, 고수(瞽瞍)는 상(象)과 함께 흙을 내리부어 우물을 메우거늘, 순(舜)은 숨겨놓았던 구멍을 따라 나왔다.’ 하였으니, 바로 이 일이다. 상(象)은 순(舜)의 배다른 아우이다. 모(謨)는 꾀함이다. 개(蓋)는 우물을 덮는 것이다. 순(舜)이 거주한 곳에는 3년이면 도(都)를 이루었기 때문에 순(舜)을 도군(都君)이라 이른 것이다. 함(咸)은 모두요, 적(績)은 공(功)이니, 순(舜)이 이미 우물에 들어갔으므로 상(象)은 순(舜)이 이미 나온 줄을 알지 못하고, 순(舜)을 죽인 것을 자기의 공로로 삼고자 한 것이다. 간(干)은 방패요, 과(戈)는 창이다. 금(琴)은 순(舜)이 타시던 오현금(五弦琴)이요 저(弤)는 아로새긴 활이니, 상(象)이 순(舜)의 우양(牛羊)과 창름(倉廩)은 부모에게 주고, 자기가 이 물건들을 취하고자 한 것이다. 두 형수란 요(堯)임금의 두 따님이다. 서(棲)는 평상(平牀)이니, 상(象)이 자기의 아내로 삼고자 한 것이다. 상(象)이 순(舜)의 궁궐로 가서 소유물을 나누어 취하고자 하다가 순(舜)이 살아서 상(牀)에 앉아 거문고를 타는 것을 보았으니, 이는 순(舜)이 이미 나온 다음 즉시 몰래 궁궐로 돌아가신 것이다. 울도(鬱陶)는 생각하기를 심히 해서 기(氣)가 펴지지 못한 것이다. 상(象)이 말하기를 ‘내가 군(君)을 그리워하기를 심히 하였기 때문에 와서 뵙는다.’고 한 것이다. 육니(忸怩)는 부끄러워하는 빛이다. 신서(臣庶)는 백관(百官)들을 이른다. 상(象)이 본래 순(舜)을 미워하여 집에 찾아오지 않았었다. 그러므로 순(舜)이 그가 온 것을 보시고는 기뻐하여, 그로 하여금 여러 신하들을 다스리게 하신 것이다. 맹자(孟子)께서 말씀하시기를 ‘순(舜)은 상(象)이 장차 자기를 죽이려고 한 것을 모르신 것은 아니지만, 다만 그가 근심함을 보면 근심하고, 그가 기뻐함을 보면 기뻐하셨으니, 형제(兄弟)의 정(情)이 자연히 그만둘 수 없는 바가 있기 때문이다.’ 라고 하신 것이다. 만장(萬章)이 말한 그 사실의 유무(有無)는 알 수 없으나, 순(舜)의 마음인즉 맹자(孟子)께서 아심이 있으신 것이니, 다른 것은 족히 변론할 것이 못된다. 정자(程子)가 말씀하였다. “상(象)이 근심하면 또한 근심하고, 상(象)이 기뻐하면 또한 기뻐하셨으니, 인정(人情)과 천리(天理)가 이에 지극한 것이다.”"
曰然則舜僞喜者與曰否昔者有饋生魚於鄭子産子産使校人畜之池校人烹之反命曰始舍之圉圉焉少則洋洋焉攸然而逝子産曰得其所哉得其所哉校人出曰孰謂子産智予旣烹而食之曰得其所哉得其所哉故君子可欺以其方難罔以非其道彼以愛兄之道來故誠信而喜之奚僞焉,校人主池沼小吏也圉圉困而未紓之貌洋洋則稍縱矣攸然而逝者自得而遠去也方亦道也罔蒙蔽也欺以其方謂誑之以理之所有罔以非其道謂昧之以理之所無象以愛兄之道來所謂欺之以其方也舜本不知其僞故實喜之何僞之有,曰：“然則舜僞喜者與？”曰：“否。昔者有饋生魚於鄭子産，子産使校人畜之池。校人烹之，反命曰：‘始舍之圉圉焉，少則洋洋焉，攸然而逝。’子産曰‘得其所哉！得其所哉！’校人出，曰：‘孰謂子産智？予旣烹而食之，曰：得其所哉？得其所哉。’故君子可欺以其方，難罔以非其道。彼以愛兄之道來，故誠信而喜之，奚僞焉？”,校人，主池沼小吏也。圉圉，困而未紓之貌。洋洋，則稍縱矣。攸然而逝者，自得而遠去也。方，亦道也。罔，蒙蔽也。欺以其方，謂誑之以理之所有；罔以非其道，謂昧之以理之所無。象以愛兄之道來，所謂欺之以其方也。舜本不知其僞，故實喜之，何僞之有？,"“그렇다면 순(舜)은 거짓으로 기뻐하신 자입니까?” “아니다. 옛날에 살아있는 물고기를 정(鄭)나라 자산(子産)에게 선물한 자가 있거늘, 자산(子産)이 교인(校人)으로 하여금 그것을 못에 기르게 하였는데, 교인(校人)이 삶아 먹고 복명(復命)하기를 ‘처음에 고기를 놓아주자 어릿어릿하더니, 조금 있다가는 양양(洋洋)해서 유유(攸攸)[유유(悠悠)]히 가더이다.’ 하니, 자산(子産)은 ‘살 곳을 얻었구나, 살 곳을 얻었구나.’ 하였다. 교인(校人)이 나와서 말하기를 ‘누가 자산(子産)을 지혜롭다 말하는가. 내 이미 물고기를 삶아먹었는데, 자산(子産)은 「살 곳을 얻었구나! 살 곳을 얻었구나!」라고 했다.’ 하였다. 그러므로 군자(君子)는 방(方)[도(道)]로써 속일 수는 있거니와, 도(道)가 아닌 것으로 터무니없이 속이기는 어려운 것이다. 저 상(象)은 형(兄)을 사랑하는 도리로써 왔다. 그러므로 진실로 믿고서 기뻐하셨으니, 어찌 거짓이셨겠는가.”","교인(校人)은 못을 주관하는 작은 관리이다. 어어(圉圉)는 지쳐서 펴지 못하는 모양이요, 양양(洋洋)은 조금 펴진 것이다. 유연이서(攸然而逝)는 자득(自得)하여 멀리 떠나간 것이다. 방(方)도 또한 도(道)이다. 망(罔)은 덮어 씌워 가리우는 것이다. 방(方)[도(道)]로써 속인다.〔欺〕는 것은 이치가 있는 바로써 속임을 이르고, 도(道)가 아닌 것으로써 터무니없이 속인다〔罔〕는 것은 이치가 없는 바로써 속임을 이른다. 상(象)이 형(兄)을 사랑하는 도리로써 왔으니, 이것은 이른바 방(方)[도(道)]로써 속인다는 것이다. 순(舜)은 본래 그의 거짓을 몰랐다. 그러므로 실제로 기뻐하셨으니, 어찌 거짓이 있겠는가."
