대문,주석,대문표점,주석표점,대문해석,주석해석
,子程子曰大學孔氏之遺書而初學入德之門也於今可見古人爲學次第者獨賴此篇之存而論孟次之學者必由是而學焉則庶乎其不差矣,(대문없음),子程子曰：“大學，孔氏之遺書，而初學入德之門也。”於今可見古人爲學次第者，獨賴此篇之存，而論、孟次之。學者必由是而學焉，則庶乎其不差矣。,(대문해석없음),"자정자(子程子)가 말씀하셨다. “《대학(大學)》은 공씨(孔氏)의 남긴 글이니, 처음 배우는 자가 덕(德)에 들어가는 문이다. 지금에 옛 사람들이 학문(學問)을 한 차례를 볼 수 있는 것은 유독 이 편(篇)이 남아 있음을 의뢰하고, 《논어(論語)》와 《맹자(孟子)》가 그 다음이 되니, 배우는 자가 반드시 이로 말미암아 배우면 거의 틀리지 않을 것이다.”"
大學之道在明明德在親民在止於至善,程子曰親當作新大學者大人之學也明明之也明德者人之所得乎天而虛靈不昧以具衆理而應萬事者也但爲氣稟所拘人欲所蔽則有時而昏然其本體之明則有未嘗息者故學者當因其所發而遂明之以復其初也新者革其舊之謂也言旣自明其明德又當推以及人使之亦有以去其舊染之汚也止者必至於是而不遷之意至善則事理當然之極也言明明德新民皆當止於至善之地而不遷蓋必其有以盡夫天理之極而無一毫人欲之私也此三者大學之綱領也,大學之道，在明明德，在親民，在止於至善。,程子曰：“親，當作新。” 大學者，大人之學也。明，明之也。明德者，人之所得乎天，而虛靈不昧，以具衆理而應萬事者也。但爲氣稟所拘，人欲所蔽，則有時而昏；然其本體之明，則有未嘗息者。故學者當因其所發而遂明之，以復其初也。新者，革其舊之謂也，言旣自明其明德，又當推以及人，使之亦有以去其舊染之汚也。止者，必至於是而不遷之意。至善，則事理當然之極也。言明明德、新民，皆當止於至善之地而不遷。蓋必其有以盡夫天理之極，而無一毫人欲之私也。此三者，大學之綱領也。,"《대학(大學)》의 도(道)는 명덕(明德)을 밝힘에 있으며, 백성을 새롭게 함에 있으며, 지선(至善)에 그침에 있다.","정자(程子)가 말씀하였다. “친(親)은 마땅히 신(新)이 되어야 한다.” 대학(大學)은 대인(大人)의 학문이다. 명(明)은 밝힘이다. 명덕(明德)은 사람이 하늘에서 얻은 바, 허령(虛靈)하고 어둡지 않아서 중리(衆理)를 갖추어 있고 만사(萬事)에 응하는 것이다. 다만 기품(氣稟)에 구애된 바와 인욕(人慾)에 가리운 바가 되면 때로 어두울 적이 있으나, 그 본체(本體)의 밝음은 일찍이 쉬지 않는다. 그러므로 배우는 자가 마땅히 그 발(發)하는 바를 인하여 마침내 밝혀서 그 처음을 회복하여야 한다. 신(新)은 옛 것을 고침을 이른다. 이미 스스로 그 명덕(明德)을 밝혔으면, 또 마땅히 미루어 남에게까지 미쳐서, 그로 하여금 또한 옛날에 물든 더러움을 제거함이 있음을 말한 것이다. 지(止)는 반드시 이에 이르러 옮기지 않는 뜻이요, 지선(至善)은 사리(事理)의 당연(當然)한 극(極)[표준]이다. 이는 명명덕(明明德)과 신민(新民)을 다 마땅히 지선(至善)의 경지에 멈추어 옮기지 않음을 말한 것이니, 반드시 그 천리(天理)의 극(極)을 다함이 있고, 일호(一毫)라도 인욕(人慾)의 사사로움이 없는 것이다. 이 세 가지는 《대학(大學)》의 강령(綱領)이다."
知止而后有定定而后能靜靜而后能安安而后能慮慮而后能得,止者所當止之地卽至善之所在也知之則志有定向靜謂心不妄動安謂所處而安慮謂處事精詳得謂得其所止,知止而后有定，定而后能靜，靜而后能安，安而后能慮，慮而后能得。,止者，所當止之地，卽至善之所在也。知之，則志有定向。靜，謂心不妄動。安，謂所處而安。慮，謂處事精詳。得，謂得其所止。,"그칠 데를 안 뒤에 정(定)함이 있으니, 정(定)한 뒤에 능히 고요하고, 고요한 뒤에 능히 편안하고, 편안한 뒤에 능히 생각하고, 생각한 뒤에 능히 얻는다.","지(止)는 마땅히 그쳐야 할 바의 곳이니, 바로 지선(至善)이 있는 곳이다. 이것을 안다면 뜻이 정(定)한 방향이 있을 것이다. 정(靜)은 마음이 망령되이 동(動)하지 않음을 이르고, 안(安)은 처한 바에 편안함을 이르고, 려(慮)는 일을 처리하기를 정밀하고 상세히 함을 이르고, 득(得)은 그 그칠 바를 얻음을 이른다."
物有本末事有終始知所先後則近道矣,明德爲本新民爲末知止爲始能得爲終本始所先末終所後此結上文兩節之意,物有本末，事有終始，知所先後，則近道矣。,明德爲本，新民爲末。知止爲始，能得爲終。本始所先，末終所後。此結上文兩節之意。,"물건에는 본(本)과 말(末)이 있고, 일에는 종(終)과 시(始)가 있으니, 먼저 하고 뒤에 할 것을 알면 도(道)에 가까울 것이다.","명덕(明德)은 본(本)이 되고, 신민(新民)은 말(末)이 되며, 지지(知止)는 시(始)가 되고, 능득(能得)은 종(終)이 되니, 본(本)과 시(始)는 먼저 해야 할 것이요, 말(末)과 종(終)은 뒤에 해야 할 것이다. 이는 위 글의 두 절(節)의 뜻을 맺은 것이다."
古之欲明明德於天下者先治其國欲治其國者先齊其家欲齊其家者先修其身欲修其身者先正其心欲正其心者先誠其意欲誠其意者先致其知致知在格物,明明德於天下者使天下之人皆有以明其明德也心者身之所主也誠實也意者心之所發也實其心之所發欲其必自慊而無自欺也致推極也知猶識也推極吾之知識欲其所知無不盡也格至也物猶事也窮至事物之理欲其極處無不到也此八者大學之條目也,古之欲明明德於天下者，先治其國；欲治其國者，先齊其家；欲齊其家者，先修其身；欲修其身者，先正其心；欲正其心者，先誠其意；欲誠其意者，先致其知；致知在格物。,明明德於天下者，使天下之人皆有以明其明德也。心者，身之所主也。誠，實也。意者，心之所發也。實其心之所發，欲其必自慊而無自欺也。致，推極也。知，猶識也。推極吾之知識，欲其所知無不盡也。格，至也。物，猶事也。窮至事物之理，欲其極處無不到也。此八者，大學之條目也。,"옛날에 명덕(明德)을 천하에 밝히고자 하는 자는 먼저 그 나라를 다스리고, 그 나라를 다스리고자 하는 자는 먼저 그 집안을 가지런히 하고, 그 집안을 가지런히 하고자 하는 자는 먼저 그 몸을 닦고, 그 몸을 닦고자 하는 자는 먼저 그 마음을 바루고, 그 마음을 바루고자 하는 자는 먼저 그 뜻을 성실히 하고, 그 뜻을 성실히 하고자 하는 자는 먼저 그 지식(知識)을 지극히 하였으니, 지식을 지극히 함은 사물의 이치를 궁구함에 있다.","명덕(明德)을 천하에 밝힌다는 것은 천하 사람으로 하여금 모두 그 명덕(明德)을 밝힘이 있게 하는 것이다. 심(心)은 몸의 주장하는 바이다. 성(誠)은 성실함이요, 의(意)는 마음의 발(發)하는 바이니, 그 마음의 발(發)하는 바를 성실히 하여, 반드시 스스로 만족하고 스스로 속임이 없고자 하는 것이다. 치(致)는 미루어 지극히 함이요, 지(知)는 식(識)과 같으니, 나의 지식(知識)을 미루어 지극히하여 그 아는 바가 다하지 않음이 없고자 하는 것이다. 격(格)은 이름이요, 물(物)은 사(事)와 같으니, 사물의 이치를 궁구하여 그 극처(極處)가 이르지 않음이 없고자 하는 것이다. 이 여덟 가지는 《대학(大學)》의 조목(條目)이다."
物格而后知至知至而后意誠意誠而后心正心正而后身修身修而后家齊家齊而后國治國治而后天下平,物格者物理之極處無不到也知至者吾心之所知無不盡也知旣盡則意可得而實矣意旣實則心可得而正矣修身以上明明德之事也齊家以下新民之事也物格知至則知所止矣意誠以下則皆得所止之序也,物格而后知至，知至而后意誠，意誠而后心正，心正而后身修，身修而后家齊，家齊而后國治，國治而后天下平。,物格者，物理之極處無不到也。知至者，吾心之所知無不盡也。知旣盡，則意可得而實矣，意旣實，則心可得而正矣。修身以上，明明德之事也。齊家以下，新民之事也。物格知至，則知所止矣。意誠以下，則皆得所止之序也。,"사물의 이치가 이른 뒤에 지식이 지극해지고, 지식이 지극해진 뒤에 뜻이 성실해지고, 뜻이 성실해진 뒤에 마음이 바루어지고, 마음이 바루어진 뒤에 몸이 닦아지고, 몸이 닦아진 뒤에 집안이 가리런해지고, 집안이 가지런한 뒤에 나라가 다스려지고, 나라가 다스려진 뒤에 천하가 평(平)해진다.","격물(格物)은 물리(物理)의 지극한 곳이 이르지 않음이 없음이요, 지지(至知)는 내 마음의 아는 바가 극진하지 않음이 없는 것이다. 지식이 이미 극진해지면 뜻이 성실해질 수 있고, 뜻이 이미 성실해지면 마음이 바루어질 수 있다. 수신(修身) 이상은 명명덕(明明德)의 일이요, 제가(齊家) 이하는 신민(新民)의 일이다. 격물(格物)과 지지(至知)는 그칠 바를 아는 것이요, 성의(誠意) 이하는 모두 그칠 바를 얻는 차례이다."
自天子以至於庶人壹是皆以修身爲本,壹是一切也正心以上皆所以修身也齊家以下則擧此而措之耳,自天子以至於庶人，壹是皆以修身爲本。,壹是，一切也。正心以上，皆所以修身也。齊家以下，則擧此而措之耳。,천자(天子)로부터 서인(庶人)에 이르기까지 일체 모두 수신(修身)을 근본으로 삼는다.,"일시(壹是)는 일체(一切)이다. 정심(正心) 이상은 다 수신(修身)하는 것이요, 제가(齊家) 이하는 이것을 들어 둘 뿐이다."
其本亂而末治者否矣其所厚者薄而其所薄者厚未之有也,本謂身也所厚謂家也此兩節結上文兩節之意右經一章蓋孔子之言而曾子述之其傳十章則曾子之意而門人記之也舊本頗有錯簡今因程子所定而更考經文別爲序次如左,其本亂而末治者否矣，其所厚者薄，而其所薄者厚，未之有也！,本，謂身也。所厚，謂家也。此兩節結上文兩節之意。右經一章，蓋孔子之言，而曾子述之。其傳十章，則曾子之意而門人記之也。舊本頗有錯簡，今因程子所定，而更考經文，別爲序次如左。,"그 근본이 어지럽고서 끝이 다스려지는 자는 없으며, 후(厚)히 할 것에 박(薄)하게 하고서 박(薄)하게 할 것에 후(厚)히 하는 자는 있지 않다.","본(本)은 몸을 이르고, 후(厚)히 할 것은 집안을 이른다. 이 두 절(節)은 위 글의 두 절(節)의 뜻을 맺은 것이다. 우(右)는 경문(經文) 1장(章)이니, 공자(孔子)께서 말씀하신 것을 증자(曾子)가 기술(記述)하셨고, 전문(傳文) 10장(章)은 증자(曾子)의 뜻을 문인(門人)이 기록한 것이다. 구본(舊本)[옛책]에 자못 착간(錯簡)이 있으므로, 이제 정자(程子)께서 정한 것을 따르고, 다시 경문(經文)을 상고하여 별도로 차례를 만들기를 좌(左)와 같이 하였다."
,凡傳文雜引經傳若無統紀然文理接續血脈貫通深淺始終至爲精密熟讀詳味久當見之今不盡釋也,,凡傳文，雜引經傳，若無統紀，然文理接續，血脈貫通，深淺始終，至爲精密。熟讀詳味，久當見之，今不盡釋也。,,"모든 전문(傳文)은 경전(經傳)을 섞어 인용하여 통기(統紀)가 없는 듯하나, 문리(文理)가 이어지고 혈맥(血脈)이 관통하여, 깊고 얕음과 시(始)와 종(終)이 지극히 정밀하니, 익숙히 읽고 자세히 음미하면, 오래되면 마땅히 볼 수 있을 것이다. 그러므로 이제 다 해석하지 않는다."
康誥曰克明德,康誥周書克能也,康誥曰：“克明德。”,康誥，周書。克，能也。,"〈강고(康誥)〉에 이르기를 ‘능히 덕(德)을 밝힌다.’ 하였으며,",〈강고(康誥)〉는 주서(周書)이다. 극(克)은 능(能)함이다.
