대문,주석,대문표점,주석표점,대문해석,주석해석
中者不偏不倚無過不及之名庸平常也,子程子曰不偏之謂中不易之謂庸中者天下之正道庸者天下之定理此篇乃孔門傳授心法子思恐其久而差也故筆之於書以授孟子其書始言一理中散爲萬事末復合爲一理放之則彌六合卷之則退藏於密其味無窮皆實學也善讀者玩索而有得焉則終身用之有不能盡者矣,中者，不偏不倚、無過不及之名。庸，平常也。,子程子曰：“不偏之謂中，不易之謂庸。中者，天下之正道，庸者，天下之定理。”此篇乃孔門傳授心法，子思恐其久而差也，故筆之於書，以授孟子。其書始言一理，中散爲萬事，末復合爲一理，“放之則彌六合，卷之則退藏於密”，其味無窮，皆實學也。善讀者玩索而有得焉，則終身用之，有不能盡者矣。,"중(中)은 편벽되지 않고 치우치지 않으며, 과(過)와 불급(不及)이 없는 것의 이름이요, 용(庸)은 평상(平常)함이다.","자정자(子程子)가 말씀하였다. “편벽되지 않음을 중(中)이라 이르고, 변치 않음을 용(庸)이라 이르니, 중(中)은 천하의 정도(正道)요, 용(庸)은 천하의 정리(定理)이다. 이 책은 바로 공문(孔門)에서 전수(傳授)해 온 심법(心法)이니, 자사(子思)께서 오래됨에 차이가 있을까 두려워하셨다. 그러므로 이것을 책에 기록하여 맹자(孟子)에게 주신 것이다. 이 책이 처음에는 한 이치를 말하였고, 가운데에는 흩어져 만사(萬事)가 되었고, 끝에는 다시 합하여 한 이치가 되었으니, 이것을 풀어놓으면 육합(六合)[우주(宇宙)]에 가득하고, 거두어들이면 물러가 은밀한 데 감추어져서 그 맛이 무궁하니, 모두 진실한 학문(學問)이다. 잘 읽는 자가 완색(玩索)하여 얻음이 있으면 종신(終身)토록 쓰더라도 다하지 못함이 있을 것이다."
天命之謂性率性之謂道修道之謂敎,命猶令也性卽理也天以陰陽五行化生萬物氣以成形而理亦賦焉猶命令也於是人物之生因各得其所賦之理以爲健順五常之德所謂性也率循也道猶路也人物各循其性之自然則其日用事物之間莫不各有當行之路是則所謂道也修品節之也性道雖同而氣稟或異故不能無過不及之差聖人因人物之所當行者而品節之以爲法於天下則謂之敎若禮樂刑政之屬是也蓋人知己之有性而不知其出於天知事之有道而不知其由於性知聖人之有敎而不知其因吾之所固有者裁之也故子思於此首發明之而董子所謂道之大原出於天亦此意也,天命之謂性，率性之謂道，修道之謂敎。,命，猶令也。性，卽理也。天以陰陽五行化生萬物，氣以成形，而理亦賦焉，猶命令也。於是人物之生，因各得其所賦之理，以爲健順五常之德，所謂性也。率，循也。道，猶路也。人物各循其性之自然，則其日用事物之間，莫不各有當行之路，是則所謂道也。修，品節之也。性道雖同，而氣稟或異，故不能無過不及之差，聖人因人物之所當行者而品節之，以爲法於天下，則謂之敎，若禮、樂、刑、政之屬是也。蓋人知己之有性，而不知其出於天；知事之有道，而不知其由於性；知聖人之有敎而，不知其因吾之所固有者裁之也。故子思於此首發明之，而董子所謂“道之大原出於天”，亦此意也。,"하늘이 명(命)하신 것을 성(性)이라 이르고, 성(性)을 따름을 도(道)라 이르고, 도(道)를 품절(品節)해 놓음을 교(敎)라 이른다.","명(命)은 영(令)과 같으며, 성(性)은 바로 이(理)이다. 하늘이 음양(陰陽)·오행(五行)으로 만물(萬物)을 화생(化生)함에 기(氣)로써 형체를 이루고 이(理) 또한 부여(賦與)하니 명령(命令)함과 같다. 이에 사람과 물건이 태어남에 각기 부여 받은 바의 이(理)를 얻음으로 인하여 건순(健順)·오상(五常)의 덕(德)을 삼으니, 이른바 성(性)이라는 것이다. 솔(率)은 따름이요, 도(道)는 노(路)와 같다. 사람과 물건이 각기 그 성(性)의 자연(自然)을 따르면 일상생활(日常生活)하는 사이에 각기 마땅히 행하여야 할 길이 있지 않음이 없으니, 이것이 곧 이른바 도(道)라는 것이다. 수(修)는 품절(品節)함이다. 성(性)과 도(道)가 비록 같으나 기품(氣稟)이 혹 다르기 때문에 과(過)하고 불급(不及)한 차이가 없지 못하다. 이러므로 성인(聖人)이 사람과 물건이 마땅히 행하여야 할 것을 인하여 품절(品節)[등급과 제한]하여 천하(天下)에 법(法)이 되게 하시니, 이것을 일러 교(敎)라 하니 예악(禮樂)·형정(刑政)과 같은 등속이 이것이다. 사람들이 자기 몸에 성(性)이 있음을 알되 하늘에서 나온 것은 알지 못하고, 일에 도(道)가 있음은 알되 성(性)에서 말미암음은 알지 못하고, 성인(聖人)의 가르침이 있음은 알되 나의 고유(固有)한 것을 인하여 만들었음은 알지 못한다. 그러므로 자사(子思)께서 여기에 첫 번째로 이것을 발명(發明)하셨으니, 동자(董子)[동중서(董仲舒)]의 이른바 ‘도(道)의 큰 근원이 하늘에서 나왔다.’는 것도 또한 이러한 뜻이다."
道也者不可須臾離也可離非道也是故君子戒愼乎其所不睹恐懼乎其所不聞,道者日用事物當行之理皆性之德而具於心無物不有無時不然所以不可須臾離也若其可離則豈率性之謂哉是以君子之心常存敬畏雖不見聞亦不敢忽所以存天理之本然而不使離於須臾之頃也,道也者，不可須臾離也，可離非道也。是故君子戒愼乎其所不睹，恐懼乎其所不聞。,道者，日用事物當行之理，皆性之德而具於心，無物不有，無時不然，所以不可須臾離也。若其可離，則豈率性之謂哉。是以君子之心常存敬畏，雖不見聞，亦不敢忽，所以存天理之本然，而不使離於須臾之頃也。,"도(道)란 것은 수유(須臾)[잠시]도 떠날 수 없는 것이니, 떠날 수 있으면 도(道)가 아니다. 이러므로 군자(君子)는 그 보지 않는 바에도 계신(戒愼)하며 그 듣지 않는 바에도 공구(恐懼)하는 것이다.","도(道)는 일용사물(日用事物)에 마땅히 행하여야 할 이(理)이니, 모두 성(性)의 덕(德)으로서 마음에 갖추어져 있어서 사물마다 있지 않음이 없고, 때마다 그러하지 않음이 없으니, 이 때문에 잠시도 떠날 수 없는 것이다. 만일 그 떠날 수 있다면 어찌 솔성(率性)이라 말할 수 있겠는가. 이러므로 군자(君子)의 마음은 항상 공경함과 두려워함을 두어, 비록 보고 듣지 않을 때라도 또한 감히 소홀히 하지 못하니, 이 때문에 천리(天理)의 본연(本然)함을 보존하여 잠시의 시간이라도 <도(道)를> 떠나지 않게 하는 것이다."
莫見乎隱莫顯乎微故君子愼其獨也,隱暗處也微細事也獨者人所不知而己所獨知之地也言幽暗之中細微之事跡雖未形而幾則已動人雖不知而己獨知之則是天下之事無有著見明顯而過於此者是以君子旣常戒懼而於此尤加謹焉所以遏人欲於將萌而不使其潛滋暗長於隱微之中以至離道之遠也,莫見乎隱，莫顯乎微，故君子愼其獨也。,隱，暗處也。微，細事也。獨者，人所不知而己所獨知之地也。言幽暗之中，細微之事，跡雖未形而幾則已動，人雖不知而己獨知之，則是天下之事無有著見明顯而過於此者。是以君子旣常戒懼，而於此尤加謹焉，所以遏人欲於將萌，而不使其潛滋暗長於隱微之中，以至離道之遠也。,"은(隱)보다 드러남이 없으며 미(微)보다 나타남이 없으니, 그러므로 군자(君子)는 그 홀로를 삼가는 것이다.","은(隱)은 어두운 곳이요, 미(微)는 작은 일이다. 독(獨)은 다른 사람들은 미쳐 알지 못하고 자기만이 홀로 아는 곳이다. 유암(幽暗)의 가운데와 세미(細微)한 일은 자취가 비록 나타나지 않았으나 기미(幾微)가 이미 동(動)하였고, 남이 비록 알지 못하나 자기가 홀로 알고 있으니, 이는 천하(天下)의 일이 드러나 보이고 밝게 나타남이 이보다 더함이 없는 것이다. 이러므로 군자(君子)가 이미 항상 계구(戒懼)하고, 이에 더욱 삼감을 가하는 것이니, 인욕(人慾)을 장차 싹틀 때에 막아서 은미(隱微)한 가운데에 속으로 불어나고 자라서 도(道)를 떠남이 멂에 이르지 않도록 하는 것이다."
喜怒哀樂之未發謂之中發而皆中節謂之和中也者天下之大本也和也者天下之達道也,喜怒哀樂情也其未發則性也無所偏倚故謂之中發皆中節情之正也無所乖戾故謂之和大本者天命之性天下之理皆由此出道之體也達道者循性之謂天下古今之所共由道之用也此言性情之德以明道不可離之意,喜怒哀樂之未發，謂之中；發而皆中節，謂之和。中也者，天下之大本也；和也者，天下之達道也。,喜、怒、哀、樂，情也。其未發，則性也，無所偏倚，故謂之中。發皆中節，情之正也，無所乖戾，故謂之和。大本者，天命之性，天下之理皆由此出，道之體也。達道者，循性之謂，天下古今之所共由，道之用也。此言性情之德，以明道不可離之意。,"기뻐하고 노하고 슬퍼하고 즐거워하는 정(情)이 발(發)하지 않은 것을 중(中)이라 이르고, 발(發)하여 모두 절도(節度)에 맞는 것을 화(和)라 이르니, 중(中)이란 것은 천하의 큰 근본이요, 화(和)란 것은 천하의 공통된 도(道)이다.","희노애락(喜怒哀樂)은 정(情)이요 이것이 발(發)하지 않은 것은 바로 성(性)이니, 편벽되고 치우친 바가 없으므로 중(中)이라 이르며, 발(發)함에 모두 절도(節度)에 맞는 것은 정(情)의 올바름이니, 어그러지는 바가 없으므로 화(和)라고 이른다. 대본(大本)은 하늘이 명하신 성(性)이니, 천하의 이치가 모두 이로 말미암아 나오니, 도(道)의 체(體)요, 달도(達道)는 성(性)을 따름을 이르니, 천하(天下)와 고금(古今)에 함께 행하는 것이니, 도(道)의 용(用)이다. 이는 성정(性情)의 덕(德)을 말씀하여 도(道)를 떠날 수 없는 뜻을 밝힌 것이다."
致中和天地位焉萬物育焉,致推而極之也位者安其所也育者遂其生也自戒懼而約之以至於至靜之中無所偏倚而其守不失則極其中而天地位矣自謹獨而精之以至於應物之處無少差謬而無適不然則極其和而萬物育矣蓋天地萬物本吾一體吾之心正則天地之心亦正矣吾之氣順則天地之氣亦順矣故其效驗至於如此此學問之極功聖人之能事初非有待於外而修道之敎亦在其中矣是其一體一用雖有動靜之殊然必其體立而後用有以行則其實亦非有兩事也故於此合而言之以結上文之意,致中和，天地位焉，萬物育焉。,致，推而極之也。位者，安其所也。育者，遂其生也。自戒懼而約之，以至於至靜之中，無所偏倚，而其守不失，則極其中而天地位矣。自謹獨而精之，以至於應物之處，無少差謬，而無適不然，則極其和而萬物育矣。蓋天地萬物本吾一體，吾之心正，則天地之心亦正矣，吾之氣順，則天地之氣亦順矣。故其效驗至於如此。此學問之極功、聖人之能事，初非有待於外，而修道之敎亦在其中矣。是其一體一用雖有動靜之殊，然必其體立而後用有以行，則其實亦非有兩事也。故於此合而言之，以結上文之意。,"중(中)과 화(和)를 지극히 하면 천지(天地)가 제자리를 편안히 하고, 만물(萬物)이 잘 생육(生育)될 것이다.","치(致)는 미루어 지극히 함이다. 위(位)는 그 자리를 편안히 함이요, 육(育)은 그 삶을 이루는 것이다. 계구(戒懼)로부터 요약히 하여 지극히 정(靜)한 가운데에 편벽되고 치우친 바가 없어 그 지킴이 잃지 않는 데 이르면, 그 중(中)을 지극히 하여 천지(天地)가 제자리를 편안히 할 것이요, 근독(謹獨)으로부터 정(精)히 하여 사물(事物)을 응(應)하는 곳에 조금도 잘못됨이 없어 가는 곳마다 그렇지 않음이 없는 데 이르면, 그 화(和)를 지극히 하여 만물(萬物)이 생육(生育)될 것이다. 천지(天地)와 만물(萬物)이 본래 나와 일체(一體)이다. 그리하여 나의 마음이 바르면 천지(天地)의 마음이 또한 바르고, 나의 기운이 순하면 천지(天地)의 기운이 또한 순하다. 그러므로 그 효험(效驗)이 이와 같음에 이르는 것이니, 이는 학문(學問)의 지극한 공효(功效)요, 성인(聖人)의 능사(能事)인데, 애당초 밖에 기다림이 있지 않고, 수도(修道)의 가르침도 또한 이 안에 들어 있다. 이는 한 체(體)와 한 용(用)이 비록 동(動)·정(靜)의 다름이 있으나 반드시 그 체(體)가 선 뒤에 용(用)이 행해질 수 있으니, 그렇다면 그 실제는 또한 두 일이 있는 것이 아니다. 그러므로 여기에서 합하여 말씀하여 위 글의 뜻을 맺은 것이다."
,右第一章子思述所傳之意以立言首明道之本原出於天而不可易其實體備於己而不可離次言存養省察之要終言聖神功化之極蓋欲學者於此反求諸身而自得之以去夫外誘之私而充其本然之善楊氏所謂一篇之體要是也其下十章蓋子思引夫子之言以終此章之義,,右第一章。子思述所傳之意以立言：首明道之本原出於天而不可易，其實體備於己而不可離，次言存養省察之要，終言聖神功化之極。蓋欲學者於此反求諸身而自得之，以去夫外誘之私，而充其本然之善，楊氏所謂一篇之體要是也。其下十章，蓋子思引夫子之言，以終此章之義。,,"우(右)는 제1장(第一章)이다. 자사(子思)께서 전수(傳授)한 바의 뜻을 기술(記述)하여 글을 지어, 맨 먼저 도(道)의 본원(本原)이 하늘에서 나와 바뀔 수 없음과 그 실체(實體)가 자기 몸에 갖추어져 떠날 수 없음을 밝히셨고, 다음에 존양(存養)·성찰(省察)의 요점을 말씀하였고, 맨 끝에 성신(聖神)의 공화(功化)의 지극함을 말씀하셨으니, 배우는 자들이 이에 대하여 자기 몸에 돌이켜 찾아서 스스로 터득하여 외유(外誘)[외물의 유혹]의 사사로움을 버리고 본연(本然)의 선(善)을 충만하게 하고자 하신 것이니, 양씨(楊氏)[양시(楊時)]가 이른바 ‘한 편의 체요(體要)’라는 것이 이것이다. 이 아래 열 장(章)은 자사(子思)가 부자(夫子)의 말씀을 인용(引用)하여 이 장(章)의 뜻을 맺으신 것이다."
仲尼曰君子中庸小人反中庸,中庸者不偏不倚無過不及而平常之理乃天命所當然精微之極致也唯君子爲能體之小人反是,仲尼曰：“君子中庸，小人反中庸。,中庸者，不偏不倚、無過不及，而平常之理，乃天命所當然，精微之極致也。唯君子爲能體之，小人反是。,"중니(仲尼)께서 말씀하셨다. “군자(君子)는 중용(中庸)을 하고, 소인(小人)은 중용(中庸)에 반대로 한다.","중용(中庸)은 편벽되지 않고 치우치지 아니하여 과(過)와 불급(不及)이 없어 평상(平常)한 이치이니, 바로 천명(天命)에 당연(當然)한 바 정미(精微)의 극치(極致)이다. 오직 군자(君子)만이 이를 체행(體行)할 수 있고, 소인(小人)은 이와 반대이다."
君子之中庸也君子而時中小人之反中庸也小人而無忌憚也,王肅本作小人之反中庸也程子亦以爲然今從之,君子之中庸也，君子而時中；小人之反中庸也，小人而無忌憚也。”,王肅本作“小人之反中庸也”，程子亦以爲然。今從之。,"군자(君子)가 중용(中庸)을 함은 군자(君子)이면서 때로 맞게 하기 때문이요, 소인(小人)이 중용(中庸)에 반대로 함은 소인(小人)이면서 기탄(忌憚)이 없기 때문이다.”","왕숙(王肅)의 본(本)에 ‘소인지반중용야(小人之反中庸也)’로 되어 있는데, 정자(程子)께서도 또한 ‘이것이 옳다.’ 하였으니, 지금 이를 따른다."
,君子之所以爲中庸者以其有君子之德而又能隨時以處中也小人之所以反中庸者以其有小人之心而又無所忌憚也蓋中無定體隨時而在是乃平常之理也君子知其在我故能戒謹不睹恐懼不聞而無時不中小人不知有此則肆欲妄行而無所忌憚矣,,君子之所以爲中庸者，以其有君子之德，而又能隨時以處中也。小人之所以反中庸者，以其有小人之心，而又無所忌憚也。蓋中無定體，隨時而在，是乃平常之理也。君子知其在我，故能戒謹不睹、恐懼不聞，而無時不中。小人不知有此，則肆欲妄行，而無所忌憚矣。,,"군자(君子)가 중용(中庸)을 하는 까닭은 군자(君子)의 덕(德)이 있고 또 능히 때에 따라 중(中)에 처하기 때문이요, 소인(小人)이 중용(中庸)에 반대로 하는 까닭은 소인(小人)의 마음이 있고 또 기탄(忌憚)하는 바가 없기 때문이다. 중(中)은 일정(一定)한 체(體)가 없어 때에 따라 있으니, 이것이 바로 평상(平常)의 이(理)이다. 군자(君子)는 이것이 자신에게 있음을 알기 때문에 능히 보지 않을 때에도 계신(戒愼)하고 듣지 않을 때에도 공구(恐懼)하여 때마다 맞지 않음이 없고, 소인(小人)은 이것이 있음을 알지 못하니, 욕심을 부리고 망령되이 행동하여 기탄(忌憚)하는 바가 없다."
